<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INL,60,20240411,100000,10.2927,10.2927,10.1463,10.2927,99.425,0
INL,60,20240411,110000,10.2927,10.2927,10.1463,10.1463,928.6499999999999,0
INL,60,20240411,120000,10.1463,10.1463,10.1463,10.1463,136.325,0
INL,60,20240411,130000,10.2927,10.2927,10.2927,10.2927,1.025,0
INL,60,20240411,140000,10.2927,10.2927,10.1463,10.2927,1169.525,0
INL,60,20240411,150000,10.2927,10.2927,9.85366,9.95122,2140.2,0
INL,60,20240411,160000,10.2439,10.2439,10.1463,10.1463,118.9,0
INL,60,20240411,170000,10.1463,10.1463,10.1463,10.1463,59.449999999999996,0
INL,60,20240412,100000,10.1951,10.2439,10.1463,10.2439,145.55,0
INL,60,20240412,110000,10.2439,10.2439,10.2439,10.2439,246,0
INL,60,20240412,120000,10.2439,10.2439,10.2439,10.2439,8.2,0
INL,60,20240412,130000,10.2439,10.3415,10.2439,10.3415,1034.225,0
INL,60,20240412,140000,10.3415,10.3415,10.3415,10.3415,16.4,0
INL,60,20240412,150000,10.3415,10.3415,10.3415,10.3415,3.0749999999999997,0
INL,60,20240412,160000,10.3415,10.3415,10.3415,10.3415,33.825,0
INL,60,20240412,170000,10.2439,10.3415,10.2439,10.3415,104.55,0
INL,60,20240415,100000,10.3415,10.3902,10.0976,10.3902,289.05,0
INL,60,20240415,110000,10.3902,10.3902,10.3902,10.3902,6.1499999999999995,0
INL,60,20240415,120000,10.3415,10.3415,10.3415,10.3415,15.375,0
INL,60,20240415,140000,10.3415,10.3415,10.3415,10.3415,52.275,0
INL,60,20240415,150000,10.3415,10.3415,10.3415,10.3415,51.24999999999999,0
INL,60,20240415,160000,10.2439,10.2439,10.2439,10.2439,20.5,0
INL,60,20240415,170000,10.3415,10.3415,9.7561,10.2439,3367.1249999999995,0
INL,60,20240416,100000,10.0488,10.0488,9.7561,9.95122,366.95,0
INL,60,20240416,110000,10.0488,10.0488,10,10,21.525,0
INL,60,20240416,120000,9.95122,10,9.95122,10,54.324999999999996,0
INL,60,20240416,130000,10,10.0488,10,10.0488,207.05,0
INL,60,20240416,140000,10.0488,10.0488,9.95122,9.95122,71.75,0
INL,60,20240416,150000,9.95122,10.0488,9.95122,9.95122,854.85,0
INL,60,20240416,170000,9.48293,9.69756,9.48293,9.69756,265.475,0
INL,60,20240417,100000,9.69756,10.0488,9.69756,10.0488,454.075,0
INL,60,20240417,110000,10.0488,10.0488,10.0488,10.0488,4.1,0
INL,60,20240417,120000,10.0488,10.0488,9.85366,10.0488,51.25,0
INL,60,20240417,130000,9.95122,10,9.71707,10,51.24999999999999,0
INL,60,20240417,140000,10,10,10,10,1.025,0
INL,60,20240417,150000,10,10,9.90244,9.90244,276.75,0
INL,60,20240417,160000,9.90244,10,9.90244,10,68.675,0
INL,60,20240417,170000,10,10,9.90244,10,188.6,0
INL,60,20240418,100000,10,10,10,10,275.725,0
INL,60,20240418,120000,9.85366,9.95122,9.73659,9.95122,109.675,0
INL,60,20240418,130000,9.95122,9.95122,9.80488,9.95122,24.6,0
INL,60,20240418,140000,9.90244,10,9.80488,10,23.575,0
INL,60,20240418,160000,10,10,10,10,30.749999999999996,0
INL,60,20240418,170000,9.90244,10,9.48293,9.63902,5660.05,0
INL,60,20240419,100000,9.63902,9.7561,9.63902,9.7561,1173.625,0
INL,60,20240419,110000,9.7561,9.7561,9.63902,9.7561,520.7,0
INL,60,20240419,120000,9.63902,9.7561,9.63902,9.7561,48.175,0
INL,60,20240419,130000,9.85366,9.85366,9.85366,9.85366,102.49999999999999,0
INL,60,20240419,140000,9.85366,9.85366,9.85366,9.85366,1.025,0
INL,60,20240419,150000,9.85366,9.85366,9.63902,9.85366,1032.175,0
INL,60,20240419,160000,9.85366,9.85366,9.63902,9.85366,765.675,0
INL,60,20240419,170000,9.85366,9.85366,9.63902,9.80488,910.2,0
INL,60,20240422,100000,9.80488,9.90244,9.63902,9.65854,2088.95,0
INL,60,20240422,110000,9.65854,9.65854,9.65854,9.65854,1286.375,0
INL,60,20240422,120000,9.65854,9.7561,9.58049,9.73659,242.925,0
INL,60,20240422,130000,9.73659,9.73659,9.73659,9.73659,121.975,0
INL,60,20240422,140000,9.73659,9.73659,9.73659,9.73659,10.25,0
INL,60,20240422,150000,9.73659,9.7561,9.73659,9.7561,340.3,0
INL,60,20240422,160000,9.58049,9.73659,9.46341,9.73659,1246.3999999999999,0
INL,60,20240422,170000,9.73659,9.73659,9.50244,9.73659,255.22499999999997,0
INL,60,20240423,100000,9.65854,9.73659,9.65854,9.65854,949.15,0
INL,60,20240423,110000,9.69756,9.71707,9.69756,9.71707,424.35,0
INL,60,20240423,120000,9.65854,9.71707,9.50244,9.71707,469.45,0
INL,60,20240423,130000,9.71707,9.71707,9.54146,9.69756,167.075,0
INL,60,20240423,140000,9.69756,9.69756,9.67805,9.67805,6.15,0
INL,60,20240423,150000,9.56098,9.67805,9.56098,9.67805,53.3,0
INL,60,20240423,160000,9.67805,9.67805,9.67805,9.67805,215.24999999999997,0
INL,60,20240423,170000,9.67805,9.7561,9.6,9.7561,1551.85,0
INL,60,20240424,100000,9.90244,9.90244,9.85366,9.85366,426.4,0
INL,60,20240424,110000,9.80488,9.80488,9.80488,9.80488,2.05,0
INL,60,20240424,130000,9.63902,9.90244,9.6,9.90244,2598.375,0
INL,60,20240424,140000,9.85366,9.85366,9.85366,9.85366,234.72499999999997,0
