<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITB,60,20240411,100000,2.59,2.59,2.55,2.55,1542,0
ITB,60,20240411,110000,2.55,2.6,2.52,2.52,1172,0
ITB,60,20240411,120000,2.52,2.78,2.52,2.78,49159,0
ITB,60,20240411,130000,2.8,2.88,2.78,2.85,13732,0
ITB,60,20240411,140000,2.83,2.83,2.62,2.62,9401,0
ITB,60,20240411,150000,2.68,2.7,2.63,2.7,821,0
ITB,60,20240411,160000,2.61,2.7,2.6,2.69,2181,0
ITB,60,20240411,170000,2.58,2.59,2.5,2.5,4820,0
ITB,60,20240412,100000,2.6,2.6,2.54,2.59,2281,0
ITB,60,20240412,110000,2.59,2.63,2.59,2.63,1609,0
ITB,60,20240412,120000,2.63,2.63,2.55,2.55,3833,0
ITB,60,20240412,130000,2.63,2.69,2.63,2.69,1520,0
ITB,60,20240412,140000,2.69,2.8,2.68,2.8,7882,0
ITB,60,20240412,150000,2.72,2.79,2.7,2.78,4893,0
ITB,60,20240412,160000,2.78,2.86,2.78,2.8,14273,0
ITB,60,20240412,170000,2.81,2.86,2.8,2.85,3907,0
ITB,60,20240415,100000,2.83,2.86,2.83,2.86,2003,0
ITB,60,20240415,110000,2.85,2.85,2.85,2.85,218,0
ITB,60,20240415,120000,2.84,2.85,2.7,2.85,2118,0
ITB,60,20240415,130000,2.8,2.85,2.62,2.85,5488,0
ITB,60,20240415,140000,2.83,2.84,2.83,2.84,110,0
ITB,60,20240415,150000,2.84,2.84,2.84,2.84,730,0
ITB,60,20240415,160000,2.84,2.84,2.84,2.84,40,0
ITB,60,20240415,170000,2.84,2.84,2.83,2.83,9,0
ITB,60,20240416,100000,2.83,2.83,2.65,2.78,1635,0
ITB,60,20240416,110000,2.72,2.76,2.58,2.76,2620,0
ITB,60,20240416,120000,2.59,2.59,2.59,2.59,140,0
ITB,60,20240416,130000,2.76,2.76,2.76,2.76,50,0
ITB,60,20240416,140000,2.61,2.61,2.61,2.61,127,0
ITB,60,20240416,150000,2.7,2.81,2.7,2.81,265,0
ITB,60,20240417,100000,2.78,2.79,2.78,2.79,137,0
ITB,60,20240417,120000,2.77,2.77,2.77,2.77,36,0
ITB,60,20240417,140000,2.75,2.75,2.75,2.75,13,0
ITB,60,20240417,150000,2.7,2.7,2.7,2.7,200,0
ITB,60,20240417,170000,2.75,2.76,2.75,2.76,42,0
ITB,60,20240418,100000,2.88,3.24,2.88,3.2,38001,0
ITB,60,20240418,110000,3.08,3.15,2.96,2.96,15709,0
ITB,60,20240418,120000,2.94,2.95,2.8,2.89,5968,0
ITB,60,20240418,130000,2.82,2.95,2.82,2.95,3261,0
ITB,60,20240418,140000,2.84,2.84,2.82,2.82,2216,0
ITB,60,20240418,150000,2.89,2.91,2.81,2.91,1183,0
ITB,60,20240418,160000,2.9,2.94,2.86,2.94,3637,0
ITB,60,20240418,170000,2.94,3.08,2.94,3,4793,0
