<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZB,60,20240411,120000,50.5,50.5,50.5,50.5,100,0
IZB,60,20240411,160000,52.5,52.5,52.5,52.5,52,0
IZB,60,20240417,120000,50.5,50.5,50.5,50.5,194,0
IZB,60,20240422,160000,52,52,49.8,51.5,107,0
IZB,60,20240423,120000,51,51,51,51,55,0
IZB,60,20240423,160000,49.6,49.6,49.6,49.6,92,0
IZB,60,20240425,120000,53,53,50.5,50.5,42,0
IZB,60,20240426,160000,53,53,53,53,7,0
IZB,60,20240502,120000,53.5,53.5,53.5,53.5,287,0
IZB,60,20240502,160000,55,55,55,55,383,0
IZB,60,20240506,120000,56,56,56,56,240,0
IZB,60,20240506,160000,57.5,57.5,57.5,57.5,110,0
IZB,60,20240507,120000,56.5,56.5,56.5,56.5,174,0
IZB,60,20240508,160000,57,57.5,57,57.5,60,0
IZB,60,20240509,120000,56.5,56.5,56.5,56.5,8,0
IZB,60,20240509,160000,56,56,56,56,10,0
IZB,60,20240513,120000,57,57.5,57,57.5,151,0
IZB,60,20240513,160000,56.5,56.5,56.5,56.5,89,0
IZB,60,20240521,120000,55,55,51,51,612,0
IZB,60,20240521,160000,53,53,53,53,59,0
IZB,60,20240522,120000,52,52,52,52,16,0
IZB,60,20240522,160000,54.5,54.5,54.5,54.5,5,0
IZB,60,20240523,120000,54.5,54.5,54.5,54.5,5,0
IZB,60,20240524,160000,52,54.5,52,54.5,173,0
IZB,60,20240531,120000,55,55,55,55,15,0
IZB,60,20240611,160000,54,54,52,52,70,0
IZB,60,20240612,120000,51,51,51,51,6,0
IZB,60,20240613,160000,53.5,53.5,50,50,12,0
IZB,60,20240614,120000,49.8,49.8,49.8,49.8,55,0
IZB,60,20240614,160000,53.5,53.5,53.5,53.5,2000,0
IZB,60,20240617,120000,53,53,53,53,60,0
IZB,60,20240617,160000,53,53,53,53,36,0
IZB,60,20240619,120000,53,53,51.5,51.5,240,0
IZB,60,20240619,160000,51.5,51.5,51.5,51.5,35,0
IZB,60,20240620,120000,51,51,51,51,2,0
IZB,60,20240620,160000,52.5,52.5,52.5,52.5,3,0
IZB,60,20240709,120000,52.5,52.5,52.5,52.5,618,0
IZB,60,20240709,160000,52.5,52.5,52.5,52.5,687,0
IZB,60,20240710,120000,53,53,53,53,286,0
IZB,60,20240710,160000,55,55,55,55,1792,0
IZB,60,20240711,120000,56,56,56,56,352,0
IZB,60,20240711,160000,58.5,58.5,58.5,58.5,241,0
IZB,60,20240712,120000,57,57,57,57,56,0
IZB,60,20240712,160000,55,55,55,55,203,0
IZB,60,20240715,120000,56.5,56.5,56.5,56.5,10,0
IZB,60,20240716,160000,56.5,56.5,54.5,54.5,1617,0
IZB,60,20240717,120000,53,53,53,53,121,0
IZB,60,20240717,160000,53,53,53,53,100,0
IZB,60,20240718,120000,53,53,53,53,94,0
IZB,60,20240719,160000,53.5,53.5,53,53,37,0
IZB,60,20240722,120000,53,53,53,53,132,0
IZB,60,20240722,160000,52.5,52.5,52.5,52.5,31,0
IZB,60,20240723,120000,52.5,52.5,52.5,52.5,33,0
IZB,60,20240725,160000,52.5,52.5,52.5,52.5,159,0
IZB,60,20240726,120000,52.5,52.5,52.5,52.5,65,0
IZB,60,20240730,160000,53,54,53,54,645,0
IZB,60,20240731,120000,56,56,56,56,1100,0
IZB,60,20240807,160000,56,56,52.5,54,1304,0
IZB,60,20240808,120000,55.5,55.5,55.5,55.5,18,0
IZB,60,20240808,160000,56,56,56,56,1310,0
IZB,60,20240809,120000,56,56,56,56,133,0
IZB,60,20240812,160000,56,56.5,56,56.5,1251,0
IZB,60,20240813,120000,60,60,60,60,996,0
IZB,60,20240814,160000,61,61,60.5,60.5,737,0
IZB,60,20240819,120000,58.5,58.5,58.5,58.5,39,0
IZB,60,20240820,160000,60.5,60.5,58.5,58.5,148,0
IZB,60,20240829,120000,58,60.5,57.5,60.5,881,0
IZB,60,20240830,160000,56,56,56,56,1999,0
IZB,60,20240904,120000,59,59,59,59,2,0
IZB,60,20240918,160000,59,59,53.5,53.5,13,0
IZB,60,20240925,120000,58,58,55,55,65,0
IZB,60,20240925,160000,56.5,56.5,56.5,56.5,309,0
IZB,60,20240927,120000,55,55,55,55,28,0
IZB,60,20240927,160000,53,53,53,53,361,0
IZB,60,20240930,120000,52.5,52.5,52.5,52.5,60,0
IZB,60,20240930,160000,57,57,57,57,5,0
IZB,60,20241001,120000,55.5,55.5,55.5,55.5,1000,0
IZB,60,20241002,160000,53.5,53.5,53.5,53.5,23,0
IZB,60,20241003,120000,53.5,53.5,53.5,53.5,7,0
IZB,60,20241011,160000,52,52,52,52,50,0
IZB,60,20241014,120000,47.2,47.2,47.2,47.2,30,0
IZB,60,20241014,160000,48.2,48.2,48.2,48.2,50,0
IZB,60,20241017,120000,48,48,48,48,120,0
IZB,60,20241022,160000,48,48,48,48,110,0
IZB,60,20241023,120000,47.2,47.2,47.2,47.2,41,0
IZB,60,20241023,160000,49.8,49.8,49.8,49.8,1,0
IZB,60,20241025,120000,48,48,47.6,47.6,160,0
IZB,60,20241025,160000,48.6,48.6,48.6,48.6,39,0
IZB,60,20241104,120000,48.2,48.2,46.6,46.6,39,0
IZB,60,20241105,160000,45.8,45.8,45.8,45.8,49,0
IZB,60,20241106,120000,45.8,45.8,45.8,45.8,411,0
IZB,60,20241106,160000,48,48,48,48,1,0
IZB,60,20241108,120000,47.8,47.8,47.8,47.8,1,0
IZB,60,20241122,160000,44.2,45.2,43.2,43.2,923,0
IZB,60,20241125,120000,45,45,45,45,213,0
IZB,60,20241128,160000,45.4,45.4,43,43,153,0
