<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JRH,60,20240411,100000,8.16,8.16,8.16,8.16,1,0
JRH,60,20240411,130000,8,8,7.8,7.8,702,0
JRH,60,20240411,140000,7.82,7.82,7.82,7.82,20,0
JRH,60,20240411,160000,7.92,7.92,7.88,7.88,364,0
JRH,60,20240411,170000,7.88,8,7.74,8,780,0
JRH,60,20240412,100000,7.9,7.9,7.72,7.72,74,0
JRH,60,20240412,130000,7.86,7.86,7.86,7.86,1,0
JRH,60,20240412,140000,7.86,7.86,7.86,7.86,34,0
JRH,60,20240412,150000,7.76,7.76,7.76,7.76,25,0
JRH,60,20240412,160000,7.76,8,7.76,8,523,0
JRH,60,20240415,110000,7.94,7.96,7.6,7.6,952,0
JRH,60,20240415,120000,7.84,8,7.84,8,420,0
JRH,60,20240415,140000,8,8,7.72,7.72,220,0
JRH,60,20240415,160000,7.7,7.86,7.6,7.6,2285,0
JRH,60,20240415,170000,7.66,7.66,7.66,7.66,15,0
JRH,60,20240416,100000,7.64,7.7,7.56,7.7,2096,0
JRH,60,20240416,110000,7.68,7.68,7.68,7.68,57,0
JRH,60,20240416,130000,7.68,7.68,7.56,7.56,115,0
JRH,60,20240416,150000,7.58,7.58,7.58,7.58,540,0
JRH,60,20240416,160000,7.58,7.58,7.58,7.58,537,0
JRH,60,20240416,170000,7.58,7.66,7.42,7.66,10336,0
JRH,60,20240417,110000,7.44,7.44,7.44,7.44,99,0
JRH,60,20240417,120000,7.44,7.44,7.4,7.4,1776,0
JRH,60,20240417,130000,7.42,7.58,7.4,7.58,501,0
JRH,60,20240417,140000,7.56,7.58,7.56,7.58,100,0
JRH,60,20240417,170000,7.38,7.38,7.38,7.38,15,0
JRH,60,20240418,100000,7.56,7.58,7.44,7.44,203,0
JRH,60,20240418,110000,7.58,7.58,7.58,7.58,1,0
JRH,60,20240418,120000,7.5,7.5,7.5,7.5,100,0
JRH,60,20240418,130000,7.48,7.48,7.48,7.48,500,0
JRH,60,20240418,140000,7.46,7.46,7.42,7.42,480,0
JRH,60,20240418,160000,7.54,7.54,7.54,7.54,1,0
JRH,60,20240419,120000,7.42,7.42,7.34,7.34,2607,0
JRH,60,20240419,140000,7.38,7.38,7.34,7.34,1800,0
JRH,60,20240419,170000,7.34,7.34,7.34,7.34,20,0
JRH,60,20240422,110000,7.34,7.34,7.24,7.24,1634,0
JRH,60,20240422,120000,7.24,7.24,7.14,7.14,7603,0
JRH,60,20240422,130000,7.4,7.4,7.4,7.4,100,0
JRH,60,20240423,100000,7.4,7.4,7.4,7.4,301,0
JRH,60,20240423,110000,7.4,7.4,7.32,7.32,1409,0
JRH,60,20240423,120000,7.3,7.3,7.3,7.3,333,0
JRH,60,20240423,140000,7.2,7.2,7.2,7.2,15,0
JRH,60,20240423,150000,7.2,7.2,7.14,7.14,317,0
JRH,60,20240423,160000,7.2,7.2,7.2,7.2,194,0
JRH,60,20240423,170000,7.16,7.2,7.14,7.2,4173,0
JRH,60,20240424,120000,7.26,7.4,7.26,7.38,800,0
JRH,60,20240424,130000,7.4,7.4,7.38,7.38,662,0
JRH,60,20240424,150000,7.16,7.36,7.12,7.36,300,0
JRH,60,20240424,160000,7.28,7.28,7.28,7.28,150,0
JRH,60,20240424,170000,7.28,7.4,7.28,7.4,400,0
JRH,60,20240425,100000,7.14,7.14,7.14,7.14,16,0
JRH,60,20240425,120000,7.14,7.14,7.12,7.12,100,0
JRH,60,20240425,130000,7.3,7.3,7.04,7.04,620,0
JRH,60,20240425,170000,7.08,7.08,6.8,7.04,20123,0
JRH,60,20240426,100000,7.04,7.04,7.04,7.04,3,0
JRH,60,20240426,120000,7.04,7.04,7.04,7.04,20,0
JRH,60,20240426,130000,6.88,7.04,6.88,7.04,90,0
JRH,60,20240426,170000,6.9,7.1,6.9,7.1,416,0
JRH,60,20240429,100000,6.92,7.1,6.92,7.1,55,0
JRH,60,20240429,120000,6.92,6.92,6.92,6.92,150,0
JRH,60,20240429,140000,6.92,6.92,6.68,6.68,5855,0
JRH,60,20240429,150000,6.88,6.88,6.88,6.88,1260,0
JRH,60,20240429,160000,6.9,6.9,6.9,6.9,210,0
JRH,60,20240429,170000,7.02,7.04,7.02,7.04,10,0
JRH,60,20240430,100000,7.02,7.02,7,7,367,0
JRH,60,20240430,110000,7.02,7.02,7.02,7.02,142,0
JRH,60,20240430,130000,7,7,6.46,6.7,25406,0
JRH,60,20240430,140000,6.7,6.7,6.5,6.7,2213,0
JRH,60,20240430,150000,6.78,6.78,6.78,6.78,115,0
JRH,60,20240430,170000,6.6,6.6,6.6,6.6,150,0
JRH,60,20240502,100000,6.54,6.54,6.54,6.54,301,0
JRH,60,20240502,110000,6.56,6.56,6.56,6.56,150,0
JRH,60,20240502,130000,6.7,6.7,6.7,6.7,100,0
JRH,60,20240506,100000,6.72,6.72,6.6,6.6,784,0
JRH,60,20240506,150000,6.7,6.7,6.7,6.7,5,0
JRH,60,20240506,160000,6.7,6.7,6.7,6.7,200,0
JRH,60,20240506,170000,6.7,6.7,6.6,6.6,193,0
JRH,60,20240507,110000,6.72,7.38,6.72,7.38,10852,0
JRH,60,20240507,120000,7.4,7.7,7.4,7.58,5834,0
JRH,60,20240507,130000,7.66,7.66,6.84,7.46,3759,0
JRH,60,20240507,140000,7.42,7.46,7.12,7.44,334,0
JRH,60,20240507,150000,7.4,7.4,7,7,843,0
JRH,60,20240507,160000,7,7.14,7,7.02,184,0
JRH,60,20240507,170000,7.02,7.02,7,7,1442,0
JRH,60,20240508,120000,7.14,7.54,7.14,7.14,672,0
JRH,60,20240508,130000,7.5,7.5,7.5,7.5,11,0
JRH,60,20240508,160000,7.44,7.44,7.44,7.44,2,0
JRH,60,20240508,170000,7.44,7.44,7.44,7.44,50,0
JRH,60,20240509,110000,7.02,7.02,7.02,7.02,246,0
JRH,60,20240509,120000,7.02,7.1,6.92,6.92,1309,0
JRH,60,20240509,130000,6.92,6.92,6.92,6.92,984,0
JRH,60,20240509,140000,6.92,7.02,6.92,7.02,519,0
JRH,60,20240510,120000,6.78,6.78,6.76,6.76,3052,0
JRH,60,20240510,130000,6.9,6.92,6.9,6.92,229,0
JRH,60,20240510,150000,6.92,6.92,6.92,6.92,225,0
JRH,60,20240510,160000,7.04,7.28,7.04,7.28,300,0
JRH,60,20240510,170000,7.28,7.28,6.64,6.64,11962,0
JRH,60,20240513,100000,6.64,7.1,6.62,6.62,15,0
JRH,60,20240513,110000,6.62,6.62,6.3,6.6,3855,0
JRH,60,20240513,120000,6.58,6.58,6.36,6.58,1100,0
JRH,60,20240513,130000,6.5,6.5,6.5,6.5,4000,0
JRH,60,20240513,140000,6.56,6.56,6.56,6.56,135,0
JRH,60,20240513,150000,6.48,6.48,6.48,6.48,3010,0
JRH,60,20240513,170000,6.58,6.58,6.58,6.58,4,0
JRH,60,20240514,100000,6.5,6.58,6.5,6.58,3078,0
JRH,60,20240514,110000,6.46,6.46,6.44,6.44,1285,0
JRH,60,20240514,120000,6.44,6.44,6.44,6.44,200,0
JRH,60,20240514,130000,6.42,6.46,6.42,6.46,5056,0
JRH,60,20240514,140000,6.56,6.64,6.54,6.64,948,0
JRH,60,20240514,150000,6.7,7.06,6.7,7,806,0
JRH,60,20240515,100000,6.98,6.98,6.98,6.98,50,0
JRH,60,20240515,150000,6.96,6.96,6.96,6.96,2,0
JRH,60,20240515,160000,6.96,6.96,6.68,6.68,75,0
JRH,60,20240515,170000,6.66,6.92,6.66,6.92,235,0
JRH,60,20240516,100000,6.92,7.1,6.9,7.1,2030,0
JRH,60,20240516,110000,6.82,7.1,6.8,6.8,3503,0
JRH,60,20240516,120000,7.08,7.18,6.82,7.12,1088,0
JRH,60,20240516,130000,7.1,7.1,7.1,7.1,12,0
JRH,60,20240516,150000,7.08,7.08,7.08,7.08,100,0
JRH,60,20240516,160000,6.82,6.82,6.8,6.8,346,0
JRH,60,20240516,170000,6.8,6.8,6.8,6.8,710,0
JRH,60,20240517,120000,6.64,6.64,6.64,6.64,580,0
JRH,60,20240517,130000,6.6,6.6,6.6,6.6,339,0
JRH,60,20240517,150000,6.64,6.64,6.64,6.64,13,0
JRH,60,20240517,160000,6.64,6.64,6.52,6.52,602,0
JRH,60,20240517,170000,6.54,6.6,6.54,6.6,422,0
JRH,60,20240520,100000,6.76,6.78,6.76,6.76,147,0
JRH,60,20240520,110000,6.76,6.76,6.56,6.76,325,0
JRH,60,20240520,120000,6.56,6.56,6.56,6.56,81,0
JRH,60,20240520,130000,6.7,6.7,6.7,6.7,3,0
JRH,60,20240520,150000,6.68,6.68,6.68,6.68,2,0
JRH,60,20240520,160000,6.68,6.68,6.68,6.68,4,0
JRH,60,20240521,100000,6.68,6.68,6.68,6.68,47,0
JRH,60,20240521,130000,6.68,6.68,6.68,6.68,2,0
JRH,60,20240521,170000,6.4,6.4,6.4,6.4,2390,0
JRH,60,20240522,100000,6.4,6.4,6.38,6.4,1471,0
JRH,60,20240522,110000,6.38,6.4,6.38,6.4,1100,0
JRH,60,20240522,120000,6.4,6.54,6.4,6.54,1586,0
JRH,60,20240522,130000,6.54,6.54,6.54,6.54,240,0
JRH,60,20240522,150000,6.6,6.6,6.6,6.6,20,0
JRH,60,20240522,170000,6.56,6.56,6.42,6.42,124,0
JRH,60,20240523,100000,6.42,6.56,6.42,6.56,208,0
JRH,60,20240523,110000,6.42,6.42,6.42,6.42,456,0
JRH,60,20240523,120000,6.38,6.38,6.38,6.38,110,0
JRH,60,20240523,130000,6.4,6.4,6.4,6.4,110,0
JRH,60,20240523,140000,6.4,6.4,6.4,6.4,56,0
JRH,60,20240523,150000,6.4,6.4,6.4,6.4,100,0
JRH,60,20240523,160000,6.42,6.42,6.42,6.42,544,0
JRH,60,20240524,100000,6.4,6.4,6.2,6.2,9254,0
JRH,60,20240524,110000,6.22,6.22,6.22,6.22,280,0
JRH,60,20240524,170000,6.42,6.42,6.42,6.42,380,0
JRH,60,20240527,100000,6.34,6.34,6.08,6.08,1848,0
JRH,60,20240527,110000,6.2,6.32,6.2,6.32,1322,0
JRH,60,20240527,120000,6.32,6.32,6.32,6.32,100,0
JRH,60,20240527,130000,6.32,6.32,6.32,6.32,2620,0
JRH,60,20240527,150000,6.42,6.42,6.42,6.42,50,0
JRH,60,20240528,100000,6.22,6.22,6.22,6.22,295,0
JRH,60,20240528,110000,6.14,6.32,6.14,6.32,705,0
JRH,60,20240528,120000,6.3,6.3,6.3,6.3,100,0
JRH,60,20240528,130000,6.3,6.3,6.14,6.14,600,0
JRH,60,20240528,140000,6.14,6.32,6.12,6.32,570,0
JRH,60,20240528,150000,6.32,6.32,6.32,6.32,100,0
JRH,60,20240528,170000,6.32,6.34,6.32,6.34,200,0
JRH,60,20240529,110000,6.34,6.34,6.34,6.34,100,0
JRH,60,20240529,130000,6.34,6.34,6.34,6.34,250,0
JRH,60,20240529,140000,6.3,6.3,6.3,6.3,800,0
JRH,60,20240529,150000,6.34,6.5,6.22,6.22,700,0
JRH,60,20240529,170000,6.22,6.22,6.22,6.22,100,0
JRH,60,20240531,140000,6.48,6.56,6.48,6.56,3297,0
JRH,60,20240531,150000,6.32,6.72,6.32,6.32,116,0
JRH,60,20240531,160000,6.5,6.5,6.5,6.5,100,0
JRH,60,20240531,170000,6.52,6.54,6.52,6.54,1150,0
JRH,60,20240603,130000,6.6,6.6,6.6,6.6,1400,0
JRH,60,20240603,160000,6.5,6.5,6.5,6.5,100,0
JRH,60,20240603,170000,6.66,6.66,6.66,6.66,300,0
JRH,60,20240604,110000,6.7,6.78,6.52,6.56,952,0
JRH,60,20240604,120000,6.58,6.58,6.56,6.56,500,0
JRH,60,20240605,100000,6.66,6.66,6.58,6.58,1020,0
JRH,60,20240605,110000,6.64,6.64,6.64,6.64,5,0
JRH,60,20240605,120000,6.58,6.64,6.58,6.6,1620,0
JRH,60,20240605,140000,6.6,6.62,6.6,6.62,356,0
JRH,60,20240605,150000,6.6,6.6,6.6,6.6,568,0
JRH,60,20240605,160000,6.6,6.6,6.6,6.6,270,0
JRH,60,20240606,170000,6.6,6.6,6.6,6.6,148,0
JRH,60,20240607,100000,6.6,6.66,6.6,6.66,428,0
JRH,60,20240607,110000,6.7,6.7,6.7,6.7,1486,0
JRH,60,20240607,140000,6.7,7.26,6.7,7.26,7566,0
JRH,60,20240607,150000,7.5,7.98,7.5,7.8,7012,0
JRH,60,20240607,160000,7.78,7.78,7.5,7.5,308,0
JRH,60,20240607,170000,7.52,7.7,7.5,7.7,455,0
JRH,60,20240610,100000,7.88,8.08,7.28,7.3,4893,0
JRH,60,20240610,110000,7.3,7.48,7.16,7.48,1951,0
JRH,60,20240610,120000,7.6,7.64,7.6,7.64,400,0
JRH,60,20240610,130000,7.7,7.92,7.7,7.92,194,0
JRH,60,20240610,140000,7.9,7.9,7.9,7.9,20,0
JRH,60,20240610,160000,7.9,8,7.6,7.6,6384,0
JRH,60,20240610,170000,7.9,7.9,7.5,7.6,2210,0
JRH,60,20240611,100000,7.6,7.98,7.6,7.94,1412,0
JRH,60,20240611,110000,7.66,7.96,7.66,7.96,755,0
JRH,60,20240611,120000,7.8,7.8,7.8,7.8,2,0
JRH,60,20240611,150000,7.7,7.74,7.66,7.66,2438,0
JRH,60,20240611,170000,7.64,7.66,7.6,7.6,1146,0
JRH,60,20240612,100000,7.56,8,7.56,7.78,3670,0
JRH,60,20240612,110000,7.7,7.78,7.7,7.78,141,0
JRH,60,20240612,150000,7.78,7.78,7.78,7.78,50,0
JRH,60,20240612,170000,7.78,7.82,7.78,7.82,146,0
JRH,60,20240613,100000,7.82,7.98,7.82,7.98,370,0
JRH,60,20240613,110000,7.6,7.6,7.56,7.56,1004,0
JRH,60,20240613,120000,7.58,7.58,7.58,7.58,3,0
JRH,60,20240613,130000,7.58,7.58,7.58,7.58,35,0
JRH,60,20240613,140000,7.56,7.56,7.5,7.5,169,0
JRH,60,20240613,150000,7.56,7.7,7.56,7.7,1296,0
JRH,60,20240614,100000,7.72,7.72,7.72,7.72,10,0
JRH,60,20240614,110000,7.72,7.72,7.56,7.56,6,0
JRH,60,20240614,130000,7.68,7.72,7.68,7.72,20,0
JRH,60,20240614,150000,7.72,7.72,7.72,7.72,6,0
JRH,60,20240614,160000,7.72,7.72,7.3,7.34,1485,0
JRH,60,20240614,170000,7.58,7.6,7.58,7.6,40,0
JRH,60,20240617,100000,7.36,7.4,7.36,7.4,29,0
JRH,60,20240617,110000,7.78,7.8,7.78,7.8,38,0
JRH,60,20240617,120000,7.44,7.44,7.44,7.44,257,0
JRH,60,20240617,130000,7.44,7.66,7.44,7.66,44,0
JRH,60,20240617,140000,7.62,7.7,7.5,7.5,440,0
JRH,60,20240617,150000,7.5,7.5,7.5,7.5,6,0
JRH,60,20240617,160000,7.5,7.5,7.5,7.5,10,0
JRH,60,20240617,170000,7.5,7.5,7.5,7.5,2,0
JRH,60,20240618,100000,7.44,7.5,7.44,7.5,957,0
JRH,60,20240618,110000,7.8,7.8,7.5,7.5,433,0
JRH,60,20240618,130000,7.5,7.5,7.5,7.5,47,0
JRH,60,20240618,150000,7.52,7.52,7.52,7.52,200,0
JRH,60,20240618,160000,7.5,7.5,7.5,7.5,350,0
JRH,60,20240619,120000,7.5,7.5,7.5,7.5,18,0
JRH,60,20240619,150000,7.5,7.5,7.5,7.5,2000,0
JRH,60,20240620,110000,7.5,7.5,7.5,7.5,40,0
JRH,60,20240620,120000,7.44,7.44,7.4,7.4,300,0
JRH,60,20240620,130000,7.48,7.48,7.4,7.4,162,0
JRH,60,20240620,140000,7.42,7.42,7.42,7.42,292,0
JRH,60,20240620,170000,7.4,7.5,7.3,7.5,1206,0
JRH,60,20240621,100000,7.48,7.5,7.48,7.5,1000,0
JRH,60,20240621,110000,7.42,7.5,7.42,7.5,3710,0
JRH,60,20240621,120000,7.5,7.98,7.5,7.78,7297,0
JRH,60,20240621,130000,7.78,7.78,7.76,7.76,795,0
JRH,60,20240621,140000,7.76,7.76,7.76,7.76,53,0
JRH,60,20240621,150000,7.68,7.68,7.66,7.66,500,0
JRH,60,20240621,160000,7.66,7.66,7.66,7.66,200,0
JRH,60,20240621,170000,7.66,7.74,7.66,7.74,700,0
JRH,60,20240624,100000,7.6,7.96,7.6,7.94,4048,0
JRH,60,20240624,110000,7.94,7.96,7.6,7.6,15930,0
JRH,60,20240624,120000,7.6,7.88,7.6,7.88,2887,0
JRH,60,20240624,130000,7.74,7.88,7.74,7.88,269,0
JRH,60,20240624,150000,7.78,7.78,7.78,7.78,500,0
JRH,60,20240625,110000,7.62,7.62,7.4,7.4,1111,0
JRH,60,20240625,130000,7.5,7.5,7.5,7.5,1414,0
JRH,60,20240625,150000,7.44,7.44,7.42,7.42,500,0
JRH,60,20240625,170000,7.7,7.7,7.44,7.7,36,0
JRH,60,20240626,120000,7.68,7.68,7.68,7.68,10,0
