<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCH,60,20240411,120000,0.338,0.338,0.338,0.338,400,0
KCH,60,20240411,160000,0.348,0.348,0.348,0.348,3475,0
KCH,60,20240415,120000,0.34,0.34,0.338,0.338,3800,0
KCH,60,20240415,160000,0.338,0.338,0.338,0.338,1400,0
KCH,60,20240416,120000,0.324,0.324,0.324,0.324,5480,0
KCH,60,20240416,160000,0.358,0.358,0.358,0.358,6306,0
KCH,60,20240418,120000,0.33,0.334,0.33,0.334,11121,0
KCH,60,20240419,160000,0.334,0.334,0.334,0.334,220,0
KCH,60,20240423,120000,0.33,0.33,0.33,0.33,6306,0
KCH,60,20240424,160000,0.356,0.356,0.346,0.346,172,0
KCH,60,20240425,120000,0.328,0.328,0.328,0.328,31276,0
KCH,60,20240425,160000,0.34,0.34,0.34,0.34,4,0
KCH,60,20240426,120000,0.33,0.33,0.33,0.33,3898,0
KCH,60,20240430,160000,0.332,0.332,0.32,0.32,3000,0
KCH,60,20240502,120000,0.32,0.32,0.32,0.32,2995,0
KCH,60,20240502,160000,0.32,0.32,0.32,0.32,14,0
KCH,60,20240506,120000,0.32,0.32,0.32,0.32,131,0
KCH,60,20240508,160000,0.3,0.3,0.3,0.3,25000,0
KCH,60,20240509,120000,0.33,0.33,0.33,0.33,4345,0
KCH,60,20240509,160000,0.31,0.31,0.31,0.31,2124,0
KCH,60,20240515,120000,0.31,0.31,0.29,0.294,14684,0
KCH,60,20240515,160000,0.294,0.294,0.294,0.294,3500,0
KCH,60,20240516,120000,0.29,0.29,0.29,0.29,7500,0
KCH,60,20240516,160000,0.284,0.284,0.284,0.284,16000,0
KCH,60,20240517,120000,0.284,0.284,0.284,0.284,6500,0
KCH,60,20240517,160000,0.28,0.28,0.28,0.28,3414,0
KCH,60,20240521,120000,0.266,0.266,0.25,0.25,56000,0
KCH,60,20240521,160000,0.25,0.25,0.25,0.25,6905,0
KCH,60,20240522,120000,0.242,0.242,0.242,0.242,33951,0
KCH,60,20240522,160000,0.242,0.242,0.242,0.242,2148,0
KCH,60,20240523,120000,0.25,0.25,0.25,0.25,2500,0
KCH,60,20240523,160000,0.25,0.25,0.25,0.25,8286,0
KCH,60,20240524,120000,0.25,0.25,0.25,0.25,12000,0
KCH,60,20240524,160000,0.25,0.25,0.25,0.25,1000,0
KCH,60,20240527,120000,0.256,0.256,0.256,0.256,2000,0
KCH,60,20240527,160000,0.256,0.256,0.256,0.256,3000,0
KCH,60,20240528,120000,0.254,0.254,0.254,0.254,7548,0
KCH,60,20240528,160000,0.25,0.25,0.25,0.25,19200,0
KCH,60,20240531,120000,0.242,0.242,0.238,0.238,11750,0
KCH,60,20240603,160000,0.236,0.244,0.236,0.244,8999,0
KCH,60,20240604,120000,0.24,0.24,0.24,0.24,1000,0
KCH,60,20240604,160000,0.24,0.24,0.24,0.24,1000,0
KCH,60,20240605,120000,0.25,0.25,0.25,0.25,5100,0
KCH,60,20240607,160000,0.246,0.246,0.24,0.24,7672,0
KCH,60,20240611,120000,0.24,0.24,0.24,0.24,1500,0
KCH,60,20240611,160000,0.24,0.24,0.24,0.24,3100,0
KCH,60,20240614,120000,0.25,0.25,0.25,0.25,4000,0
KCH,60,20240614,160000,0.25,0.25,0.25,0.25,3000,0
KCH,60,20240619,120000,0.24,0.24,0.24,0.24,1779,0
KCH,60,20240619,160000,0.24,0.24,0.24,0.24,6000,0
KCH,60,20240620,120000,0.246,0.246,0.246,0.246,1471,0
KCH,60,20240620,160000,0.3,0.3,0.3,0.3,6778,0
KCH,60,20240621,120000,0.3,0.3,0.3,0.3,6558,0
KCH,60,20240624,160000,0.3,0.3,0.3,0.3,19000,0
KCH,60,20240625,120000,0.326,0.326,0.326,0.326,6337,0
KCH,60,20240625,160000,0.326,0.326,0.326,0.326,2510,0
KCH,60,20240626,120000,0.326,0.326,0.326,0.326,440,0
KCH,60,20240627,160000,0.27,0.27,0.27,0.27,10000,0
KCH,60,20240628,120000,0.272,0.272,0.272,0.272,10,0
KCH,60,20240628,160000,0.31,0.31,0.31,0.31,2520,0
KCH,60,20240701,120000,0.274,0.274,0.274,0.274,900,0
KCH,60,20240701,160000,0.322,0.322,0.322,0.322,9000,0
KCH,60,20240702,120000,0.33,0.33,0.33,0.33,28568,0
KCH,60,20240702,160000,0.39,0.39,0.39,0.39,27577,0
KCH,60,20240704,120000,0.39,0.39,0.33,0.33,107337,0
KCH,60,20240705,160000,0.386,0.386,0.386,0.386,1500,0
KCH,60,20240708,120000,0.36,0.36,0.36,0.36,5000,0
KCH,60,20240708,160000,0.36,0.36,0.36,0.36,2837,0
KCH,60,20240709,120000,0.362,0.362,0.362,0.362,156,0
KCH,60,20240709,160000,0.348,0.348,0.348,0.348,807,0
KCH,60,20240710,120000,0.348,0.348,0.348,0.348,5120,0
KCH,60,20240710,160000,0.348,0.348,0.348,0.348,15278,0
KCH,60,20240711,120000,0.362,0.362,0.362,0.362,24942,0
KCH,60,20240711,160000,0.386,0.386,0.386,0.386,14350,0
KCH,60,20240712,120000,0.372,0.372,0.372,0.372,9706,0
KCH,60,20240712,160000,0.38,0.38,0.38,0.38,1000,0
KCH,60,20240715,120000,0.37,0.37,0.37,0.37,3111,0
KCH,60,20240715,160000,0.37,0.37,0.37,0.37,111,0
KCH,60,20240716,100000,0.378,0.38,0.378,0.38,6011,0
KCH,60,20240716,110000,0.38,0.38,0.38,0.38,2000,0
KCH,60,20240716,120000,0.378,0.394,0.378,0.392,20993,0
KCH,60,20240716,130000,0.39,0.392,0.39,0.39,1204,0
KCH,60,20240716,140000,0.392,0.392,0.392,0.392,3920,0
KCH,60,20240716,160000,0.39,0.392,0.386,0.392,32813,0
KCH,60,20240716,170000,0.392,0.392,0.392,0.392,3222,0
KCH,60,20240717,100000,0.392,0.394,0.392,0.392,730,0
KCH,60,20240717,110000,0.374,0.374,0.374,0.374,115,0
KCH,60,20240717,120000,0.39,0.392,0.39,0.392,1949,0
KCH,60,20240717,150000,0.392,0.4,0.374,0.4,4101,0
KCH,60,20240718,100000,0.398,0.398,0.398,0.398,30,0
KCH,60,20240718,110000,0.398,0.398,0.398,0.398,419,0
KCH,60,20240718,120000,0.398,0.398,0.376,0.376,500,0
KCH,60,20240718,160000,0.398,0.398,0.398,0.398,1,0
KCH,60,20240719,100000,0.398,0.398,0.398,0.398,10,0
KCH,60,20240719,110000,0.398,0.398,0.398,0.398,125,0
KCH,60,20240719,120000,0.378,0.378,0.372,0.372,3000,0
KCH,60,20240722,100000,0.374,0.374,0.374,0.374,30,0
KCH,60,20240722,140000,0.376,0.376,0.376,0.376,1000,0
KCH,60,20240723,100000,0.386,0.386,0.386,0.386,100,0
KCH,60,20240723,120000,0.386,0.398,0.386,0.398,1617,0
KCH,60,20240723,130000,0.388,0.388,0.388,0.388,1,0
KCH,60,20240723,150000,0.398,0.398,0.398,0.398,36865,0
KCH,60,20240723,170000,0.398,0.398,0.398,0.398,18785,0
KCH,60,20240724,100000,0.4,0.4,0.4,0.4,30,0
KCH,60,20240724,120000,0.39,0.39,0.39,0.39,900,0
KCH,60,20240725,100000,0.396,0.396,0.388,0.388,9762,0
KCH,60,20240725,120000,0.388,0.388,0.388,0.388,4,0
KCH,60,20240725,130000,0.374,0.374,0.374,0.374,209,0
KCH,60,20240725,150000,0.376,0.376,0.374,0.374,13346,0
KCH,60,20240726,100000,0.374,0.374,0.374,0.374,3,0
KCH,60,20240726,110000,0.386,0.386,0.386,0.386,1,0
KCH,60,20240729,100000,0.386,0.386,0.386,0.386,30,0
KCH,60,20240729,160000,0.386,0.386,0.386,0.386,220,0
KCH,60,20240730,100000,0.386,0.386,0.386,0.386,30,0
KCH,60,20240730,150000,0.386,0.386,0.386,0.386,30,0
KCH,60,20240731,100000,0.376,0.376,0.37,0.37,22725,0
KCH,60,20240731,120000,0.372,0.372,0.37,0.37,37000,0
KCH,60,20240801,100000,0.378,0.378,0.378,0.378,30,0
KCH,60,20240801,110000,0.37,0.37,0.37,0.37,3318,0
KCH,60,20240802,100000,0.386,0.386,0.372,0.372,8030,0
KCH,60,20240802,110000,0.372,0.372,0.372,0.372,7100,0
KCH,60,20240802,130000,0.386,0.406,0.386,0.406,68071,0
KCH,60,20240802,140000,0.406,0.406,0.406,0.406,124,0
KCH,60,20240802,150000,0.4,0.4,0.4,0.4,100,0
KCH,60,20240805,100000,0.406,0.406,0.406,0.406,1450,0
KCH,60,20240805,150000,0.404,0.404,0.404,0.404,62,0
KCH,60,20240806,100000,0.404,0.404,0.404,0.404,30,0
KCH,60,20240806,110000,0.404,0.404,0.372,0.372,652,0
KCH,60,20240806,130000,0.374,0.374,0.372,0.372,20000,0
KCH,60,20240808,100000,0.372,0.394,0.372,0.394,91,0
KCH,60,20240808,110000,0.39,0.39,0.39,0.39,250,0
KCH,60,20240808,120000,0.374,0.374,0.374,0.374,30,0
KCH,60,20240808,130000,0.362,0.362,0.362,0.362,18,0
KCH,60,20240808,170000,0.362,0.362,0.362,0.362,100,0
KCH,60,20240814,100000,0.362,0.376,0.362,0.374,161,0
KCH,60,20240814,170000,0.36,0.36,0.354,0.354,1900,0
KCH,60,20240816,100000,0.372,0.374,0.372,0.374,49,0
KCH,60,20240816,130000,0.368,0.382,0.368,0.382,5028,0
KCH,60,20240816,140000,0.372,0.372,0.368,0.368,1524,0
KCH,60,20240816,150000,0.376,0.382,0.376,0.382,604,0
KCH,60,20240816,170000,0.364,0.364,0.36,0.36,2584,0
KCH,60,20240819,100000,0.382,0.384,0.382,0.384,1276,0
KCH,60,20240819,110000,0.362,0.362,0.36,0.36,100,0
KCH,60,20240819,170000,0.362,0.362,0.36,0.36,433,0
KCH,60,20240820,100000,0.36,0.384,0.36,0.384,530,0
KCH,60,20240820,160000,0.384,0.384,0.384,0.384,953,0
KCH,60,20240821,100000,0.382,0.382,0.382,0.382,2400,0
KCH,60,20240821,110000,0.382,0.41,0.38,0.41,42060,0
KCH,60,20240821,140000,0.47,0.47,0.47,0.47,49593,0
KCH,60,20240822,100000,0.5,0.55,0.48,0.55,93053,0
KCH,60,20240822,110000,0.57,0.57,0.54,0.57,69270,0
KCH,60,20240822,120000,0.57,0.57,0.57,0.57,20430,0
KCH,60,20240822,130000,0.57,0.57,0.535,0.535,69050,0
KCH,60,20240822,140000,0.56,0.57,0.53,0.57,99606,0
KCH,60,20240822,150000,0.56,0.57,0.53,0.53,19949,0
KCH,60,20240822,160000,0.54,0.57,0.54,0.57,17477,0
KCH,60,20240822,170000,0.56,0.59,0.56,0.59,71169,0
KCH,60,20240823,100000,0.58,0.58,0.545,0.545,83160,0
KCH,60,20240823,110000,0.545,0.545,0.525,0.525,41261,0
KCH,60,20240823,120000,0.49,0.525,0.49,0.51,21924,0
KCH,60,20240823,130000,0.53,0.54,0.53,0.54,3656,0
KCH,60,20240823,140000,0.54,0.575,0.54,0.57,15540,0
KCH,60,20240823,150000,0.545,0.545,0.52,0.52,19714,0
KCH,60,20240823,160000,0.52,0.52,0.43,0.446,131697,0
KCH,60,20240823,170000,0.468,0.498,0.452,0.452,55552,0
KCH,60,20240826,100000,0.454,0.488,0.454,0.484,11651,0
KCH,60,20240826,110000,0.48,0.48,0.462,0.462,2238,0
KCH,60,20240826,120000,0.456,0.462,0.454,0.46,8832,0
KCH,60,20240826,130000,0.454,0.48,0.454,0.48,607,0
KCH,60,20240826,140000,0.48,0.48,0.48,0.48,3157,0
KCH,60,20240826,150000,0.478,0.478,0.478,0.478,510,0
KCH,60,20240826,160000,0.458,0.458,0.41,0.44,15058,0
KCH,60,20240826,170000,0.458,0.46,0.42,0.42,12027,0
KCH,60,20240827,100000,0.422,0.442,0.416,0.416,10680,0
KCH,60,20240827,110000,0.414,0.418,0.406,0.418,6000,0
