<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGN,60,20240411,100000,55.6,56.6,54.8,54.9,466,0
KGN,60,20240411,110000,54.9,56.2,54.8,55.4,321,0
KGN,60,20240411,120000,56.1,56.2,55.5,55.5,691,0
KGN,60,20240411,130000,56.2,57,55.5,55.8,1000,0
KGN,60,20240411,140000,56.7,56.8,56.7,56.8,109,0
KGN,60,20240411,150000,56.9,57,56.9,56.9,90,0
KGN,60,20240411,160000,56,56,55.5,55.5,300,0
KGN,60,20240411,170000,55.4,55.5,55.1,55.5,279,0
KGN,60,20240412,100000,56.9,56.9,54.9,56.9,478,0
KGN,60,20240412,110000,55.4,55.7,55.4,55.7,30,0
KGN,60,20240412,120000,55.4,55.4,54.9,54.9,150,0
KGN,60,20240412,130000,55,55.3,55,55.3,36,0
KGN,60,20240412,140000,55.1,55.3,54.8,55,337,0
KGN,60,20240412,150000,55,55.1,54.8,55.1,276,0
KGN,60,20240412,160000,54.8,54.8,54.2,54.8,541,0
KGN,60,20240412,170000,54.6,54.6,53.4,53.4,762,0
KGN,60,20240415,100000,53.5,54.5,53.5,53.6,2915,0
KGN,60,20240415,110000,53.7,54,53.7,54,413,0
KGN,60,20240415,120000,54.2,54.2,54.2,54.2,42,0
KGN,60,20240415,130000,54,54,53.9,53.9,500,0
KGN,60,20240415,140000,54,54,53.6,53.6,177,0
KGN,60,20240415,150000,53.6,53.6,53.5,53.5,145,0
KGN,60,20240415,160000,53.7,53.7,53,53.3,2804,0
KGN,60,20240415,170000,53.4,53.5,52.6,53.5,693,0
KGN,60,20240416,100000,52.5,52.7,51.2,52.7,1257,0
KGN,60,20240416,110000,52.7,53.1,51.6,53.1,766,0
KGN,60,20240416,130000,53,53,53,53,30,0
KGN,60,20240416,140000,53,53,53,53,10,0
KGN,60,20240416,150000,53,53,52.9,52.9,90,0
