<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRI,60,20240411,100000,19.2,19.2,19.2,19.2,2,0
KRI,60,20240411,120000,19.2,19.2,19.2,19.2,99,0
KRI,60,20240411,130000,19.35,19.35,19.35,19.35,1,0
KRI,60,20240411,160000,18.75,18.75,18.75,18.75,100,0
KRI,60,20240412,100000,19.65,19.65,19.65,19.65,4,0
KRI,60,20240412,120000,19.35,19.35,18.6,18.6,812,0
KRI,60,20240412,160000,18.7,18.7,18.6,18.6,155,0
KRI,60,20240415,100000,19.25,19.25,17.35,17.35,212,0
KRI,60,20240415,110000,18,18,18,18,421,0
KRI,60,20240415,120000,18,19.25,18,19.25,124,0
KRI,60,20240415,160000,18,18,17.6,18,363,0
KRI,60,20240415,170000,17.9,18,17.55,18,214,0
KRI,60,20240416,100000,18,18,18,18,2,0
KRI,60,20240416,120000,17.6,17.6,17.6,17.6,5,0
KRI,60,20240416,170000,17.6,17.8,17.5,17.8,142,0
KRI,60,20240417,100000,18.15,19.3,18.15,19.25,86,0
KRI,60,20240417,120000,18,18,17.55,17.55,110,0
KRI,60,20240418,100000,19.3,19.3,19.3,19.3,2,0
KRI,60,20240418,120000,17.85,18,17.85,18,100,0
KRI,60,20240419,100000,19,19,17.9,17.9,11,0
KRI,60,20240419,110000,17.9,17.9,17.9,17.9,50,0
KRI,60,20240419,120000,17.9,17.9,17.9,17.9,97,0
KRI,60,20240419,130000,17.95,17.95,17.95,17.95,8,0
KRI,60,20240419,150000,18,18,18,18,6,0
KRI,60,20240419,170000,17.9,18.4,17.35,18.4,211,0
KRI,60,20240422,100000,18.4,18.9,18.4,18.9,4,0
KRI,60,20240422,120000,17.9,17.9,17.9,17.9,60,0
KRI,60,20240422,130000,17.9,17.9,17.9,17.9,40,0
KRI,60,20240423,100000,17.9,17.9,17.35,17.35,53,0
KRI,60,20240423,130000,17.85,17.9,17.85,17.9,12,0
KRI,60,20240423,160000,17.9,17.9,17.9,17.9,88,0
KRI,60,20240424,100000,17.5,17.5,17.5,17.5,2,0
KRI,60,20240424,120000,17.85,17.85,17.85,17.85,100,0
KRI,60,20240424,170000,17.5,17.95,17.5,17.95,9,0
KRI,60,20240425,100000,18,19.3,18,18,106,0
KRI,60,20240425,140000,18,18,18,18,80,0
KRI,60,20240426,100000,17.9,17.9,17.85,17.85,101,0
KRI,60,20240426,120000,17.85,17.85,17.85,17.85,100,0
KRI,60,20240426,140000,17.95,18,17.95,18,100,0
KRI,60,20240430,100000,17.85,17.95,17.7,17.7,81,0
KRI,60,20240430,120000,17.8,17.8,17.5,17.5,106,0
KRI,60,20240502,100000,17.5,17.5,17.5,17.5,6,0
KRI,60,20240502,120000,17.8,17.8,17.8,17.8,100,0
KRI,60,20240506,100000,17.8,17.8,17.8,17.8,31,0
KRI,60,20240506,150000,17.8,17.8,17.8,17.8,3,0
KRI,60,20240506,170000,17.95,17.95,17.95,17.95,16,0
KRI,60,20240507,100000,17.8,17.8,17.8,17.8,2,0
KRI,60,20240507,110000,17.95,18,17.95,18,231,0
KRI,60,20240507,120000,18.55,18.55,18.55,18.55,10,0
KRI,60,20240507,130000,18.55,18.55,18.55,18.55,5,0
KRI,60,20240507,170000,17.8,18.5,17.8,18.5,25,0
KRI,60,20240508,100000,18.5,18.5,17.8,17.8,131,0
KRI,60,20240508,150000,18.4,18.4,18.4,18.4,4,0
KRI,60,20240508,160000,18.4,18.45,18.4,18.45,10,0
KRI,60,20240509,100000,18.45,18.45,18.45,18.45,5,0
KRI,60,20240509,140000,17.85,17.85,17.8,17.8,338,0
KRI,60,20240513,100000,18.2,18.2,18,18,22,0
KRI,60,20240513,120000,17.95,18,17.95,18,69,0
KRI,60,20240513,150000,18,18,18,18,11,0
KRI,60,20240513,170000,18.05,18.4,18.05,18.4,10,0
KRI,60,20240517,100000,18.4,18.45,18.4,18.45,10,0
KRI,60,20240517,130000,18.1,18.1,18.1,18.1,2,0
KRI,60,20240517,170000,18.45,18.45,18.45,18.45,2,0
KRI,60,20240521,100000,18.45,19.3,18.45,19.3,84,0
KRI,60,20240521,120000,18.55,18.55,18.55,18.55,100,0
KRI,60,20240521,170000,18.55,18.55,18.2,18.55,5,0
KRI,60,20240522,100000,19.25,19.25,18.55,18.55,4,0
KRI,60,20240522,110000,18.55,19,18.55,19,90,0
KRI,60,20240522,120000,18.75,18.75,18.75,18.75,448,0
KRI,60,20240522,130000,19,19,18.75,18.75,4,0
KRI,60,20240522,170000,19,19,19,19,1,0
KRI,60,20240527,100000,19.25,20.3,19.25,19.8,1089,0
KRI,60,20240527,110000,20,21,20,20.9,214,0
KRI,60,20240527,120000,20.9,21,20.9,21,220,0
