<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRK,60,20240411,100000,507.711,507.711,507.711,507.711,7.362459547099999,0
KRK,60,20240411,110000,503.908,503.908,503.908,503.908,12.621359223599999,0
KRK,60,20240411,120000,505.809,505.809,505.809,505.809,3.1553398058999997,0
KRK,60,20240411,130000,505.809,505.809,505.809,505.809,9.4660194177,0
KRK,60,20240411,140000,505.809,505.809,505.809,505.809,13.6731391589,0
KRK,60,20240411,150000,507.711,507.711,505.809,505.809,94.660194177,0
KRK,60,20240411,170000,505.809,505.809,505.809,505.809,5.2588996765,0
KRK,60,20240412,100000,507.711,509.612,507.711,509.612,6.3106796117999995,0
KRK,60,20240412,120000,507.711,507.711,507.711,507.711,4.2071197412,0
KRK,60,20240412,130000,507.711,507.711,507.711,507.711,2.1035598706,0
KRK,60,20240412,140000,505.809,505.809,496.302,496.302,39.967637541399995,0
KRK,60,20240412,150000,498.203,498.203,498.203,498.203,2.1035598706,0
KRK,60,20240412,160000,507.711,507.711,496.302,498.203,23.1391585766,0
KRK,60,20240415,100000,498.203,498.203,498.203,498.203,1.0517799353,0
KRK,60,20240415,120000,498.203,498.203,498.203,498.203,45.226537217899995,0
KRK,60,20240415,150000,507.711,507.711,507.711,507.711,52.588996765,0
KRK,60,20240416,100000,507.711,507.711,507.711,507.711,3.1553398058999997,0
KRK,60,20240416,130000,509.612,509.612,498.203,498.203,56.7961165062,0
KRK,60,20240416,150000,502.006,502.006,500.105,500.105,4.2071197412,0
KRK,60,20240416,160000,503.908,509.612,503.908,509.612,7.362459547099999,0
KRK,60,20240416,170000,509.612,509.612,509.612,509.612,12.621359223599999,0
KRK,60,20240418,100000,522.923,522.923,522.923,522.923,3.1553398058999997,0
KRK,60,20240418,110000,522.923,522.923,522.923,522.923,2.1035598706,0
KRK,60,20240418,120000,517.218,517.218,515.317,515.317,5.2588996765,0
KRK,60,20240418,150000,515.317,515.317,515.317,515.317,3.1553398058999997,0
KRK,60,20240418,170000,522.923,522.923,522.923,522.923,4.2071197412,0
KRK,60,20240419,100000,522.923,522.923,498.203,498.203,7.362459547099999,0
KRK,60,20240419,170000,526.726,540.037,526.726,540.037,10.517799353,0
KRK,60,20240422,100000,532.431,536.234,517.218,517.218,59.9514563121,0
KRK,60,20240422,110000,519.12,519.12,519.12,519.12,10.517799353,0
KRK,60,20240422,120000,517.218,517.218,517.218,517.218,30.5016181237,0
KRK,60,20240422,130000,515.317,517.218,515.317,517.218,58.899676376799995,0
KRK,60,20240422,140000,517.218,517.218,517.218,517.218,3.1553398058999997,0
KRK,60,20240422,150000,515.317,515.317,515.317,515.317,5.2588996765,0
KRK,60,20240422,160000,511.514,511.514,511.514,511.514,1.0517799353,0
KRK,60,20240423,100000,511.514,522.923,511.514,511.514,26.2944983825,0
KRK,60,20240423,120000,521.022,521.022,521.022,521.022,4.2071197412,0
KRK,60,20240423,130000,515.317,519.12,515.317,515.317,11.5695792883,0
