<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRQ,60,20240411,100000,2.58,2.6,2.52,2.52,3112,0
LRQ,60,20240411,110000,2.52,2.52,2.52,2.52,400,0
LRQ,60,20240411,120000,2.52,2.52,2.52,2.52,560,0
LRQ,60,20240411,130000,2.52,2.52,2.52,2.52,459,0
LRQ,60,20240411,140000,2.52,2.58,2.52,2.58,4100,0
LRQ,60,20240411,150000,2.54,2.54,2.46,2.46,9320,0
LRQ,60,20240411,170000,2.44,2.46,2.4,2.46,3525,0
LRQ,60,20240412,100000,2.46,2.46,2.36,2.4,4952,0
LRQ,60,20240412,110000,2.44,2.44,2.44,2.44,5,0
LRQ,60,20240412,120000,2.44,2.44,2.44,2.44,10,0
LRQ,60,20240412,130000,2.44,2.44,2.44,2.44,36,0
LRQ,60,20240412,140000,2.44,2.44,2.44,2.44,3076,0
LRQ,60,20240412,150000,2.5,2.5,2.5,2.5,3000,0
LRQ,60,20240412,170000,2.52,2.6,2.48,2.56,5055,0
LRQ,60,20240415,100000,2.62,2.68,2.4,2.68,6155,0
LRQ,60,20240415,110000,2.58,2.64,2.5,2.5,13146,0
LRQ,60,20240415,120000,2.5,2.5,2.5,2.5,400,0
LRQ,60,20240415,140000,2.5,2.5,2.5,2.5,950,0
LRQ,60,20240415,160000,2.5,2.5,2.5,2.5,400,0
LRQ,60,20240415,170000,2.52,2.56,2.52,2.56,666,0
LRQ,60,20240416,100000,2.54,2.54,2.44,2.46,4874,0
LRQ,60,20240416,110000,2.5,2.5,2.46,2.5,1107,0
LRQ,60,20240416,130000,2.46,2.46,2.4,2.44,11267,0
LRQ,60,20240416,160000,2.44,2.44,2.38,2.38,6154,0
LRQ,60,20240416,170000,2.4,2.5,2.36,2.5,8302,0
LRQ,60,20240417,100000,2.54,2.54,2.46,2.46,711,0
LRQ,60,20240417,110000,2.44,2.44,2.44,2.44,100,0
LRQ,60,20240417,130000,2.38,2.38,2.38,2.38,3074,0
LRQ,60,20240417,140000,2.38,2.38,2.38,2.38,150,0
LRQ,60,20240417,150000,2.4,2.4,2.36,2.36,3776,0
LRQ,60,20240417,160000,2.36,2.38,2.36,2.38,819,0
LRQ,60,20240417,170000,2.42,2.42,2.36,2.42,749,0
LRQ,60,20240418,100000,2.48,2.48,2.48,2.48,2,0
LRQ,60,20240418,110000,2.42,2.42,2.4,2.42,122,0
LRQ,60,20240418,130000,2.4,2.4,2.4,2.4,6,0
LRQ,60,20240418,160000,2.36,2.44,2.36,2.44,3894,0
LRQ,60,20240418,170000,2.46,2.46,2.46,2.46,5,0
LRQ,60,20240419,100000,2.46,2.46,2.46,2.46,2,0
LRQ,60,20240419,130000,2.4,2.46,2.4,2.46,303,0
LRQ,60,20240419,170000,2.48,2.48,2.48,2.48,682,0
LRQ,60,20240422,100000,2.48,2.48,2.48,2.48,2,0
LRQ,60,20240422,110000,2.48,2.5,2.48,2.48,1500,0
LRQ,60,20240422,120000,2.42,2.42,2.42,2.42,116,0
LRQ,60,20240422,170000,2.42,2.42,2.42,2.42,2484,0
LRQ,60,20240423,100000,2.5,2.58,2.48,2.56,14668,0
LRQ,60,20240423,110000,2.56,2.58,2.5,2.5,5722,0
LRQ,60,20240423,120000,2.52,2.56,2.5,2.56,7126,0
LRQ,60,20240423,130000,2.56,2.56,2.56,2.56,593,0
LRQ,60,20240423,140000,2.5,2.5,2.5,2.5,194,0
LRQ,60,20240423,160000,2.52,2.6,2.5,2.6,8041,0
LRQ,60,20240423,170000,2.54,2.72,2.54,2.56,11372,0
LRQ,60,20240424,100000,2.7,2.7,2.6,2.6,3834,0
LRQ,60,20240424,110000,2.64,2.66,2.64,2.66,2276,0
LRQ,60,20240424,120000,2.6,2.64,2.58,2.64,1140,0
LRQ,60,20240424,140000,2.64,2.64,2.64,2.64,150,0
LRQ,60,20240424,150000,2.58,2.58,2.58,2.58,300,0
LRQ,60,20240424,160000,2.58,2.58,2.56,2.56,9019,0
LRQ,60,20240425,100000,2.56,2.56,2.5,2.5,1705,0
LRQ,60,20240425,110000,2.48,2.56,2.48,2.56,120,0
LRQ,60,20240425,140000,2.5,2.5,2.5,2.5,565,0
LRQ,60,20240425,160000,2.5,2.54,2.46,2.54,3603,0
LRQ,60,20240425,170000,2.44,2.54,2.44,2.54,50,0
LRQ,60,20240426,100000,2.54,2.7,2.52,2.58,25873,0
LRQ,60,20240426,110000,2.66,2.76,2.64,2.76,30736,0
LRQ,60,20240426,120000,2.78,2.78,2.68,2.78,8826,0
LRQ,60,20240426,130000,2.78,3.02,2.78,3,71408,0
LRQ,60,20240426,140000,2.94,3.02,2.9,3,11596,0
LRQ,60,20240426,150000,3,3,2.82,2.94,9457,0
LRQ,60,20240426,160000,2.86,2.94,2.8,2.9,7987,0
LRQ,60,20240426,170000,2.9,2.98,2.84,2.98,11321,0
LRQ,60,20240429,100000,2.96,3,2.88,2.98,7840,0
LRQ,60,20240429,110000,2.92,2.92,2.92,2.92,3,0
LRQ,60,20240429,120000,2.84,2.88,2.82,2.82,5712,0
LRQ,60,20240429,130000,2.82,2.88,2.78,2.8,3633,0
LRQ,60,20240429,140000,2.8,2.86,2.78,2.78,2251,0
LRQ,60,20240429,150000,2.86,2.88,2.86,2.86,3675,0
LRQ,60,20240429,160000,2.88,2.88,2.88,2.88,4,0
LRQ,60,20240429,170000,2.88,2.88,2.78,2.78,4317,0
LRQ,60,20240430,100000,2.82,2.92,2.42,2.44,98350,0
LRQ,60,20240430,110000,2.44,2.5,2.3,2.48,67314,0
LRQ,60,20240430,120000,2.44,2.5,2.38,2.48,12401,0
LRQ,60,20240430,130000,2.48,2.54,2.46,2.54,3589,0
LRQ,60,20240430,140000,2.5,2.5,2.5,2.5,200,0
LRQ,60,20240430,150000,2.52,2.54,2.44,2.52,15826,0
LRQ,60,20240430,160000,2.52,2.52,2.42,2.48,1421,0
LRQ,60,20240430,170000,2.44,2.5,2.44,2.5,3362,0
LRQ,60,20240502,100000,2.5,2.52,2.42,2.48,16294,0
LRQ,60,20240502,110000,2.48,2.5,2.42,2.5,2554,0
LRQ,60,20240502,130000,2.5,2.52,2.44,2.52,845,0
LRQ,60,20240502,140000,2.5,2.62,2.5,2.6,23377,0
LRQ,60,20240502,150000,2.6,2.64,2.6,2.64,6729,0
LRQ,60,20240502,160000,2.6,2.66,2.6,2.66,2373,0
LRQ,60,20240502,170000,2.6,2.68,2.54,2.54,5769,0
LRQ,60,20240506,100000,2.64,2.68,2.54,2.66,14752,0
LRQ,60,20240506,110000,2.64,2.66,2.6,2.66,3377,0
LRQ,60,20240506,120000,2.6,2.64,2.54,2.54,5513,0
LRQ,60,20240506,130000,2.54,2.74,2.52,2.74,16045,0
LRQ,60,20240506,140000,2.6,2.68,2.58,2.66,5586,0
LRQ,60,20240506,150000,2.58,2.62,2.58,2.62,2419,0
LRQ,60,20240506,160000,2.56,2.58,2.54,2.58,3902,0
LRQ,60,20240506,170000,2.58,2.62,2.56,2.58,3783,0
LRQ,60,20240507,100000,2.6,2.7,2.54,2.62,8064,0
LRQ,60,20240507,110000,2.58,2.62,2.58,2.62,10000,0
LRQ,60,20240507,130000,2.6,2.62,2.58,2.58,2580,0
LRQ,60,20240507,150000,2.58,2.58,2.58,2.58,1800,0
LRQ,60,20240507,170000,2.6,2.6,2.54,2.6,1102,0
LRQ,60,20240508,100000,2.6,2.6,2.54,2.58,1103,0
LRQ,60,20240508,110000,2.58,2.6,2.36,2.42,23254,0
LRQ,60,20240508,120000,2.36,2.44,2.34,2.44,12155,0
LRQ,60,20240508,130000,2.44,2.44,2.36,2.36,2382,0
LRQ,60,20240508,140000,2.4,2.4,2.4,2.4,1828,0
LRQ,60,20240508,150000,2.4,2.4,2.4,2.4,200,0
LRQ,60,20240508,160000,2.4,2.4,2.4,2.4,600,0
LRQ,60,20240508,170000,2.42,2.44,2.42,2.44,703,0
LRQ,60,20240509,100000,2.44,2.44,2.42,2.42,1510,0
LRQ,60,20240509,110000,2.42,2.42,2.42,2.42,259,0
LRQ,60,20240509,120000,2.42,2.42,2.42,2.42,300,0
LRQ,60,20240509,140000,2.42,2.42,2.36,2.36,3057,0
LRQ,60,20240509,150000,2.4,2.4,2.4,2.4,5,0
LRQ,60,20240509,170000,2.4,2.4,2.38,2.4,1700,0
LRQ,60,20240510,100000,2.4,2.4,2.34,2.4,3889,0
LRQ,60,20240510,120000,2.34,2.42,2.34,2.42,2411,0
LRQ,60,20240510,140000,2.36,2.4,2.36,2.4,550,0
LRQ,60,20240510,160000,2.36,2.36,2.24,2.24,9458,0
LRQ,60,20240510,170000,2.34,2.36,2.16,2.34,12040,0
LRQ,60,20240513,100000,2.24,2.34,2.24,2.34,9717,0
LRQ,60,20240513,110000,2.32,2.36,2.26,2.36,3454,0
LRQ,60,20240513,120000,2.28,2.36,2.28,2.36,493,0
LRQ,60,20240513,130000,2.36,2.38,2.36,2.36,1456,0
LRQ,60,20240513,140000,2.36,2.4,2.32,2.32,1752,0
LRQ,60,20240513,150000,2.38,2.4,2.32,2.4,135,0
LRQ,60,20240514,100000,2.4,2.4,2.3,2.4,820,0
LRQ,60,20240514,120000,2.32,2.4,2.3,2.38,796,0
LRQ,60,20240514,140000,2.32,2.32,2.28,2.3,7295,0
LRQ,60,20240514,160000,2.3,2.3,2.3,2.3,950,0
