<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LWB,60,20240411,100000,31.1003,31.1003,30.6403,30.6403,13611.152778334,0
LWB,60,20240411,110000,30.6403,30.9347,30.5666,30.9347,6089.3715280268,0
LWB,60,20240411,120000,30.8979,31.1739,30.8243,30.9163,29215.506945639,0
LWB,60,20240411,130000,30.9163,31.0083,30.8243,30.9899,30602.270834585,0
LWB,60,20240411,140000,30.9163,30.9531,30.9163,30.9163,4253.7569446184,0
LWB,60,20240411,150000,30.9163,31.1739,30.9163,31.1739,12762.357639411,0
LWB,60,20240411,160000,31.1003,31.3948,30.9899,31.1555,16813.968750688,0
LWB,60,20240411,170000,31.0819,31.1555,30.493,30.5482,13217.729167207,0
LWB,60,20240412,100000,30.6771,31.3027,30.6771,31.2291,10507.236111541,0
LWB,60,20240412,110000,31.1739,31.5604,31.1187,31.3948,19178.857639673,0
LWB,60,20240412,120000,31.3948,31.5604,31.3764,31.542,18987.579861888,0
LWB,60,20240412,130000,31.4868,31.6156,31.4316,31.6156,19097.347223003,0
LWB,60,20240412,140000,31.634,31.8916,31.5604,31.6708,35122.295140325,0
LWB,60,20240412,150000,31.6708,32.0573,31.6708,31.9468,39534.725696061,0
LWB,60,20240412,160000,31.9468,32.4805,31.91,32.2597,32857.392362455,0
LWB,60,20240412,170000,32.2413,32.2597,31.9652,32.0204,17403.017361823,0
LWB,60,20240415,100000,31.8364,32.002,30.7875,30.9347,11624.472222698,0
LWB,60,20240415,110000,31.0267,31.1371,30.9531,31.0083,4915.6215279788,0
LWB,60,20240415,120000,31.1003,31.1003,30.6403,31.0635,23682.57986208,0
LWB,60,20240415,130000,31.0083,31.0635,30.9163,31.0635,2005.156250082,0
LWB,60,20240415,140000,30.9347,31.1003,30.9163,31.1003,18508.298611868,0
LWB,60,20240415,150000,31.1003,31.2475,31.0451,31.1003,8765.086805914,0
LWB,60,20240415,160000,31.1003,31.1555,30.6955,30.7139,18949.541667442,0
LWB,60,20240415,170000,30.7139,30.9163,30.585,30.9163,10598.527778211,0
LWB,60,20240416,100000,30.4746,30.6771,30.3826,30.6403,13583.982639444,0
LWB,60,20240416,110000,30.6403,30.7139,30.2538,30.3274,31030.472223491,0
LWB,60,20240416,120000,30.3458,30.3642,29.9778,30.3458,11366.89930602,0
LWB,60,20240416,130000,30.2906,30.3458,30.2722,30.3458,1663.8993056236,0
LWB,60,20240416,140000,30.3642,30.3642,30.1066,30.1066,7471.78819475,0
LWB,60,20240416,150000,30.1066,30.1618,29.9778,30.0698,6069.809028026,0
LWB,60,20240416,160000,30.0514,30.0698,29.5913,29.8489,45930.576390767,0
LWB,60,20240416,170000,29.8121,30.2354,29.8121,30.1066,28622.111112282,0
LWB,60,20240417,100000,29.9778,30.0698,29.6281,29.9042,8627.0625003528,0
LWB,60,20240417,110000,29.9226,30.0514,29.8305,29.9962,6326.2951391476,0
LWB,60,20240417,120000,29.9962,29.9962,29.8489,29.9962,1028.1180555976,0
LWB,60,20240417,130000,29.9778,29.9778,29.7201,29.8673,15041.388889504,0
LWB,60,20240417,140000,29.7569,29.8858,29.6649,29.6649,5199.2777779904,0
LWB,60,20240417,150000,29.7201,29.7937,29.4993,29.5913,13599.197917223,0
LWB,60,20240417,160000,29.5729,29.6649,29.5177,29.5545,6819.70486139,0
LWB,60,20240417,170000,29.6465,29.6649,29.3889,29.6649,18605.024306316,0
LWB,60,20240418,100000,29.6281,29.9962,29.4441,29.4809,9055.2638892592,0
LWB,60,20240418,110000,29.4809,29.6465,28.7816,28.8736,27067.979167774,0
LWB,60,20240418,120000,28.8184,28.984,28.6712,28.6712,22898.993056492,0
LWB,60,20240418,130000,28.708,29.0576,28.6344,28.8736,26455.020834415,0
LWB,60,20240418,140000,28.9656,28.984,28.8736,28.8736,3910.3263890488,0
LWB,60,20240418,150000,28.9288,28.984,28.708,28.8552,9437.8194448304,0
LWB,60,20240418,160000,28.892,29.2049,28.8,29.076,13182.951389428,0
LWB,60,20240418,170000,29.2417,29.7201,29.1128,29.2601,13480.736111662,0
LWB,60,20240419,100000,29.2601,29.2969,28.7448,28.9104,8295.5868058948,0
LWB,60,20240419,110000,28.8552,28.9288,28.5608,28.7264,15559.795139525,0
LWB,60,20240419,120000,28.6712,28.984,28.5424,28.6528,82651.56250338,0
LWB,60,20240419,130000,28.6712,28.892,28.6344,28.7264,6331.7291669256,0
LWB,60,20240419,140000,28.7264,28.8368,28.6344,28.7632,2461.614583434,0
LWB,60,20240419,150000,28.7632,29.0024,28.7632,28.8368,7205.520833628,0
