<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBR,60,20240411,100000,316.273,318.666,316.273,316.273,206.906574402,0
MBR,60,20240411,110000,316.273,317.709,314.838,316.752,120.173010385,0
MBR,60,20240411,120000,316.752,317.709,316.752,317.23,196.456747412,0
MBR,60,20240411,130000,316.752,318.666,316.752,318.666,366.788927349,0
MBR,60,20240411,140000,318.187,318.187,317.709,317.709,51.204152251,0
MBR,60,20240411,150000,318.187,318.187,316.752,316.752,174.512110733,0
MBR,60,20240411,160000,317.23,317.23,312.924,312.924,328.124567486,0
MBR,60,20240411,170000,314.359,315.795,311.488,315.795,194.366782014,0
MBR,60,20240412,100000,315.795,315.795,313.402,313.881,188.09688582,0
MBR,60,20240412,110000,313.881,315.316,312.924,313.881,143.162629763,0
MBR,60,20240412,120000,313.402,315.316,313.402,315.316,77.328719726,0
MBR,60,20240412,130000,313.881,315.316,313.881,313.881,122.262975783,0
MBR,60,20240412,140000,313.881,313.881,312.924,313.402,275.875432536,0
MBR,60,20240412,150000,313.402,316.273,312.924,314.838,939.439446401,0
MBR,60,20240412,160000,315.795,315.795,313.881,315.316,132.712802773,0
MBR,60,20240412,170000,314.359,314.838,312.924,312.924,958.249134983,0
MBR,60,20240415,100000,312.445,319.623,312.445,318.666,307.224913506,0
MBR,60,20240415,110000,318.666,319.623,315.316,317.709,79.418685124,0
MBR,60,20240415,120000,317.709,318.187,312.445,312.445,322.899653991,0
MBR,60,20240415,130000,314.838,315.795,313.881,315.795,65.833910037,0
MBR,60,20240415,140000,315.316,315.795,313.881,315.316,34.484429067,0
MBR,60,20240415,150000,315.795,315.795,313.881,315.795,156.74740485,0
MBR,60,20240415,160000,315.316,316.273,314.838,315.316,159.882352947,0
MBR,60,20240415,170000,316.273,316.273,312.924,312.924,180.782006927,0
MBR,60,20240416,100000,312.924,312.924,309.096,309.575,530.851211092,0
MBR,60,20240416,110000,311.488,312.445,309.096,311.488,86.733564017,0
MBR,60,20240416,120000,309.575,315.316,309.575,309.575,174.512110733,0
MBR,60,20240416,130000,309.575,310.531,309.575,310.053,133.757785472,0
