<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBW,60,20240418,100000,13.6,13.6,12.6,13.6,206,0
MBW,60,20240418,110000,13.2,13.2,13.2,13.2,7,0
MBW,60,20240422,100000,13.6,13.6,13.6,13.6,4,0
MBW,60,20240422,140000,12.6,12.6,12.6,12.6,83,0
MBW,60,20240423,120000,12.6,12.6,12.6,12.6,70,0
MBW,60,20240507,100000,13.6,13.6,13.05,13.6,15,0
MBW,60,20240507,140000,12.5,12.5,12.5,12.5,4,0
MBW,60,20240507,150000,12.5,12.5,12.5,12.5,1,0
MBW,60,20240508,100000,13.6,13.6,13.6,13.6,2,0
MBW,60,20240508,170000,13.6,13.6,13.6,13.6,160,0
MBW,60,20240522,100000,13.6,13.6,13.1,13.1,845,0
MBW,60,20240522,110000,13.65,14.1,13.65,14.1,908,0
MBW,60,20240522,170000,14.1,14.1,14.1,14.1,60,0
MBW,60,20240523,150000,14.1,14.1,14.1,14.1,20,0
MBW,60,20240524,100000,13,13.3,13,13.3,6062,0
MBW,60,20240524,110000,13.65,13.65,13.65,13.65,1000,0
MBW,60,20240524,120000,13.85,13.85,13.85,13.85,530,0
MBW,60,20240527,100000,14.1,14.1,14.1,14.1,2,0
MBW,60,20240527,160000,14.1,14.25,14.1,14.25,33,0
MBW,60,20240610,100000,14.6,14.6,13.85,14.6,32,0
MBW,60,20240610,160000,13.5,13.5,13.5,13.5,39,0
MBW,60,20240617,100000,14.6,14.6,14.15,14.6,715,0
MBW,60,20240617,130000,14.6,14.7,14.6,14.7,200,0
MBW,60,20240625,100000,14.7,14.7,13.3,13.3,219,0
MBW,60,20240626,120000,14.7,14.7,14.7,14.7,10,0
MBW,60,20240626,140000,14.7,15,14.7,15,320,0
MBW,60,20240628,100000,15,15.7,14.4,15.7,307,0
MBW,60,20240628,150000,15.1,15.1,15.1,15.1,10,0
MBW,60,20240701,100000,15.7,15.7,15.7,15.7,2,0
MBW,60,20240701,110000,15.1,15.1,15.1,15.1,54,0
MBW,60,20240703,100000,15.7,15.7,15.7,15.7,4,0
MBW,60,20240703,150000,15.1,15.1,15.1,15.1,164,0
MBW,60,20240711,100000,15.7,15.95,15.7,15.95,131,0
MBW,60,20240711,170000,14.65,14.65,14.65,14.65,20,0
MBW,60,20240712,100000,15.95,15.95,15.95,15.95,9,0
