<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCI,60,20240411,100000,27.9,28.4,27.9,28.1,2868,0
MCI,60,20240411,110000,28.3,28.3,27.8,27.9,584,0
MCI,60,20240411,120000,27.8,27.9,27.7,27.7,409,0
MCI,60,20240411,130000,27.7,27.7,27.2,27.2,1259,0
MCI,60,20240411,140000,27.3,27.3,27.3,27.3,35,0
MCI,60,20240411,150000,27.3,27.7,27.3,27.7,196,0
MCI,60,20240411,160000,27.3,27.3,26.6,27,3376,0
MCI,60,20240411,170000,26.8,27,26.6,27,1422,0
MCI,60,20240412,100000,26.5,26.9,26.5,26.9,663,0
MCI,60,20240412,110000,26.9,26.9,26.6,26.9,671,0
MCI,60,20240412,120000,26.9,26.9,26.9,26.9,145,0
MCI,60,20240412,130000,26.9,26.9,26.8,26.9,109,0
MCI,60,20240412,140000,26.9,27,26.8,27,738,0
MCI,60,20240412,150000,26.8,26.8,26.5,26.5,165,0
MCI,60,20240412,160000,26.8,26.9,26.8,26.9,349,0
MCI,60,20240412,170000,26.6,27,26.5,26.9,2969,0
MCI,60,20240415,100000,26.9,27.3,26.9,27.3,501,0
MCI,60,20240415,110000,27.3,27.3,27,27.3,540,0
MCI,60,20240415,120000,27,27,26.9,26.9,316,0
MCI,60,20240415,130000,26.9,27,26.9,27,193,0
MCI,60,20240415,140000,27,27.3,27,27,560,0
MCI,60,20240415,150000,27.3,27.3,27.3,27.3,359,0
MCI,60,20240415,160000,26.9,27.3,26.9,27.3,729,0
MCI,60,20240415,170000,27.3,27.3,27.1,27.2,527,0
MCI,60,20240416,100000,27.4,27.4,26.9,27.1,1530,0
MCI,60,20240416,110000,27.2,27.2,27.2,27.2,353,0
MCI,60,20240416,120000,27.1,27.1,27,27,343,0
MCI,60,20240416,140000,27.2,27.2,26.9,26.9,165,0
MCI,60,20240416,160000,26.9,27.1,26.8,27.1,299,0
MCI,60,20240416,170000,26.7,27.1,26.5,26.5,171,0
MCI,60,20240417,100000,26.5,26.5,26.5,26.5,675,0
MCI,60,20240417,110000,27.2,27.6,26.6,27.6,2035,0
MCI,60,20240417,120000,27.6,28.4,27.6,28.4,7622,0
MCI,60,20240417,130000,28,28,27.6,27.8,744,0
MCI,60,20240417,140000,27.8,28.6,27.4,28.1,16064,0
MCI,60,20240417,150000,28.2,28.4,28,28.4,2742,0
MCI,60,20240417,160000,28.4,28.4,28.1,28.1,4861,0
MCI,60,20240417,170000,28.3,28.5,28.1,28.5,2673,0
MCI,60,20240418,100000,28.5,28.7,28.3,28.3,6666,0
MCI,60,20240418,110000,28.3,28.3,28,28.1,4790,0
MCI,60,20240418,120000,28.3,28.6,28.1,28.6,1274,0
MCI,60,20240418,130000,28.6,28.6,28.6,28.6,111,0
MCI,60,20240418,140000,28.6,28.6,28.4,28.4,78,0
MCI,60,20240418,150000,28.4,28.4,28.3,28.3,235,0
MCI,60,20240418,160000,28.3,28.3,28.3,28.3,116,0
MCI,60,20240418,170000,28.3,28.6,28.3,28.6,50,0
MCI,60,20240419,100000,28.6,28.6,28.2,28.2,357,0
MCI,60,20240419,110000,28.5,28.6,28.4,28.4,1893,0
MCI,60,20240419,120000,28.5,28.6,28.2,28.2,10515,0
MCI,60,20240419,130000,28.5,28.5,28.5,28.5,8,0
MCI,60,20240419,160000,28.5,28.5,28.5,28.5,135,0
MCI,60,20240419,170000,28.5,28.7,28.5,28.7,11950,0
MCI,60,20240422,100000,28.7,28.8,28,28,5195,0
MCI,60,20240422,110000,28.1,28.4,28,28,2306,0
MCI,60,20240422,120000,28.1,28.5,28.1,28.3,1031,0
MCI,60,20240422,130000,28.3,28.5,28.3,28.5,1550,0
MCI,60,20240422,140000,28.5,28.5,28.5,28.5,884,0
MCI,60,20240422,150000,28.5,28.5,28.3,28.5,1695,0
MCI,60,20240422,160000,28.5,28.5,28.3,28.3,318,0
MCI,60,20240422,170000,28.6,28.7,28.6,28.7,6781,0
MCI,60,20240423,100000,28.4,28.5,28.3,28.5,1312,0
MCI,60,20240423,110000,28.3,28.6,28.3,28.3,1824,0
MCI,60,20240423,120000,28.3,28.5,28.3,28.5,589,0
MCI,60,20240423,130000,28.5,28.5,28.3,28.3,989,0
MCI,60,20240423,140000,28.6,28.6,28.3,28.3,5122,0
MCI,60,20240423,150000,28.6,28.6,28.3,28.3,2144,0
MCI,60,20240423,160000,28.3,28.7,28.3,28.7,2198,0
MCI,60,20240423,170000,28.7,28.7,28.7,28.7,1931,0
