<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEG,60,20240419,160000,7.05,7.05,7.05,7.05,27,0
MEG,60,20240426,120000,6.9,6.9,6.6,6.6,1249,0
MEG,60,20240513,160000,6.6,6.6,6.4,6.4,1025,0
MEG,60,20240517,120000,6.3,6.35,6.05,6.1,887,0
MEG,60,20240517,160000,6.1,6.1,6.1,6.1,29,0
MEG,60,20240527,120000,5.85,6.05,5.85,6,973,0
MEG,60,20240701,160000,5.2,5.2,4.78,4.78,1489,0
MEG,60,20240814,120000,8.2,8.2,8.2,8.2,26,0
MEG,60,20240814,160000,8.15,8.15,8.15,8.15,26,0
MEG,60,20240816,120000,7.9,7.9,7.9,7.9,70,0
MEG,60,20241028,160000,7.15,7.15,7.15,7.15,181,0
MEG,60,20241220,120000,7.1,7.1,6.6,6.6,52,0
MEG,60,20250114,160000,6,6,6,6,137,0
MEG,60,20250115,120000,6.6,6.6,6.6,6.6,40,0
MEG,60,20250123,160000,6.05,6.6,5,5.3,1730,0
MEG,60,20250210,120000,5.3,5.4,5.3,5.4,27,0
MEG,60,20250217,160000,5.4,5.4,5.4,5.4,451,0
MEG,60,20250219,120000,5.4,5.4,5.4,5.4,66,0
MEG,60,20250226,160000,5.4,5.4,5.4,5.4,120,0
MEG,60,20250324,120000,5.9,5.9,5.35,5.35,17,0
MEG,60,20250325,160000,5.85,5.85,5.85,5.85,1,0
MEG,60,20250425,120000,5.85,5.85,5.85,5.85,439,0
