<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIR,60,20240411,110000,1.26,1.26,1.24,1.24,10000,0
MIR,60,20240411,120000,1.28,1.28,1.22,1.225,3736,0
MIR,60,20240411,150000,1.235,1.235,1.235,1.235,590,0
MIR,60,20240411,170000,1.27,1.27,1.27,1.27,10,0
MIR,60,20240412,100000,1.26,1.26,1.24,1.24,1100,0
MIR,60,20240412,110000,1.24,1.24,1.24,1.24,2803,0
MIR,60,20240412,170000,1.26,1.27,1.245,1.27,1004,0
MIR,60,20240415,100000,1.245,1.245,1.2,1.2,33494,0
MIR,60,20240415,110000,1.23,1.23,1.23,1.23,560,0
MIR,60,20240415,140000,1.23,1.23,1.23,1.23,2442,0
MIR,60,20240415,150000,1.23,1.23,1.205,1.205,3360,0
MIR,60,20240415,160000,1.215,1.215,1.205,1.205,5341,0
MIR,60,20240415,170000,1.205,1.24,1.205,1.24,2977,0
MIR,60,20240416,100000,1.22,1.22,1.22,1.22,170,0
MIR,60,20240416,120000,1.22,1.22,1.22,1.22,2900,0
MIR,60,20240416,170000,1.215,1.24,1.21,1.24,114,0
MIR,60,20240417,100000,1.22,1.22,1.22,1.22,100,0
MIR,60,20240417,110000,1.22,1.22,1.22,1.22,1224,0
MIR,60,20240417,130000,1.205,1.205,1.205,1.205,20,0
MIR,60,20240417,140000,1.2,1.21,1.2,1.21,2022,0
MIR,60,20240417,150000,1.21,1.21,1.19,1.19,5063,0
MIR,60,20240417,170000,1.195,1.2,1.195,1.2,1570,0
MIR,60,20240418,100000,1.22,1.22,1.22,1.22,1000,0
MIR,60,20240418,130000,1.215,1.215,1.2,1.2,5799,0
MIR,60,20240418,140000,1.195,1.195,1.195,1.195,1550,0
MIR,60,20240418,160000,1.22,1.22,1.195,1.195,8350,0
MIR,60,20240418,170000,1.21,1.21,1.21,1.21,50,0
MIR,60,20240419,100000,1.21,1.21,1.21,1.21,1244,0
MIR,60,20240419,150000,1.2,1.2,1.2,1.2,40,0
MIR,60,20240419,170000,1.2,1.2,1.2,1.2,664,0
MIR,60,20240422,100000,1.2,1.22,1.185,1.185,7395,0
MIR,60,20240422,110000,1.19,1.19,1.175,1.175,11164,0
MIR,60,20240422,120000,1.18,1.18,1.18,1.18,1500,0
MIR,60,20240422,130000,1.185,1.185,1.17,1.17,5896,0
MIR,60,20240422,150000,1.17,1.17,1.15,1.17,15708,0
MIR,60,20240422,160000,1.19,1.19,1.19,1.19,2000,0
MIR,60,20240422,170000,1.2,1.2,1.2,1.2,50,0
MIR,60,20240423,100000,1.18,1.18,1.18,1.18,10,0
MIR,60,20240423,120000,1.18,1.18,1.18,1.18,825,0
MIR,60,20240423,130000,1.17,1.18,1.17,1.18,2836,0
MIR,60,20240423,170000,1.19,1.19,1.19,1.19,500,0
MIR,60,20240424,100000,1.19,1.19,1.19,1.19,8400,0
MIR,60,20240424,120000,1.16,1.16,1.15,1.15,2045,0
MIR,60,20240424,150000,1.16,1.16,1.16,1.16,100,0
MIR,60,20240424,170000,1.18,1.22,1.18,1.22,13357,0
MIR,60,20240425,100000,1.2,1.2,1.2,1.2,100,0
MIR,60,20240425,110000,1.18,1.18,1.18,1.18,4987,0
MIR,60,20240425,120000,1.2,1.2,1.2,1.2,2000,0
MIR,60,20240425,150000,1.185,1.185,1.185,1.185,200,0
MIR,60,20240425,170000,1.2,1.2,1.2,1.2,10,0
MIR,60,20240426,110000,1.2,1.2,1.2,1.2,100,0
MIR,60,20240429,100000,1.21,1.21,1.21,1.21,10,0
MIR,60,20240429,110000,1.19,1.19,1.19,1.19,3290,0
MIR,60,20240429,130000,1.19,1.19,1.18,1.18,10810,0
MIR,60,20240429,170000,1.205,1.205,1.205,1.205,10,0
MIR,60,20240430,100000,1.205,1.205,1.205,1.205,100,0
MIR,60,20240430,170000,1.195,1.195,1.195,1.195,100,0
MIR,60,20240502,100000,1.195,1.195,1.195,1.195,28,0
MIR,60,20240506,170000,1.195,1.215,1.195,1.215,1380,0
MIR,60,20240507,100000,1.19,1.19,1.19,1.19,2000,0
MIR,60,20240507,130000,1.19,1.19,1.19,1.19,1900,0
MIR,60,20240507,170000,1.205,1.205,1.205,1.205,100,0
MIR,60,20240508,100000,1.155,1.18,1.155,1.18,20180,0
MIR,60,20240508,110000,1.17,1.17,1.17,1.17,5399,0
MIR,60,20240508,120000,1.17,1.17,1.17,1.17,4699,0
MIR,60,20240508,130000,1.17,1.17,1.155,1.155,13041,0
MIR,60,20240508,140000,1.155,1.16,1.155,1.16,2800,0
MIR,60,20240508,160000,1.155,1.16,1.155,1.16,2126,0
MIR,60,20240508,170000,1.175,1.175,1.175,1.175,2008,0
MIR,60,20240509,100000,1.16,1.16,1.145,1.145,4324,0
MIR,60,20240509,120000,1.16,1.16,1.16,1.16,1000,0
MIR,60,20240509,140000,1.175,1.175,1.175,1.175,100,0
MIR,60,20240510,100000,1.175,1.175,1.175,1.175,10,0
MIR,60,20240510,130000,1.175,1.18,1.17,1.18,4028,0
MIR,60,20240510,140000,1.18,1.18,1.18,1.18,1642,0
MIR,60,20240510,170000,1.16,1.16,1.16,1.16,2968,0
MIR,60,20240513,100000,1.16,1.16,1.16,1.16,68,0
MIR,60,20240513,120000,1.16,1.16,1.16,1.16,3000,0
