<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLG,60,20240411,100000,77.8,77.8,77.8,77.8,5,0
MLG,60,20240411,160000,77.8,78,77.8,78,575,0
MLG,60,20240411,170000,78,78.2,78,78,46,0
MLG,60,20240412,100000,78,78.2,78,78,145,0
MLG,60,20240412,110000,78,78,78,78,20,0
MLG,60,20240412,120000,78,78.2,78,78.2,224,0
MLG,60,20240412,130000,78.6,78.6,78.6,78.6,2,0
MLG,60,20240412,140000,78.6,80,78.6,80,35,0
MLG,60,20240412,150000,79.6,79.6,79.6,79.6,20,0
MLG,60,20240412,160000,79.6,79.6,79.6,79.6,10,0
MLG,60,20240412,170000,79.6,80,79.6,79.6,35,0
MLG,60,20240415,100000,80,80,80,80,141,0
MLG,60,20240415,110000,80,80,80,80,94,0
MLG,60,20240415,130000,80,80,80,80,35,0
MLG,60,20240415,150000,80.2,80.2,80,80,27,0
MLG,60,20240415,160000,79,80,79,80,134,0
MLG,60,20240415,170000,80,81,80,81,50,0
MLG,60,20240416,100000,81.4,81.4,81.4,81.4,2,0
MLG,60,20240416,140000,81,81,81,81,122,0
MLG,60,20240416,160000,81,81,81,81,1,0
MLG,60,20240417,100000,81,81,79,79,26,0
MLG,60,20240417,120000,79.2,81,79.2,81,2400,0
MLG,60,20240417,130000,81,81,81,81,120,0
MLG,60,20240418,100000,81,81,81,81,6,0
MLG,60,20240418,110000,80.8,80.8,80.8,80.8,14,0
MLG,60,20240418,130000,79.8,79.8,79.8,79.8,66,0
MLG,60,20240418,140000,79.8,79.8,79,79,195,0
MLG,60,20240418,170000,79.4,81,79.4,81,177,0
MLG,60,20240422,100000,81,81,78.4,79.2,145,0
MLG,60,20240422,130000,80,80,80,80,15,0
MLG,60,20240422,140000,80,80.2,80,80.2,170,0
MLG,60,20240422,150000,81,81,80,80,96,0
MLG,60,20240422,160000,79.8,79.8,79.8,79.8,11,0
MLG,60,20240422,170000,79.8,79.8,79.8,79.8,1,0
MLG,60,20240423,100000,81,81,79,80.8,18010,0
MLG,60,20240423,160000,80.8,80.8,80.8,80.8,25,0
MLG,60,20240423,170000,80.8,80.8,80.8,80.8,11,0
MLG,60,20240424,100000,80.8,80.8,80.8,80.8,5,0
MLG,60,20240424,110000,80.8,80.8,80.8,80.8,11,0
MLG,60,20240424,130000,80,80,79.2,79.2,37,0
MLG,60,20240424,140000,79.4,79.4,79.2,79.2,18,0
MLG,60,20240425,100000,80,80,80,80,12,0
MLG,60,20240425,110000,80.8,80.8,80.8,80.8,50,0
MLG,60,20240425,120000,80,80,80,80,91,0
MLG,60,20240425,130000,80,80,80,80,70,0
MLG,60,20240426,100000,80.6,80.6,80,80,45,0
