<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOJ,60,20240415,100000,1.6,1.7,1.6,1.7,1100,0
MOJ,60,20240415,130000,1.6,1.6,1.6,1.6,1964,0
MOJ,60,20240415,140000,1.56,1.56,1.56,1.56,227,0
MOJ,60,20240416,170000,1.6,1.6,1.6,1.6,550,0
MOJ,60,20240418,150000,1.6,1.6,1.6,1.6,5000,0
MOJ,60,20240418,160000,1.6,1.6,1.6,1.6,150,0
MOJ,60,20240425,100000,1.7,1.7,1.7,1.7,5000,0
MOJ,60,20240426,120000,1.7,1.7,1.7,1.7,1100,0
MOJ,60,20240429,150000,1.7,1.7,1.7,1.7,5500,0
MOJ,60,20240502,100000,1.7,1.7,1.7,1.7,3047,0
MOJ,60,20240507,130000,1.7,1.7,1.7,1.7,4500,0
MOJ,60,20240507,160000,1.78,1.8,1.78,1.8,3670,0
MOJ,60,20240513,100000,1.8,1.8,1.8,1.8,200,0
MOJ,60,20240513,110000,1.7,1.7,1.7,1.7,4500,0
MOJ,60,20240513,120000,1.7,1.7,1.7,1.7,2032,0
MOJ,60,20240513,130000,1.65,1.65,1.65,1.65,150,0
MOJ,60,20240513,160000,1.7,1.7,1.7,1.7,1001,0
MOJ,60,20240514,100000,1.7,1.7,1.7,1.7,325,0
MOJ,60,20240514,170000,1.7,1.7,1.65,1.65,1200,0
MOJ,60,20240515,100000,1.65,1.65,1.65,1.65,483,0
MOJ,60,20240515,150000,1.65,1.65,1.65,1.65,184,0
MOJ,60,20240515,160000,1.7,1.7,1.7,1.7,1751,0
MOJ,60,20240521,110000,1.69,1.7,1.69,1.7,5100,0
MOJ,60,20240521,150000,1.7,1.7,1.7,1.7,600,0
MOJ,60,20240524,100000,1.7,1.7,1.7,1.7,5,0
MOJ,60,20240524,120000,1.7,1.7,1.7,1.7,2454,0
MOJ,60,20240527,110000,1.7,1.7,1.65,1.65,421,0
MOJ,60,20240527,130000,1.65,1.65,1.65,1.65,280,0
MOJ,60,20240528,100000,1.7,1.7,1.7,1.7,8175,0
MOJ,60,20240528,110000,1.7,1.7,1.7,1.7,555,0
MOJ,60,20240528,120000,1.7,1.7,1.7,1.7,1045,0
MOJ,60,20240528,130000,1.7,1.7,1.7,1.7,400,0
MOJ,60,20240528,170000,1.7,1.7,1.7,1.7,4500,0
MOJ,60,20240529,110000,1.66,1.66,1.66,1.66,800,0
MOJ,60,20240603,100000,1.67,1.67,1.66,1.66,1600,0
MOJ,60,20240603,120000,1.7,1.7,1.7,1.7,1813,0
MOJ,60,20240603,140000,1.7,1.7,1.7,1.7,100,0
MOJ,60,20240604,100000,1.7,1.7,1.7,1.7,4102,0
MOJ,60,20240604,110000,1.7,1.7,1.7,1.7,600,0
MOJ,60,20240604,140000,1.7,1.7,1.7,1.7,3768,0
MOJ,60,20240605,120000,1.79,1.8,1.79,1.8,3583,0
MOJ,60,20240610,110000,1.71,1.76,1.71,1.76,2500,0
MOJ,60,20240611,120000,1.76,1.76,1.75,1.75,1398,0
MOJ,60,20240612,140000,1.75,1.75,1.73,1.73,1125,0
MOJ,60,20240613,100000,1.73,1.73,1.73,1.73,898,0
MOJ,60,20240613,130000,1.73,1.73,1.73,1.73,24,0
MOJ,60,20240617,110000,1.71,1.71,1.69,1.69,7340,0
MOJ,60,20240620,120000,1.69,1.7,1.69,1.7,4477,0
MOJ,60,20240625,110000,1.68,1.68,1.68,1.68,3555,0
MOJ,60,20240625,170000,1.68,1.68,1.68,1.68,250,0
MOJ,60,20240628,120000,1.7,1.7,1.7,1.7,16,0
MOJ,60,20240701,110000,1.7,1.7,1.7,1.7,3000,0
MOJ,60,20240703,130000,1.7,1.7,1.7,1.7,150,0
MOJ,60,20240705,170000,1.68,1.68,1.68,1.68,53,0
MOJ,60,20240710,130000,1.68,1.68,1.68,1.68,5000,0
MOJ,60,20240715,110000,1.68,1.68,1.68,1.68,1000,0
MOJ,60,20240715,130000,1.68,1.68,1.68,1.68,500,0
MOJ,60,20240715,150000,1.68,1.68,1.68,1.68,1642,0
MOJ,60,20240716,120000,1.6,1.6,1.6,1.6,1000,0
MOJ,60,20240716,140000,1.6,1.6,1.6,1.6,5000,0
MOJ,60,20240717,120000,1.58,1.58,1.58,1.58,200,0
MOJ,60,20240717,170000,1.58,1.58,1.58,1.58,280,0
MOJ,60,20240723,110000,1.56,1.56,1.56,1.56,12,0
MOJ,60,20240723,170000,1.56,1.56,1.56,1.56,25,0
MOJ,60,20240805,110000,1.56,1.56,1.5,1.5,14657,0
MOJ,60,20240808,120000,1.5,1.5,1.5,1.5,57,0
MOJ,60,20240808,130000,1.45,1.45,1.45,1.45,155,0
MOJ,60,20240812,100000,1.45,1.45,1.4,1.4,3000,0
MOJ,60,20240812,130000,1.4,1.4,1.4,1.4,13500,0
MOJ,60,20240813,120000,1.4,1.4,1.4,1.4,6000,0
MOJ,60,20240813,130000,1.42,1.42,1.42,1.42,5000,0
MOJ,60,20240816,100000,1.5,1.5,1.5,1.5,500,0
MOJ,60,20240822,120000,1.4,1.4,1.4,1.4,1600,0
MOJ,60,20240823,110000,1.44,1.44,1.4,1.4,3200,0
MOJ,60,20240827,100000,1.45,1.5,1.45,1.5,1338,0
MOJ,60,20240829,160000,1.5,1.5,1.5,1.5,3500,0
MOJ,60,20240829,170000,1.54,1.54,1.54,1.54,2000,0
MOJ,60,20240830,160000,1.58,1.58,1.58,1.58,1014,0
MOJ,60,20240902,100000,1.6,1.6,1.6,1.6,770,0
MOJ,60,20240902,130000,1.6,1.6,1.6,1.6,1000,0
MOJ,60,20240903,110000,1.6,1.6,1.6,1.6,1000,0
MOJ,60,20240903,140000,1.58,1.58,1.58,1.58,500,0
MOJ,60,20240903,170000,1.58,1.58,1.58,1.58,300,0
MOJ,60,20240906,160000,1.5,1.55,1.5,1.55,1000,0
MOJ,60,20240906,170000,1.55,1.55,1.55,1.55,2532,0
MOJ,60,20240909,130000,1.5,1.5,1.5,1.5,4000,0
MOJ,60,20240909,140000,1.5,1.5,1.5,1.5,5,0
MOJ,60,20240911,110000,1.5,1.5,1.5,1.5,4000,0
MOJ,60,20240911,120000,1.44,1.44,1.44,1.44,800,0
MOJ,60,20240912,110000,1.48,1.48,1.48,1.48,401,0
MOJ,60,20240919,160000,1.44,1.5,1.44,1.5,8599,0
MOJ,60,20240925,110000,1.6,1.6,1.56,1.6,1910,0
MOJ,60,20240926,130000,1.54,1.54,1.54,1.54,17,0
