<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MON,60,20240411,110000,5.32,5.32,5.32,5.32,395,0
MON,60,20240411,120000,5.32,5.32,5.32,5.32,1315,0
MON,60,20240411,130000,5.34,5.34,5.32,5.32,2470,0
MON,60,20240411,140000,5.32,5.32,5.32,5.32,3000,0
MON,60,20240411,150000,5.34,5.34,5.34,5.34,10,0
MON,60,20240411,160000,5.34,5.34,5.32,5.32,1051,0
MON,60,20240412,100000,5.34,5.34,5.34,5.34,200,0
MON,60,20240412,120000,5.3,5.34,5.3,5.34,157,0
MON,60,20240412,130000,5.34,5.38,5.34,5.38,8534,0
MON,60,20240412,150000,5.36,5.36,5.28,5.36,2047,0
MON,60,20240412,160000,5.36,5.36,5.3,5.3,60,0
MON,60,20240412,170000,5.36,5.36,5.36,5.36,3004,0
MON,60,20240415,120000,5.32,5.32,5.32,5.32,370,0
MON,60,20240415,170000,5.34,5.34,5.34,5.34,303,0
MON,60,20240416,100000,5.34,5.34,5.34,5.34,90,0
MON,60,20240416,110000,5.34,5.34,5.34,5.34,10,0
MON,60,20240416,120000,5.34,5.34,5.34,5.34,1900,0
MON,60,20240416,130000,5.36,5.36,5.36,5.36,10100,0
MON,60,20240416,150000,5.36,5.36,5.36,5.36,20,0
MON,60,20240417,100000,5.34,5.34,5.34,5.34,1300,0
MON,60,20240417,120000,5.38,5.38,5.36,5.36,59753,0
MON,60,20240417,130000,5.36,5.42,5.36,5.42,1247,0
MON,60,20240417,140000,5.4,5.44,5.4,5.4,6130,0
MON,60,20240417,160000,5.4,5.4,5.4,5.4,170,0
MON,60,20240418,100000,5.36,5.36,5.36,5.36,4000,0
MON,60,20240418,120000,5.32,5.32,5.32,5.32,300,0
MON,60,20240418,140000,5.32,5.36,5.32,5.36,94,0
MON,60,20240418,150000,5.32,5.32,5.32,5.32,818,0
MON,60,20240418,170000,5.36,5.36,5.36,5.36,859,0
MON,60,20240419,100000,5.3,5.3,5.3,5.3,822,0
MON,60,20240419,110000,5.36,5.38,5.36,5.38,3305,0
MON,60,20240419,120000,5.38,5.38,5.32,5.32,1895,0
MON,60,20240419,130000,5.32,5.32,5.32,5.32,700,0
MON,60,20240419,150000,5.36,5.36,5.36,5.36,1000,0
MON,60,20240422,100000,5.32,5.32,5.32,5.32,207,0
MON,60,20240422,150000,5.4,5.4,5.4,5.4,1070,0
MON,60,20240422,160000,5.26,5.28,5.26,5.28,2439,0
MON,60,20240422,170000,5.3,5.4,5.3,5.4,2001,0
MON,60,20240423,100000,5.34,5.4,5.26,5.4,7131,0
MON,60,20240423,130000,5.32,5.32,5.3,5.3,1095,0
MON,60,20240423,150000,5.36,5.36,5.36,5.36,1,0
MON,60,20240423,160000,5.3,5.36,5.3,5.36,933,0
MON,60,20240423,170000,5.3,5.36,5.3,5.36,14,0
MON,60,20240424,100000,5.34,5.34,5.3,5.3,2394,0
MON,60,20240424,110000,5.28,5.28,5.26,5.28,4982,0
MON,60,20240424,120000,5.28,5.28,5.26,5.28,903,0
MON,60,20240424,130000,5.28,5.28,5.24,5.24,4282,0
MON,60,20240424,150000,5.28,5.38,5.28,5.38,801,0
MON,60,20240424,160000,5.32,5.32,5.32,5.32,350,0
