<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUR,60,20240411,100000,39.1591,39.4724,39.1591,39.3249,1723.4822983744,0
MUR,60,20240411,110000,39.3249,39.3618,39.3249,39.3618,1671.387115552,0
MUR,60,20240411,120000,39.1775,39.3618,39.1775,39.2144,1435.8734765424,0
MUR,60,20240411,130000,39.2144,39.3065,39.2144,39.2144,134.5792222912,0
MUR,60,20240411,140000,39.2512,39.3434,39.1775,39.1775,2037.1387116176,0
MUR,60,20240411,150000,39.3434,39.3618,39.1591,39.1591,2668.7928033392,0
MUR,60,20240411,160000,39.3065,39.3065,38.9011,38.9011,736.9297736752,0
MUR,60,20240411,170000,38.938,39.1407,38.9195,38.938,693.5171213232,0
MUR,60,20240412,100000,39.067,39.1407,38.9195,38.938,472.112594328,0
MUR,60,20240412,110000,39.1222,39.1407,39.1038,39.1407,1763.6390018,0
MUR,60,20240412,120000,39.1407,39.1407,38.9748,38.9932,714.1381311904,0
MUR,60,20240412,130000,39.1038,39.1222,38.9748,38.9932,667.469529912,0
MUR,60,20240412,140000,39.0117,39.0117,38.9932,39.0117,75.972141616,0
MUR,60,20240412,150000,39.0301,39.1038,39.0301,39.1038,92.251886248,0
MUR,60,20240412,160000,39.1038,39.1407,39.0485,39.1222,528.5490423856,0
MUR,60,20240412,170000,39.1038,39.2512,38.809,38.809,2532.0429484304,0
MUR,60,20240415,100000,38.8274,39.2328,38.8274,39.1591,430.8705745936,0
MUR,60,20240415,110000,39.1591,39.3249,39.1591,39.3249,2969.4254208768,0
MUR,60,20240415,120000,39.3618,39.3618,39.1775,39.1775,448.2356355344,0
MUR,60,20240415,130000,39.1591,39.2512,39.1591,39.2512,137.8351712176,0
MUR,60,20240415,140000,39.2512,39.4724,39.2512,39.4724,761.8920487776,0
MUR,60,20240415,150000,39.4171,39.5645,39.4171,39.5645,7167.4289033152,0
MUR,60,20240415,160000,39.5461,39.5645,39.5276,39.5276,284.3528729056,0
MUR,60,20240415,170000,39.6198,39.8962,39.5276,39.5276,2856.5525247616,0
MUR,60,20240416,100000,39.4171,39.4171,38.7168,38.9748,3204.9390598864,0
MUR,60,20240416,110000,38.9748,38.9748,38.8274,38.8827,3221.2188045184,0
MUR,60,20240416,120000,38.809,38.8827,38.7353,38.7905,1759.2977365648,0
MUR,60,20240416,130000,38.8827,38.8827,38.6063,38.6615,9034.1729544512,0
MUR,60,20240416,140000,38.9011,38.9748,38.6984,38.6984,2384.4399304336,0
MUR,60,20240416,150000,38.7168,38.9011,38.68,38.6984,1538.9785258784,0
MUR,60,20240416,160000,38.68,38.8458,38.6063,38.6063,5634.9622752896,0
MUR,60,20240416,170000,38.6615,38.6984,38.5141,38.6984,1835.2698781808,0
MUR,60,20240417,100000,38.6984,38.6984,38.6063,38.6984,410.2495647264,0
MUR,60,20240417,110000,38.68,38.68,38.5325,38.5325,15.1944283232,0
MUR,60,20240417,120000,38.68,38.68,38.5325,38.5325,1620.3772490384,0
MUR,60,20240417,130000,38.68,38.6984,38.5325,38.5325,5760.8589671104,0
MUR,60,20240417,140000,38.6984,38.7537,38.6984,38.7537,249.622751024,0
MUR,60,20240417,150000,38.7537,39.5829,38.6063,39.4539,4943.615786584,0
MUR,60,20240417,160000,38.8642,38.9011,38.8642,38.8827,113.958212424,0
MUR,60,20240417,170000,38.9011,39.0117,38.6615,38.6615,1071.2071967856,0
MUR,60,20240418,100000,39.1038,39.1038,38.809,38.8458,650.1044689712,0
MUR,60,20240418,110000,39.067,39.067,38.7168,38.9564,2364.9042368752,0
MUR,60,20240418,120000,38.7168,39.0485,38.68,38.6984,7927.1503194752,0
MUR,60,20240418,130000,38.8274,38.8274,38.7905,38.7905,303.888566464,0
MUR,60,20240418,140000,38.9564,38.9564,38.7721,38.7721,166.0533952464,0
MUR,60,20240418,150000,38.938,39.0485,38.938,39.0485,499.245502048,0
MUR,60,20240418,160000,39.067,39.6198,38.9564,39.1591,1114.6198491376,0
MUR,60,20240418,170000,39.1591,39.7119,38.8827,39.4724,1702.8612885072,0
MUR,60,20240419,100000,38.8827,39.1222,38.68,38.6984,1467.3476494976,0
MUR,60,20240419,110000,38.6984,38.6984,38.5694,38.6984,9030.9170055248,0
MUR,60,20240419,120000,38.8458,38.9748,38.6984,38.9748,486.2217063424,0
MUR,60,20240419,130000,38.7168,38.7905,38.7168,38.7168,548.084735944,0
MUR,60,20240419,140000,38.7168,38.7168,38.7168,38.7168,52.0951828224,0
MUR,60,20240419,150000,38.8274,38.8274,38.7168,38.7168,97.67846779199999,0
MUR,60,20240419,160000,38.8458,38.8458,38.7905,38.7905,27.13290772,0
MUR,60,20240419,170000,38.8458,38.9564,38.7537,38.7721,263.7318630384,0
MUR,60,20240422,100000,38.6984,38.9748,38.5878,38.5878,844.3760882464,0
MUR,60,20240422,110000,38.6247,38.9195,38.6247,38.9195,836.7788740848,0
MUR,60,20240422,120000,38.6615,38.6615,38.6615,38.6615,238.769587936,0
MUR,60,20240422,130000,38.6615,39.1591,38.6615,39.0485,8418.7986073616,0
MUR,60,20240422,140000,39.0485,39.0485,39.0485,39.0485,61.8630296016,0
MUR,60,20240422,150000,39.1591,39.1775,39.0485,39.1775,332.1067904928,0
MUR,60,20240422,160000,39.1591,39.1775,39.0117,39.1591,4257.6958794224,0
MUR,60,20240422,170000,38.9932,39.1959,38.9195,39.1959,413.5055136528,0
MUR,60,20240423,100000,39.1591,39.1591,38.7168,38.7168,828.0963436144,0
MUR,60,20240423,110000,39.067,39.067,39.0485,39.0485,34.7301218816,0
MUR,60,20240423,120000,39.0485,39.0485,38.8274,39.0485,849.8026697904,0
MUR,60,20240423,130000,39.1407,39.1407,38.9748,38.9932,441.7237376816,0
MUR,60,20240423,140000,39.1591,39.2512,38.9748,39.2512,3227.7307023712,0
MUR,60,20240423,150000,39.2881,39.5092,39.0854,39.5092,516.6105629888,0
MUR,60,20240423,160000,39.1222,39.2881,39.1222,39.2144,60.7777132928,0
MUR,60,20240423,170000,39.3987,39.4171,39.2144,39.3987,761.8920487776,0
MUR,60,20240424,100000,39.4171,39.5461,39.4171,39.4908,3158.270458608,0
MUR,60,20240424,110000,39.5645,39.7119,39.5645,39.7119,1956.8253047664,0
MUR,60,20240424,120000,39.6382,40.4859,39.6382,40.4859,6492.3621592416,0
MUR,60,20240424,130000,40.4675,40.4859,40.3385,40.4306,110.7022634976,0
MUR,60,20240424,140000,40.4306,40.449,40.3385,40.3385,390.713871168,0
MUR,60,20240424,150000,39.9331,40.3016,39.9331,40.2648,339.7040046544,0
MUR,60,20240424,160000,40.2648,40.4859,40.2648,40.2648,1415.2524666752,0
MUR,60,20240424,170000,39.9699,40.4675,39.9699,40.4675,1232.9193267968,0
MUR,60,20240425,100000,40.4859,40.4859,39.9883,40.0068,2077.2954150432,0
MUR,60,20240425,110000,40.0805,40.449,40.0436,40.191,1411.9965177488,0
MUR,60,20240425,120000,40.0068,40.0068,39.4908,39.5092,4589.8026699152,0
MUR,60,20240425,130000,39.5092,40.0621,39.4908,39.8962,2678.5606501184,0
MUR,60,20240425,140000,39.8962,39.8962,39.8962,39.8962,107.44631457119999,0
MUR,60,20240425,150000,39.9146,39.9146,39.7488,39.7488,797.707486968,0
MUR,60,20240425,160000,39.5829,40.0989,39.5829,40.0805,14262.141613941,0
MUR,60,20240425,170000,39.8041,40.2095,39.8041,40.2095,5752.17643664,0
MUR,60,20240426,100000,40.3385,40.3385,40.1726,40.1726,902.9831689216,0
MUR,60,20240426,110000,39.7304,39.7488,39.7304,39.7488,31.4741729552,0
MUR,60,20240426,120000,40.0805,40.0805,39.9883,39.9883,28.218224028799998,0
MUR,60,20240426,130000,39.7672,39.7672,39.5092,39.6935,1868.9146837536,0
MUR,60,20240426,140000,39.6935,39.6935,39.6935,39.6935,2635.1479977664,0
MUR,60,20240426,160000,39.6935,39.7488,39.6935,39.7488,99.8491004096,0
MUR,60,20240426,170000,39.7672,40.2648,39.7672,40.2648,1623.6331979648,0
MUR,60,20240429,100000,40.32,40.32,39.2512,39.6014,2049.0771910144,0
MUR,60,20240429,110000,39.2881,39.6198,39.2881,39.4908,297.3766686112,0
MUR,60,20240429,120000,39.3618,39.4355,39.3618,39.4355,81.39872316,0
MUR,60,20240429,130000,39.4355,39.5461,39.4355,39.5461,108.53163088,0
MUR,60,20240429,150000,39.5461,39.9883,39.5461,39.9883,379.86070808,0
MUR,60,20240429,160000,39.5092,39.6198,39.4908,39.5276,130.237957056,0
MUR,60,20240429,170000,39.5276,39.5829,38.8827,39.1775,15610.10446947,0
MUR,60,20240430,100000,39.3434,39.5461,39.3434,39.3434,401.567034256,0
MUR,60,20240430,110000,39.3618,39.5092,39.2697,39.2697,6134.2077773376,0
MUR,60,20240430,120000,39.2512,39.5276,39.0485,39.067,12082.82646587,0
MUR,60,20240430,130000,39.4355,39.4355,39.4355,39.4355,74.8868253072,0
