<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCL,60,20240411,100000,106.8,108,106.8,108,78,0
NCL,60,20240411,110000,106.8,107.6,106.8,107.6,127,0
NCL,60,20240411,120000,106.8,107.6,106.6,107.6,165,0
NCL,60,20240411,130000,108,108,106.6,106.6,72,0
NCL,60,20240411,150000,106.6,106.6,106.6,106.6,20,0
NCL,60,20240411,160000,106.6,106.6,106,106,184,0
NCL,60,20240411,170000,106,106,106,106,118,0
NCL,60,20240412,100000,105.2,107.8,105.2,107.8,30,0
NCL,60,20240412,110000,107.8,108,107.8,108,72,0
NCL,60,20240412,120000,107,107,107,107,15,0
NCL,60,20240412,130000,107,107,106,106,349,0
NCL,60,20240412,140000,106,106,106,106,5,0
NCL,60,20240412,160000,107,107,105,105,123,0
NCL,60,20240412,170000,105.4,105.4,103.6,103.6,471,0
NCL,60,20240415,100000,104,105,104,105,32,0
NCL,60,20240415,110000,104.6,104.6,104.4,104.4,27,0
NCL,60,20240415,120000,105,105,104.6,104.6,50,0
NCL,60,20240415,130000,104.6,104.6,104.4,104.4,51,0
NCL,60,20240415,140000,104.8,104.8,104.4,104.4,10,0
NCL,60,20240415,150000,104.8,104.8,104.4,104.4,6,0
NCL,60,20240415,160000,104.8,105,104.8,105,78,0
NCL,60,20240415,170000,105,106,105,106,70,0
NCL,60,20240416,100000,107,107,107,107,54,0
NCL,60,20240416,110000,105,105,105,105,33,0
NCL,60,20240416,120000,106.2,106.2,106,106.2,41,0
NCL,60,20240416,130000,106.2,106.2,106.2,106.2,15,0
NCL,60,20240416,140000,104.8,104.8,103.6,103.6,115,0
NCL,60,20240416,150000,104,104,104,104,7,0
NCL,60,20240416,160000,104.4,104.4,104.4,104.4,50,0
NCL,60,20240416,170000,104.6,106,104,106,189,0
NCL,60,20240417,100000,107,107,107,107,147,0
NCL,60,20240417,110000,106,106,106,106,40,0
NCL,60,20240417,120000,106.8,106.8,105,105,59,0
NCL,60,20240417,130000,105,105,104.8,105,108,0
NCL,60,20240417,140000,105,106.8,105,106.8,10,0
NCL,60,20240417,170000,105.2,106.6,105.2,106.6,52,0
NCL,60,20240418,100000,105,105,104,104,141,0
NCL,60,20240418,110000,104.2,104.2,104,104,43,0
NCL,60,20240418,120000,103.8,104.4,103.6,104.4,850,0
NCL,60,20240418,160000,105.4,105.4,105.4,105.4,20,0
NCL,60,20240418,170000,104.6,104.8,103.6,104.4,153,0
NCL,60,20240419,100000,104.8,104.8,104.8,104.8,50,0
NCL,60,20240419,110000,104.8,106,104.8,106,18,0
NCL,60,20240419,120000,106.2,106.2,106.2,106.2,13,0
NCL,60,20240419,140000,104.6,104.6,104.6,104.6,25,0
NCL,60,20240419,160000,104.6,104.6,104.2,104.2,35,0
NCL,60,20240419,170000,104.2,105.8,104,105.8,76,0
NCL,60,20240422,120000,106,106,104.6,104.6,14,0
NCL,60,20240422,150000,106,106,106,106,93,0
NCL,60,20240422,160000,105.4,105.4,105.4,105.4,18,0
NCL,60,20240422,170000,106,106,104,105,204,0
NCL,60,20240423,110000,104.6,105,103,103,77,0
NCL,60,20240423,120000,103,104.6,103,103,58,0
NCL,60,20240423,130000,103,103,103,103,10,0
NCL,60,20240423,140000,104.4,104.6,104.4,104.6,47,0
NCL,60,20240423,150000,104.4,104.6,104.4,104.6,42,0
NCL,60,20240423,160000,104.6,104.6,104.6,104.6,28,0
NCL,60,20240423,170000,105,105,105,105,99,0
NCL,60,20240424,100000,105,105.6,105,105,103,0
NCL,60,20240424,110000,105,105.6,105,105.2,56,0
NCL,60,20240424,120000,105,105,103,103,94,0
NCL,60,20240424,130000,103,103.2,102.4,102.4,72,0
NCL,60,20240424,140000,102.4,104.8,102.4,104.8,74,0
NCL,60,20240424,150000,103,103.2,103,103.2,12,0
NCL,60,20240424,160000,103.2,103.2,103.2,103.2,2,0
NCL,60,20240424,170000,104,104,104,104,44,0
NCL,60,20240425,110000,104.8,104.8,104,104,80,0
NCL,60,20240425,120000,104.6,104.6,99,102,492,0
NCL,60,20240425,140000,102,103,101,103,159,0
NCL,60,20240425,150000,100.8,102,100,102,350,0
NCL,60,20240425,160000,101,102,101,102,204,0
NCL,60,20240425,170000,101,102,101,102,514,0
NCL,60,20240426,100000,102.8,102.8,101.8,101.8,60,0
NCL,60,20240426,110000,101.8,101.8,101.8,101.8,50,0
NCL,60,20240426,140000,102.8,102.8,102,102,16,0
NCL,60,20240426,150000,102,102.8,102,102,254,0
NCL,60,20240426,160000,101.8,104.8,100.4,104.8,81,0
NCL,60,20240426,170000,104.8,105.6,101.2,102.6,86,0
NCL,60,20240429,100000,102,105.6,102,102.6,307,0
NCL,60,20240429,120000,104,104,103.8,103.8,9,0
NCL,60,20240429,130000,105.6,105.8,105.6,105.8,199,0
NCL,60,20240429,150000,105,105,104.8,105,139,0
NCL,60,20240429,170000,104,106,103.8,106,19,0
NCL,60,20240430,100000,106,106,106,106,6,0
NCL,60,20240430,110000,105,106,105,105,104,0
NCL,60,20240430,120000,105.8,105.8,105.6,105.6,60,0
NCL,60,20240430,140000,105,105,105,105,54,0
NCL,60,20240430,150000,105,105,105,105,1,0
NCL,60,20240430,160000,105.6,105.6,105,105,90,0
NCL,60,20240430,170000,104.2,105.4,104.2,105.4,45,0
NCL,60,20240502,110000,105,105,104,104,150,0
NCL,60,20240502,120000,104.2,104.2,104,104,100,0
NCL,60,20240502,130000,106.4,107,106.4,107,68,0
NCL,60,20240502,140000,107,107.6,107,107.6,30,0
NCL,60,20240506,100000,107.6,107.6,107.6,107.6,23,0
NCL,60,20240506,110000,108,108,108,108,11,0
NCL,60,20240506,120000,108,108.4,108,108.4,14,0
NCL,60,20240506,130000,107.8,107.8,107,107,6,0
NCL,60,20240506,150000,107,107,107,107,3,0
NCL,60,20240506,160000,106.2,107,105,105.4,319,0
NCL,60,20240506,170000,107,109,106,109,242,0
NCL,60,20240507,100000,107,107,106.4,106.4,40,0
NCL,60,20240507,110000,107,107,106.4,106.4,103,0
NCL,60,20240507,120000,107,107.6,107,107.6,32,0
NCL,60,20240507,140000,107,107,107,107,3,0
NCL,60,20240507,150000,108.6,108.6,108.6,108.6,2,0
NCL,60,20240507,160000,108.6,108.6,106,106,121,0
NCL,60,20240507,170000,106,108,106,108,143,0
NCL,60,20240508,100000,108.4,108.4,107,108.4,5,0
NCL,60,20240508,110000,108.4,108.8,108,108,67,0
NCL,60,20240508,130000,107.2,107.2,106.4,106.4,286,0
NCL,60,20240508,160000,106.4,106.4,105.4,105.4,57,0
NCL,60,20240508,170000,105.6,105.6,105,105.2,140,0
NCL,60,20240509,100000,105,105,105,105,1,0
NCL,60,20240509,110000,106.8,108.4,105.2,108.4,38,0
NCL,60,20240509,120000,108.4,112.8,108.4,109.4,304,0
NCL,60,20240509,130000,109.4,109.4,109.4,109.4,37,0
NCL,60,20240509,150000,108,108,107.6,107.6,69,0
NCL,60,20240509,160000,108,108,107.8,107.8,5,0
NCL,60,20240509,170000,107.8,109,107.8,109,101,0
NCL,60,20240510,100000,109,109,106,107.6,268,0
NCL,60,20240510,110000,108,108,107.6,107.6,13,0
NCL,60,20240510,120000,109,109,106,106,78,0
NCL,60,20240510,130000,106.6,106.6,106.4,106.4,23,0
NCL,60,20240510,140000,107,109.6,107,109.6,201,0
NCL,60,20240510,150000,110,112,109.2,109.2,104,0
NCL,60,20240510,160000,109.2,109.8,107,107,166,0
NCL,60,20240510,170000,109.8,109.8,109.8,109.8,10,0
NCL,60,20240513,100000,110,111.4,106.6,110,212,0
NCL,60,20240513,110000,109.2,110,106.6,110,20,0
NCL,60,20240513,150000,109.4,109.8,109.4,109.8,56,0
NCL,60,20240513,160000,109.8,109.8,109.8,109.8,20,0
NCL,60,20240513,170000,109.8,109.8,109.8,109.8,2,0
NCL,60,20240514,100000,109.8,109.8,106,107,184,0
NCL,60,20240514,110000,109.2,109.4,109.2,109.4,2,0
NCL,60,20240514,120000,108.8,109.8,108.8,109.8,23064,0
NCL,60,20240514,130000,108.2,108.2,108.2,108.2,12,0
NCL,60,20240514,140000,108,109,106.4,109,55,0
NCL,60,20240514,150000,109,109,107,107,36,0
NCL,60,20240514,160000,107,107.4,106.4,106.4,69,0
NCL,60,20240514,170000,107.4,109,107.4,109,62,0
NCL,60,20240515,100000,106,111.8,106,107,310,0
NCL,60,20240515,110000,108,110.8,108,110,160,0
NCL,60,20240515,120000,110,110,109.8,110,86,0
NCL,60,20240515,130000,109,109,107.2,107.2,108,0
NCL,60,20240515,160000,107.4,107.4,107.4,107.4,10,0
NCL,60,20240515,170000,107.6,109,107.4,109,37,0
NCL,60,20240516,100000,110,110,103,104,730,0
NCL,60,20240516,110000,105,105,105,105,72,0
NCL,60,20240516,120000,105.2,105.2,105.2,105.2,23,0
NCL,60,20240516,130000,105.2,107,105.2,107,65,0
NCL,60,20240516,140000,107,107,105,105,52,0
NCL,60,20240516,150000,105,106.6,105,106.6,171,0
NCL,60,20240516,160000,106.6,106.6,106.6,106.6,7,0
NCL,60,20240516,170000,106.8,108.8,106.8,108.8,104,0
NCL,60,20240517,100000,108,108,104,104,483,0
NCL,60,20240517,110000,104.4,104.4,102.4,103,788,0
NCL,60,20240517,120000,103.8,104,103.2,103.6,122,0
NCL,60,20240517,130000,104.4,104.4,104.4,104.4,35,0
NCL,60,20240517,140000,104.8,104.8,104,104,103,0
NCL,60,20240517,150000,103.6,104.6,103.6,103.6,99,0
NCL,60,20240517,160000,104.4,104.4,104.4,104.4,12,0
NCL,60,20240517,170000,104.6,105.8,104.6,105.8,48,0
NCL,60,20240520,100000,104.6,105,103.8,104.6,148,0
NCL,60,20240520,110000,104.8,105,103.6,103.6,379,0
NCL,60,20240520,120000,103.6,103.8,103,103,368,0
NCL,60,20240520,130000,102.8,104,100.4,104,780,0
NCL,60,20240520,140000,104,104,104,104,54,0
NCL,60,20240520,150000,104,104,103.6,103.6,26,0
NCL,60,20240520,160000,104,104.4,104,104.4,116,0
NCL,60,20240520,170000,104.4,104.4,103,103,202,0
NCL,60,20240521,100000,104.4,107.6,104.4,105.6,489,0
NCL,60,20240521,110000,105.6,105.6,104.4,105,163,0
NCL,60,20240521,120000,105,105,104,105,209,0
NCL,60,20240521,130000,105.6,105.8,105,105.8,279,0
NCL,60,20240521,140000,105.2,105.8,105,105.4,73,0
NCL,60,20240521,150000,105.4,105.8,105.4,105.8,54,0
NCL,60,20240521,160000,105.2,107,105,107,245,0
NCL,60,20240521,170000,107,107,106.2,107,84,0
NCL,60,20240522,100000,107,109,106.4,106.6,107,0
NCL,60,20240522,110000,108.8,108.8,106.6,106.6,99,0
NCL,60,20240522,120000,106.8,106.8,105.2,105.2,175,0
NCL,60,20240522,140000,105.4,107,105.2,105.2,322,0
NCL,60,20240522,150000,108,108,105.4,105.4,21,0
NCL,60,20240522,160000,106.8,108.8,106.8,108.6,118,0
NCL,60,20240522,170000,108,108.6,106,106,88,0
NCL,60,20240523,100000,108,109.8,108,109.8,170,0
NCL,60,20240523,110000,109.4,109.4,109.4,109.4,1,0
NCL,60,20240523,120000,108.2,108.2,108.2,108.2,4,0
NCL,60,20240523,130000,107,109.4,107,109.4,177,0
NCL,60,20240523,140000,109.4,109.4,108.2,108.2,17,0
NCL,60,20240523,150000,107.8,107.8,107.8,107.8,10,0
NCL,60,20240523,160000,107.8,107.8,107,107,58,0
NCL,60,20240523,170000,108.4,108.4,107,107,31,0
NCL,60,20240524,100000,106.2,106.2,106,106,59,0
NCL,60,20240524,110000,107.8,108,107.8,108,29,0
NCL,60,20240524,120000,107,107,104.4,104.4,200,0
NCL,60,20240524,130000,105,105,104.4,104.4,60,0
NCL,60,20240524,140000,107,107,107,107,3,0
NCL,60,20240524,150000,106,106.2,106,106.2,66,0
NCL,60,20240524,160000,106.8,107,106.8,107,116,0
NCL,60,20240524,170000,107,107,107,107,30,0
NCL,60,20240527,100000,106,107.2,106,107,270,0
NCL,60,20240527,110000,107,107.6,106.6,107.6,313,0
NCL,60,20240527,130000,107,107,106.8,106.8,25,0
NCL,60,20240527,140000,107.2,107.2,107.2,107.2,1,0
NCL,60,20240527,170000,106.6,107.6,106.6,107.6,99,0
NCL,60,20240528,100000,107,107.8,107,107,308,0
NCL,60,20240528,110000,107,107,104,104,196,0
NCL,60,20240528,130000,105.8,106.2,105.8,106.2,18,0
NCL,60,20240528,140000,105,105,104,105,271,0
NCL,60,20240528,150000,105,106,105,106,113,0
NCL,60,20240528,170000,106,106.2,106,106.2,112,0
NCL,60,20240529,100000,106.2,106.2,105,105,21,0
NCL,60,20240529,110000,103.8,103.8,102,102.2,302,0
NCL,60,20240529,120000,104.2,104.2,104.2,104.2,20,0
NCL,60,20240529,130000,103.2,103.2,103.2,103.2,15,0
NCL,60,20240529,140000,103.2,103.2,103,103,20,0
NCL,60,20240529,150000,103,104,102.8,104,29,0
NCL,60,20240529,170000,102.8,104,102.8,104,103,0
NCL,60,20240531,100000,103,106.6,103,106.6,126,0
NCL,60,20240531,120000,104.2,106,104.2,106,13,0
NCL,60,20240531,130000,104.2,105.6,104.2,105.6,12,0
NCL,60,20240531,140000,105.6,105.6,104,104,53,0
NCL,60,20240531,160000,104,104,104,104,25,0
NCL,60,20240531,170000,105.6,105.6,105.6,105.6,3,0
NCL,60,20240603,100000,105,105.6,105,105,70,0
NCL,60,20240603,130000,104.8,105,104.8,105,48,0
NCL,60,20240603,140000,104.8,105,104.8,105,19,0
NCL,60,20240603,160000,104.8,104.8,104.8,104.8,31,0
NCL,60,20240603,170000,104.4,105,103.6,105,62,0
NCL,60,20240604,100000,103.6,103.6,103.6,103.6,60,0
NCL,60,20240604,110000,103.8,103.8,102,103.8,137,0
NCL,60,20240604,130000,102.4,102.4,102.4,102.4,32,0
NCL,60,20240604,160000,103.8,104,103.8,104,50,0
NCL,60,20240604,170000,104.6,105,104.2,104.2,50,0
NCL,60,20240605,100000,104.6,104.6,102.8,103,101,0
NCL,60,20240605,110000,103,103,102.8,103,64,0
NCL,60,20240605,120000,103,103,103,103,44,0
NCL,60,20240605,130000,103,103,103,103,5,0
NCL,60,20240605,140000,103,104.4,103,104.4,38,0
NCL,60,20240605,150000,104.6,104.8,104.6,104.8,26,0
NCL,60,20240605,160000,103,104.8,102.2,103,239,0
NCL,60,20240605,170000,103,103.8,103,103.8,53,0
NCL,60,20240606,100000,103.8,103.8,103.8,103.8,100,0
NCL,60,20240606,110000,104.6,104.6,104.6,104.6,1,0
NCL,60,20240606,120000,104,104,102,103.8,472,0
NCL,60,20240606,130000,102.4,102.4,102.2,102.2,20,0
NCL,60,20240606,140000,102,103,102,103,117,0
NCL,60,20240606,150000,103,103.4,103,103.4,44,0
NCL,60,20240606,160000,102.2,102.2,102,102,85,0
NCL,60,20240606,170000,102,103.4,102,103.4,29,0
NCL,60,20240607,100000,102,102,101,101,755,0
NCL,60,20240607,110000,101,103.4,100.6,103.4,232,0
NCL,60,20240607,120000,100.8,100.8,100.2,100.2,58,0
NCL,60,20240607,130000,100.6,100.6,100.6,100.6,40,0
NCL,60,20240607,140000,102,102,100,100,137,0
NCL,60,20240607,150000,100.2,100.2,100.2,100.2,14,0
NCL,60,20240607,160000,100.4,103,100,103,295,0
NCL,60,20240607,170000,103,103,100.2,100.2,304,0
NCL,60,20240610,100000,100.2,101,99.1,101,347,0
NCL,60,20240610,110000,100,100,99,99,447,0
NCL,60,20240610,120000,99.7,100.8,99,100,201,0
NCL,60,20240610,130000,100,101,100,101,65,0
NCL,60,20240610,140000,100.8,100.8,100.8,100.8,50,0
NCL,60,20240610,150000,100,100,100,100,50,0
NCL,60,20240610,160000,99.4,99.8,95.5,97,865,0
NCL,60,20240610,170000,98.4,98.4,98.4,98.4,17,0
NCL,60,20240611,100000,98.4,98.7,98,98,102,0
NCL,60,20240611,110000,98,98,98,98,307,0
NCL,60,20240611,120000,98,98.6,98,98.6,101,0
NCL,60,20240611,130000,98.4,98.6,97,97,240,0
NCL,60,20240611,140000,97,98,97,98,13,0
NCL,60,20240611,160000,96.8,97.9,96.8,97.9,25,0
NCL,60,20240611,170000,96.8,96.8,94,94.4,846,0
NCL,60,20240612,100000,94.4,96.7,94.4,95,325,0
NCL,60,20240612,110000,95,95.5,94.8,95.5,87,0
NCL,60,20240612,120000,95.3,95.5,94.4,95.5,167,0
NCL,60,20240612,130000,95.5,95.6,94.4,94.4,161,0
NCL,60,20240612,140000,94.6,94.6,94.5,94.5,67,0
NCL,60,20240612,150000,94.5,95.6,94.4,95.6,89,0
NCL,60,20240612,160000,95.5,96,95.5,96,93,0
NCL,60,20240612,170000,96,96.9,95.1,96.9,93,0
NCL,60,20240613,100000,97,97.1,97,97,60,0
NCL,60,20240613,120000,96.1,97,96,96,161,0
NCL,60,20240613,140000,97,97,97,97,9,0
NCL,60,20240613,170000,97.6,97.6,97.6,97.6,6,0
NCL,60,20240614,100000,97.6,97.6,94.4,96,210,0
NCL,60,20240614,110000,96,96,95,95,70,0
NCL,60,20240614,120000,95,96,94.7,96,26,0
NCL,60,20240614,130000,94.8,95,94,94,70,0
NCL,60,20240614,140000,94.4,94.4,94,94,73,0
NCL,60,20240614,150000,93.9,94,93.2,94,111,0
NCL,60,20240614,160000,94,96,94,96,77,0
NCL,60,20240614,170000,94.3,95.8,94.3,95.8,14,0
NCL,60,20240617,100000,95.8,95.8,94.3,94.3,44,0
NCL,60,20240617,110000,95,95,95,95,11,0
NCL,60,20240617,120000,94.4,94.4,87,89.8,870,0
NCL,60,20240617,130000,90,91.9,90,91.4,289,0
NCL,60,20240617,140000,91,92,90,90,338,0
NCL,60,20240617,150000,91.4,92.2,90.4,92.2,43,0
