<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBL,60,20240411,120000,33.4444,33.4444,33.4444,33.4444,135.77142857520002,0
OBL,60,20240411,160000,33.4444,33.4444,33.4444,33.4444,66.857142859,0
OBL,60,20240419,120000,33.25,33.4444,33.25,33.4444,1224.000000034,0
OBL,60,20240419,160000,32.6667,32.6667,32.6667,32.6667,102.85714286000001,0
OBL,60,20240422,120000,32.4722,32.4722,32.4722,32.4722,314.7428571516,0
OBL,60,20240422,160000,32.4722,32.4722,32.4722,32.4722,195.42857143400002,0
OBL,60,20240423,120000,32.2778,32.2778,32.2778,32.2778,1028.5714286,0
OBL,60,20240423,160000,32.4722,32.4722,32.4722,32.4722,250.9714285784,0
OBL,60,20240424,120000,32.4722,32.4722,32.4722,32.4722,102.85714286000001,0
OBL,60,20240424,160000,32.6667,32.6667,32.6667,32.6667,1.0285714286,0
OBL,60,20240426,120000,32.4722,32.4722,32.4722,32.4722,399.0857142968,0
OBL,60,20240426,160000,32.4722,32.4722,32.4722,32.4722,2011.8857143416,0
OBL,60,20240429,120000,32.4722,32.4722,32.4722,32.4722,133.714285718,0
OBL,60,20240429,160000,32.0833,32.0833,32.0833,32.0833,516.3428571572,0
OBL,60,20240430,120000,32.0833,32.0833,32.0833,32.0833,31.885714286600003,0
OBL,60,20240430,160000,32.4722,32.4722,32.4722,32.4722,1.0285714286,0
OBL,60,20240502,120000,32.2778,32.2778,32.2778,32.2778,60.6857142874,0
OBL,60,20240506,160000,32.4722,32.4722,32.4722,32.4722,226.285714292,0
OBL,60,20240507,120000,32.4722,32.4722,32.4722,32.4722,245.82857143540002,0
OBL,60,20240507,160000,32.6667,32.6667,32.6667,32.6667,315.7714285802,0
OBL,60,20240508,120000,32.6667,32.6667,32.6667,32.6667,102.85714286000001,0
OBL,60,20240508,160000,33.0556,33.0556,33.0556,33.0556,102.85714286000001,0
OBL,60,20240509,120000,32.6667,32.6667,32.6667,32.6667,1028.5714286,0
OBL,60,20240509,160000,33.0556,33.0556,33.0556,33.0556,11.3142857146,0
OBL,60,20240513,120000,33.25,33.25,33.25,33.25,192.3428571482,0
OBL,60,20240513,160000,33.4444,33.4444,33.4444,33.4444,136.8000000038,0
OBL,60,20240514,120000,33.25,33.25,33.25,33.25,231.428571435,0
OBL,60,20240514,160000,33.25,33.25,33.25,33.25,340.4571428666,0
OBL,60,20240515,120000,33.4444,33.4444,33.4444,33.4444,19.542857143400003,0
OBL,60,20240515,160000,33.6389,33.6389,33.6389,33.6389,1760.9142857632,0
OBL,60,20240516,120000,34.0278,34.0278,34.0278,34.0278,498.857142871,0
OBL,60,20240516,160000,34.0278,34.0278,34.0278,34.0278,514.2857143,0
OBL,60,20240521,120000,34.0278,34.0278,33.4444,33.4444,1281.6000000356,0
OBL,60,20240522,160000,34.0278,34.0278,34.0278,34.0278,25.714285715,0
OBL,60,20240523,120000,34.2222,34.2222,34.2222,34.2222,976.1142857414001,0
OBL,60,20240523,160000,35,35,35,35,1235.3142857486,0
OBL,60,20240524,120000,35.1944,35.1944,35.1944,35.1944,101.82857143140001,0
OBL,60,20240531,160000,35.3889,35.3889,34.6111,34.6111,175.8857142906,0
OBL,60,20240604,120000,33.4444,33.4444,33.4444,33.4444,72.00000000200001,0
OBL,60,20240604,160000,34.8056,34.8056,34.8056,34.8056,17.4857142862,0
OBL,60,20240605,120000,34.8056,34.8056,34.8056,34.8056,20.571428572000002,0
OBL,60,20240605,160000,34.8056,34.8056,34.8056,34.8056,148.1142857184,0
OBL,60,20240606,120000,34.8056,34.8056,34.8056,34.8056,144.00000000400001,0
OBL,60,20240606,160000,34.8056,34.8056,34.8056,34.8056,217.02857143460002,0
