<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OEX,60,20240411,120000,47.7191,47.7191,47.7191,47.7191,105.61797752999999,0
OEX,60,20240411,130000,48.0979,48.0979,47.7191,47.7191,86.6067415746,0
OEX,60,20240411,160000,48.0979,49.234,48.0979,49.234,402.4044943893,0
OEX,60,20240412,120000,49.234,49.234,49.234,49.234,105.61797752999999,0
OEX,60,20240412,140000,49.234,49.234,49.234,49.234,105.61797752999999,0
OEX,60,20240412,170000,49.234,49.234,49.234,49.234,5.2808988765,0
OEX,60,20240415,100000,48.0979,48.0979,47.7191,47.7191,22.1797752813,0
OEX,60,20240415,120000,47.7191,49.0447,47.7191,49.0447,347.4831460737,0
OEX,60,20240415,140000,49.234,49.234,49.234,49.234,1.0561797753,0
OEX,60,20240416,100000,49.234,50.3702,49.234,50.3702,334.8089887701,0
OEX,60,20240416,120000,49.4234,49.4234,49.4234,49.4234,52.808988764999995,0
OEX,60,20240416,140000,49.4234,49.4234,49.234,49.234,227.0786516895,0
OEX,60,20240416,150000,48.2872,49.234,48.2872,49.234,264.04494382499996,0
OEX,60,20240416,160000,48.2872,49.234,48.2872,49.234,21.123595506,0
OEX,60,20240416,170000,47.7191,47.7191,47.7191,47.7191,9.5056179777,0
OEX,60,20240417,110000,47.7191,47.7191,47.5298,47.5298,139.4157303396,0
OEX,60,20240417,170000,47.9085,47.9085,47.9085,47.9085,2.1123595506,0
OEX,60,20240419,100000,48.8553,50.9383,48.8553,50.9383,555.5505618078,0
OEX,60,20240419,150000,49.6128,49.6128,49.6128,49.6128,52.808988764999995,0
OEX,60,20240419,170000,50.3702,50.3702,50.3702,50.3702,1.0561797753,0
OEX,60,20240422,100000,49.6128,49.6128,49.6128,49.6128,38.0224719108,0
OEX,60,20240422,110000,49.9915,50.1809,49.9915,50.1809,117.2359550583,0
OEX,60,20240422,160000,50.1809,50.1809,50.1809,50.1809,26.404494382499998,0
OEX,60,20240423,120000,49.8021,49.8021,49.8021,49.8021,29.573033708399997,0
OEX,60,20240423,150000,50.3702,50.3702,50.3702,50.3702,10.561797753,0
