<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OND,60,20240411,100000,14.2061,14.4804,14.0101,14.0101,1931.1448276384,0
OND,60,20240411,110000,14.1081,14.1277,13.9318,14.1081,1310.5655172768,0
OND,60,20240411,120000,14.1081,14.1081,13.9514,13.9514,467.4758620816,0
OND,60,20240411,130000,14.1473,14.1669,14.0101,14.0101,349.0758620784,0
OND,60,20240411,140000,14.1669,14.1669,14.1669,14.1669,1.0206896552,0
OND,60,20240411,150000,14.1473,14.1473,14.1473,14.1473,20.413793104,0
OND,60,20240411,160000,14.0101,14.1081,13.9709,14.0101,1716.8000000464,0
OND,60,20240411,170000,13.9709,14.0101,13.9318,13.9318,1017.6275862344,0
OND,60,20240412,100000,14.1473,14.3824,14.0101,14.2845,880.8551724376,0
OND,60,20240412,110000,14.1669,14.1669,14.1669,14.1669,13.2689655176,0
OND,60,20240412,120000,14.0493,14.0493,13.9122,14.0297,2825.2689655936,0
OND,60,20240412,130000,14.0297,14.0297,13.9122,13.9709,1782.1241379792,0
OND,60,20240412,140000,13.9709,14.0101,13.9122,14.0101,230.6758620752,0
OND,60,20240412,150000,13.9318,13.9905,13.9122,13.9122,1352.41379314,0
OND,60,20240412,160000,13.9122,13.9318,13.9122,13.9122,1501.4344827992,0
OND,60,20240412,170000,13.9905,14.1473,13.8534,13.8534,1478.9793103848,0
OND,60,20240415,100000,13.8534,14.1473,13.7358,13.9122,3125.3517242224,0
OND,60,20240415,110000,13.9122,14.0101,13.9122,14.0101,402.1517241488,0
OND,60,20240415,120000,14.0101,14.0493,13.9122,13.9318,1301.37931038,0
OND,60,20240415,130000,14.0297,14.4608,13.9318,14.4608,3307.034482848,0
OND,60,20240415,140000,14.4608,14.4804,14.2257,14.3041,1626.9793103888,0
OND,60,20240415,150000,14.3041,14.402,14.2061,14.3041,532.8000000144,0
OND,60,20240415,160000,14.3041,14.3432,14.2257,14.3041,1187.0620689976,0
OND,60,20240415,170000,14.2061,14.2845,14.1473,14.2453,617.517241396,0
OND,60,20240416,100000,14.2061,14.2061,13.8534,13.9318,4658.4275863328,0
OND,60,20240416,110000,14.0101,14.0101,13.873,13.873,1393.241379348,0
OND,60,20240416,120000,13.873,14.1865,13.873,14.1865,2871.2000000776,0
OND,60,20240416,130000,13.9514,14.1277,13.9122,14.0297,238.8413793168,0
OND,60,20240416,140000,14.1473,14.1669,14.1081,14.1081,283.7517241456,0
OND,60,20240416,150000,14.0493,14.0493,14.0493,14.0493,487.8896551856,0
OND,60,20240416,160000,14.0297,14.1081,13.9122,14.0101,740.00000002,0
OND,60,20240416,170000,13.8926,13.9905,13.7162,13.8926,4789.0758621984,0
OND,60,20240417,100000,13.7554,14.1669,13.7554,14.0885,1400.3862069344,0
OND,60,20240417,110000,14.0493,14.0689,13.8926,14.0689,92.8827586232,0
OND,60,20240417,120000,13.9318,13.9318,13.7946,13.8142,638.9517241551999,0
OND,60,20240417,130000,13.9122,13.9318,13.7162,13.9122,1303.4206896904,0
OND,60,20240417,140000,13.9122,13.9122,13.775,13.9122,729.793103468,0
OND,60,20240417,150000,13.7946,13.8926,13.7162,13.8926,1781.103448324,0
OND,60,20240417,160000,13.8142,13.873,13.8142,13.873,225.5724137992,0
OND,60,20240417,170000,13.8926,13.9122,13.873,13.9122,671.6137931216,0
OND,60,20240418,100000,13.9122,13.9122,13.7554,13.873,4187.8896552856,0
OND,60,20240418,110000,13.7358,13.873,13.7162,13.7554,1531.0344828,0
OND,60,20240418,120000,13.7554,13.7554,13.5203,13.7554,3793.9034483784,0
OND,60,20240418,130000,13.7358,13.7554,13.6182,13.7162,611.3931034648,0
OND,60,20240418,140000,13.7162,13.873,13.6966,13.873,1000.275862096,0
OND,60,20240418,150000,13.7358,13.7358,13.7162,13.7162,1020.6896552,0
OND,60,20240418,160000,13.7162,13.8338,13.7162,13.8142,1432.0275862455999,0
OND,60,20240418,170000,13.7162,13.7162,13.677,13.677,523.6137931176,0
OND,60,20240419,100000,13.7946,13.7946,13.5203,13.775,260.275862076,0
OND,60,20240419,110000,13.6966,13.7162,13.5791,13.5791,820.6344827808,0
OND,60,20240419,120000,13.7162,13.7162,13.677,13.7162,376.6344827688,0
OND,60,20240419,130000,13.7162,13.775,13.5791,13.7162,1249.3241379648,0
OND,60,20240419,140000,13.7162,13.7162,13.5791,13.7162,276.6068965592,0
OND,60,20240419,150000,13.7162,13.7358,13.6378,13.6378,472.5793103576,0
OND,60,20240419,160000,13.6378,13.6574,13.5791,13.6378,1173.79310348,0
OND,60,20240419,170000,13.6378,13.7358,13.5791,13.7162,548.1103448424,0
OND,60,20240422,100000,13.7162,13.7162,13.5203,13.7162,81.655172416,0
OND,60,20240422,110000,13.5791,13.7162,13.5399,13.7162,1453.4620690048,0
OND,60,20240422,120000,13.5986,13.6182,13.5986,13.6182,128.6068965552,0
OND,60,20240422,130000,13.6182,13.7162,13.5986,13.7162,1232.9931034816,0
OND,60,20240422,140000,13.677,13.6966,13.6182,13.6966,2168.9655173,0
OND,60,20240422,150000,13.6966,13.6966,13.6182,13.6182,2804.8551724896,0
OND,60,20240422,160000,13.5986,13.7162,13.5595,13.6966,565.4620689808,0
OND,60,20240422,170000,13.6966,13.7162,13.677,13.7162,1056.413793132,0
OND,60,20240423,100000,13.6966,13.6966,13.6378,13.6574,702.2344827776,0
OND,60,20240423,110000,13.5986,13.6574,13.5203,13.6182,5488.2482760104,0
OND,60,20240423,120000,13.6378,13.6378,13.6182,13.6182,1245.241379344,0
OND,60,20240423,130000,13.6378,13.6574,13.6378,13.6574,200.0551724192,0
OND,60,20240423,140000,13.6574,13.6966,13.6182,13.6966,1304.4413793456,0
OND,60,20240423,150000,13.5791,13.6966,13.5791,13.6966,961.4896551984,0
OND,60,20240423,160000,13.677,13.6966,13.677,13.677,137.793103452,0
OND,60,20240423,170000,13.6182,13.677,13.5791,13.677,191.8896551776,0
OND,60,20240424,100000,13.6966,13.6966,13.5203,13.5791,2127.1172414368,0
OND,60,20240424,110000,13.6378,13.6378,13.5399,13.5986,501.1586207032,0
OND,60,20240424,120000,13.5791,13.6378,13.5791,13.6378,1155.4206896864,0
OND,60,20240424,130000,13.6378,13.6378,13.6182,13.6182,632.827586224,0
OND,60,20240424,140000,13.5399,13.6182,13.5399,13.6182,956.3862069224,0
OND,60,20240424,150000,13.5791,13.6182,13.5399,13.5986,1269.7379310688,0
OND,60,20240424,160000,13.5986,13.6182,13.5203,13.5986,2460.8827586872,0
