<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPG,60,20240411,100000,2.22,2.22,2.22,2.22,100,0
OPG,60,20240417,110000,2.22,2.22,2.22,2.22,158,0
OPG,60,20240417,170000,2.2,2.2,2.2,2.2,150,0
OPG,60,20240418,160000,2.2,2.2,2.2,2.2,1300,0
OPG,60,20240419,140000,2.36,2.36,2.36,2.36,20,0
OPG,60,20240422,120000,2.36,2.38,2.36,2.38,6792,0
OPG,60,20240422,170000,2.42,2.42,2.42,2.42,1,0
OPG,60,20240423,110000,2.22,2.22,2.22,2.22,3769,0
OPG,60,20240423,170000,2.4,2.4,2.4,2.4,1,0
OPG,60,20240424,110000,2.4,2.42,2.4,2.42,4159,0
OPG,60,20240425,100000,2.42,2.42,2.42,2.42,387,0
OPG,60,20240425,120000,2.3,2.3,2.24,2.24,9994,0
OPG,60,20240425,140000,2.3,2.3,2.3,2.3,2222,0
OPG,60,20240426,150000,2.3,2.3,2.3,2.3,100,0
OPG,60,20240429,100000,2.4,2.4,2.4,2.4,180,0
OPG,60,20240430,130000,2.4,2.4,2.4,2.4,761,0
OPG,60,20240510,110000,2.38,2.38,2.38,2.38,1830,0
OPG,60,20240510,140000,2.38,2.4,2.38,2.4,2500,0
OPG,60,20240516,100000,2.26,2.26,2.26,2.26,436,0
OPG,60,20240520,170000,2.42,2.42,2.42,2.42,1,0
OPG,60,20240522,120000,2.42,2.42,2.42,2.42,1185,0
OPG,60,20240523,170000,2.24,2.42,2.24,2.42,46,0
OPG,60,20240527,140000,2.3,2.3,2.3,2.3,100,0
OPG,60,20240528,120000,2.3,2.3,2.3,2.3,100,0
OPG,60,20240528,150000,2.3,2.3,2.3,2.3,334,0
OPG,60,20240529,140000,2.28,2.28,2.28,2.28,78,0
OPG,60,20240531,110000,2.28,2.28,2.28,2.28,42,0
OPG,60,20240613,130000,2.26,2.26,2.24,2.24,1500,0
OPG,60,20240617,170000,2.26,2.26,2.26,2.26,286,0
OPG,60,20240619,100000,2.24,2.24,2.24,2.24,1000,0
OPG,60,20240626,170000,2.38,2.38,2.38,2.38,2,0
OPG,60,20240628,120000,2.24,2.24,2.24,2.24,200,0
OPG,60,20240628,160000,2.24,2.24,2.24,2.24,240,0
OPG,60,20240628,170000,2.38,2.38,2.38,2.38,1,0
OPG,60,20240704,100000,2.36,2.38,2.36,2.38,1403,0
OPG,60,20240704,110000,2.38,2.38,2.38,2.38,214,0
OPG,60,20240704,160000,2.4,2.44,2.4,2.44,600,0
OPG,60,20240704,170000,2.42,2.42,2.42,2.42,1309,0
OPG,60,20240705,100000,2.44,2.44,2.44,2.44,365,0
OPG,60,20240705,110000,2.44,2.44,2.44,2.44,1100,0
OPG,60,20240708,130000,2.44,2.44,2.44,2.44,400,0
OPG,60,20240709,150000,2.44,2.44,2.44,2.44,1003,0
OPG,60,20240710,170000,2.4,2.44,2.4,2.44,1404,0
OPG,60,20240715,100000,2.26,2.34,2.26,2.34,3178,0
OPG,60,20240715,120000,2.42,2.42,2.42,2.42,3176,0
OPG,60,20240715,130000,2.42,2.42,2.42,2.42,1,0
OPG,60,20240715,150000,2.42,2.42,2.42,2.42,1156,0
OPG,60,20240716,100000,2.42,2.42,2.42,2.42,1,0
OPG,60,20240716,110000,2.42,2.42,2.42,2.42,1443,0
OPG,60,20240716,160000,2.42,2.42,2.42,2.42,200,0
OPG,60,20240717,100000,2.44,2.46,2.44,2.46,2001,0
OPG,60,20240717,120000,2.46,2.46,2.46,2.46,2471,0
OPG,60,20240717,140000,2.46,2.5,2.46,2.5,5361,0
OPG,60,20240718,110000,2.54,2.54,2.54,2.54,2,0
OPG,60,20240718,170000,2.46,2.46,2.46,2.46,352,0
OPG,60,20240719,150000,2.5,2.5,2.5,2.5,1,0
OPG,60,20240722,130000,2.5,2.5,2.5,2.5,749,0
OPG,60,20240722,170000,2.5,2.5,2.5,2.5,16,0
OPG,60,20240723,110000,2.5,2.5,2.5,2.5,1568,0
OPG,60,20240723,140000,2.5,2.5,2.5,2.5,216,0
OPG,60,20240723,150000,2.5,2.5,2.5,2.5,782,0
OPG,60,20240723,160000,2.5,2.5,2.5,2.5,5218,0
OPG,60,20240725,130000,2.5,2.5,2.5,2.5,12200,0
OPG,60,20240725,150000,2.5,2.5,2.5,2.5,1000,0
OPG,60,20240729,100000,2.54,2.54,2.54,2.54,25,0
OPG,60,20240731,130000,2.52,2.52,2.52,2.52,12030,0
OPG,60,20240731,140000,2.54,2.54,2.54,2.54,849,0
OPG,60,20240802,120000,2.42,2.54,2.4,2.54,2850,0
OPG,60,20240805,100000,2.42,2.42,2.42,2.42,1113,0
OPG,60,20240805,160000,2.42,2.42,2.42,2.42,652,0
OPG,60,20240807,100000,2.54,2.54,2.54,2.54,100,0
OPG,60,20240807,130000,2.54,2.56,2.54,2.56,1500,0
OPG,60,20240807,150000,2.56,2.56,2.56,2.56,500,0
OPG,60,20240808,110000,2.56,2.56,2.4,2.54,6040,0
OPG,60,20240808,120000,2.54,2.54,2.54,2.54,1008,0
OPG,60,20240808,140000,2.56,2.56,2.56,2.56,10,0
OPG,60,20240808,170000,2.56,2.56,2.56,2.56,10,0
OPG,60,20240809,120000,2.56,2.56,2.56,2.56,40,0
OPG,60,20240809,170000,2.56,2.56,2.56,2.56,1,0
OPG,60,20240812,120000,2.56,2.56,2.56,2.56,150,0
OPG,60,20240813,160000,2.44,2.44,2.4,2.4,10000,0
OPG,60,20240814,100000,2.54,2.54,2.54,2.54,9,0
OPG,60,20240814,130000,2.54,2.54,2.54,2.54,21,0
OPG,60,20240816,100000,2.54,2.54,2.54,2.54,60,0
OPG,60,20240821,170000,2.54,2.54,2.54,2.54,410,0
OPG,60,20240822,100000,2.56,2.56,2.56,2.56,51,0
OPG,60,20240822,130000,2.56,2.56,2.56,2.56,758,0
OPG,60,20240823,110000,2.54,2.6,2.54,2.6,6486,0
OPG,60,20240823,170000,2.66,2.66,2.66,2.66,100,0
OPG,60,20240826,100000,2.68,2.7,2.68,2.7,2042,0
OPG,60,20240828,110000,2.5,2.5,2.5,2.5,1,0
OPG,60,20240828,120000,2.68,2.68,2.68,2.68,2,0
OPG,60,20240828,130000,2.68,2.68,2.68,2.68,197,0
OPG,60,20240830,110000,2.68,2.72,2.68,2.72,2620,0
OPG,60,20240830,150000,2.5,2.5,2.5,2.5,501,0
OPG,60,20240902,100000,2.72,2.9,2.72,2.9,6011,0
OPG,60,20240902,110000,2.9,2.9,2.9,2.9,1692,0
OPG,60,20240902,120000,2.9,2.9,2.9,2.9,1670,0
OPG,60,20240902,140000,2.8,2.9,2.8,2.9,504,0
OPG,60,20240902,150000,2.88,2.88,2.88,2.88,2,0
OPG,60,20240902,160000,2.9,2.94,2.9,2.94,2217,0
OPG,60,20240902,170000,2.52,2.74,2.52,2.68,7790,0
OPG,60,20240903,100000,2.52,2.68,2.52,2.68,1678,0
OPG,60,20240903,120000,2.68,2.76,2.68,2.76,1368,0
OPG,60,20240903,140000,2.7,2.86,2.7,2.86,1430,0
OPG,60,20240903,170000,2.86,2.86,2.86,2.86,1,0
OPG,60,20240904,110000,2.9,2.9,2.9,2.9,10,0
