<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OVO,60,20240411,100000,67.4,67.4,67.4,67.4,1,0
OVO,60,20240411,130000,67.2,71,67.2,71,339,0
OVO,60,20240418,100000,70,70,65.4,69,108,0
OVO,60,20240418,150000,66.8,67,66.8,67,114,0
OVO,60,20240418,170000,65,67,65,67,121,0
OVO,60,20240419,100000,66,66,66,66,1,0
OVO,60,20240419,140000,65.4,65.6,65.4,65.6,123,0
OVO,60,20240419,150000,65.4,65.4,65.4,65.4,7,0
OVO,60,20240419,160000,65.4,65.4,65.4,65.4,23,0
OVO,60,20240419,170000,64,65.4,61.4,65.4,203,0
OVO,60,20240422,100000,68,71,68,71,174,0
OVO,60,20240422,120000,67.6,67.6,67.6,67.6,65,0
OVO,60,20240422,130000,67.6,71,67.6,71,51,0
OVO,60,20240423,120000,70.2,70.2,70.2,70.2,110,0
OVO,60,20240423,130000,70.2,70.2,69.2,69.2,28,0
OVO,60,20240423,150000,70,70,70,70,23,0
OVO,60,20240424,110000,70,70,70,70,78,0
OVO,60,20240424,120000,72,72,72,72,1,0
OVO,60,20240425,100000,67.8,67.8,67.8,67.8,8,0
OVO,60,20240426,130000,67.8,67.8,67.8,67.8,11,0
OVO,60,20240429,100000,68.2,68.2,68.2,68.2,15,0
OVO,60,20240429,110000,67.8,70,67.8,70,116,0
OVO,60,20240429,120000,69.8,69.8,69.8,69.8,300,0
OVO,60,20240429,170000,67.2,68.6,67.2,68.6,6,0
OVO,60,20240430,100000,68.6,68.6,68.6,68.6,21,0
OVO,60,20240430,170000,67,67,67,67,42,0
OVO,60,20240506,100000,68.6,68.6,67,68.6,83,0
OVO,60,20240506,120000,68.6,68.6,68.6,68.6,269,0
OVO,60,20240506,130000,69.8,69.8,69.8,69.8,20,0
OVO,60,20240506,140000,68.8,68.8,68.8,68.8,20,0
OVO,60,20240506,150000,69.8,69.8,69.8,69.8,50,0
OVO,60,20240507,100000,69.8,69.8,67.4,67.4,4,0
OVO,60,20240507,110000,68,69,68,69,65,0
OVO,60,20240507,150000,68.2,68.2,67.4,67.4,100,0
OVO,60,20240508,100000,69.8,69.8,69.8,69.8,1,0
OVO,60,20240508,110000,69.8,69.8,69.8,69.8,265,0
OVO,60,20240508,130000,69.8,69.8,69.8,69.8,35,0
OVO,60,20240509,120000,69.8,69.8,69.8,69.8,35,0
OVO,60,20240516,100000,70,70.4,68.4,70.2,119,0
OVO,60,20240516,120000,69.4,69.4,69.4,69.4,11,0
OVO,60,20240516,150000,69,69.2,69,69.2,3,0
OVO,60,20240516,160000,69,69,69,69,10,0
OVO,60,20240517,100000,69,69,69,69,2,0
OVO,60,20240517,110000,68.2,68.2,68,68,126,0
OVO,60,20240521,120000,67.8,67.8,67.8,67.8,110,0
OVO,60,20240522,100000,69.8,70.2,69.8,70.2,90,0
OVO,60,20240522,140000,70,70,70,70,1,0
OVO,60,20240522,170000,69.4,70,69.2,70,90,0
OVO,60,20240523,100000,68.4,68.4,68.4,68.4,136,0
OVO,60,20240523,110000,68.6,68.6,68.6,68.6,200,0
OVO,60,20240523,160000,69.8,69.8,69.8,69.8,10,0
OVO,60,20240523,170000,68.8,68.8,68.8,68.8,10,0
OVO,60,20240528,100000,69.6,69.6,69.2,69.2,264,0
OVO,60,20240528,110000,69.8,69.8,69.8,69.8,166,0
OVO,60,20240529,100000,69.8,69.8,69.8,69.8,2,0
OVO,60,20240529,130000,69.2,69.2,69.2,69.2,202,0
OVO,60,20240531,100000,70.2,70.2,70.2,70.2,3,0
OVO,60,20240603,110000,69.6,69.6,69.6,69.6,33,0
