<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAS,60,20240411,120000,24.2161,24.2161,24.2161,24.2161,79.28189911250001,0
PAS,60,20240411,130000,24.8607,24.8607,24.8607,24.8607,18.4629080125,0
PAS,60,20240411,140000,24.8607,25.0448,24.2161,24.2161,509.3590504625,0
PAS,60,20240411,170000,24.8607,24.8607,24.8607,24.8607,543.02670625,0
PAS,60,20240412,120000,25.229,25.229,24.8607,24.8607,16.2908011875,0
PAS,60,20240412,140000,24.8607,25.229,24.8607,25.229,260.652819,0
PAS,60,20240412,170000,24.6765,24.6765,24.6765,24.6765,4.34421365,0
PAS,60,20240415,100000,24.8607,24.8607,24.6765,24.6765,119.46587537500001,0
PAS,60,20240415,110000,24.4003,24.4003,24.032,24.032,67.335311575,0
PAS,60,20240415,150000,24.032,24.4003,23.8478,24.4003,559.3175074375,0
PAS,60,20240415,160000,24.4003,24.4003,24.032,24.032,604.9317507625001,0
PAS,60,20240416,100000,26.7022,27.3467,25.1369,25.9656,3576.3738873625,0
PAS,60,20240416,110000,25.9656,25.9656,25.4131,25.4131,748.2908012125,0
PAS,60,20240416,120000,25.5973,25.5973,25.5973,25.5973,86.88427300000001,0
PAS,60,20240416,130000,25.5052,25.5052,25.4131,25.4131,168.3382789375,0
PAS,60,20240416,140000,25.7814,26.7022,25.7814,26.7022,651.6320475,0
PAS,60,20240416,150000,26.7022,28.5437,26.6101,28.0833,3424.3264096125,0
PAS,60,20240416,160000,28.5437,28.912,27.8071,27.8071,397.495548975,0
PAS,60,20240416,170000,27.9913,29.3724,27.623,29.3724,1208.7774481125,0
PAS,60,20240417,100000,29.4645,31.1219,28.7279,28.7279,1367.3412463375,0
PAS,60,20240417,110000,27.4388,27.5309,26.7943,27.5309,885.1335311875001,0
PAS,60,20240417,120000,27.4388,27.5309,26.8863,27.5309,992.652819025,0
PAS,60,20240417,130000,26.9784,27.5309,26.518,27.3467,1278.2848665125,0
PAS,60,20240417,140000,26.7022,27.1626,26.518,26.7022,351.88130565,0
PAS,60,20240417,150000,26.6101,27.1626,26.518,26.518,1295.6617211125,0
PAS,60,20240417,160000,26.518,27.623,26.1497,26.2418,2472.9436202625,0
PAS,60,20240417,170000,26.1497,26.518,25.229,26.1497,1727.9109792875,0
PAS,60,20240418,100000,25.5973,26.9784,25.5973,26.9784,3948.89020785,0
PAS,60,20240418,110000,26.9784,26.9784,26.9784,26.9784,69.5074184,0
PAS,60,20240418,120000,26.9784,26.9784,26.9784,26.9784,60.8189911,0
PAS,60,20240418,130000,26.7943,26.7943,26.7022,26.7022,543.02670625,0
PAS,60,20240418,140000,26.7022,26.7022,26.7022,26.7022,166.16617211250002,0
PAS,60,20240418,150000,26.8863,26.9784,26.8863,26.9784,349.709198825,0
PAS,60,20240418,160000,26.9784,26.9784,26.9784,26.9784,266.0830860625,0
PAS,60,20240418,170000,27.1626,27.715,27.1626,27.715,320.3857566875,0
PAS,60,20240419,100000,28.0833,28.4516,27.623,28.2675,1015.4599406875,0
PAS,60,20240419,110000,28.2675,28.3596,26.7022,28.0833,195.48961425,0
PAS,60,20240419,120000,28.0833,28.1754,27.715,27.715,107.5192878375,0
PAS,60,20240419,130000,28.1754,28.1754,28.1754,28.1754,65.16320475,0
