<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCF,60,20240411,100000,19.1,19.26,19.1,19.16,281,0
PCF,60,20240411,110000,19.16,19.3,19.08,19.1,491,0
PCF,60,20240411,120000,19.1,19.14,19.08,19.08,239,0
PCF,60,20240411,130000,19.08,19.14,19.08,19.1,115,0
PCF,60,20240411,140000,19.1,19.1,19.06,19.06,1398,0
PCF,60,20240411,150000,19.06,19.08,19,19,456,0
PCF,60,20240411,160000,19,19.1,19,19,126,0
PCF,60,20240411,170000,19,19.1,19,19.06,100,0
PCF,60,20240412,100000,19.1,19.14,19.06,19.08,239,0
PCF,60,20240412,110000,19.1,19.2,19.06,19.08,164,0
PCF,60,20240412,120000,19.08,19.2,19.04,19.08,187,0
PCF,60,20240412,130000,19.08,19.1,19.08,19.08,353,0
PCF,60,20240412,140000,19.08,19.2,19.04,19.04,220,0
PCF,60,20240412,150000,19.04,19.2,19,19.04,760,0
PCF,60,20240412,160000,19.04,19.16,19,19,612,0
PCF,60,20240412,170000,19,19.16,19,19.02,514,0
PCF,60,20240415,100000,19.02,19.2,17.8,18.4,3302,0
PCF,60,20240415,110000,18,18.3,17.88,17.92,1085,0
PCF,60,20240415,120000,17.92,18.1,17.92,18,400,0
PCF,60,20240415,130000,18,18.1,17.94,18,1878,0
PCF,60,20240415,140000,18,18.08,18,18,465,0
PCF,60,20240415,150000,18,18.1,18,18,489,0
PCF,60,20240415,160000,18,18.1,18,18.02,268,0
PCF,60,20240415,170000,18.02,18.1,18,18,397,0
PCF,60,20240416,100000,18.48,18.48,18,18,269,0
PCF,60,20240416,110000,18.02,18.3,18,18.04,128,0
PCF,60,20240416,120000,18.04,18.3,18,18.06,99,0
PCF,60,20240416,130000,18.06,18.06,18.06,18.06,103,0
PCF,60,20240416,140000,18.06,18.34,18.06,18.06,137,0
PCF,60,20240416,150000,18.06,18.3,18.06,18.1,255,0
PCF,60,20240416,160000,18.32,18.32,18.1,18.1,163,0
PCF,60,20240416,170000,18.1,18.34,18.1,18.34,124,0
PCF,60,20240417,100000,18.34,19,18.32,18.54,685,0
PCF,60,20240417,110000,18.54,18.54,18.52,18.54,64,0
PCF,60,20240417,120000,18.52,18.76,18.52,18.54,116,0
PCF,60,20240417,130000,18.54,18.54,18.54,18.54,105,0
PCF,60,20240417,140000,18.54,18.8,18.54,18.54,424,0
PCF,60,20240417,150000,18.54,18.68,18.54,18.68,118,0
PCF,60,20240417,160000,18.68,18.9,18.68,18.72,433,0
PCF,60,20240417,170000,18.72,18.86,18.72,18.86,97,0
PCF,60,20240418,100000,18.9,18.98,18.48,18.9,735,0
PCF,60,20240418,110000,18.58,18.6,18.54,18.6,84,0
PCF,60,20240418,120000,18.6,18.9,18.58,18.6,98,0
PCF,60,20240418,130000,18.6,18.62,18.6,18.6,196,0
PCF,60,20240418,140000,18.6,18.6,18.6,18.6,132,0
PCF,60,20240418,150000,18.6,18.9,18.58,18.58,164,0
PCF,60,20240418,160000,18.58,18.6,18.54,18.54,140,0
PCF,60,20240418,170000,18.54,18.56,18,18.02,306,0
PCF,60,20240419,100000,18,18.06,18,18.04,288,0
PCF,60,20240419,110000,18.04,18.38,18.02,18.06,199,0
PCF,60,20240419,120000,18.06,18.06,18.04,18.04,225,0
PCF,60,20240419,130000,18.04,18.38,18,18.02,116,0
PCF,60,20240419,140000,18,18.02,18,18.02,115,0
PCF,60,20240419,150000,18.02,18.04,18,18,123,0
PCF,60,20240419,160000,18,18.02,18,18,408,0
PCF,60,20240419,170000,18,18.5,18,18,114,0
PCF,60,20240422,100000,18,18.56,17.9,17.98,135,0
PCF,60,20240422,110000,17.98,18,17.98,18,70,0
PCF,60,20240422,120000,18,18.02,18,18.02,76,0
PCF,60,20240422,130000,18.02,18.04,18,18.04,129,0
PCF,60,20240422,140000,18.04,18.38,18,18,123,0
PCF,60,20240422,150000,18,18,17.92,17.92,220,0
PCF,60,20240422,160000,17.92,17.92,17.7,17.7,342,0
PCF,60,20240422,170000,17.7,18,17.68,18,219,0
PCF,60,20240423,100000,18,18.14,17.7,17.76,722,0
PCF,60,20240423,110000,17.74,18.36,17.72,17.74,164,0
PCF,60,20240423,120000,17.74,18,17.72,17.74,298,0
PCF,60,20240423,130000,17.74,17.88,17.72,17.76,117,0
PCF,60,20240423,140000,17.76,17.76,17,17,4832,0
PCF,60,20240423,150000,17.04,17.56,16.9,17.14,3195,0
PCF,60,20240423,160000,17,17.44,16.96,17,288,0
PCF,60,20240423,170000,17,17.5,17,17.5,192,0
PCF,60,20240424,100000,17.5,17.64,17.04,17.04,141,0
PCF,60,20240424,110000,17.04,17.56,17.04,17.44,79,0
PCF,60,20240424,120000,17.14,17.42,17.12,17.16,347,0
PCF,60,20240424,130000,17.16,17.42,17.1,17.1,122,0
PCF,60,20240424,140000,17.1,17.18,17.02,17.02,195,0
PCF,60,20240424,150000,17.02,17.14,17.02,17.06,275,0
PCF,60,20240424,160000,17.06,17.52,17.06,17.18,165,0
PCF,60,20240424,170000,17.18,17.8,17.08,17.8,768,0
PCF,60,20240425,100000,17.48,17.48,17.04,17.04,603,0
PCF,60,20240425,110000,17.04,17.08,17.02,17.02,255,0
PCF,60,20240425,120000,17.02,17.08,17.02,17.06,275,0
PCF,60,20240425,130000,17.06,17.3,17.06,17.14,105,0
PCF,60,20240425,140000,17.14,17.4,17.14,17.18,211,0
PCF,60,20240425,150000,17.18,17.18,17.12,17.14,146,0
PCF,60,20240425,160000,17.14,17.14,17.12,17.14,104,0
PCF,60,20240425,170000,17.14,17.48,17.14,17.48,362,0
PCF,60,20240426,100000,17.48,17.68,17.4,17.48,239,0
PCF,60,20240426,110000,17.48,17.48,17.04,17.08,320,0
PCF,60,20240426,120000,17.12,17.3,17.1,17.14,110,0
PCF,60,20240426,130000,17.14,17.7,17.12,17.26,227,0
PCF,60,20240426,140000,17.26,17.7,17.14,17.22,113,0
PCF,60,20240426,150000,17.2,17.36,17.16,17.36,114,0
PCF,60,20240426,160000,17.36,17.44,17.36,17.44,106,0
PCF,60,20240426,170000,17.44,17.78,17.2,17.78,220,0
PCF,60,20240429,100000,17.78,17.78,17.26,17.76,55,0
PCF,60,20240429,110000,17.74,19.26,17.74,18.28,1698,0
PCF,60,20240429,120000,18.3,18.46,18.3,18.34,101,0
PCF,60,20240429,130000,18.32,18.78,17.98,17.98,451,0
PCF,60,20240429,140000,17.98,18.78,17.6,17.7,186,0
PCF,60,20240429,150000,17.7,18.36,17.6,17.74,763,0
PCF,60,20240429,160000,17.66,17.76,17.66,17.7,114,0
PCF,60,20240429,170000,17.76,18.8,17.66,18.74,188,0
PCF,60,20240430,100000,18.6,18.6,17.66,17.68,457,0
PCF,60,20240430,110000,17.68,18.08,17.6,17.6,261,0
PCF,60,20240430,120000,17.6,17.98,17.3,17.4,1335,0
PCF,60,20240430,130000,17.4,17.84,17.32,17.36,227,0
PCF,60,20240430,140000,17.36,17.4,17.32,17.4,149,0
PCF,60,20240430,150000,17.4,17.4,17.4,17.4,160,0
PCF,60,20240430,160000,17.4,17.4,17.2,17.3,858,0
PCF,60,20240430,170000,17.3,18.46,17.24,18.46,337,0
PCF,60,20240502,100000,18.46,18.46,17.2,17.44,302,0
PCF,60,20240502,110000,17.42,17.8,17.42,17.46,97,0
PCF,60,20240502,120000,17.46,17.48,17.4,17.42,381,0
PCF,60,20240502,130000,17.42,17.78,17.4,17.42,182,0
PCF,60,20240502,140000,17.42,17.42,17.38,17.38,232,0
PCF,60,20240502,150000,17.38,17.42,17.38,17.38,269,0
PCF,60,20240502,160000,17.38,17.38,17.32,17.34,196,0
PCF,60,20240502,170000,17.34,17.76,17.32,17.7,271,0
PCF,60,20240506,100000,17.58,17.58,17.22,17.22,311,0
PCF,60,20240506,110000,17.22,17.22,16.96,16.98,1496,0
PCF,60,20240506,120000,16.98,17.2,16.98,17.2,444,0
PCF,60,20240506,130000,17.1,17.36,17.04,17.22,244,0
PCF,60,20240506,140000,17.22,17.22,17.22,17.22,140,0
PCF,60,20240506,150000,17.22,17.22,17.2,17.2,168,0
PCF,60,20240506,160000,17.2,17.2,17,17.02,250,0
PCF,60,20240506,170000,17.02,17.58,17,17,1615,0
PCF,60,20240507,100000,17.04,17.48,17.04,17.12,325,0
PCF,60,20240507,110000,17.1,17.4,17.1,17.1,346,0
PCF,60,20240507,120000,17.1,17.1,17.1,17.1,72,0
PCF,60,20240507,130000,17.1,17.1,17.02,17.02,105,0
PCF,60,20240507,140000,17.02,17.5,17.02,17.08,1819,0
PCF,60,20240507,150000,17.04,17.48,17.04,17.1,121,0
PCF,60,20240507,160000,17.1,17.54,17.06,17.1,207,0
PCF,60,20240507,170000,17.1,17.5,17.06,17.48,107,0
PCF,60,20240508,100000,17.48,17.58,16.98,17.04,308,0
PCF,60,20240508,110000,17.04,17.04,16.96,17.04,463,0
PCF,60,20240508,120000,17.04,17.34,17.04,17.08,131,0
PCF,60,20240508,130000,17.08,17.28,17.08,17.1,102,0
PCF,60,20240508,140000,17.1,17.3,17,17,461,0
PCF,60,20240508,150000,17,17,16.96,16.96,365,0
PCF,60,20240508,160000,16.96,17.2,16.92,16.98,3451,0
PCF,60,20240508,170000,16.98,17.22,16.8,16.9,1472,0
PCF,60,20240509,100000,16.88,17,16.6,16.66,1915,0
PCF,60,20240509,110000,16.92,16.92,16.24,16.36,1197,0
PCF,60,20240509,120000,16.36,16.62,16.34,16.42,449,0
PCF,60,20240509,130000,16.42,16.88,16.32,16.34,1328,0
PCF,60,20240509,140000,16.32,16.36,16.3,16.32,1036,0
PCF,60,20240509,150000,16.32,16.76,16.28,16.28,2574,0
PCF,60,20240509,160000,16.28,16.42,16.2,16.2,251,0
PCF,60,20240509,170000,16.2,16.32,16.2,16.32,455,0
PCF,60,20240510,100000,16.48,16.48,16.44,16.44,102,0
PCF,60,20240510,110000,16.42,16.5,16.42,16.5,163,0
PCF,60,20240510,120000,16.5,16.9,16.5,16.9,349,0
PCF,60,20240510,130000,16.78,16.78,16.7,16.7,50,0
PCF,60,20240510,140000,16.7,16.78,16.5,16.5,177,0
PCF,60,20240510,150000,16.5,17.02,16.5,16.52,828,0
PCF,60,20240510,160000,16.5,16.5,16.2,16.2,922,0
PCF,60,20240510,170000,16.2,16.38,16.18,16.34,766,0
PCF,60,20240513,100000,16.34,16.34,16,16.24,748,0
PCF,60,20240513,110000,16.06,16.18,16,16.04,1207,0
PCF,60,20240513,120000,16.04,16.3,16.02,16.02,362,0
PCF,60,20240513,130000,16.02,16.08,16.02,16.08,400,0
PCF,60,20240513,140000,16.08,16.92,16.08,16.56,1078,0
PCF,60,20240513,150000,16.56,16.6,16.32,16.32,474,0
PCF,60,20240513,160000,16.32,17,16.32,16.7,300,0
PCF,60,20240513,170000,16.7,16.8,16.34,16.8,274,0
PCF,60,20240514,100000,16.8,16.8,16.26,16.28,722,0
PCF,60,20240514,110000,16.26,17.6,16.26,17.42,989,0
PCF,60,20240514,120000,17.42,17.56,16.86,17.02,436,0
PCF,60,20240514,130000,17.02,17.2,17,17.2,135,0
PCF,60,20240514,140000,17.2,17.28,17.1,17.1,687,0
PCF,60,20240514,150000,17.1,17.36,17.1,17.16,421,0
PCF,60,20240514,160000,17.14,17.3,17.1,17.3,206,0
PCF,60,20240514,170000,17.3,17.4,16.74,16.74,3294,0
PCF,60,20240515,100000,17,17.04,16.74,16.74,135,0
PCF,60,20240515,110000,16.7,16.92,16.7,16.72,70,0
PCF,60,20240515,120000,16.7,16.78,16.7,16.7,78,0
PCF,60,20240515,130000,16.7,16.98,16.7,16.7,177,0
PCF,60,20240515,140000,16.7,16.8,16.68,16.68,848,0
PCF,60,20240515,150000,16.68,16.68,16.48,16.48,599,0
PCF,60,20240515,160000,16.48,16.76,16.48,16.62,578,0
PCF,60,20240515,170000,16.62,16.68,16.62,16.68,151,0
PCF,60,20240516,100000,16.68,16.68,16.04,16.04,1157,0
PCF,60,20240516,110000,16.06,16.48,16,16.04,1090,0
PCF,60,20240516,120000,16.04,16.34,16.04,16.16,221,0
PCF,60,20240516,130000,16.16,16.34,16.12,16.12,160,0
PCF,60,20240516,140000,16.12,17,16.12,16.34,5796,0
PCF,60,20240516,150000,16.36,16.36,16.12,16.2,649,0
PCF,60,20240516,160000,16.2,16.58,16.2,16.26,142,0
PCF,60,20240516,170000,16.26,16.5,16.26,16.26,307,0
PCF,60,20240517,100000,16.26,16.62,16.18,16.36,778,0
PCF,60,20240517,110000,16.36,16.36,16.32,16.32,60,0
PCF,60,20240517,120000,16.32,16.5,16.32,16.5,147,0
PCF,60,20240517,130000,16.5,16.62,16.5,16.54,461,0
PCF,60,20240517,140000,16.54,16.82,16.5,16.5,263,0
PCF,60,20240517,150000,16.5,16.94,16.32,16.42,1439,0
PCF,60,20240517,160000,16.44,16.44,16.42,16.42,149,0
PCF,60,20240517,170000,16.42,16.5,16.32,16.32,494,0
PCF,60,20240520,100000,16.3,16.5,16.3,16.34,360,0
PCF,60,20240520,110000,16.34,16.52,16.34,16.38,665,0
PCF,60,20240520,120000,16.38,16.52,16.34,16.42,154,0
PCF,60,20240520,130000,16.42,16.44,16.34,16.34,1640,0
PCF,60,20240520,140000,16.34,16.44,16.34,16.34,151,0
PCF,60,20240520,150000,16.34,16.8,16.34,16.5,818,0
PCF,60,20240520,160000,16.5,16.5,16.5,16.5,149,0
PCF,60,20240520,170000,16.5,16.5,16.3,16.5,698,0
PCF,60,20240521,100000,16.5,16.54,16.5,16.5,207,0
PCF,60,20240521,110000,16.5,16.5,16.5,16.5,60,0
PCF,60,20240521,120000,16.5,16.5,16.5,16.5,87,0
PCF,60,20240521,130000,16.5,17,16.5,16.62,1423,0
PCF,60,20240521,140000,16.64,16.98,16.62,16.8,554,0
PCF,60,20240521,150000,16.8,16.9,16.8,16.8,125,0
PCF,60,20240521,160000,16.8,16.8,16.7,16.7,120,0
PCF,60,20240521,170000,16.7,17,16.7,17,142,0
PCF,60,20240522,100000,16.98,16.98,16.68,16.72,325,0
PCF,60,20240522,110000,16.72,16.72,16.72,16.72,59,0
PCF,60,20240522,120000,16.72,17,16.72,16.72,2676,0
PCF,60,20240522,130000,16.72,16.82,16.72,16.78,103,0
PCF,60,20240522,140000,16.78,17,16.74,16.76,349,0
PCF,60,20240522,150000,16.76,16.76,16.52,16.56,327,0
PCF,60,20240522,160000,16.56,16.9,16.5,16.62,821,0
PCF,60,20240522,170000,16.6,16.84,16.52,16.84,1537,0
PCF,60,20240523,100000,16.84,17.16,16.66,16.94,2870,0
PCF,60,20240523,110000,16.94,17.18,16.9,16.92,234,0
PCF,60,20240523,120000,16.92,16.92,16.92,16.92,79,0
PCF,60,20240523,130000,16.92,17.08,16.9,16.92,201,0
PCF,60,20240523,140000,16.92,16.98,16.78,16.98,146,0
PCF,60,20240523,150000,16.98,17,16.7,16.74,1441,0
PCF,60,20240523,160000,16.74,17,16.7,16.7,875,0
PCF,60,20240523,170000,16.7,16.94,16.66,16.94,3055,0
PCF,60,20240524,100000,16.92,16.92,16.7,16.72,161,0
PCF,60,20240524,110000,16.72,16.72,16.72,16.72,60,0
PCF,60,20240524,120000,16.72,16.88,16.7,16.72,154,0
PCF,60,20240524,130000,16.72,16.72,16.54,16.56,281,0
PCF,60,20240524,140000,16.56,16.56,16.56,16.56,115,0
PCF,60,20240524,150000,16.56,16.62,16.56,16.62,160,0
PCF,60,20240524,160000,16.62,16.62,16.52,16.6,315,0
PCF,60,20240524,170000,16.6,16.76,16.56,16.76,114,0
PCF,60,20240527,100000,16.76,16.9,16.76,16.9,489,0
PCF,60,20240527,110000,16.9,16.9,16.76,16.8,419,0
PCF,60,20240527,120000,16.8,16.92,16.6,16.64,5463,0
PCF,60,20240527,130000,16.64,16.94,16.64,16.64,187,0
PCF,60,20240527,140000,16.64,16.92,16.64,16.72,235,0
PCF,60,20240527,150000,16.72,16.9,16.68,16.68,165,0
PCF,60,20240527,160000,16.7,16.86,16.68,16.68,148,0
PCF,60,20240527,170000,16.68,16.68,16.58,16.6,162,0
PCF,60,20240528,100000,17.8,18.8,17.04,18.1,10246,0
PCF,60,20240528,110000,18.1,18.48,18.1,18.24,2819,0
PCF,60,20240528,120000,18.24,19.54,18.24,19.12,15436,0
PCF,60,20240528,130000,19.12,19.5,18.8,19.08,38421,0
PCF,60,20240528,140000,19.06,19.42,18.98,18.98,7384,0
PCF,60,20240528,150000,18.8,19.18,18.8,19.18,3487,0
PCF,60,20240528,160000,19,19,18.9,18.9,2383,0
PCF,60,20240528,170000,19,19.1,18.94,19,2274,0
PCF,60,20240529,100000,19.2,19.8,19,19.78,13966,0
PCF,60,20240529,110000,19.76,19.78,19.5,19.72,1706,0
PCF,60,20240529,120000,19.6,19.6,19.5,19.6,1913,0
