<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO,60,20240411,100000,151.741,153.243,151.052,151.174,56135.103490527,0
PEO,60,20240411,110000,151.133,151.336,149.956,149.956,58863.542364054,0
PEO,60,20240411,120000,149.875,150.2,149.267,149.916,59411.941324632,0
PEO,60,20240411,130000,149.916,150.768,149.794,149.997,29158.804058953,0
PEO,60,20240411,140000,150.078,150.281,148.496,149.185,59267.755530502,0
PEO,60,20240411,150000,149.267,150.443,148.334,149.713,47746.447929507,0
PEO,60,20240411,160000,149.753,149.794,148.617,148.943,52226.066405239,0
PEO,60,20240411,170000,148.902,148.983,148.09,148.496,211430.59791126,0
PEO,60,20240412,100000,149.956,150.97,148.171,148.577,97875.042355187,0
PEO,60,20240412,110000,148.577,149.47,147.765,148.78,79257.821911478,0
PEO,60,20240412,120000,148.861,149.916,148.821,149.632,50891.42354163,0
PEO,60,20240412,130000,149.632,149.956,148.821,148.861,64349.996684263,0
PEO,60,20240412,140000,148.902,149.51,148.414,149.063,47019.357172786,0
PEO,60,20240412,150000,148.983,148.983,147.846,147.887,71076.202362542,0
PEO,60,20240412,160000,147.887,148.658,147.644,148.171,87174.484659237,0
PEO,60,20240412,170000,148.212,148.212,146.427,146.427,277744.97199588,0
PEO,60,20240415,100000,146.386,148.455,145.94,148.293,86826.959924668,0
PEO,60,20240415,110000,148.293,149.104,148.09,148.496,64883.607358263,0
PEO,60,20240415,120000,148.334,148.577,147.4,147.441,35639.77065149,0
PEO,60,20240415,130000,147.522,147.968,147.319,147.685,20831.766358672,0
PEO,60,20240415,140000,147.725,148.536,147.685,148.171,22870.085191921,0
PEO,60,20240415,150000,148.171,148.983,147.887,148.536,51386.831141973,0
PEO,60,20240415,160000,148.536,149.104,148.496,148.78,71002.260929655,0
PEO,60,20240415,170000,148.78,148.861,147.36,147.644,181219.36079088,0
PEO,60,20240416,100000,146.873,146.873,143.383,144.439,168240.1746048,0
PEO,60,20240416,110000,144.398,144.52,143.465,144.073,99467.247876685,0
PEO,60,20240416,120000,144.114,144.276,143.302,143.587,87355.64116981,0
PEO,60,20240416,130000,143.627,144.52,143.546,144.155,103901.26913547,0
PEO,60,20240416,140000,144.236,145.007,144.195,144.48,48559.803691263,0
PEO,60,20240416,150000,144.48,144.682,143.912,144.195,64474.464762956,0
PEO,60,20240416,160000,144.195,144.276,142.085,142.329,123877.77958708,0
PEO,60,20240416,170000,142.288,143.181,141.761,143.181,219871.0124753,0
PEO,60,20240417,100000,143.708,145.372,143.302,145.331,90450.090136127,0
PEO,60,20240417,110000,145.412,146.305,144.966,146.102,99984.837906894,0
PEO,60,20240417,120000,146.021,146.995,145.615,146.061,85645.129355693,0
PEO,60,20240417,130000,146.143,148.009,146.021,147.725,52789.253652394,0
PEO,60,20240417,140000,147.725,148.171,147.157,147.4,81124.843091873,0
