<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGM,60,20240411,100000,3.66,3.66,3.66,3.66,20,0
PGM,60,20240411,130000,3.64,3.66,3.62,3.66,2285,0
PGM,60,20240412,100000,3.66,3.66,3.66,3.66,8,0
PGM,60,20240412,170000,3.66,3.66,3.6,3.6,472,0
PGM,60,20240415,100000,3.66,3.66,3.66,3.66,5,0
PGM,60,20240415,140000,3.66,3.66,3.66,3.66,27,0
PGM,60,20240415,170000,3.66,3.66,3.66,3.66,10,0
PGM,60,20240416,100000,3.72,3.72,3.72,3.72,25,0
PGM,60,20240416,130000,3.72,3.72,3.72,3.72,97,0
PGM,60,20240416,140000,3.72,3.72,3.72,3.72,4,0
PGM,60,20240417,100000,3.7,3.7,3.58,3.58,132,0
PGM,60,20240417,110000,3.58,3.58,3.58,3.58,2330,0
PGM,60,20240417,120000,3.66,3.66,3.56,3.66,164,0
PGM,60,20240417,170000,3.58,3.58,3.58,3.58,97,0
PGM,60,20240418,100000,3.66,3.66,3.66,3.66,34,0
PGM,60,20240418,110000,3.56,3.56,3.56,3.56,874,0
PGM,60,20240418,120000,3.64,3.64,3.52,3.52,6,0
PGM,60,20240418,140000,3.66,3.66,3.66,3.66,5,0
PGM,60,20240418,170000,3.54,3.66,3.52,3.66,45,0
PGM,60,20240419,100000,3.68,3.68,3.52,3.52,55,0
PGM,60,20240419,120000,3.66,3.66,3.66,3.66,102,0
PGM,60,20240422,100000,3.68,3.68,3.66,3.66,455,0
PGM,60,20240422,140000,3.66,3.66,3.66,3.66,18,0
PGM,60,20240423,100000,3.68,3.68,3.54,3.54,40,0
PGM,60,20240423,110000,3.54,3.54,3.52,3.52,500,0
PGM,60,20240423,170000,3.64,3.64,3.64,3.64,5,0
PGM,60,20240424,100000,3.64,3.64,3.64,3.64,2,0
PGM,60,20240424,110000,3.54,3.54,3.52,3.52,107,0
PGM,60,20240424,120000,3.52,3.52,3.52,3.52,450,0
PGM,60,20240424,150000,3.54,3.54,3.54,3.54,5,0
PGM,60,20240424,170000,3.52,3.64,3.52,3.64,31,0
PGM,60,20240425,100000,3.66,3.66,3.52,3.52,2550,0
PGM,60,20240425,170000,3.62,3.62,3.62,3.62,5,0
PGM,60,20240426,100000,3.5,3.5,3.5,3.5,350,0
PGM,60,20240426,110000,3.5,3.5,3.5,3.5,1000,0
PGM,60,20240426,120000,3.5,3.5,3.5,3.5,1260,0
PGM,60,20240426,130000,3.48,3.48,3.46,3.46,3168,0
PGM,60,20240426,170000,3.5,3.5,3.5,3.5,658,0
PGM,60,20240429,100000,3.5,3.5,3.5,3.5,580,0
PGM,60,20240429,160000,3.5,3.5,3.5,3.5,10,0
PGM,60,20240430,100000,3.5,3.5,3.5,3.5,5,0
PGM,60,20240430,110000,3.44,3.44,3.4,3.4,58341,0
PGM,60,20240430,120000,3.4,3.4,3.34,3.36,10012,0
PGM,60,20240430,150000,3.34,3.34,3.22,3.22,2,0
PGM,60,20240506,100000,3.34,3.34,3.34,3.34,104,0
PGM,60,20240506,130000,3.34,3.34,3.34,3.34,250,0
PGM,60,20240506,160000,3.34,3.34,3.34,3.34,5,0
PGM,60,20240506,170000,3.24,3.24,3.24,3.24,400,0
PGM,60,20240507,100000,3.22,3.22,3.2,3.2,3623,0
PGM,60,20240507,170000,3.1,3.1,2.9,2.9,4339,0
PGM,60,20240508,100000,3,3,2.88,2.88,3569,0
PGM,60,20240508,120000,2.9,2.9,2.9,2.9,11,0
PGM,60,20240508,130000,2.82,2.9,2.82,2.9,51,0
PGM,60,20240508,160000,2.9,2.9,2.9,2.9,500,0
PGM,60,20240508,170000,2.9,2.9,2.9,2.9,495,0
PGM,60,20240509,100000,2.94,2.94,2.94,2.94,2,0
PGM,60,20240509,160000,2.94,2.94,2.94,2.94,56,0
PGM,60,20240510,100000,2.94,2.94,2.94,2.94,5,0
PGM,60,20240510,110000,2.94,2.94,2.94,2.94,1000,0
PGM,60,20240513,100000,2.94,2.94,2.94,2.94,5,0
PGM,60,20240513,110000,2.84,2.84,2.82,2.82,2820,0
PGM,60,20240513,120000,2.84,2.84,2.84,2.84,350,0
PGM,60,20240513,130000,2.84,2.84,2.84,2.84,386,0
PGM,60,20240513,160000,2.82,2.82,2.82,2.82,675,0
PGM,60,20240514,100000,2.82,2.82,2.82,2.82,255,0
PGM,60,20240514,160000,2.82,2.82,2.82,2.82,1,0
PGM,60,20240514,170000,2.9,2.9,2.9,2.9,7,0
PGM,60,20240515,100000,2.92,2.92,2.92,2.92,15,0
PGM,60,20240515,110000,2.92,2.92,2.92,2.92,1100,0
PGM,60,20240515,130000,2.9,2.9,2.9,2.9,18,0
PGM,60,20240515,140000,2.9,2.9,2.9,2.9,15,0
PGM,60,20240516,100000,2.9,2.9,2.9,2.9,5,0
PGM,60,20240516,170000,2.9,2.9,2.82,2.88,4,0
PGM,60,20240517,100000,2.88,2.88,2.88,2.88,5,0
PGM,60,20240517,170000,2.88,2.88,2.88,2.88,20,0
PGM,60,20240520,100000,2.88,2.88,2.82,2.82,968,0
PGM,60,20240520,170000,2.88,2.88,2.88,2.88,15,0
PGM,60,20240521,100000,2.94,2.94,2.94,2.94,5,0
