<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGV,60,20240411,100000,0.475,0.476,0.475,0.476,5500,0
PGV,60,20240411,140000,0.467,0.467,0.462,0.465,250,0
PGV,60,20240411,160000,0.47,0.47,0.47,0.47,1065,0
PGV,60,20240411,170000,0.472,0.49,0.471,0.488,5082,0
PGV,60,20240412,100000,0.484,0.484,0.482,0.482,800,0
PGV,60,20240412,120000,0.465,0.48,0.465,0.48,82,0
PGV,60,20240412,140000,0.465,0.465,0.462,0.462,963,0
PGV,60,20240412,150000,0.465,0.465,0.463,0.463,571,0
PGV,60,20240412,160000,0.478,0.48,0.478,0.48,555,0
PGV,60,20240415,100000,0.479,0.479,0.453,0.453,770,0
PGV,60,20240415,140000,0.469,0.469,0.469,0.469,1771,0
PGV,60,20240415,150000,0.469,0.469,0.469,0.469,5198,0
PGV,60,20240415,160000,0.473,0.474,0.473,0.474,45,0
PGV,60,20240415,170000,0.458,0.458,0.458,0.458,249,0
PGV,60,20240416,110000,0.469,0.472,0.469,0.472,633,0
PGV,60,20240416,120000,0.469,0.476,0.469,0.476,201,0
PGV,60,20240416,140000,0.469,0.476,0.469,0.476,2775,0
PGV,60,20240416,160000,0.469,0.469,0.469,0.469,2500,0
PGV,60,20240416,170000,0.469,0.469,0.465,0.469,13594,0
PGV,60,20240417,100000,0.465,0.469,0.465,0.465,19661,0
PGV,60,20240417,110000,0.465,0.465,0.444,0.448,34792,0
PGV,60,20240417,120000,0.456,0.457,0.456,0.457,2550,0
PGV,60,20240417,130000,0.456,0.456,0.456,0.456,2000,0
PGV,60,20240417,140000,0.457,0.457,0.457,0.457,3000,0
PGV,60,20240417,160000,0.454,0.454,0.454,0.454,449,0
PGV,60,20240417,170000,0.459,0.46,0.459,0.46,1569,0
PGV,60,20240418,100000,0.454,0.454,0.42,0.43,139498,0
PGV,60,20240418,110000,0.432,0.454,0.432,0.454,15927,0
PGV,60,20240418,120000,0.45,0.46,0.42,0.424,66365,0
PGV,60,20240418,130000,0.43,0.435,0.429,0.435,2310,0
PGV,60,20240418,150000,0.43,0.43,0.427,0.427,2450,0
PGV,60,20240418,160000,0.433,0.436,0.433,0.436,3412,0
PGV,60,20240418,170000,0.435,0.439,0.434,0.439,9333,0
PGV,60,20240419,100000,0.446,0.446,0.446,0.446,134,0
PGV,60,20240419,110000,0.43,0.438,0.43,0.43,13700,0
PGV,60,20240419,120000,0.433,0.433,0.429,0.429,200,0
PGV,60,20240419,130000,0.43,0.43,0.43,0.43,3010,0
PGV,60,20240419,140000,0.433,0.447,0.433,0.447,1300,0
PGV,60,20240419,160000,0.443,0.444,0.443,0.444,45,0
PGV,60,20240419,170000,0.446,0.446,0.44,0.446,17,0
PGV,60,20240422,100000,0.434,0.445,0.426,0.445,205,0
PGV,60,20240422,110000,0.429,0.443,0.428,0.443,234,0
PGV,60,20240423,100000,0.446,0.446,0.446,0.446,2606,0
PGV,60,20240423,110000,0.447,0.49,0.447,0.49,32255,0
PGV,60,20240423,120000,0.508,0.508,0.475,0.475,27399,0
PGV,60,20240423,130000,0.48,0.506,0.453,0.5,12026,0
PGV,60,20240423,140000,0.5,0.504,0.483,0.5,14212,0
PGV,60,20240423,150000,0.49,0.495,0.48,0.48,6580,0
PGV,60,20240423,160000,0.484,0.5,0.47,0.5,8049,0
PGV,60,20240423,170000,0.5,0.5,0.482,0.496,3594,0
PGV,60,20240424,100000,0.496,0.499,0.496,0.496,3239,0
PGV,60,20240424,110000,0.49,0.49,0.49,0.49,1318,0
PGV,60,20240424,120000,0.482,0.489,0.472,0.489,1089,0
PGV,60,20240424,130000,0.49,0.49,0.49,0.49,40,0
PGV,60,20240424,140000,0.49,0.502,0.482,0.502,13257,0
PGV,60,20240424,150000,0.502,0.506,0.497,0.506,13147,0
PGV,60,20240424,160000,0.506,0.506,0.495,0.495,850,0
PGV,60,20240424,170000,0.5,0.506,0.483,0.506,6622,0
PGV,60,20240425,100000,0.49,0.504,0.485,0.485,17908,0
PGV,60,20240425,110000,0.485,0.485,0.485,0.485,1596,0
PGV,60,20240425,120000,0.485,0.485,0.48,0.48,6833,0
PGV,60,20240425,150000,0.474,0.474,0.474,0.474,405,0
PGV,60,20240425,160000,0.474,0.489,0.472,0.489,4986,0
PGV,60,20240425,170000,0.489,0.489,0.489,0.489,70,0
PGV,60,20240426,100000,0.489,0.489,0.48,0.485,5245,0
PGV,60,20240426,110000,0.48,0.484,0.48,0.484,1922,0
PGV,60,20240426,120000,0.48,0.484,0.477,0.484,8561,0
PGV,60,20240426,130000,0.477,0.477,0.477,0.477,500,0
PGV,60,20240426,140000,0.478,0.478,0.477,0.477,500,0
PGV,60,20240426,150000,0.477,0.477,0.477,0.477,997,0
PGV,60,20240426,160000,0.477,0.477,0.477,0.477,2503,0
PGV,60,20240429,100000,0.485,0.485,0.479,0.479,4076,0
PGV,60,20240429,110000,0.48,0.49,0.48,0.49,2588,0
PGV,60,20240429,120000,0.48,0.48,0.479,0.479,5088,0
PGV,60,20240429,130000,0.475,0.475,0.474,0.474,2500,0
PGV,60,20240429,140000,0.475,0.475,0.473,0.473,1500,0
PGV,60,20240429,150000,0.473,0.473,0.471,0.471,4565,0
PGV,60,20240429,160000,0.482,0.488,0.482,0.488,14798,0
PGV,60,20240429,170000,0.474,0.484,0.472,0.484,7569,0
PGV,60,20240430,100000,0.475,0.475,0.465,0.471,32232,0
PGV,60,20240430,110000,0.47,0.47,0.47,0.47,1053,0
PGV,60,20240430,120000,0.479,0.479,0.479,0.479,96,0
PGV,60,20240430,140000,0.479,0.479,0.479,0.479,60,0
PGV,60,20240430,150000,0.48,0.48,0.48,0.48,785,0
PGV,60,20240502,100000,0.497,0.497,0.497,0.497,522,0
PGV,60,20240502,120000,0.48,0.48,0.473,0.473,2560,0
PGV,60,20240502,130000,0.473,0.473,0.472,0.472,4100,0
PGV,60,20240502,150000,0.494,0.494,0.494,0.494,102,0
PGV,60,20240502,160000,0.472,0.472,0.472,0.472,2084,0
PGV,60,20240502,170000,0.494,0.494,0.494,0.494,3333,0
PGV,60,20240506,110000,0.474,0.474,0.47,0.47,2555,0
PGV,60,20240506,120000,0.47,0.47,0.47,0.47,1994,0
PGV,60,20240506,130000,0.478,0.478,0.478,0.478,43,0
PGV,60,20240506,140000,0.475,0.475,0.469,0.469,6137,0
PGV,60,20240506,150000,0.474,0.474,0.474,0.474,2107,0
PGV,60,20240506,160000,0.471,0.475,0.464,0.475,12302,0
PGV,60,20240506,170000,0.467,0.47,0.467,0.47,349,0
PGV,60,20240507,100000,0.47,0.49,0.47,0.49,3298,0
PGV,60,20240507,110000,0.49,0.49,0.471,0.471,599,0
PGV,60,20240507,130000,0.471,0.471,0.471,0.471,150,0
PGV,60,20240507,140000,0.471,0.471,0.471,0.471,150,0
PGV,60,20240507,150000,0.467,0.467,0.457,0.457,6001,0
PGV,60,20240507,160000,0.469,0.469,0.469,0.469,2,0
PGV,60,20240507,170000,0.469,0.49,0.463,0.466,3944,0
