<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHN,60,20240411,100000,11.95,11.95,11.95,11.95,135,0
PHN,60,20240411,110000,11.95,11.95,11.95,11.95,200,0
PHN,60,20240411,130000,12,12,12,12,12472,0
PHN,60,20240411,140000,12,12,12,12,4327,0
PHN,60,20240411,160000,11.8,11.8,11.8,11.8,10,0
PHN,60,20240411,170000,11.75,11.75,11.75,11.75,200,0
PHN,60,20240412,100000,11.95,11.95,11.6,11.65,1562,0
PHN,60,20240412,110000,11.85,11.95,11.85,11.95,6760,0
PHN,60,20240412,120000,11.95,11.95,11.85,11.85,1506,0
PHN,60,20240412,130000,11.85,11.95,11.85,11.95,225,0
PHN,60,20240412,140000,11.85,11.85,11.85,11.85,10000,0
PHN,60,20240412,150000,11.8,11.8,11.8,11.8,2200,0
PHN,60,20240412,170000,11.8,11.8,11.8,11.8,412,0
PHN,60,20240415,100000,11.95,11.95,11.95,11.95,14,0
PHN,60,20240415,140000,11.8,11.95,11.75,11.95,108,0
PHN,60,20240415,160000,11.9,11.95,11.85,11.9,6716,0
PHN,60,20240415,170000,11.9,11.9,11.9,11.9,2,0
PHN,60,20240416,100000,11.95,11.95,11.95,11.95,10,0
PHN,60,20240416,110000,11.8,11.8,11.8,11.8,369,0
PHN,60,20240416,130000,11.9,11.95,11.9,11.95,16320,0
PHN,60,20240416,160000,11.8,11.8,11.8,11.8,200,0
PHN,60,20240416,170000,11.95,11.95,11.95,11.95,2,0
PHN,60,20240417,100000,11.9,11.9,11.75,11.75,262,0
PHN,60,20240417,120000,11.7,11.7,11.7,11.7,136,0
PHN,60,20240417,170000,11.75,11.75,11.75,11.75,225,0
PHN,60,20240418,100000,11.9,11.9,11.9,11.9,12,0
PHN,60,20240418,120000,11.8,11.8,11.8,11.8,12,0
PHN,60,20240418,160000,11.75,11.75,11.7,11.7,250,0
PHN,60,20240418,170000,11.8,11.8,11.8,11.8,2,0
PHN,60,20240419,100000,11.85,11.85,11.85,11.85,2,0
PHN,60,20240419,110000,11.75,11.75,11.75,11.75,14,0
