<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN,60,20240411,100000,64.1101,65.219,63.6442,64.576,403941.42923173,0
PKN,60,20240411,110000,64.576,64.7438,64.2778,64.4549,129488.85175571,0
PKN,60,20240411,120000,64.399,64.604,63.9238,63.9797,600852.22493336,0
PKN,60,20240411,130000,63.9983,64.1474,63.6349,64.0635,170532.68182854,0
PKN,60,20240411,140000,64.0822,64.2499,63.7653,64.1101,165648.76009395,0
PKN,60,20240411,150000,64.0915,64.3617,63.9238,64.2965,267169.08443873,0
PKN,60,20240411,160000,64.2778,64.7344,64.0356,64.371,198081.60620756,0
PKN,60,20240411,170000,64.371,64.371,63.551,63.551,610452.65645121,0
PKN,60,20240412,100000,63.6442,64.4269,63.6349,63.9983,206856.78265753,0
PKN,60,20240412,110000,63.9983,64.1381,63.4578,63.5044,161745.7006897,0
PKN,60,20240412,120000,63.5044,63.6535,63.1783,63.2901,230600.30460392,0
PKN,60,20240412,130000,63.3274,63.3274,62.7496,62.8894,250339.89071383,0
PKN,60,20240412,140000,62.8987,62.9081,62.2558,62.5446,314426.47347516,0
PKN,60,20240412,150000,62.5633,62.6192,62.1999,62.2092,220671.48810457,0
PKN,60,20240412,160000,62.2092,63.0106,61.9855,62.936,446395.38304863,0
PKN,60,20240412,170000,62.9081,63.2249,62.8056,63.2249,1030025.6400636,0
PKN,60,20240415,100000,63.1783,64.0635,63.141,63.4019,332789.20360057,0
PKN,60,20240415,110000,63.3833,63.6349,63.3647,63.4858,167910.96774425,0
PKN,60,20240415,120000,63.4858,63.6256,63.3647,63.5976,218180.69875146,0
PKN,60,20240415,130000,63.6162,64.0635,63.6162,64.0263,222867.16023575,0
PKN,60,20240415,140000,64.0356,64.6599,63.9238,64.2965,262531.98801701,0
PKN,60,20240415,150000,64.3151,64.3151,63.8492,64.0728,126377.77965977,0
PKN,60,20240415,160000,64.1008,64.3244,63.7467,63.8585,266241.87978509,0
PKN,60,20240415,170000,63.8399,64.1753,63.7374,64.1101,829122.71321432,0
PKN,60,20240416,100000,63.3647,63.5417,62.8987,63.3274,1047348.4844142,0
PKN,60,20240416,110000,63.2901,63.3647,62.8987,63.169,482416.85458095,0
PKN,60,20240416,120000,63.169,63.6442,63.1317,63.4392,339711.0438968,0
PKN,60,20240416,130000,63.4392,63.8212,63.3833,63.4578,77254.176627188,0
PKN,60,20240416,140000,63.4578,63.6349,63.3647,63.5417,109446.63634912,0
PKN,60,20240416,150000,63.5417,63.7094,62.7124,62.7124,584748.48299766,0
PKN,60,20240416,160000,62.7124,62.8987,61.1096,61.5569,685226.77526063,0
PKN,60,20240416,170000,61.5289,61.7153,60.9978,61.2494,595957.57166342,0
PKN,60,20240417,100000,61.4078,62.1905,61.1562,61.7712,254455.43451787,0
PKN,60,20240417,110000,61.7712,62.498,61.5196,62.4328,204365.99330442,0
PKN,60,20240417,120000,62.4328,62.6192,62.0601,62.3303,293809.04777419,0
PKN,60,20240417,130000,62.3303,62.4794,62.2651,62.3676,108358.45866534,0
PKN,60,20240417,140000,62.3396,62.964,62.3396,62.7031,210393.89670658,0
PKN,60,20240417,150000,62.7124,62.9081,62.4887,62.6751,232109.15847314,0
PKN,60,20240417,160000,62.6565,63.2715,62.6005,63.0571,283324.33774408,0
PKN,60,20240417,170000,63.0571,63.1037,62.6844,62.9267,693226.06170531,0
PKN,60,20240418,100000,63.1224,63.1783,62.4515,62.7124,136242.20694706,0
