<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRM,60,20240411,100000,32.2,32.2,32,32.2,128,0
PRM,60,20240411,110000,32,32,31.4,31.4,90,0
PRM,60,20240411,120000,31.6,31.6,31.4,31.4,70,0
PRM,60,20240411,130000,31.6,32,31.4,32,70,0
PRM,60,20240411,140000,31.6,32,31.6,32,50,0
PRM,60,20240411,150000,32,32,32,32,33,0
PRM,60,20240411,160000,32,32.8,32,32.8,157,0
PRM,60,20240411,170000,32.8,32.8,32.6,32.6,377,0
PRM,60,20240412,100000,32.8,33,32.8,33,68,0
PRM,60,20240412,110000,33,33.4,32.8,33.4,354,0
PRM,60,20240412,120000,33.4,33.4,33.4,33.4,50,0
PRM,60,20240412,130000,33,33,33,33,7,0
PRM,60,20240412,140000,32.8,33,32.8,33,13,0
PRM,60,20240412,160000,32.6,33,32.6,32.6,111,0
PRM,60,20240412,170000,33,33,32.6,33,188,0
PRM,60,20240415,100000,32.4,33,32.4,33,205,0
PRM,60,20240415,110000,32.2,33,32.2,33,453,0
PRM,60,20240415,120000,32.4,32.4,32.4,32.4,7,0
PRM,60,20240415,130000,33,33,33,33,10,0
PRM,60,20240415,150000,32.4,33,32.2,32.8,78,0
PRM,60,20240415,160000,32.2,32.6,32,32.6,294,0
PRM,60,20240415,170000,31.8,32.6,31.8,32.6,355,0
PRM,60,20240416,100000,32.8,32.8,32.8,32.8,1,0
PRM,60,20240416,120000,32.6,32.6,32.6,32.6,306,0
PRM,60,20240416,150000,31.8,31.8,31.8,31.8,9,0
PRM,60,20240416,160000,31.8,32.2,31,32.2,934,0
PRM,60,20240416,170000,31.6,32.6,31.4,32.4,986,0
PRM,60,20240417,100000,32.6,32.8,32.6,32.8,2,0
PRM,60,20240417,110000,32,32,32,32,31,0
PRM,60,20240417,120000,32.2,32.4,31.6,31.6,457,0
PRM,60,20240417,130000,32,32,31.8,31.8,121,0
PRM,60,20240417,140000,32.2,32.2,31.8,31.8,437,0
PRM,60,20240417,150000,31.8,32.2,31.8,32.2,361,0
PRM,60,20240417,160000,32.2,32.4,32.2,32.4,44,0
PRM,60,20240417,170000,32.4,33.2,31.8,33.2,202,0
PRM,60,20240418,100000,33,33,33,33,6,0
PRM,60,20240418,120000,32.2,32.2,32,32,217,0
PRM,60,20240418,130000,32.4,32.4,32,32.4,70,0
PRM,60,20240418,140000,32.4,33.4,32.4,33.4,510,0
PRM,60,20240418,170000,33.2,33.4,33.2,33.4,233,0
PRM,60,20240419,100000,33.4,33.4,32.4,32.4,3,0
PRM,60,20240419,110000,32.8,32.8,32.8,32.8,4,0
PRM,60,20240419,140000,32.4,32.4,32.4,32.4,182,0
PRM,60,20240419,150000,32.8,33.4,32.8,33.4,59,0
PRM,60,20240419,160000,32.6,32.6,32.6,32.6,51,0
PRM,60,20240419,170000,32.4,33,32.4,33,656,0
PRM,60,20240422,100000,33,33,32.4,32.4,37,0
PRM,60,20240422,110000,33,33.4,33,33.4,119,0
PRM,60,20240422,140000,32.8,33.2,32.8,33.2,537,0
PRM,60,20240422,160000,32.6,33.4,32.6,33.4,244,0
PRM,60,20240422,170000,33.4,33.4,33.4,33.4,4,0
PRM,60,20240423,100000,33.4,33.4,33.4,33.4,1,0
PRM,60,20240423,120000,33,33,33,33,1,0
PRM,60,20240423,130000,33,33,33,33,1,0
PRM,60,20240423,140000,33,33,33,33,200,0
PRM,60,20240423,150000,33,33.2,32.4,33.2,52,0
PRM,60,20240423,170000,33.2,34.6,33.2,34.4,1317,0
PRM,60,20240424,100000,34.2,34.4,34.2,34.4,60,0
PRM,60,20240424,120000,34.2,34.4,34.2,34.4,30,0
PRM,60,20240424,150000,34.2,34.2,34.2,34.2,18,0
PRM,60,20240424,160000,34.2,34.4,34.2,34.4,40,0
PRM,60,20240424,170000,33.4,34.4,32.8,34.4,270,0
PRM,60,20240425,100000,34.4,34.8,34.4,34.8,98,0
PRM,60,20240425,110000,33.6,34.4,33.6,34.4,205,0
