<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRT,60,20240411,100000,2.04,2.04,2.04,2.04,2,0
PRT,60,20240411,110000,2,2.04,2,2,5119,0
PRT,60,20240411,120000,2,2.04,1.995,1.995,3420,0
PRT,60,20240411,130000,1.995,2,1.96,2,15027,0
PRT,60,20240411,160000,2.01,2.01,2,2,2885,0
PRT,60,20240411,170000,2.02,2.04,2.02,2.04,10014,0
PRT,60,20240412,100000,2.04,2.04,1.99,1.99,529,0
PRT,60,20240412,120000,2.03,2.03,2.03,2.03,17,0
PRT,60,20240412,140000,2,2,2,2,150,0
PRT,60,20240412,170000,2,2.02,1.99,2.02,9785,0
PRT,60,20240415,100000,2.03,2.03,1.99,1.99,885,0
PRT,60,20240415,110000,2,2.05,2,2.05,6147,0
PRT,60,20240415,120000,2.04,2.05,2,2.05,1760,0
PRT,60,20240415,130000,2.05,2.05,2.03,2.03,2700,0
PRT,60,20240415,140000,2.04,2.04,2.04,2.04,20,0
PRT,60,20240415,150000,2.04,2.06,2.01,2.01,1202,0
PRT,60,20240415,160000,2.01,2.01,2.01,2.01,2022,0
PRT,60,20240415,170000,2.01,2.05,2.01,2.05,389,0
PRT,60,20240416,100000,2.05,2.05,2.03,2.03,95,0
PRT,60,20240416,120000,2.02,2.02,1.96,1.96,13212,0
PRT,60,20240416,130000,2.01,2.01,2.01,2.01,501,0
PRT,60,20240416,160000,2.01,2.02,2.01,2.02,500,0
PRT,60,20240416,170000,2.02,2.02,2.02,2.02,2,0
PRT,60,20240417,100000,2.01,2.01,1.98,2.01,5083,0
PRT,60,20240417,110000,2.01,2.01,2.01,2.01,55,0
PRT,60,20240417,120000,1.99,2,1.99,2,505,0
PRT,60,20240417,130000,2,2.01,2,2.01,100,0
PRT,60,20240417,170000,1.98,1.98,1.98,1.98,360,0
PRT,60,20240418,100000,2.01,2.01,2.01,2.01,2,0
PRT,60,20240418,110000,1.98,1.98,1.98,1.98,300,0
PRT,60,20240418,120000,2,2.01,2,2.01,1150,0
PRT,60,20240418,140000,1.99,2.01,1.99,2.01,529,0
PRT,60,20240419,100000,1.9,1.98,1.9,1.98,12199,0
PRT,60,20240419,110000,1.97,1.98,1.97,1.97,1332,0
PRT,60,20240419,120000,1.945,1.945,1.92,1.92,425,0
PRT,60,20240419,130000,1.96,1.98,1.94,1.94,1930,0
PRT,60,20240419,140000,1.94,1.97,1.92,1.97,5974,0
PRT,60,20240419,150000,1.955,1.97,1.9,1.96,15008,0
PRT,60,20240419,170000,1.93,1.96,1.93,1.96,1748,0
PRT,60,20240422,100000,1.97,1.98,1.905,1.975,6183,0
PRT,60,20240422,110000,1.975,1.975,1.975,1.975,1726,0
PRT,60,20240422,120000,1.975,1.98,1.96,1.96,1021,0
