<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWX,60,20240411,100000,1.845,1.845,1.845,1.845,10,0
PWX,60,20240411,120000,1.845,1.845,1.845,1.845,50,0
PWX,60,20240411,140000,1.845,1.855,1.845,1.855,1004,0
PWX,60,20240411,160000,1.84,1.855,1.84,1.855,1153,0
PWX,60,20240412,100000,1.855,1.855,1.805,1.84,4702,0
PWX,60,20240412,120000,1.815,1.815,1.815,1.815,5,0
PWX,60,20240412,140000,1.84,1.84,1.84,1.84,99,0
PWX,60,20240415,100000,1.84,1.84,1.81,1.81,997,0
PWX,60,20240415,110000,1.81,1.81,1.795,1.795,550,0
PWX,60,20240415,130000,1.835,1.84,1.835,1.84,400,0
PWX,60,20240416,100000,1.84,1.84,1.815,1.815,1005,0
PWX,60,20240416,140000,1.815,1.815,1.8,1.8,3447,0
PWX,60,20240416,150000,1.81,1.81,1.8,1.81,1507,0
PWX,60,20240416,160000,1.8,1.8,1.8,1.8,1000,0
PWX,60,20240417,100000,1.815,1.815,1.81,1.81,3250,0
PWX,60,20240417,110000,1.815,1.815,1.815,1.815,6,0
PWX,60,20240417,130000,1.815,1.815,1.81,1.81,1500,0
PWX,60,20240417,150000,1.805,1.805,1.8,1.8,1000,0
PWX,60,20240417,170000,1.81,1.81,1.81,1.81,100,0
PWX,60,20240418,100000,1.815,1.815,1.81,1.81,2506,0
PWX,60,20240418,110000,1.81,1.81,1.81,1.81,200,0
PWX,60,20240418,120000,1.81,1.81,1.81,1.81,1008,0
PWX,60,20240418,140000,1.81,1.81,1.81,1.81,1500,0
PWX,60,20240418,170000,1.805,1.805,1.805,1.805,500,0
PWX,60,20240419,100000,1.83,1.83,1.83,1.83,6,0
PWX,60,20240419,130000,1.81,1.81,1.81,1.81,1500,0
PWX,60,20240419,170000,1.805,1.805,1.805,1.805,259,0
PWX,60,20240422,100000,1.805,1.805,1.805,1.805,553,0
PWX,60,20240422,130000,1.805,1.805,1.8,1.8,1856,0
PWX,60,20240422,140000,1.8,1.8,1.8,1.8,644,0
PWX,60,20240423,100000,1.8,1.8,1.8,1.8,356,0
PWX,60,20240423,110000,1.8,1.8,1.8,1.8,1300,0
PWX,60,20240423,140000,1.8,1.8,1.8,1.8,100,0
PWX,60,20240423,150000,1.8,1.8,1.8,1.8,2000,0
PWX,60,20240423,160000,1.805,1.805,1.8,1.8,1590,0
PWX,60,20240424,100000,1.8,1.8,1.8,1.8,50,0
PWX,60,20240424,140000,1.8,1.8,1.8,1.8,20,0
PWX,60,20240424,160000,1.8,1.8,1.8,1.8,50,0
PWX,60,20240424,170000,1.8,1.8,1.8,1.8,1919,0
PWX,60,20240425,100000,1.8,1.8,1.795,1.8,1632,0
PWX,60,20240425,120000,1.795,1.795,1.795,1.795,250,0
PWX,60,20240425,140000,1.795,1.795,1.785,1.785,15000,0
PWX,60,20240425,150000,1.8,1.8,1.8,1.8,50,0
PWX,60,20240425,170000,1.785,1.785,1.785,1.785,271,0
PWX,60,20240426,100000,1.81,1.81,1.8,1.8,606,0
PWX,60,20240426,150000,1.8,1.8,1.8,1.8,400,0
PWX,60,20240426,160000,1.79,1.79,1.79,1.79,10,0
PWX,60,20240426,170000,1.785,1.81,1.77,1.81,2975,0
PWX,60,20240429,100000,1.8,1.8,1.79,1.8,4200,0
PWX,60,20240429,110000,1.8,1.8,1.8,1.8,3000,0
PWX,60,20240429,120000,1.8,1.805,1.8,1.805,2555,0
PWX,60,20240429,130000,1.805,1.805,1.805,1.805,1000,0
PWX,60,20240429,140000,1.8,1.8,1.8,1.8,1000,0
PWX,60,20240429,170000,1.805,1.805,1.8,1.8,690,0
PWX,60,20240430,100000,1.79,1.8,1.78,1.8,4428,0
PWX,60,20240430,110000,1.8,1.8,1.795,1.795,2626,0
PWX,60,20240430,130000,1.79,1.795,1.79,1.795,1000,0
PWX,60,20240430,140000,1.79,1.79,1.79,1.79,1000,0
PWX,60,20240430,160000,1.79,1.79,1.79,1.79,700,0
PWX,60,20240430,170000,1.79,1.79,1.77,1.77,13662,0
PWX,60,20240502,100000,1.775,1.775,1.775,1.775,5,0
PWX,60,20240502,110000,1.775,1.775,1.77,1.77,8667,0
PWX,60,20240502,120000,1.765,1.765,1.75,1.755,4019,0
PWX,60,20240502,130000,1.755,1.755,1.755,1.755,1000,0
PWX,60,20240502,150000,1.755,1.755,1.755,1.755,4900,0
PWX,60,20240502,160000,1.775,1.775,1.775,1.775,1500,0
PWX,60,20240506,100000,1.775,1.775,1.775,1.775,737,0
PWX,60,20240506,170000,1.78,1.78,1.78,1.78,1500,0
PWX,60,20240507,100000,1.785,1.785,1.77,1.77,2329,0
PWX,60,20240507,130000,1.76,1.76,1.75,1.75,6507,0
PWX,60,20240507,140000,1.75,1.75,1.75,1.75,2000,0
PWX,60,20240507,150000,1.76,1.76,1.74,1.74,2043,0
PWX,60,20240507,160000,1.75,1.765,1.75,1.765,2903,0
PWX,60,20240507,170000,1.75,1.75,1.75,1.75,70,0
PWX,60,20240508,100000,1.75,1.77,1.74,1.75,2442,0
PWX,60,20240508,170000,1.765,1.765,1.765,1.765,500,0
PWX,60,20240509,100000,1.77,1.77,1.745,1.75,3321,0
PWX,60,20240509,110000,1.74,1.74,1.65,1.665,32482,0
PWX,60,20240509,120000,1.675,1.675,1.65,1.66,15338,0
PWX,60,20240509,130000,1.66,1.67,1.66,1.67,174,0
PWX,60,20240509,140000,1.665,1.665,1.665,1.665,506,0
PWX,60,20240509,150000,1.665,1.67,1.665,1.67,3224,0
PWX,60,20240509,160000,1.66,1.67,1.63,1.67,9338,0
PWX,60,20240509,170000,1.665,1.665,1.665,1.665,500,0
PWX,60,20240510,100000,1.6,1.6,1.45,1.45,53961,0
PWX,60,20240510,110000,1.495,1.52,1.455,1.46,53533,0
PWX,60,20240510,120000,1.49,1.495,1.44,1.45,30208,0
PWX,60,20240510,130000,1.46,1.46,1.44,1.46,9131,0
PWX,60,20240510,140000,1.45,1.53,1.45,1.5,37112,0
PWX,60,20240510,150000,1.5,1.52,1.48,1.52,8050,0
PWX,60,20240510,160000,1.51,1.525,1.5,1.5,10236,0
PWX,60,20240510,170000,1.5,1.5,1.49,1.5,5837,0
PWX,60,20240513,100000,1.5,1.54,1.5,1.51,18375,0
PWX,60,20240513,110000,1.51,1.51,1.505,1.51,3360,0
PWX,60,20240513,120000,1.51,1.51,1.51,1.51,2000,0
PWX,60,20240513,140000,1.51,1.51,1.5,1.505,3491,0
PWX,60,20240513,150000,1.515,1.515,1.5,1.5,5230,0
PWX,60,20240513,160000,1.505,1.505,1.505,1.505,400,0
PWX,60,20240513,170000,1.505,1.505,1.5,1.505,17001,0
PWX,60,20240514,100000,1.595,1.595,1.52,1.52,19200,0
PWX,60,20240514,110000,1.52,1.52,1.505,1.52,317,0
PWX,60,20240514,120000,1.505,1.505,1.505,1.505,226,0
PWX,60,20240514,140000,1.51,1.51,1.51,1.51,1000,0
PWX,60,20240514,150000,1.51,1.51,1.51,1.51,7,0
PWX,60,20240514,160000,1.52,1.52,1.51,1.51,1712,0
PWX,60,20240514,170000,1.51,1.52,1.5,1.52,14513,0
PWX,60,20240515,100000,1.54,1.54,1.5,1.5,4512,0
PWX,60,20240515,110000,1.51,1.51,1.51,1.51,1580,0
PWX,60,20240515,120000,1.52,1.52,1.51,1.51,490,0
PWX,60,20240515,140000,1.51,1.51,1.51,1.51,448,0
PWX,60,20240515,150000,1.51,1.51,1.51,1.51,1260,0
PWX,60,20240515,160000,1.51,1.52,1.51,1.52,870,0
PWX,60,20240516,100000,1.53,1.53,1.5,1.5,5595,0
PWX,60,20240516,110000,1.49,1.49,1.49,1.49,3000,0
PWX,60,20240516,120000,1.49,1.5,1.49,1.5,10467,0
PWX,60,20240516,130000,1.505,1.505,1.505,1.505,900,0
PWX,60,20240516,160000,1.505,1.505,1.505,1.505,673,0
PWX,60,20240516,170000,1.505,1.52,1.505,1.52,3000,0
PWX,60,20240517,100000,1.52,1.53,1.51,1.53,4197,0
PWX,60,20240517,110000,1.53,1.54,1.53,1.53,7418,0
PWX,60,20240517,140000,1.52,1.53,1.51,1.53,560,0
PWX,60,20240517,150000,1.53,1.53,1.53,1.53,338,0
PWX,60,20240517,160000,1.53,1.53,1.515,1.515,3262,0
PWX,60,20240520,100000,1.51,1.51,1.5,1.5,7052,0
PWX,60,20240520,110000,1.495,1.495,1.495,1.495,1100,0
PWX,60,20240520,120000,1.5,1.5,1.5,1.5,1000,0
PWX,60,20240520,140000,1.53,1.53,1.53,1.53,1000,0
PWX,60,20240520,150000,1.5,1.515,1.5,1.515,1120,0
PWX,60,20240520,160000,1.515,1.515,1.515,1.515,1190,0
PWX,60,20240520,170000,1.515,1.53,1.51,1.51,3189,0
PWX,60,20240521,100000,1.515,1.525,1.515,1.515,5517,0
PWX,60,20240521,110000,1.525,1.525,1.525,1.525,389,0
PWX,60,20240521,140000,1.525,1.525,1.525,1.525,718,0
PWX,60,20240521,150000,1.52,1.52,1.5,1.5,4000,0
PWX,60,20240521,170000,1.505,1.505,1.505,1.505,1000,0
PWX,60,20240522,100000,1.52,1.52,1.505,1.505,1957,0
PWX,60,20240522,110000,1.51,1.52,1.51,1.52,4260,0
PWX,60,20240522,120000,1.52,1.535,1.51,1.535,3998,0
PWX,60,20240522,130000,1.535,1.535,1.535,1.535,616,0
PWX,60,20240522,140000,1.52,1.52,1.52,1.52,1940,0
PWX,60,20240522,160000,1.515,1.535,1.515,1.535,1361,0
PWX,60,20240522,170000,1.535,1.55,1.535,1.55,2371,0
PWX,60,20240523,100000,1.55,1.56,1.54,1.56,15976,0
