<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT,60,20240412,160000,23.8677,23.8677,23.8677,23.8677,452.6290322744,0
QNT,60,20240416,120000,23.8677,23.8677,23.8677,23.8677,402.21774195,0
QNT,60,20240417,160000,23.1218,23.1218,23.1218,23.1218,161.9596774252,0
QNT,60,20240424,120000,23.1218,23.1218,22.5624,22.5624,127.6370967788,0
QNT,60,20240507,160000,22.5624,23.3083,21.8165,23.3083,1583.1290323152,0
QNT,60,20240509,120000,22.7489,22.7489,22.7489,22.7489,273.508064526,0
QNT,60,20240514,160000,22.7489,22.7489,22.7489,22.7489,1243.1209677868,0
QNT,60,20240515,120000,22.3759,22.3759,22.3759,22.3759,72.93548387359999,0
QNT,60,20240516,160000,22.3759,22.3759,22.3759,22.3759,21.451612904,0
QNT,60,20240521,120000,22.7489,22.7489,22.7489,22.7489,58.991935485999996,0
QNT,60,20240521,160000,21.8165,21.8165,21.8165,21.8165,24.6693548396,0
QNT,60,20240522,120000,21.8165,21.8165,21.8165,21.8165,991.0645161648,0
QNT,60,20240523,160000,21.8165,23.1218,21.8165,23.1218,640.3306451844,0
QNT,60,20240531,120000,23.1218,23.3083,23.1218,23.3083,447.2661290484,0
QNT,60,20240603,160000,23.4947,23.4947,23.4947,23.4947,21.451612904,0
QNT,60,20240604,120000,23.4947,23.4947,23.4947,23.4947,415.08870969239996,0
QNT,60,20240606,160000,24.2406,24.8,24.2406,24.8,160.88709678,0
QNT,60,20240607,120000,24.4271,24.4271,24.4271,24.4271,39.6854838724,0
QNT,60,20240607,160000,24.2406,24.2406,24.2406,24.2406,4.2903225808,0
QNT,60,20240611,120000,24.2406,24.2406,24.2406,24.2406,49.3387096792,0
QNT,60,20240618,160000,23.3083,23.3083,21.8165,21.8165,83.6612903256,0
QNT,60,20240620,120000,24.8,24.8,24.8,24.8,20.3790322588,0
QNT,60,20240624,160000,24.8,24.8,24.8,24.8,119.3064516136,0
QNT,60,20240626,120000,23.2,26.6,23.2,26.6,2,0
QNT,60,20240626,160000,26.6,26.6,26.6,26.6,23,0
QNT,60,20240627,120000,26.4,26.4,26.4,26.4,10,0
QNT,60,20240628,160000,26.4,26.4,26.4,26.4,23,0
QNT,60,20240704,120000,23.2,23.2,23.2,23.2,6,0
QNT,60,20240718,160000,25,25,23.6,24.6,81,0
QNT,60,20240726,120000,24.2,25,24,25,188,0
QNT,60,20240801,160000,25,25,25,25,53,0
QNT,60,20240806,120000,24,24,24,24,144,0
QNT,60,20240806,160000,24,24,24,24,72,0
QNT,60,20240812,120000,24,25.4,24,25.4,560,0
QNT,60,20240812,160000,25.6,25.6,25.6,25.6,70,0
QNT,60,20240813,120000,26.2,26.2,26.2,26.2,37,0
QNT,60,20240820,160000,24.6,24.6,24,24,1204,0
QNT,60,20240823,120000,23.8,23.8,23.4,23.4,587,0
QNT,60,20240823,160000,23.2,23.2,23.2,23.2,50,0
QNT,60,20240902,120000,23.2,26,23.2,26,282,0
QNT,60,20240903,160000,23.2,23.2,23,23,210,0
QNT,60,20240911,120000,22.4,22.4,22.4,22.4,222,0
