<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAE,60,20240411,100000,0.664,0.696,0.66,0.66,5278,0
RAE,60,20240411,110000,0.66,0.696,0.655,0.655,9232,0
RAE,60,20240411,120000,0.69,0.69,0.668,0.668,650,0
RAE,60,20240411,130000,0.666,0.678,0.66,0.676,2661,0
RAE,60,20240411,140000,0.662,0.662,0.662,0.662,1595,0
RAE,60,20240411,160000,0.665,0.665,0.656,0.656,9460,0
RAE,60,20240411,170000,0.662,0.662,0.658,0.658,150,0
RAE,60,20240412,100000,0.655,0.658,0.612,0.658,4015,0
RAE,60,20240412,120000,0.652,0.652,0.615,0.615,33704,0
RAE,60,20240412,130000,0.649,0.649,0.615,0.615,6919,0
RAE,60,20240412,140000,0.647,0.647,0.647,0.647,700,0
RAE,60,20240412,150000,0.646,0.647,0.646,0.647,160,0
RAE,60,20240412,170000,0.642,0.647,0.624,0.624,11732,0
RAE,60,20240415,100000,0.62,0.62,0.61,0.61,18271,0
RAE,60,20240415,110000,0.612,0.612,0.612,0.612,20,0
RAE,60,20240415,120000,0.62,0.642,0.62,0.64,7736,0
RAE,60,20240415,130000,0.64,0.64,0.64,0.64,4608,0
RAE,60,20240415,140000,0.644,0.668,0.64,0.664,2607,0
RAE,60,20240415,160000,0.654,0.666,0.65,0.666,13089,0
RAE,60,20240415,170000,0.65,0.662,0.65,0.66,1617,0
RAE,60,20240416,100000,0.668,0.668,0.65,0.668,19045,0
RAE,60,20240416,110000,0.68,0.71,0.676,0.688,43076,0
RAE,60,20240416,120000,0.688,0.71,0.684,0.688,12254,0
RAE,60,20240416,130000,0.688,0.688,0.686,0.686,5318,0
RAE,60,20240416,140000,0.676,0.688,0.676,0.688,1530,0
RAE,60,20240416,160000,0.678,0.7,0.678,0.7,4482,0
RAE,60,20240416,170000,0.692,0.699,0.69,0.699,5083,0
RAE,60,20240417,100000,0.71,0.71,0.699,0.699,5941,0
RAE,60,20240417,110000,0.69,0.69,0.686,0.686,3429,0
RAE,60,20240417,120000,0.69,0.69,0.69,0.69,237,0
RAE,60,20240417,140000,0.686,0.686,0.686,0.686,1960,0
RAE,60,20240417,150000,0.7,0.7,0.7,0.7,8169,0
RAE,60,20240417,160000,0.71,0.71,0.705,0.707,9983,0
RAE,60,20240417,170000,0.69,0.69,0.686,0.688,2707,0
RAE,60,20240418,110000,0.696,0.696,0.696,0.696,1,0
RAE,60,20240418,120000,0.696,0.698,0.696,0.698,6736,0
RAE,60,20240418,130000,0.698,0.698,0.696,0.696,2264,0
RAE,60,20240418,140000,0.696,0.699,0.696,0.699,7340,0
RAE,60,20240418,150000,0.699,0.699,0.699,0.699,1311,0
RAE,60,20240418,160000,0.696,0.699,0.68,0.68,4110,0
RAE,60,20240418,170000,0.699,0.71,0.699,0.71,22450,0
RAE,60,20240419,100000,0.74,0.78,0.74,0.766,205366,0
RAE,60,20240419,110000,0.756,0.762,0.742,0.742,39628,0
RAE,60,20240419,120000,0.746,0.749,0.72,0.72,45738,0
RAE,60,20240419,130000,0.735,0.738,0.73,0.73,16381,0
RAE,60,20240419,140000,0.738,0.74,0.73,0.74,16737,0
RAE,60,20240419,150000,0.74,0.74,0.72,0.72,7136,0
RAE,60,20240419,160000,0.72,0.73,0.716,0.73,9695,0
RAE,60,20240419,170000,0.726,0.726,0.695,0.726,116817,0
RAE,60,20240422,100000,0.75,0.78,0.75,0.75,96635,0
RAE,60,20240422,110000,0.77,0.77,0.731,0.734,13702,0
RAE,60,20240422,120000,0.734,0.766,0.734,0.766,9411,0
RAE,60,20240422,130000,0.766,0.766,0.758,0.758,3840,0
RAE,60,20240422,140000,0.74,0.75,0.73,0.75,8025,0
RAE,60,20240422,150000,0.74,0.74,0.731,0.731,2906,0
RAE,60,20240422,160000,0.749,0.75,0.728,0.728,8848,0
RAE,60,20240422,170000,0.734,0.736,0.72,0.736,16408,0
RAE,60,20240423,100000,0.722,0.722,0.702,0.702,1437,0
RAE,60,20240423,120000,0.72,0.72,0.72,0.72,680,0
RAE,60,20240423,140000,0.72,0.72,0.72,0.72,1400,0
RAE,60,20240423,150000,0.716,0.716,0.706,0.706,50,0
RAE,60,20240423,170000,0.706,0.721,0.706,0.72,8550,0
RAE,60,20240424,100000,0.748,0.748,0.71,0.711,2452,0
RAE,60,20240424,110000,0.73,0.73,0.695,0.7,13552,0
RAE,60,20240424,120000,0.7,0.7,0.678,0.678,6487,0
RAE,60,20240424,130000,0.656,0.679,0.656,0.679,38702,0
RAE,60,20240424,140000,0.679,0.679,0.66,0.67,1666,0
RAE,60,20240424,150000,0.67,0.679,0.66,0.66,20821,0
RAE,60,20240424,160000,0.661,0.678,0.66,0.661,17483,0
RAE,60,20240424,170000,0.662,0.678,0.66,0.678,12580,0
RAE,60,20240425,100000,0.677,0.677,0.67,0.67,1870,0
RAE,60,20240425,110000,0.662,0.662,0.662,0.662,4546,0
RAE,60,20240425,120000,0.662,0.67,0.66,0.67,8549,0
RAE,60,20240425,130000,0.677,0.693,0.67,0.67,4700,0
RAE,60,20240425,140000,0.671,0.671,0.67,0.67,4000,0
RAE,60,20240425,150000,0.683,0.685,0.67,0.67,17224,0
RAE,60,20240425,160000,0.67,0.67,0.67,0.67,9290,0
RAE,60,20240425,170000,0.67,0.684,0.662,0.682,21828,0
RAE,60,20240426,100000,0.69,0.69,0.67,0.67,91700,0
RAE,60,20240426,110000,0.68,0.68,0.68,0.68,1050,0
RAE,60,20240426,120000,0.672,0.672,0.67,0.67,2850,0
RAE,60,20240426,140000,0.67,0.67,0.67,0.67,4950,0
RAE,60,20240426,150000,0.67,0.67,0.67,0.67,1000,0
