<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAF,60,20240411,120000,15.9,15.9,15.9,15.9,6,0
RAF,60,20240412,100000,15.9,15.9,15.9,15.9,5,0
RAF,60,20240416,110000,15.7,16,15.7,16,36,0
RAF,60,20240416,170000,15.7,15.7,15.3,15.5,742,0
RAF,60,20240425,110000,15.3,15.3,15,15,119,0
RAF,60,20240510,120000,15.3,15.3,15.3,15.3,5,0
RAF,60,20240515,100000,15.3,15.3,15.3,15.3,20,0
RAF,60,20240515,110000,15.3,15.4,15.3,15.4,20,0
RAF,60,20240515,120000,15.4,15.5,15.4,15.5,40,0
RAF,60,20240515,130000,15.5,15.6,15.5,15.6,80,0
RAF,60,20240520,100000,15.6,15.6,15.6,15.6,14,0
RAF,60,20240606,170000,15.8,15.8,15.8,15.8,17,0
RAF,60,20240617,140000,15.1,15.1,14.8,14.8,223,0
RAF,60,20240624,100000,14.8,14.8,14.8,14.8,1,0
RAF,60,20240705,140000,14.8,14.8,14.8,14.8,5,0
RAF,60,20240705,160000,14.8,14.8,14.5,14.5,82,0
RAF,60,20240708,170000,14.8,15,14.8,15,35,0
RAF,60,20240710,100000,15.1,15.1,15.1,15.1,5,0
RAF,60,20240710,120000,15.2,15.2,15.2,15.2,20,0
RAF,60,20240711,100000,15.2,15.2,15.2,15.2,78,0
RAF,60,20240712,170000,15.2,15.2,15.2,15.2,10,0
RAF,60,20240716,110000,15.1,15.1,14.6,14.6,300,0
RAF,60,20240722,100000,14.6,14.6,14.6,14.6,7,0
RAF,60,20240723,160000,14.3,14.3,14.1,14.1,21,0
RAF,60,20240724,110000,14.2,14.2,14.2,14.2,5,0
RAF,60,20240726,100000,14.2,14.2,14.2,14.2,10,0
RAF,60,20240726,160000,14.6,14.6,14.6,14.6,12,0
RAF,60,20240731,110000,14.7,14.7,14.7,14.7,10,0
RAF,60,20240918,100000,14.7,14.7,14,14,506,0
RAF,60,20240923,150000,14,14,14,14,10,0
RAF,60,20240924,140000,14.1,14.1,14.1,14.1,10,0
RAF,60,20240927,150000,13.8,13.8,13.8,13.8,10,0
RAF,60,20241001,100000,13.9,13.9,13.9,13.9,7,0
RAF,60,20241001,160000,13.9,13.9,13.8,13.8,20,0
RAF,60,20241001,170000,13.7,13.7,13.6,13.6,18,0
RAF,60,20241029,100000,13.8,13.8,13.7,13.7,37,0
RAF,60,20241104,140000,13.8,13.8,13.8,13.8,30,0
RAF,60,20241108,170000,13.8,13.8,13.8,13.8,14,0
RAF,60,20241205,100000,13.8,13.8,13.4,13.4,22,0
RAF,60,20241205,120000,13.4,13.4,13.4,13.4,39,0
RAF,60,20241205,150000,13.3,13.3,13,13,270,0
RAF,60,20241209,100000,13,13,13,13,1,0
RAF,60,20241209,150000,13,13,13,13,10,0
RAF,60,20241210,100000,13,13,13,13,2,0
RAF,60,20241211,120000,13,13,13,13,10,0
RAF,60,20241213,100000,13,13,13,13,1,0
RAF,60,20241216,110000,13,13,13,13,1,0
RAF,60,20241218,100000,13,13,12.8,12.8,8,0
RAF,60,20241218,170000,12.8,12.8,12.6,12.6,605,0
RAF,60,20241219,100000,12,12,12,12,44,0
RAF,60,20241220,120000,11.5,11.5,10.5,10.5,18,0
RAF,60,20241220,160000,10.5,10.5,10.5,10.5,10,0
RAF,60,20241223,100000,10.6,10.6,10.6,10.6,1,0
RAF,60,20241223,120000,11,11,11,11,10,0
RAF,60,20241223,140000,11.2,11.5,11.2,11.5,50,0
RAF,60,20241227,100000,11.5,11.5,11.5,11.5,5,0
RAF,60,20241227,140000,11.5,11.5,11.5,11.5,5,0
RAF,60,20250110,120000,10.8,10.8,10.8,10.8,660,0
RAF,60,20250114,100000,10.8,10.8,10,10,337,0
RAF,60,20250127,120000,9.6,9.6,9.6,9.6,10,0
RAF,60,20250127,140000,9.6,9.6,9.6,9.6,10,0
RAF,60,20250128,100000,8.65,8.65,8.65,8.65,500,0
RAF,60,20250128,140000,8.8,8.8,8.8,8.8,150,0
RAF,60,20250128,170000,8.65,8.65,8.65,8.65,96,0
RAF,60,20250129,100000,8.65,8.65,8.65,8.65,190,0
RAF,60,20250129,110000,9.35,9.35,9.35,9.35,176,0
RAF,60,20250130,100000,9.35,9.35,9.35,9.35,10,0
RAF,60,20250130,150000,9.3,9.3,9.3,9.3,19,0
RAF,60,20250203,100000,9.6,9.6,9.6,9.6,50,0
RAF,60,20250203,120000,9.3,9.3,9.3,9.3,15,0
RAF,60,20250204,100000,9,9,9,9,20,0
RAF,60,20250204,150000,8.95,8.95,8.95,8.95,10,0
RAF,60,20250206,130000,8.7,8.7,8.7,8.7,100,0
RAF,60,20250207,110000,8.65,8.65,8.65,8.65,900,0
