<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RLP,60,20240411,100000,6.54,6.64,6.54,6.64,2561,0
RLP,60,20240411,110000,6.6,6.64,6.6,6.64,2681,0
RLP,60,20240411,120000,6.64,6.68,6.54,6.68,2889,0
RLP,60,20240411,130000,6.68,6.7,6.64,6.64,4540,0
RLP,60,20240411,140000,6.66,6.68,6.66,6.68,3301,0
RLP,60,20240411,150000,6.68,6.68,6.54,6.54,116,0
RLP,60,20240411,160000,6.54,6.54,6.54,6.54,134,0
RLP,60,20240411,170000,6.66,6.66,6.56,6.56,1003,0
RLP,60,20240412,100000,6.66,6.66,6.64,6.64,602,0
RLP,60,20240412,110000,6.64,6.66,6.64,6.66,1135,0
RLP,60,20240412,120000,6.62,6.62,6.62,6.62,97,0
RLP,60,20240412,140000,6.62,6.66,6.56,6.66,10465,0
RLP,60,20240412,150000,6.68,6.68,6.68,6.68,2,0
RLP,60,20240412,170000,6.56,6.56,6.56,6.56,600,0
RLP,60,20240415,100000,6.52,6.52,6.48,6.48,3041,0
RLP,60,20240415,110000,6.48,6.5,6.44,6.5,525,0
RLP,60,20240415,120000,6.5,6.6,6.5,6.5,986,0
RLP,60,20240415,140000,6.58,6.6,6.58,6.6,1020,0
RLP,60,20240415,160000,6.52,6.52,6.52,6.52,100,0
RLP,60,20240415,170000,6.62,6.62,6.62,6.62,520,0
RLP,60,20240416,100000,6.62,6.62,6.5,6.5,9102,0
RLP,60,20240416,110000,6.52,6.52,6.5,6.5,3631,0
RLP,60,20240416,120000,6.48,6.5,6.48,6.5,2449,0
RLP,60,20240416,130000,6.5,6.5,6.5,6.5,3016,0
RLP,60,20240416,170000,6.46,6.52,6.34,6.52,2001,0
RLP,60,20240417,100000,6.52,6.66,6.5,6.66,5010,0
RLP,60,20240417,110000,6.66,6.66,6.66,6.66,2243,0
RLP,60,20240417,120000,6.68,6.68,6.66,6.66,701,0
RLP,60,20240417,130000,6.66,6.68,6.66,6.68,541,0
RLP,60,20240417,140000,6.66,6.66,6.66,6.66,1709,0
RLP,60,20240417,160000,6.58,6.58,6.58,6.58,390,0
RLP,60,20240417,170000,6.58,6.58,6.58,6.58,218,0
RLP,60,20240418,100000,6.52,6.64,6.52,6.64,250,0
RLP,60,20240418,120000,6.52,6.52,6.5,6.5,34,0
RLP,60,20240418,150000,6.5,6.5,6.5,6.5,588,0
RLP,60,20240418,160000,6.64,6.64,6.64,6.64,100,0
RLP,60,20240419,140000,6.66,6.66,6.66,6.66,2,0
RLP,60,20240419,150000,6.66,6.66,6.66,6.66,38,0
RLP,60,20240419,170000,6.66,6.84,6.66,6.84,4300,0
RLP,60,20240422,100000,6.82,6.82,6.62,6.62,1258,0
RLP,60,20240422,120000,6.66,6.66,6.64,6.64,928,0
RLP,60,20240422,130000,6.64,6.64,6.62,6.62,1469,0
RLP,60,20240422,170000,6.72,6.72,6.72,6.72,1,0
RLP,60,20240423,100000,6.64,6.64,6.64,6.64,100,0
RLP,60,20240423,120000,6.72,6.72,6.7,6.7,18,0
RLP,60,20240423,130000,6.72,6.84,6.72,6.84,2000,0
RLP,60,20240423,150000,6.8,6.84,6.8,6.84,800,0
RLP,60,20240423,160000,6.72,6.72,6.72,6.72,72,0
RLP,60,20240423,170000,6.84,6.88,6.84,6.84,1411,0
RLP,60,20240424,100000,6.72,6.72,6.7,6.7,2185,0
RLP,60,20240424,110000,6.82,6.82,6.82,6.82,100,0
RLP,60,20240424,130000,6.82,6.82,6.82,6.82,500,0
RLP,60,20240424,160000,6.84,6.9,6.84,6.9,2200,0
RLP,60,20240425,100000,6.8,6.84,6.7,6.84,7103,0
RLP,60,20240425,110000,6.84,6.9,6.84,6.9,4117,0
RLP,60,20240425,120000,6.9,6.9,6.76,6.76,1555,0
RLP,60,20240425,130000,6.74,6.76,6.62,6.62,3800,0
RLP,60,20240425,150000,6.84,6.84,6.84,6.84,2,0
RLP,60,20240425,160000,6.7,6.7,6.7,6.7,200,0
RLP,60,20240425,170000,6.8,6.8,6.8,6.8,209,0
RLP,60,20240426,130000,6.8,6.8,6.8,6.8,20,0
RLP,60,20240426,150000,6.76,6.76,6.76,6.76,214,0
RLP,60,20240426,160000,6.7,6.7,6.7,6.7,883,0
RLP,60,20240429,100000,6.72,6.72,6.72,6.72,197,0
RLP,60,20240429,110000,6.62,6.62,6.62,6.62,48,0
RLP,60,20240429,130000,6.64,6.64,6.64,6.64,293,0
RLP,60,20240430,100000,6.72,6.72,6.7,6.7,7,0
RLP,60,20240430,110000,6.7,6.7,6.5,6.5,2315,0
RLP,60,20240502,120000,6.66,6.74,6.54,6.54,855,0
RLP,60,20240502,130000,6.54,6.54,6.54,6.54,400,0
RLP,60,20240502,150000,6.6,6.66,6.6,6.66,200,0
RLP,60,20240502,160000,6.66,6.66,6.66,6.66,16,0
RLP,60,20240506,100000,6.72,6.76,6.72,6.76,839,0
RLP,60,20240506,110000,6.76,6.76,6.6,6.6,5562,0
RLP,60,20240506,120000,6.68,6.68,6.68,6.68,333,0
RLP,60,20240506,130000,6.7,6.7,6.7,6.7,200,0
RLP,60,20240506,160000,6.7,6.7,6.7,6.7,480,0
RLP,60,20240506,170000,6.72,6.72,6.7,6.7,619,0
RLP,60,20240507,100000,6.7,6.7,6.7,6.7,500,0
RLP,60,20240507,110000,6.76,6.76,6.76,6.76,502,0
RLP,60,20240507,150000,6.7,6.7,6.7,6.7,124,0
RLP,60,20240507,160000,6.7,6.7,6.7,6.7,55,0
RLP,60,20240508,100000,6.62,6.78,6.62,6.78,41,0
RLP,60,20240508,120000,6.7,6.72,6.7,6.72,185,0
RLP,60,20240508,130000,6.72,6.74,6.72,6.74,306,0
RLP,60,20240508,140000,6.74,6.74,6.74,6.74,125,0
RLP,60,20240509,110000,6.74,6.74,6.7,6.7,54,0
RLP,60,20240509,120000,6.7,6.7,6.6,6.6,2631,0
RLP,60,20240509,140000,6.64,6.64,6.62,6.62,200,0
RLP,60,20240509,170000,6.76,6.76,6.76,6.76,471,0
RLP,60,20240510,100000,6.74,6.74,6.74,6.74,1163,0
RLP,60,20240510,110000,6.78,6.78,6.74,6.74,287,0
RLP,60,20240513,120000,6.8,6.88,6.8,6.88,816,0
RLP,60,20240513,130000,6.86,6.86,6.86,6.86,300,0
RLP,60,20240513,140000,6.86,6.86,6.86,6.86,100,0
RLP,60,20240513,160000,6.88,6.88,6.88,6.88,60,0
RLP,60,20240514,100000,6.86,6.88,6.86,6.86,1539,0
RLP,60,20240514,110000,6.72,6.72,6.7,6.72,1382,0
RLP,60,20240514,130000,6.72,6.84,6.72,6.84,1118,0
RLP,60,20240514,150000,6.82,6.9,6.82,6.9,2574,0
RLP,60,20240514,160000,6.9,6.9,6.9,6.9,100,0
RLP,60,20240514,170000,6.9,7,6.9,7,1962,0
RLP,60,20240515,100000,7,7,6.9,6.9,2295,0
RLP,60,20240515,110000,6.9,6.9,6.9,6.9,1000,0
RLP,60,20240515,120000,6.86,6.86,6.86,6.86,300,0
RLP,60,20240515,140000,6.9,6.9,6.9,6.9,4,0
RLP,60,20240515,150000,6.9,6.9,6.9,6.9,50,0
RLP,60,20240515,160000,6.9,6.9,6.9,6.9,26,0
RLP,60,20240516,100000,6.84,6.98,6.84,6.98,461,0
RLP,60,20240516,110000,6.98,6.98,6.98,6.98,6,0
RLP,60,20240516,130000,6.92,6.92,6.9,6.9,300,0
RLP,60,20240516,160000,6.98,6.98,6.54,6.54,7616,0
RLP,60,20240516,170000,6.52,6.54,6.24,6.38,18297,0
RLP,60,20240517,100000,6.22,6.32,6.1,6.18,18141,0
RLP,60,20240517,110000,6.1,6.18,5.92,6.18,14269,0
RLP,60,20240517,120000,6.18,6.26,6.12,6.12,1936,0
RLP,60,20240517,130000,6.12,6.12,6.1,6.1,1000,0
RLP,60,20240517,140000,6.2,6.2,6.2,6.2,31,0
RLP,60,20240517,150000,6.2,6.26,6.1,6.26,1761,0
RLP,60,20240517,160000,6.26,6.28,6.26,6.28,432,0
RLP,60,20240517,170000,6.22,6.22,6.1,6.16,592,0
RLP,60,20240520,100000,6.1,6.2,6.06,6.06,3786,0
RLP,60,20240520,110000,6.1,6.2,6.06,6.2,6412,0
RLP,60,20240520,120000,6.2,6.28,6.08,6.2,3844,0
RLP,60,20240520,130000,6.2,6.32,6.1,6.32,2350,0
RLP,60,20240520,140000,6.3,6.3,6.3,6.3,22,0
RLP,60,20240520,150000,6.14,6.14,6.14,6.14,467,0
RLP,60,20240520,160000,6.28,6.28,6.26,6.28,87,0
RLP,60,20240520,170000,6.18,6.18,6.18,6.18,659,0
RLP,60,20240521,100000,6.2,6.2,6.06,6.08,5521,0
RLP,60,20240521,110000,6.1,6.1,6.04,6.04,3209,0
RLP,60,20240521,120000,6.12,6.12,5.98,6.1,5632,0
RLP,60,20240521,130000,6.12,6.14,6.12,6.14,242,0
RLP,60,20240521,140000,6.18,6.18,6.18,6.18,422,0
RLP,60,20240521,150000,6.14,6.14,5.82,5.9,24809,0
RLP,60,20240521,160000,6,6.08,6,6.08,289,0
RLP,60,20240521,170000,6.08,6.08,5.94,6.08,224,0
RLP,60,20240522,100000,6.04,6.1,6.04,6.1,599,0
RLP,60,20240522,110000,6.04,6.04,6.04,6.04,165,0
RLP,60,20240522,120000,6,6,6,6,1235,0
RLP,60,20240522,130000,6.04,6.04,6.04,6.04,250,0
RLP,60,20240522,150000,6.08,6.08,6.08,6.08,476,0
RLP,60,20240522,160000,6.06,6.06,6,6,1000,0
RLP,60,20240522,170000,6.08,6.1,6,6,1325,0
RLP,60,20240523,100000,6,6.04,5.94,6.04,3125,0
RLP,60,20240523,110000,6.06,6.06,6.04,6.04,1015,0
RLP,60,20240523,120000,6,6,6,6,400,0
RLP,60,20240523,130000,6,6.06,5.94,5.94,1898,0
RLP,60,20240523,140000,5.92,6,5.9,5.9,2863,0
RLP,60,20240523,150000,5.98,5.98,5.9,5.9,2467,0
RLP,60,20240523,160000,5.9,6.06,5.9,5.94,3824,0
RLP,60,20240523,170000,6.06,6.18,5.98,6.18,2348,0
RLP,60,20240524,100000,6.14,6.14,5.92,6,4330,0
RLP,60,20240524,110000,5.94,5.98,5.9,5.98,2110,0
RLP,60,20240524,120000,6,6,6,6,1000,0
RLP,60,20240524,130000,6,6.14,6,6.14,4063,0
RLP,60,20240524,140000,6.02,6.1,6,6.1,723,0
RLP,60,20240524,160000,6.08,6.1,6,6,1127,0
RLP,60,20240524,170000,6.08,6.08,6.08,6.08,1,0
RLP,60,20240527,100000,6.1,6.14,6.08,6.14,1503,0
RLP,60,20240527,110000,6.14,6.14,6.14,6.14,250,0
RLP,60,20240527,130000,6.04,6.14,6,6.14,3001,0
RLP,60,20240527,140000,6.02,6.02,6,6,1323,0
RLP,60,20240527,150000,6,6,6,6,800,0
RLP,60,20240527,160000,6,6.12,5.98,6.12,1400,0
RLP,60,20240527,170000,6.06,6.06,6.06,6.06,189,0
RLP,60,20240528,100000,5.98,5.98,5.84,5.84,6500,0
RLP,60,20240528,110000,5.96,5.96,5.96,5.96,198,0
RLP,60,20240528,120000,5.98,5.98,5.98,5.98,400,0
RLP,60,20240528,130000,5.98,5.98,5.98,5.98,339,0
RLP,60,20240528,150000,5.9,5.98,5.9,5.98,2057,0
RLP,60,20240528,160000,5.9,5.9,5.9,5.9,300,0
RLP,60,20240528,170000,5.9,5.9,5.9,5.9,170,0
RLP,60,20240529,100000,5.88,5.9,5.82,5.9,5975,0
RLP,60,20240529,120000,5.82,5.82,5.76,5.76,2909,0
RLP,60,20240529,130000,5.86,5.88,5.76,5.8,471,0
RLP,60,20240529,140000,5.84,5.84,5.84,5.84,100,0
RLP,60,20240529,150000,5.84,5.84,5.8,5.8,950,0
RLP,60,20240529,170000,5.82,5.82,5.76,5.76,3843,0
RLP,60,20240531,100000,5.76,5.8,5.76,5.8,1280,0
RLP,60,20240531,110000,5.8,5.8,5.8,5.8,221,0
RLP,60,20240531,120000,5.8,5.8,5.8,5.8,683,0
RLP,60,20240531,130000,5.8,5.8,5.76,5.76,2620,0
RLP,60,20240531,150000,5.8,5.86,5.8,5.86,332,0
RLP,60,20240531,160000,5.84,5.86,5.84,5.86,385,0
RLP,60,20240531,170000,5.86,5.86,5.86,5.86,12,0
RLP,60,20240603,100000,5.82,5.86,5.72,5.72,2534,0
RLP,60,20240603,110000,5.72,5.8,5.72,5.8,1321,0
