<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMK,60,20240411,100000,14.7651,14.7651,14.7651,14.7651,81.35406243601432,0
RMK,60,20240411,110000,14.7171,15.1486,14.6692,15.1486,1110.7958524917,0
RMK,60,20240411,140000,15.1486,15.2445,15.1486,15.2445,201.29915448911237,0
RMK,60,20240411,160000,15.1965,15.1965,15.1965,15.1965,208.6001600923444,0
RMK,60,20240412,100000,15.2445,15.2445,15.2445,15.2445,2.086001600923444,0
RMK,60,20240412,140000,14.7651,14.7651,14.7651,14.7651,34.41902641523683,0
RMK,60,20240412,150000,14.7651,14.7651,14.7171,14.7171,155.40711926879658,0
RMK,60,20240412,170000,14.7651,15.2445,14.7651,15.2445,15.64501200692583,0
RMK,60,20240415,100000,15.2445,15.2445,15.2445,15.2445,386.95329697129887,0
RMK,60,20240415,110000,14.8131,14.8131,14.8131,14.8131,104.3000800461722,0
RMK,60,20240415,120000,15.1486,15.1965,15.1486,15.1965,360.87827695976,0
RMK,60,20240415,130000,15.1965,15.1965,15.1965,15.1965,190.86914648449513,0
RMK,60,20240415,150000,14.861,15.1965,14.861,15.1965,131.41810085817698,0
RMK,60,20240415,170000,14.861,14.861,14.3816,14.5254,2489.6429107021,0
RMK,60,20240416,100000,15.0527,15.0527,15.0527,15.0527,2.086001600923444,0
RMK,60,20240416,150000,14.5254,14.5254,14.5254,14.5254,156.4501200692583,0
RMK,60,20240416,160000,14.9089,14.9569,14.9089,14.9569,215.90116569557645,0
RMK,60,20240416,170000,14.9569,15.0527,14.1898,15.0048,1148.3438813084,0
RMK,60,20240417,100000,15.0048,15.0048,13.8542,14.2857,2124.5926305405,0
RMK,60,20240417,110000,14.2857,14.2857,14.2857,14.2857,1623.9522463189,0
RMK,60,20240417,120000,14.3816,14.5733,14.3816,14.4295,694.6385331075069,0
RMK,60,20240417,130000,14.7171,14.8131,14.3336,14.3336,836.4866419703011,0
RMK,60,20240417,150000,14.2857,14.2857,14.1898,14.1898,77.18205923416743,0
RMK,60,20240417,160000,14.2378,14.2378,14.2378,14.2378,154.36411846833485,0
RMK,60,20240417,170000,14.2857,14.2857,14.1898,14.1898,37.54802881662199,0
RMK,60,20240418,100000,14.1898,14.1898,14.1898,14.1898,2.086001600923444,0
RMK,60,20240418,110000,14.7171,14.7171,14.7171,14.7171,2.086001600923444,0
RMK,60,20240418,120000,14.3816,14.3816,14.3816,14.3816,53.193040823548,0
RMK,60,20240418,140000,14.3816,14.3816,14.3816,14.3816,178.35313687895,0
RMK,60,20240418,150000,14.4295,14.4295,14.4295,14.4295,2.086001600923444,0
RMK,60,20240418,170000,14.3816,14.3816,14.3816,14.3816,8.344006403693776,0
RMK,60,20240419,100000,14.7651,14.7651,13.8542,13.8542,1288.1059885702,0
RMK,60,20240419,110000,14.094,14.094,13.9022,13.9022,732.18656192413,0
RMK,60,20240419,120000,14.1419,14.7171,14.094,14.094,1348.6000349970066,0
RMK,60,20240419,160000,13.9022,13.9022,13.8063,13.8063,2086.001600923444,0
RMK,60,20240419,170000,13.8063,13.8063,13.7104,13.7104,381.73829296899027,0
RMK,60,20240422,100000,13.8063,14.0461,13.8063,14.0461,623.7144786761098,0
RMK,60,20240422,130000,14.5733,14.5733,14.5733,14.5733,146.02011206464,0
RMK,60,20240422,140000,14.6692,14.6692,14.6692,14.6692,105.34308084663392,0
RMK,60,20240423,100000,14.6212,14.6212,14.6212,14.6212,2.086001600923444,0
RMK,60,20240423,130000,14.094,14.094,13.9981,13.9981,337.9322593495979,0
RMK,60,20240423,170000,14.5254,14.5254,14.5254,14.5254,11.473008805078942,0
RMK,60,20240424,100000,14.5254,14.5254,14.5254,14.5254,2.086001600923444,0
RMK,60,20240424,120000,14.5733,14.6212,14.5733,14.6212,26.07502001154305,0
RMK,60,20240424,130000,14.2857,14.2857,14.2857,14.2857,8.344006403693776,0
RMK,60,20240424,150000,14.5733,14.6212,14.5733,14.6212,122.03109365402148,0
RMK,60,20240424,160000,14.6212,14.6692,14.6212,14.6692,244.06218730804295,0
RMK,60,20240424,170000,14.3816,14.6212,14.1898,14.6212,604.9404642678,0
RMK,60,20240425,100000,14.6212,14.6692,14.6212,14.6212,105.34308084663392,0
RMK,60,20240425,120000,14.6212,14.6212,14.6212,14.6212,208.6001600923444,0
RMK,60,20240425,150000,14.6692,14.6692,14.6692,14.6692,286.8252201269736,0
RMK,60,20240425,160000,14.6692,14.6692,14.6692,14.6692,67.79505203001193,0
RMK,60,20240425,170000,14.4774,14.6692,14.4774,14.6692,41.720032018468885,0
RMK,60,20240426,100000,14.6692,14.6692,14.6692,14.6692,2.086001600923444,0
RMK,60,20240426,130000,14.6692,14.6692,14.6692,14.6692,1.043000800461722,0
RMK,60,20240426,160000,14.6692,14.6692,14.6692,14.6692,104.3000800461722,0
RMK,60,20240429,100000,14.7651,15.2445,14.7651,14.861,847.9596507753799,0
RMK,60,20240429,110000,15.1965,15.1965,14.7651,15.1486,324.3732489436,0
RMK,60,20240429,140000,15.0527,15.1486,15.0527,15.1486,201.29915448911237,0
RMK,60,20240429,150000,15.1486,15.1486,15.1486,15.1486,260.7502001154305,0
RMK,60,20240429,170000,15.1486,15.3403,15.1486,15.3403,51.10703922262438,0
RMK,60,20240430,100000,15.3403,15.3403,15.3403,15.3403,2.086001600923444,0
RMK,60,20240430,110000,14.9089,14.9089,14.9089,14.9089,36.50502801616027,0
RMK,60,20240430,130000,15.0048,15.0048,14.861,14.861,281.61021612466493,0
RMK,60,20240430,160000,15.1486,15.1965,15.1486,15.1965,52.1500400230861,0
RMK,60,20240502,100000,15.1965,15.1965,15.1965,15.1965,183.56814088126308,0
RMK,60,20240502,110000,15.1486,15.1486,15.1486,15.1486,5.215004002308611,0
RMK,60,20240502,130000,15.1486,15.1486,15.1486,15.1486,104.3000800461722,0
RMK,60,20240502,140000,15.1486,15.1486,15.0527,15.0527,205.47115769095925,0
RMK,60,20240502,150000,15.1486,15.1486,15.1486,15.1486,19.81701520877272,0
RMK,60,20240506,100000,15.1486,15.1486,15.1486,15.1486,2.086001600923444,0
RMK,60,20240506,110000,15.1007,15.1007,15.1007,15.1007,164.7941264729521,0
RMK,60,20240506,120000,15.0527,15.0527,15.0048,15.0048,50.06403842216266,0
RMK,60,20240506,130000,15.0048,15.0048,15.0048,15.0048,104.30008004617,0
RMK,60,20240506,140000,14.9089,14.9089,14.861,14.861,405.72731137960983,0
RMK,60,20240506,160000,14.861,14.861,14.861,14.861,757.21858113521,0
RMK,60,20240506,170000,14.861,14.861,14.861,14.861,181.48213928033962,0
RMK,60,20240507,100000,15.0048,15.0048,15.0048,15.0048,2.086001600923444,0
RMK,60,20240507,120000,15.0048,15.0048,15.0048,15.0048,20.860016009234442,0
RMK,60,20240507,170000,14.861,14.861,14.6692,14.6692,1043.000800461722,0
