<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RND,60,20240411,100000,137.842,139.283,137.842,138.803,104.10447761,0
RND,60,20240411,120000,137.842,137.842,137.842,137.842,1.0410447761,0
RND,60,20240411,130000,137.842,137.842,127.276,136.401,47.8880597006,0
RND,60,20240411,140000,136.401,136.401,136.401,136.401,4.1641791044,0
RND,60,20240411,150000,137.362,137.362,137.362,137.362,9.369402984899999,0
RND,60,20240411,160000,138.803,138.803,138.803,138.803,12.4925373132,0
RND,60,20240412,100000,129.677,135.921,129.677,135.921,18.7388059698,0
RND,60,20240412,110000,136.401,137.362,135.921,135.921,21.8619402981,0
RND,60,20240412,120000,130.638,130.638,130.638,130.638,2.0820895522,0
RND,60,20240412,130000,137.362,140.244,137.362,140.244,24.9850746264,0
RND,60,20240412,140000,140.244,140.244,140.244,140.244,37.477611939599996,0
RND,60,20240412,150000,136.882,141.204,133.52,141.204,18.7388059698,0
RND,60,20240412,170000,136.882,140.244,134.48,140.244,8.3283582088,0
RND,60,20240415,100000,140.244,140.244,127.276,136.401,263.3843283533,0
RND,60,20240415,110000,136.401,139.283,126.315,135.441,246.7276119357,0
RND,60,20240415,120000,130.638,130.638,130.638,130.638,20.820895521999997,0
RND,60,20240415,140000,131.599,131.599,131.599,131.599,1.0410447761,0
RND,60,20240415,150000,131.118,131.118,129.677,130.638,5.205223880499999,0
RND,60,20240415,160000,129.677,132.559,129.677,132.559,12.4925373132,0
RND,60,20240415,170000,133.52,133.52,128.717,128.717,28.1082089547,0
RND,60,20240416,100000,125.835,126.796,118.631,121.993,452.8544776035,0
RND,60,20240416,110000,124.875,124.875,120.552,124.875,54.1343283572,0
RND,60,20240416,120000,123.914,123.914,123.914,123.914,10.410447760999999,0
RND,60,20240416,130000,124.394,125.835,124.394,125.835,15.615671641499999,0
RND,60,20240416,160000,122.953,124.875,121.032,124.394,118.6791044754,0
RND,60,20240416,170000,125.355,125.355,121.032,121.032,34.3544776113,0
RND,60,20240417,100000,120.552,125.835,120.552,125.835,11.451492537099998,0
RND,60,20240417,120000,121.032,124.875,120.552,124.875,209.24999999609997,0
RND,60,20240417,160000,123.914,124.394,123.914,124.394,10.410447760999999,0
RND,60,20240417,170000,120.072,123.914,120.072,123.914,2.0820895522,0
RND,60,20240418,100000,123.914,123.914,123.914,123.914,1.0410447761,0
RND,60,20240418,170000,122.953,125.835,122.953,125.835,75.9962686553,0
RND,60,20240422,100000,125.355,128.717,125.355,125.835,32.2723880591,0
RND,60,20240422,110000,128.237,128.237,128.237,128.237,2.0820895522,0
RND,60,20240422,170000,127.756,127.756,127.756,127.756,5.205223880499999,0
RND,60,20240423,100000,128.717,129.197,128.717,129.197,6.2462686566,0
RND,60,20240423,150000,127.756,127.756,127.756,127.756,1.0410447761,0
RND,60,20240423,170000,127.276,127.276,127.276,127.276,1.0410447761,0
RND,60,20240424,100000,127.276,127.276,127.276,127.276,1.0410447761,0
RND,60,20240424,170000,122.473,126.796,122.473,126.796,18.738805969799998,0
RND,60,20240425,150000,122.473,122.473,119.591,119.591,354.9962686501,0
RND,60,20240425,160000,126.315,126.315,126.315,126.315,1.0410447761,0
RND,60,20240426,100000,126.315,126.315,126.315,126.315,1.0410447761,0
RND,60,20240426,140000,121.993,121.993,119.591,120.552,104.10447760999999,0
