<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNK,60,20240411,100000,3.71,3.74,3.67,3.74,2224,0
RNK,60,20240411,110000,3.7,3.73,3.7,3.73,1001,0
RNK,60,20240411,130000,3.71,3.73,3.69,3.73,839,0
RNK,60,20240411,150000,3.73,3.73,3.73,3.73,600,0
RNK,60,20240411,160000,3.7,3.7,3.69,3.69,7000,0
RNK,60,20240411,170000,3.73,3.73,3.73,3.73,5,0
RNK,60,20240412,100000,3.72,3.77,3.7,3.77,2776,0
RNK,60,20240412,110000,3.77,3.77,3.72,3.73,137,0
RNK,60,20240412,120000,3.77,3.78,3.74,3.77,2949,0
RNK,60,20240412,130000,3.74,3.79,3.73,3.74,3791,0
RNK,60,20240412,140000,3.79,3.8,3.79,3.8,9128,0
RNK,60,20240412,150000,3.83,3.84,3.78,3.78,2102,0
RNK,60,20240412,160000,3.82,3.82,3.82,3.82,321,0
RNK,60,20240412,170000,3.82,3.85,3.78,3.85,5304,0
RNK,60,20240415,100000,3.89,3.89,3.82,3.82,3173,0
RNK,60,20240415,110000,3.89,4.06,3.84,3.9,26153,0
RNK,60,20240415,120000,4,4.08,4,4.04,31373,0
RNK,60,20240415,130000,4,4.04,4,4.04,5278,0
RNK,60,20240415,140000,3.96,3.96,3.95,3.95,1096,0
RNK,60,20240415,150000,4.02,4.03,3.98,4.02,4574,0
RNK,60,20240415,160000,4.03,4.03,3.97,3.97,2038,0
RNK,60,20240415,170000,4,4.08,4,4.07,18620,0
RNK,60,20240416,100000,4.02,4.05,3.91,3.95,26095,0
RNK,60,20240416,110000,3.95,3.96,3.91,3.96,2210,0
RNK,60,20240416,120000,3.94,3.94,3.94,3.94,616,0
RNK,60,20240416,130000,3.94,3.95,3.88,3.95,2205,0
RNK,60,20240416,160000,3.91,3.95,3.9,3.9,1160,0
RNK,60,20240416,170000,3.95,3.95,3.88,3.88,2345,0
RNK,60,20240417,100000,3.88,4.04,3.88,3.99,13639,0
RNK,60,20240417,110000,3.99,3.99,3.98,3.99,1359,0
RNK,60,20240417,120000,3.99,3.99,3.93,3.99,904,0
RNK,60,20240417,140000,3.99,3.99,3.9,3.99,4348,0
RNK,60,20240417,150000,3.98,3.98,3.98,3.98,1000,0
RNK,60,20240417,160000,3.99,4.04,3.98,4.04,10706,0
RNK,60,20240417,170000,4.03,4.04,3.91,3.98,2355,0
RNK,60,20240418,100000,4,4,3.98,3.98,2120,0
RNK,60,20240418,110000,4.03,4.03,4.03,4.03,100,0
RNK,60,20240418,120000,3.96,3.96,3.96,3.96,1010,0
RNK,60,20240418,140000,3.97,3.97,3.93,3.93,3626,0
RNK,60,20240418,150000,3.91,3.91,3.91,3.91,11,0
RNK,60,20240418,160000,3.93,3.93,3.91,3.91,758,0
RNK,60,20240418,170000,3.91,4,3.91,3.91,4284,0
RNK,60,20240419,100000,4,4,4,4,9,0
RNK,60,20240419,110000,4,4,3.86,3.99,2851,0
RNK,60,20240419,120000,3.87,3.99,3.87,3.99,1010,0
RNK,60,20240419,130000,3.88,4,3.87,3.88,71,0
RNK,60,20240419,140000,3.99,4,3.88,4,1064,0
RNK,60,20240419,160000,3.98,3.98,3.98,3.98,862,0
RNK,60,20240419,170000,3.88,3.98,3.86,3.98,2031,0
RNK,60,20240422,100000,4,4,3.96,4,6743,0
RNK,60,20240422,110000,3.92,4,3.92,4,1199,0
RNK,60,20240422,120000,3.88,3.99,3.88,3.99,524,0
RNK,60,20240422,130000,3.91,3.99,3.9,3.92,3425,0
RNK,60,20240422,140000,3.92,3.92,3.91,3.92,4450,0
RNK,60,20240422,150000,3.93,3.99,3.92,3.95,901,0
RNK,60,20240422,160000,3.94,3.94,3.88,3.88,11210,0
RNK,60,20240422,170000,3.88,3.88,3.85,3.88,29077,0
RNK,60,20240423,100000,3.88,3.88,3.76,3.76,10680,0
RNK,60,20240423,110000,3.77,3.78,3.76,3.78,2697,0
