<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPC,60,20240411,100000,29.4,29.4,29.4,29.4,206.80272108,0
RPC,60,20240411,110000,29.4967,29.4967,29.4967,29.4967,1.0340136054,0
RPC,60,20240412,100000,29.4967,29.4967,29.4967,29.4967,25.850340135,0
RPC,60,20240412,110000,29.4967,29.4967,29.4967,29.4967,7.2380952378,0
RPC,60,20240412,140000,29.4967,29.4967,29.4967,29.4967,10.340136054,0
RPC,60,20240415,100000,29.4967,29.4967,29.3033,29.3033,176.8163265234,0
RPC,60,20240415,120000,29.4967,29.6901,29.4967,29.6901,21.7142857134,0
RPC,60,20240415,130000,29.4967,29.6901,29.4967,29.6901,907.8639455412,0
RPC,60,20240416,100000,29.5934,29.5934,29.5934,29.5934,560.4353741268,0
RPC,60,20240416,110000,29.5934,29.5934,29.5934,29.5934,158.2040816262,0
RPC,60,20240416,130000,29.5934,29.6901,29.5934,29.6901,105.4693877508,0
RPC,60,20240417,100000,29.6901,29.6901,29.6901,29.6901,155.10204081,0
RPC,60,20240417,110000,29.6901,29.6901,29.6901,29.6901,25.850340135,0
RPC,60,20240417,120000,29.4967,29.4967,29.4967,29.4967,25.850340135,0
RPC,60,20240417,130000,29.6901,29.6901,29.6901,29.6901,21.7142857134,0
RPC,60,20240417,160000,29.6901,29.6901,29.6901,29.6901,45.4965986376,0
RPC,60,20240418,100000,29.6901,29.6901,29.6901,29.6901,20.680272108,0
RPC,60,20240418,130000,29.5934,29.5934,29.5934,29.5934,10.340136054,0
RPC,60,20240418,170000,29.4967,29.4967,29.4967,29.4967,78.5850340104,0
RPC,60,20240419,100000,29.4967,29.4967,29.4967,29.4967,20.680272108,0
RPC,60,20240419,110000,29.6901,29.6901,29.6901,29.6901,29.9863945566,0
RPC,60,20240419,130000,29.6901,29.7868,29.6901,29.7868,16.5442176864,0
RPC,60,20240422,100000,29.7868,29.7868,29.7868,29.7868,10.340136054,0
RPC,60,20240422,110000,29.8836,29.9803,29.8836,29.9803,33.0884353728,0
RPC,60,20240422,130000,29.8836,29.8836,29.8836,29.8836,18.6122448972,0
RPC,60,20240422,140000,29.7868,29.7868,29.6901,29.6901,17.578231291799998,0
RPC,60,20240422,170000,29.6901,29.8836,29.5934,29.8836,13.4421768702,0
RPC,60,20240423,100000,29.9803,29.9803,29.9803,29.9803,10.340136054,0
RPC,60,20240423,110000,29.6901,30.8507,29.6901,30.8507,1053.6598639026,0
RPC,60,20240423,130000,30.6572,30.6572,30.3671,30.3671,28.9523809512,0
RPC,60,20240423,140000,30.6572,30.6572,30.6572,30.6572,62.040816324,0
RPC,60,20240423,150000,30.3671,30.3671,30.3671,30.3671,31.020408162,0
RPC,60,20240424,100000,30.3671,30.3671,30.3671,30.3671,15.510204081,0
RPC,60,20240424,110000,30.5605,30.6572,30.5605,30.5605,76.5170067996,0
RPC,60,20240424,140000,30.5605,30.5605,30.3671,30.3671,47.5646258484,0
RPC,60,20240425,100000,30.3671,30.3671,30.3671,30.3671,15.510204081,0
RPC,60,20240425,160000,30.5605,30.5605,30.5605,30.5605,7.2380952378,0
RPC,60,20240425,170000,30.077,30.2704,29.3033,30.2704,764.1360543906,0
RPC,60,20240429,100000,30.2704,30.3671,28.8197,29.0132,311.2380952254,0
RPC,60,20240429,110000,29.0132,29.9803,29.0132,29.5934,1162.2312924696,0
RPC,60,20240429,130000,29.2066,29.3033,29.2066,29.3033,15.510204081,0
RPC,60,20240429,150000,29.1099,29.1099,29.1099,29.1099,20.680272108,0
RPC,60,20240429,160000,29.1099,29.1099,29.1099,29.1099,65.1428571402,0
RPC,60,20240429,170000,29.1099,29.3033,29.0132,29.0132,978.1768707084,0
RPC,60,20240430,100000,29.0132,29.4,29.0132,29.4,7.2380952378,0
RPC,60,20240502,110000,29.4,29.4,29.3033,29.4,467.3741496408,0
RPC,60,20240502,130000,29.4,29.4,29.4,29.4,32.0544217674,0
RPC,60,20240502,170000,29.4967,29.4967,29.4,29.4,22.7482993188,0
RPC,60,20240506,100000,29.4,29.4,29.4,29.4,23.7823129242,0
RPC,60,20240506,110000,29.4,29.4,29.4,29.4,17.578231291799998,0
RPC,60,20240506,170000,29.4,29.4,29.4,29.4,20.680272108,0
RPC,60,20240507,100000,29.4967,29.6901,29.4967,29.6901,71.3469387726,0
RPC,60,20240507,120000,29.4967,29.4967,29.4967,29.4967,18.6122448972,0
RPC,60,20240507,140000,29.4967,29.4967,29.4967,29.4967,16.5442176864,0
RPC,60,20240507,170000,29.4967,29.4967,29.4967,29.4967,5.170068027,0
RPC,60,20240508,100000,29.7868,29.7868,29.7868,29.7868,43.4285714268,0
RPC,60,20240508,130000,29.7868,29.7868,29.7868,29.7868,25.850340135,0
RPC,60,20240508,140000,29.5934,29.5934,29.5934,29.5934,20.680272108,0
RPC,60,20240508,170000,29.7868,29.8836,29.7868,29.8836,63.0748299294,0
RPC,60,20240509,100000,29.8836,29.8836,29.8836,29.8836,15.510204081,0
RPC,60,20240509,110000,29.9803,29.9803,29.5934,29.5934,56.870748297,0
RPC,60,20240509,120000,29.5934,29.5934,29.4967,29.4967,19.6462585026,0
RPC,60,20240510,100000,29.4967,29.4967,29.4,29.4,124.081632648,0
RPC,60,20240510,110000,29.4967,29.4967,29.4967,29.4967,9.3061224486,0
RPC,60,20240510,120000,29.4967,29.4967,29.4967,29.4967,1.0340136054,0
RPC,60,20240510,140000,29.4,29.4,29.3033,29.3033,103.40136054,0
RPC,60,20240510,160000,29.4967,29.4967,29.4967,29.4967,155.10204081,0
RPC,60,20240510,170000,29.3033,29.3033,29.3033,29.3033,82.721088432,0
RPC,60,20240513,100000,29.4,29.6901,29.4,29.6901,40.3265306106,0
RPC,60,20240513,120000,29.4,29.4,29.3033,29.3033,26.884353740399998,0
RPC,60,20240513,140000,29.2066,29.2066,29.2066,29.2066,15.510204081,0
RPC,60,20240513,150000,29.2066,29.3033,29.0132,29.3033,768.2721088122,0
RPC,60,20240513,160000,29.2066,29.3033,29.2066,29.3033,190.2585033936,0
RPC,60,20240513,170000,29.4,29.4967,29.4,29.4967,21.7142857134,0
RPC,60,20240514,100000,29.4967,29.4967,29.3033,29.3033,248.163265296,0
RPC,60,20240514,110000,29.4,29.4,29.4,29.4,1.0340136054,0
RPC,60,20240514,150000,29.3033,29.3033,29.3033,29.3033,175.782312918,0
