<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEL,60,20240411,100000,31.7545,31.9463,31.2748,31.9463,218.898305094,0
SEL,60,20240411,110000,31.9463,31.9463,31.1789,31.2748,781.77966105,0
SEL,60,20240411,120000,31.9463,31.9463,31.9463,31.9463,1.0423728814,0
SEL,60,20240411,160000,31.1789,31.9463,31.1789,31.9463,162.61016949839998,0
SEL,60,20240411,170000,31.6585,31.8504,31.6585,31.8504,238.70338984059998,0
SEL,60,20240412,100000,31.8504,32.522,31.0829,32.426,269.9745762826,0
SEL,60,20240412,110000,31.1789,31.1789,31.1789,31.1789,56.2881355956,0
SEL,60,20240412,120000,30.8911,31.9463,30.8911,31.9463,399.2288135762,0
SEL,60,20240412,130000,31.9463,31.9463,31.9463,31.9463,10.423728814,0
SEL,60,20240412,140000,31.7545,31.7545,31.7545,31.7545,53.1610169514,0
SEL,60,20240412,150000,31.7545,31.7545,31.7545,31.7545,1042.3728813999999,0
SEL,60,20240415,100000,32.1382,32.6179,32.1382,32.6179,159.4830508542,0
SEL,60,20240415,120000,32.6179,32.6179,32.6179,32.6179,43.7796610188,0
SEL,60,20240415,130000,32.6179,32.6179,32.6179,32.6179,109.449152547,0
SEL,60,20240415,140000,32.1382,32.522,32.1382,32.1382,11.4661016954,0
SEL,60,20240415,160000,32.426,32.6179,32.426,32.6179,145.932203396,0
SEL,60,20240415,170000,32.6179,32.6179,32.6179,32.6179,528.4830508698,0
SEL,60,20240416,100000,32.426,33.0976,32.426,33.0976,119.872881361,0
SEL,60,20240416,110000,32.6179,32.6179,32.6179,32.6179,55.2457627142,0
SEL,60,20240416,130000,32.6179,33.0016,32.6179,33.0016,50.0338983072,0
SEL,60,20240416,140000,33.0016,33.0016,33.0016,33.0016,62.542372884,0
SEL,60,20240416,150000,32.6179,33.0976,32.6179,33.0976,249.1271186546,0
SEL,60,20240416,160000,33.0976,33.0976,33.0976,33.0976,72.966101698,0
SEL,60,20240416,170000,32.6179,33.0976,32.6179,33.0976,185.5423728892,0
SEL,60,20240417,100000,32.2341,32.2341,30.6992,31.4667,2162.923728905,0
SEL,60,20240417,110000,31.4667,32.0423,31.4667,32.0423,857.8728813921999,0
SEL,60,20240417,130000,31.7545,31.7545,31.4667,31.4667,234.533898315,0
SEL,60,20240417,140000,31.6585,31.6585,31.3707,31.4667,4003.7542374574,0
SEL,60,20240417,150000,31.2748,31.5626,31.2748,31.5626,1553.135593286,0
SEL,60,20240417,160000,31.6585,31.6585,31.4667,31.6585,138.6355932262,0
SEL,60,20240417,170000,31.2748,31.6585,31.1789,31.3707,3070.8305086044,0
SEL,60,20240418,100000,31.3707,32.0423,31.3707,31.3707,723.4067796916,0
SEL,60,20240418,110000,31.3707,31.3707,30.8911,30.8911,3268.8813560704,0
SEL,60,20240418,120000,30.8911,30.987,30.3154,30.5073,1045.5000000442,0
SEL,60,20240418,130000,30.5073,30.5073,30.5073,30.5073,292.90677967339997,0
SEL,60,20240418,150000,30.4114,30.5073,30.4114,30.5073,105.27966102139999,0
SEL,60,20240418,160000,30.5073,30.5073,30.5073,30.5073,6170.847457888,0
SEL,60,20240419,100000,30.6992,30.6992,30.2195,30.2195,603.5338983306,0
SEL,60,20240419,110000,30.7951,30.7951,30.7951,30.7951,1.0423728814,0
SEL,60,20240419,120000,30.2195,30.7951,30.0276,30.1236,362.7457627272,0
SEL,60,20240419,130000,30.0276,30.1236,30.0276,30.1236,37.5254237304,0
SEL,60,20240419,140000,30.1236,30.2195,30.1236,30.2195,86.5169491562,0
SEL,60,20240419,160000,30.1236,30.1236,28.9724,30.1236,5494.3474578594,0
SEL,60,20240419,170000,29.8358,30.6992,29.8358,30.6992,2146.2457628026,0
SEL,60,20240422,100000,30.6033,30.6033,30.3154,30.3154,126.1271186494,0
SEL,60,20240422,110000,30.987,30.987,30.987,30.987,1.0423728814,0
SEL,60,20240422,120000,30.987,30.987,30.987,30.987,1.0423728814,0
SEL,60,20240422,140000,30.6992,30.987,30.6992,30.987,153.2288135658,0
SEL,60,20240422,150000,30.6992,31.0829,30.6992,31.0829,43.7796610188,0
SEL,60,20240422,160000,31.3707,31.3707,30.6992,31.3707,94.8559322074,0
SEL,60,20240422,170000,30.6992,31.1789,30.6992,31.1789,121.9576271238,0
SEL,60,20240423,100000,30.4114,31.1789,30.4114,31.1789,42.7372881374,0
SEL,60,20240423,110000,31.0829,31.1789,31.0829,31.1789,255.381355943,0
SEL,60,20240423,130000,31.0829,31.0829,31.0829,31.0829,5.211864407,0
SEL,60,20240423,170000,30.6992,30.987,30.6992,30.987,72.966101698,0
SEL,60,20240424,100000,30.987,30.987,30.987,30.987,1.0423728814,0
SEL,60,20240424,110000,30.8911,30.987,30.8911,30.987,74.0084745794,0
SEL,60,20240424,120000,30.8911,30.8911,30.8911,30.8911,1.0423728814,0
SEL,60,20240424,130000,30.8911,30.8911,30.8911,30.8911,20.847457628,0
SEL,60,20240424,160000,30.8911,31.0829,30.8911,31.0829,431.5423728996,0
SEL,60,20240424,170000,31.1789,31.3707,31.0829,31.2748,629.5932203656,0
SEL,60,20240425,100000,31.5626,32.8098,31.5626,32.6179,4963.7796612268,0
SEL,60,20240425,110000,32.522,32.522,32.2341,32.2341,386.7203389994,0
SEL,60,20240425,120000,32.2341,32.426,32.0423,32.426,198.050847466,0
SEL,60,20240425,130000,32.0423,32.426,32.0423,32.426,2669.5169492654,0
SEL,60,20240425,140000,32.6179,32.6179,32.6179,32.6179,3.1271186442,0
