<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFS,60,20240411,100000,0.76,0.76,0.736,0.74,21278,0
SFS,60,20240411,110000,0.733,0.754,0.726,0.754,27284,0
SFS,60,20240411,130000,0.736,0.745,0.728,0.745,6247,0
SFS,60,20240411,150000,0.743,0.744,0.736,0.736,6532,0
SFS,60,20240411,160000,0.736,0.75,0.736,0.75,11995,0
SFS,60,20240411,170000,0.75,0.754,0.75,0.754,6560,0
SFS,60,20240412,100000,0.73,0.73,0.73,0.73,24,0
SFS,60,20240412,110000,0.731,0.731,0.731,0.731,2700,0
SFS,60,20240412,120000,0.731,0.731,0.731,0.731,1700,0
SFS,60,20240412,130000,0.731,0.746,0.731,0.746,2000,0
SFS,60,20240412,140000,0.746,0.746,0.727,0.727,2187,0
SFS,60,20240412,150000,0.727,0.746,0.72,0.723,6313,0
SFS,60,20240412,160000,0.727,0.727,0.72,0.72,15463,0
SFS,60,20240412,170000,0.736,0.738,0.721,0.735,4271,0
SFS,60,20240415,100000,0.734,0.736,0.734,0.736,11200,0
SFS,60,20240415,110000,0.731,0.77,0.731,0.768,22294,0
SFS,60,20240415,120000,0.769,0.769,0.769,0.769,13000,0
SFS,60,20240415,130000,0.746,0.746,0.746,0.746,2000,0
SFS,60,20240415,140000,0.762,0.763,0.762,0.763,899,0
SFS,60,20240415,170000,0.758,0.762,0.758,0.762,3220,0
SFS,60,20240416,100000,0.762,0.762,0.72,0.757,4050,0
SFS,60,20240416,110000,0.726,0.757,0.723,0.757,7496,0
SFS,60,20240416,120000,0.757,0.757,0.757,0.757,419,0
SFS,60,20240416,130000,0.727,0.727,0.727,0.727,10,0
SFS,60,20240416,140000,0.758,0.769,0.758,0.769,17481,0
SFS,60,20240416,160000,0.769,0.769,0.769,0.769,95,0
SFS,60,20240416,170000,0.77,0.77,0.737,0.77,2110,0
SFS,60,20240417,120000,0.763,0.763,0.752,0.752,5729,0
SFS,60,20240417,140000,0.762,0.78,0.762,0.78,131235,0
SFS,60,20240417,150000,0.778,0.78,0.778,0.78,51063,0
SFS,60,20240417,160000,0.78,0.799,0.762,0.797,39895,0
SFS,60,20240417,170000,0.79,0.79,0.789,0.79,13450,0
SFS,60,20240418,100000,0.796,0.796,0.79,0.79,1505,0
SFS,60,20240418,110000,0.79,0.79,0.768,0.776,32372,0
