<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHG,60,20240415,120000,0.4,0.4,0.4,0.4,2010,0
SHG,60,20240415,160000,0.398,0.398,0.398,0.398,177,0
SHG,60,20240506,120000,0.36,0.36,0.36,0.36,100,0
SHG,60,20240506,160000,0.36,0.36,0.36,0.36,1013,0
SHG,60,20240510,120000,0.36,0.36,0.36,0.36,7318,0
SHG,60,20240514,160000,0.398,0.398,0.398,0.398,147,0
SHG,60,20240521,120000,0.336,0.336,0.336,0.336,3370,0
SHG,60,20240605,160000,0.39,0.398,0.39,0.398,17210,0
SHG,60,20240606,120000,0.37,0.37,0.37,0.37,300,0
SHG,60,20240607,160000,0.398,0.398,0.398,0.398,2002,0
SHG,60,20240610,120000,0.4,0.4,0.4,0.4,5000,0
SHG,60,20240702,160000,0.364,0.396,0.364,0.396,58355,0
SHG,60,20240708,120000,0.394,0.396,0.39,0.39,7600,0
SHG,60,20240715,160000,0.39,0.39,0.37,0.37,1196,0
SHG,60,20240801,120000,0.364,0.39,0.334,0.39,45699,0
SHG,60,20240801,160000,0.386,0.386,0.386,0.386,10,0
SHG,60,20240809,120000,0.386,0.392,0.382,0.392,6412,0
SHG,60,20240809,160000,0.386,0.386,0.386,0.386,3404,0
SHG,60,20240812,120000,0.382,0.382,0.382,0.382,2000,0
SHG,60,20240812,160000,0.382,0.382,0.382,0.382,17,0
SHG,60,20240816,120000,0.382,0.39,0.382,0.39,4200,0
SHG,60,20240816,160000,0.39,0.39,0.39,0.39,344,0
SHG,60,20240830,120000,0.37,0.37,0.37,0.37,1200,0
SHG,60,20240830,160000,0.37,0.37,0.37,0.37,10,0
SHG,60,20241010,120000,0.39,0.39,0.35,0.37,11307,0
SHG,60,20241016,160000,0.37,0.37,0.312,0.342,4139,0
SHG,60,20241017,120000,0.388,0.388,0.388,0.388,10,0
SHG,60,20241017,160000,0.388,0.388,0.388,0.388,1100,0
SHG,60,20241018,120000,0.38,0.38,0.38,0.38,8000,0
SHG,60,20241021,160000,0.35,0.35,0.35,0.35,123,0
SHG,60,20241028,120000,0.318,0.318,0.316,0.316,662,0
SHG,60,20241105,160000,0.316,0.316,0.316,0.316,250,0
SHG,60,20241108,120000,0.36,0.36,0.36,0.36,2000,0
SHG,60,20241108,160000,0.358,0.358,0.358,0.358,646,0
SHG,60,20241113,120000,0.358,0.358,0.358,0.358,1200,0
SHG,60,20241115,160000,0.36,0.36,0.358,0.358,2596,0
SHG,60,20241118,120000,0.324,0.324,0.324,0.324,3851,0
SHG,60,20241118,160000,0.322,0.322,0.322,0.322,149,0
SHG,60,20241119,120000,0.314,0.314,0.314,0.314,350,0
SHG,60,20241119,160000,0.314,0.314,0.314,0.314,100,0
SHG,60,20241121,120000,0.314,0.314,0.314,0.314,10500,0
SHG,60,20241122,160000,0.314,0.314,0.314,0.314,29477,0
SHG,60,20241125,120000,0.314,0.314,0.314,0.314,5467,0
SHG,60,20241127,160000,0.314,0.314,0.3,0.3,502,0
SHG,60,20241202,120000,0.3,0.3,0.3,0.3,2192,0
SHG,60,20241209,160000,0.306,0.31,0.306,0.31,6051,0
SHG,60,20241210,120000,0.31,0.31,0.31,0.31,405,0
SHG,60,20241210,160000,0.308,0.308,0.308,0.308,500,0
SHG,60,20241216,120000,0.308,0.308,0.3,0.3,5540,0
SHG,60,20241217,160000,0.272,0.272,0.272,0.272,2000,0
SHG,60,20241218,120000,0.272,0.272,0.272,0.272,3342,0
SHG,60,20241218,160000,0.272,0.272,0.272,0.272,3033,0
SHG,60,20241220,120000,0.262,0.262,0.262,0.262,5069,0
SHG,60,20241220,160000,0.25,0.25,0.25,0.25,10836,0
SHG,60,20241223,120000,0.236,0.236,0.236,0.236,1521,0
SHG,60,20241223,160000,0.236,0.236,0.236,0.236,167,0
SHG,60,20241227,120000,0.236,0.236,0.236,0.236,1667,0
SHG,60,20250107,160000,0.27,0.27,0.27,0.27,11965,0
SHG,60,20250108,120000,0.27,0.27,0.27,0.27,11000,0
