<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHO,60,20240411,100000,29.6991,29.8957,29.5024,29.6007,11033.012048415,0
SHO,60,20240411,110000,29.9941,29.9941,29.9941,29.9941,7363.1373495459,0
SHO,60,20240411,140000,29.9941,30.0924,29.9941,30.0924,630.457831338,0
SHO,60,20240411,170000,30.0924,30.1908,30.0924,30.0924,254.216867475,0
SHO,60,20240412,110000,30.0924,30.0924,30.0924,30.0924,45.7590361455,0
SHO,60,20240412,120000,29.7974,30.0924,29.7974,30.0924,148.4626506054,0
SHO,60,20240412,130000,30.0924,30.0924,29.7974,29.7974,1376.8385542446,0
SHO,60,20240412,170000,29.6991,30.4858,29.6991,30.4858,1068.7277108649,0
SHO,60,20240415,100000,30.4858,30.4858,30.4858,30.4858,101.68674699,0
SHO,60,20240415,110000,30.4858,30.4858,30.4858,30.4858,1701.2192771427,0
SHO,60,20240415,120000,29.8957,29.8957,29.8957,29.8957,4.0674698796,0
SHO,60,20240415,130000,30.4858,30.4858,30.3874,30.3874,22116.867470325,0
SHO,60,20240415,140000,30.0924,30.0924,29.9941,29.9941,71.180722893,0
SHO,60,20240415,150000,30.4858,30.4858,30.4858,30.4858,3551.9180723607,0
SHO,60,20240415,160000,30.6825,30.8791,30.6825,30.8791,316.2457831389,0
SHO,60,20240416,100000,30.4858,30.4858,30.3874,30.3874,56.9445783144,0
SHO,60,20240416,110000,30.1908,30.1908,30.1908,30.1908,28.4722891572,0
SHO,60,20240416,120000,30.1908,30.1908,30.1908,30.1908,16.2698795184,0
SHO,60,20240416,130000,30.1908,30.1908,30.1908,30.1908,36.6072289164,0
SHO,60,20240416,140000,29.9941,29.9941,29.9941,29.9941,277.6048192827,0
SHO,60,20240416,160000,30.0924,30.0924,29.8957,29.8957,61.012048194,0
SHO,60,20240416,170000,29.8957,30.4858,29.8957,30.4858,900.9445783314,0
SHO,60,20240417,110000,29.9941,29.9941,29.9941,29.9941,4.0674698796,0
SHO,60,20240417,120000,29.9941,30.4858,29.9941,30.4858,2.0337349398,0
SHO,60,20240417,130000,29.9941,30.4858,29.9941,30.4858,643.6771084467,0
SHO,60,20240417,140000,29.9941,30.4858,29.9941,30.4858,1120.5879518298,0
SHO,60,20240417,160000,30.4858,30.4858,29.9941,29.9941,103.7204819298,0
SHO,60,20240418,100000,30.3874,30.3874,30.3874,30.3874,172.86746988299998,0
SHO,60,20240418,110000,29.9941,30.0924,29.9941,29.9941,92.5349397609,0
SHO,60,20240418,120000,29.9941,29.9941,29.9941,29.9941,262.3518072342,0
SHO,60,20240418,130000,30.2891,30.2891,30.2891,30.2891,16.2698795184,0
SHO,60,20240418,140000,30.2891,30.2891,30.2891,30.2891,208.4578313295,0
SHO,60,20240418,160000,30.5841,30.7808,30.5841,30.7808,839.9325301374,0
SHO,60,20240418,170000,30.8791,30.8791,30.8791,30.8791,168.8000000034,0
SHO,60,20240419,100000,29.9941,29.9941,29.9941,29.9941,30.506024097,0
SHO,60,20240419,120000,29.9941,30.4858,29.9941,30.4858,533.8554216975,0
SHO,60,20240419,170000,30.7808,30.7808,30.4858,30.4858,113.8891566288,0
SHO,60,20240422,100000,30.4858,30.4858,30.1908,30.1908,62.0289156639,0
SHO,60,20240422,110000,30.4858,30.4858,30.4858,30.4858,15.2530120485,0
SHO,60,20240422,130000,30.6825,30.6825,30.3874,30.3874,311.1614457894,0
SHO,60,20240422,160000,30.5841,30.5841,30.5841,30.5841,115.9228915686,0
SHO,60,20240422,170000,30.6825,31.3709,30.6825,31.0758,845.0168674869,0
SHO,60,20240423,100000,31.1742,31.1742,31.1742,31.1742,140.3277108462,0
SHO,60,20240423,110000,31.1742,31.1742,31.1742,31.1742,21.3542168679,0
SHO,60,20240423,140000,30.7808,30.7808,30.7808,30.7808,25.4216867475,0
SHO,60,20240423,170000,31.1742,31.4692,30.9775,31.4692,42091.1951815707,0
SHO,60,20240424,100000,30.6825,31.4692,30.6825,31.3709,128.1253012074,0
SHO,60,20240424,110000,31.3709,31.3709,31.0758,31.0758,869.4216867645,0
SHO,60,20240424,120000,31.3709,31.6659,31.3709,31.4692,1766.2987952163,0
SHO,60,20240424,130000,31.6659,31.8626,31.4692,31.4692,1188.7180723131,0
SHO,60,20240424,140000,31.4692,31.4692,31.4692,31.4692,391.4939759115,0
SHO,60,20240424,150000,31.4692,31.4692,31.4692,31.4692,57.9614457843,0
SHO,60,20240424,160000,31.6659,31.6659,31.6659,31.6659,25421.6867475,0
SHO,60,20240424,170000,31.4692,31.9609,31.4692,31.4692,732.144578328,0
SHO,60,20240425,100000,32.6493,35.0095,32.6493,34.4194,248074.9879568,0
SHO,60,20240425,110000,34.4194,36.1896,34.2227,35.9929,14925.580723192,0
SHO,60,20240425,120000,36.0912,36.0912,35.4028,35.7962,10729.985542385,0
SHO,60,20240425,130000,35.7962,36.1896,35.5995,35.7962,4989.7686747993,0
SHO,60,20240425,140000,35.7962,35.7962,35.5995,35.5995,2189.3156626947,0
SHO,60,20240425,150000,35.5995,36.878,35.5995,36.1896,39684.269880317,0
SHO,60,20240425,160000,36.1896,36.7796,36.0912,36.7796,1199.903614482,0
SHO,60,20240425,170000,36.7796,36.878,36.1896,36.1896,18692.057831702,0
SHO,60,20240426,100000,37.0746,37.468,36.2879,36.3863,8968.771084518,0
SHO,60,20240426,110000,36.7796,36.7796,35.8945,35.8945,3716.6506024845,0
SHO,60,20240426,120000,35.8945,36.2879,35.8945,35.9929,1321.92771087,0
SHO,60,20240426,130000,35.9929,35.9929,35.5995,35.8945,1294.4722891827,0
SHO,60,20240426,140000,35.9929,35.9929,35.9929,35.9929,35.5903614465,0
SHO,60,20240426,150000,35.8945,35.9929,35.6979,35.6979,1414.4626506309,0
SHO,60,20240426,160000,35.6979,35.7962,35.6979,35.7962,109.8216867492,0
SHO,60,20240426,170000,35.7962,35.8945,35.4028,35.4028,1203.9710843616,0
SHO,60,20240429,100000,35.0095,36.2879,35.0095,36.2879,3566.1542169393,0
SHO,60,20240429,110000,35.9929,35.9929,35.4028,35.4028,2692.6650602952,0
SHO,60,20240429,120000,35.5012,35.5012,35.4028,35.4028,122.024096388,0
SHO,60,20240429,130000,35.4028,36.0912,35.4028,36.0912,1126.6891566492,0
SHO,60,20240429,150000,35.5995,36.1896,35.5995,36.1896,387.4265060319,0
SHO,60,20240429,170000,36.0912,36.0912,35.5012,35.5012,28.4722891572,0
SHO,60,20240430,100000,36.3863,36.3863,35.8945,35.8945,730.1108433882,0
SHO,60,20240430,110000,35.8945,36.1896,35.8945,36.1896,44.7421686756,0
SHO,60,20240430,120000,35.8945,36.5829,35.8945,36.5829,850.1012048364,0
SHO,60,20240430,130000,36.3863,36.5829,36.3863,36.5829,319.2963855486,0
SHO,60,20240430,140000,36.5829,36.878,36.5829,36.878,359.9710843446,0
SHO,60,20240430,150000,36.878,36.878,36.4846,36.4846,218.6265060285,0
SHO,60,20240430,160000,36.6813,36.878,36.3863,36.3863,691.469879532,0
SHO,60,20240430,170000,36.6813,36.878,36.3863,36.878,12206.47710868,0
SHO,60,20240502,100000,36.878,36.878,36.3863,36.878,2883.8361446364,0
SHO,60,20240502,110000,36.9763,37.3697,36.878,36.878,726.0433735086,0
SHO,60,20240502,120000,36.878,36.878,36.878,36.878,124.0578313278,0
SHO,60,20240502,130000,36.878,36.878,36.878,36.878,384.3759036222,0
SHO,60,20240502,140000,37.173,37.3697,37.173,37.3697,124.0578313278,0
SHO,60,20240502,150000,37.5664,37.5664,36.3863,36.3863,458.6072289249,0
SHO,60,20240502,160000,37.3697,37.3697,36.878,36.878,2432.3469880008,0
SHO,60,20240506,100000,37.3697,37.9597,37.3697,37.9597,322.3469879583,0
SHO,60,20240506,110000,37.9597,40.0249,37.9597,38.9431,6062.5638555438,0
SHO,60,20240506,120000,39.0415,39.0415,38.3531,38.7464,3833.590361523,0
SHO,60,20240506,130000,38.2547,38.6481,38.2547,38.2547,5410.7518073379,0
SHO,60,20240506,140000,38.3531,38.8448,38.3531,38.8448,1330.0626506292,0
SHO,60,20240506,150000,38.8448,39.0415,38.7464,38.8448,2111.0168675124,0
SHO,60,20240506,160000,38.8448,39.6315,38.8448,39.2382,14040.906024379,0
SHO,60,20240506,170000,39.3365,40.1232,38.7464,40.1232,4260.674698881,0
SHO,60,20240507,100000,39.4348,40.1232,39.3365,39.3365,1132.7903614686,0
SHO,60,20240507,110000,39.4348,39.4348,39.1398,39.3365,1198.8867470121,0
SHO,60,20240507,120000,39.3365,39.3365,39.3365,39.3365,1072.7951807445,0
SHO,60,20240507,130000,39.3365,39.3365,39.0415,39.0415,1209.0554217111,0
SHO,60,20240507,140000,39.1398,39.1398,38.9431,38.9431,193.204819281,0
SHO,60,20240507,150000,38.9431,38.9431,38.8448,38.8448,53.8939759047,0
SHO,60,20240507,160000,38.8448,39.2382,38.8448,39.2382,610.12048194,0
SHO,60,20240507,170000,39.2382,39.2382,38.3531,38.9431,802.3084337511,0
SHO,60,20240508,100000,39.8282,39.8282,38.8448,38.8448,1693.0843373835,0
SHO,60,20240508,110000,38.8448,38.8448,38.3531,38.6481,152.530120485,0
SHO,60,20240508,130000,38.3531,38.6481,38.1564,38.1564,1018.9012048398,0
SHO,60,20240508,140000,38.6481,38.6481,38.6481,38.6481,270.4867469934,0
SHO,60,20240508,150000,38.6481,38.6481,38.6481,38.6481,24.404819277599998,0
SHO,60,20240508,160000,38.6481,38.6481,38.6481,38.6481,15.2530120485,0
SHO,60,20240508,170000,38.3531,38.3531,38.1564,38.1564,779.9373494133,0
SHO,60,20240509,100000,37.8614,38.8448,37.8614,38.8448,481.9951807326,0
SHO,60,20240509,110000,38.6481,38.6481,38.6481,38.6481,286.7566265118,0
SHO,60,20240509,130000,38.6481,38.7464,38.2547,38.7464,345.734939766,0
SHO,60,20240509,150000,38.7464,38.7464,38.7464,38.7464,5.0843373495,0
