<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKL,60,20240415,110000,1.5,1.52,1.5,1.52,4604,0
SKL,60,20240416,100000,1.45,1.45,1.45,1.45,1,0
SKL,60,20240416,170000,1.45,1.45,1.45,1.45,810,0
SKL,60,20240417,100000,1.45,1.45,1.45,1.45,1000,0
SKL,60,20240417,120000,1.5,1.5,1.5,1.5,4994,0
SKL,60,20240417,130000,1.5,1.5,1.5,1.5,2500,0
SKL,60,20240417,150000,1.5,1.5,1.45,1.45,3999,0
SKL,60,20240417,160000,1.45,1.45,1.45,1.45,200,0
SKL,60,20240423,100000,1.45,1.45,1.45,1.45,2490,0
SKL,60,20240423,130000,1.49,1.49,1.49,1.49,800,0
SKL,60,20240423,150000,1.49,1.49,1.49,1.49,2000,0
SKL,60,20240423,160000,1.49,1.49,1.49,1.49,700,0
SKL,60,20240426,150000,1.49,1.49,1.49,1.49,500,0
SKL,60,20240426,160000,1.49,1.49,1.49,1.49,1600,0
SKL,60,20240426,170000,1.42,1.49,1.41,1.49,2001,0
SKL,60,20240430,100000,1.5,1.5,1.5,1.5,547,0
SKL,60,20240502,120000,1.41,1.5,1.4,1.5,1574,0
SKL,60,20240502,140000,1.5,1.5,1.5,1.5,5003,0
SKL,60,20240506,100000,1.545,1.545,1.545,1.545,900,0
SKL,60,20240506,130000,1.545,1.545,1.545,1.545,1297,0
SKL,60,20240507,140000,1.545,1.545,1.545,1.545,997,0
SKL,60,20240507,150000,1.45,1.45,1.45,1.45,899,0
SKL,60,20240507,170000,1.45,1.45,1.45,1.45,898,0
SKL,60,20240508,110000,1.545,1.545,1.545,1.545,3,0
SKL,60,20240508,120000,1.55,1.55,1.55,1.55,650,0
SKL,60,20240508,130000,1.55,1.55,1.55,1.55,518,0
SKL,60,20240508,150000,1.55,1.55,1.55,1.55,4921,0
SKL,60,20240508,160000,1.55,1.55,1.55,1.55,1600,0
SKL,60,20240510,100000,1.62,1.62,1.53,1.53,4903,0
SKL,60,20240510,110000,1.535,1.535,1.535,1.535,1230,0
SKL,60,20240510,150000,1.54,1.54,1.54,1.54,1296,0
SKL,60,20240514,100000,1.54,1.54,1.54,1.54,600,0
SKL,60,20240514,110000,1.54,1.54,1.54,1.54,2278,0
SKL,60,20240514,120000,1.52,1.52,1.52,1.52,4900,0
SKL,60,20240515,100000,1.54,1.62,1.54,1.62,10529,0
SKL,60,20240515,110000,1.6,1.6,1.58,1.58,5297,0
SKL,60,20240515,120000,1.58,1.58,1.58,1.58,1350,0
SKL,60,20240515,160000,1.53,1.53,1.52,1.52,9935,0
SKL,60,20240516,120000,1.54,1.54,1.54,1.54,1,0
SKL,60,20240520,160000,1.46,1.46,1.46,1.46,1230,0
SKL,60,20240520,170000,1.52,1.52,1.52,1.52,1000,0
SKL,60,20240521,100000,1.47,1.47,1.47,1.47,735,0
SKL,60,20240521,110000,1.525,1.525,1.525,1.525,700,0
SKL,60,20240521,120000,1.525,1.525,1.525,1.525,127,0
SKL,60,20240521,160000,1.525,1.525,1.525,1.525,1265,0
SKL,60,20240522,120000,1.525,1.525,1.525,1.525,1000,0
SKL,60,20240523,140000,1.525,1.525,1.525,1.525,13,0
SKL,60,20240523,160000,1.46,1.46,1.46,1.46,479,0
SKL,60,20240523,170000,1.5,1.5,1.5,1.5,1000,0
SKL,60,20240527,110000,1.525,1.525,1.525,1.525,326,0
SKL,60,20240528,100000,1.525,1.62,1.525,1.62,21559,0
SKL,60,20240528,110000,1.6,1.6,1.595,1.595,11709,0
SKL,60,20240611,120000,1.595,1.595,1.5,1.5,6258,0
SKL,60,20240612,130000,1.52,1.585,1.52,1.585,4994,0
SKL,60,20240612,140000,1.585,1.585,1.585,1.585,100,0
SKL,60,20240613,100000,1.5,1.5,1.5,1.5,5000,0
SKL,60,20240613,130000,1.51,1.6,1.51,1.56,19729,0
SKL,60,20240614,100000,1.65,1.65,1.65,1.65,3,0
SKL,60,20240614,170000,1.695,1.695,1.695,1.695,5541,0
SKL,60,20240617,120000,1.66,1.66,1.66,1.66,291,0
SKL,60,20240617,160000,1.66,1.66,1.66,1.66,9384,0
SKL,60,20240617,170000,1.66,1.66,1.66,1.66,1000,0
SKL,60,20240618,140000,1.65,1.65,1.65,1.65,4546,0
SKL,60,20240618,170000,1.74,1.74,1.74,1.74,1,0
SKL,60,20240619,150000,1.65,1.65,1.6,1.6,4688,0
SKL,60,20240619,170000,1.73,1.73,1.73,1.73,1,0
SKL,60,20240620,100000,1.54,1.54,1.54,1.54,9620,0
SKL,60,20240620,130000,1.58,1.58,1.58,1.58,3200,0
SKL,60,20240620,170000,1.56,1.56,1.555,1.555,4550,0
SKL,60,20240621,110000,1.555,1.555,1.555,1.555,100,0
SKL,60,20240621,140000,1.63,1.63,1.63,1.63,1000,0
SKL,60,20240621,150000,1.6,1.6,1.6,1.6,1999,0
SKL,60,20240627,100000,1.6,1.6,1.6,1.6,1,0
SKL,60,20240627,120000,1.59,1.59,1.59,1.59,149,0
SKL,60,20240627,130000,1.59,1.59,1.57,1.57,2745,0
SKL,60,20240628,120000,1.625,1.63,1.625,1.63,1399,0
SKL,60,20240628,130000,1.63,1.64,1.63,1.64,6533,0
SKL,60,20240628,140000,1.62,1.64,1.6,1.64,10571,0
SKL,60,20240628,150000,1.6,1.6,1.6,1.6,5000,0
SKL,60,20240701,100000,1.64,1.64,1.64,1.64,1000,0
SKL,60,20240701,110000,1.62,1.62,1.62,1.62,4000,0
SKL,60,20240701,140000,1.66,1.66,1.66,1.66,2134,0
SKL,60,20240702,100000,1.66,1.66,1.66,1.66,61,0
SKL,60,20240702,140000,1.66,1.66,1.66,1.66,1000,0
SKL,60,20240703,100000,1.625,1.625,1.62,1.62,1930,0
