<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLV,60,20240411,100000,66.2,68.2,66.2,68.2,2443,0
SLV,60,20240411,110000,68.2,68.2,67.9,67.9,20193,0
SLV,60,20240411,120000,68.5,68.6,68,68.1,807,0
SLV,60,20240411,130000,68.1,68.4,68.1,68.1,129,0
SLV,60,20240411,140000,68.6,70,68.5,70,2994,0
SLV,60,20240411,150000,69.9,70,69.3,69.3,296,0
SLV,60,20240411,160000,69.5,70,69.2,70,455,0
SLV,60,20240411,170000,69.2,69.7,69.2,69.2,401,0
SLV,60,20240412,100000,69.2,70,69.2,70,2812,0
SLV,60,20240412,110000,69.7,71,69.7,70.7,1672,0
SLV,60,20240412,120000,70.8,71,70.4,71,383,0
SLV,60,20240412,130000,70.4,71,70.3,71,311,0
SLV,60,20240412,140000,71,71.2,71,71.2,506,0
SLV,60,20240412,150000,71.2,71.5,71.1,71.5,730,0
SLV,60,20240412,160000,71.5,71.8,71.4,71.8,908,0
SLV,60,20240412,170000,71.8,72,71.8,71.8,1661,0
SLV,60,20240415,100000,71.7,71.7,69.4,70,482,0
SLV,60,20240415,110000,69.9,69.9,69.5,69.6,273,0
SLV,60,20240415,120000,70.5,71.7,70.5,71.7,540,0
SLV,60,20240415,130000,71.7,71.7,70.9,70.9,344,0
SLV,60,20240415,140000,71,71.8,71,71.8,674,0
SLV,60,20240415,150000,71.8,71.8,71.1,71.1,16,0
SLV,60,20240415,160000,71.1,71.1,70.9,70.9,307,0
SLV,60,20240415,170000,70.9,71.1,70.9,71,4255,0
SLV,60,20240416,100000,71,71,69.1,69.1,25967,0
SLV,60,20240416,110000,69.1,69.9,69.1,69.1,106,0
SLV,60,20240416,120000,69.2,69.2,69.2,69.2,30,0
SLV,60,20240416,130000,69.2,70,69.2,70,292,0
SLV,60,20240416,140000,69.9,69.9,69.9,69.9,12,0
SLV,60,20240416,150000,69.5,69.5,69.5,69.5,11,0
SLV,60,20240416,160000,69.5,69.5,69.5,69.5,2038,0
SLV,60,20240416,170000,69.5,70,69.5,70,882,0
SLV,60,20240417,100000,69.1,69.1,69.1,69.1,50,0
SLV,60,20240417,110000,69.2,69.2,69.1,69.1,396,0
SLV,60,20240417,120000,69.4,69.4,69.1,69.3,385,0
SLV,60,20240417,130000,69.2,69.6,69.2,69.6,120,0
SLV,60,20240417,140000,69.4,69.4,69.3,69.3,120,0
SLV,60,20240417,150000,69.4,69.9,69.3,69.9,139,0
SLV,60,20240417,160000,69.3,69.4,69.1,69.1,3131,0
SLV,60,20240417,170000,69.1,69.1,69.1,69.1,1242,0
SLV,60,20240418,100000,69.1,69.2,67,69.2,1571,0
SLV,60,20240418,120000,68.8,69,68.8,69,146,0
SLV,60,20240418,130000,69.1,69.1,69.1,69.1,12,0
SLV,60,20240418,140000,69.5,69.5,69.1,69.1,164,0
SLV,60,20240418,150000,69.2,69.2,69.1,69.1,38,0
SLV,60,20240418,160000,69.5,69.7,69.5,69.7,20,0
SLV,60,20240418,170000,69.1,69.1,69.1,69.1,12,0
SLV,60,20240419,100000,68.1,69.7,68.1,69.7,7,0
SLV,60,20240419,110000,69.7,70.9,69.7,70.9,475,0
SLV,60,20240419,120000,70.8,70.8,70.8,70.8,8,0
SLV,60,20240419,130000,70.8,70.8,70.8,70.8,9,0
SLV,60,20240419,150000,70,70.3,70,70.3,101,0
SLV,60,20240419,160000,70.3,70.3,70.3,70.3,1,0
SLV,60,20240419,170000,70.8,70.8,69.3,70.1,756,0
SLV,60,20240422,100000,70,70,69.5,69.9,395,0
SLV,60,20240422,110000,69.5,69.5,68.9,68.9,143,0
SLV,60,20240422,120000,68.9,68.9,68.9,68.9,35,0
SLV,60,20240422,140000,68.8,68.9,68.5,68.9,57,0
SLV,60,20240422,160000,68.9,68.9,68.5,68.5,24,0
SLV,60,20240422,170000,68.5,68.5,68.2,68.5,530,0
SLV,60,20240423,100000,68.2,68.7,68.2,68.6,337,0
SLV,60,20240423,110000,68.7,68.8,68.6,68.7,14139,0
SLV,60,20240423,120000,68.7,68.7,68.6,68.6,20,0
SLV,60,20240423,130000,68.7,68.7,68.5,68.5,44,0
SLV,60,20240423,140000,68.5,68.6,68.5,68.6,75,0
SLV,60,20240423,150000,68.7,68.7,68.7,68.7,16,0
SLV,60,20240423,160000,68.7,68.7,68.7,68.7,36,0
SLV,60,20240423,170000,68.7,69.7,68.5,69.7,938,0
SLV,60,20240424,100000,69.8,69.8,68.5,69.7,274,0
SLV,60,20240424,110000,68.5,68.5,68.4,68.5,419,0
SLV,60,20240424,120000,68.6,69.1,68.6,69.1,312,0
SLV,60,20240424,130000,69.4,69.5,69.4,69.5,377,0
SLV,60,20240424,140000,69.5,69.6,69.5,69.6,181,0
SLV,60,20240424,150000,69.2,69.2,69.1,69.1,36,0
SLV,60,20240424,160000,69.1,69.1,68.9,69,416,0
SLV,60,20240424,170000,69,69,68.7,69,728,0
SLV,60,20240425,100000,69,69,68.3,68.4,214,0
SLV,60,20240425,110000,69,69,69,69,16,0
SLV,60,20240425,120000,68.2,68.2,68.2,68.2,152,0
SLV,60,20240425,150000,68.2,68.2,68.2,68.2,96,0
SLV,60,20240425,160000,68.3,68.3,67.8,67.8,1796,0
SLV,60,20240425,170000,67.8,68,67.7,68,154,0
SLV,60,20240426,100000,67.5,67.5,67.5,67.5,490,0
SLV,60,20240426,110000,68.6,68.6,67.4,67.4,75,0
SLV,60,20240426,120000,68.4,68.4,68.4,68.4,1,0
SLV,60,20240426,130000,67.5,67.5,67.5,67.5,258,0
SLV,60,20240426,140000,67.5,67.5,67.5,67.5,7,0
SLV,60,20240426,150000,67.5,67.5,67,67,434,0
SLV,60,20240426,160000,67,67,67,67,51,0
SLV,60,20240429,100000,67,67.2,67,67.2,402,0
SLV,60,20240429,110000,67,67,67,67,10,0
SLV,60,20240429,120000,67,67,67,67,20,0
SLV,60,20240429,140000,67,67.2,67,67.2,382,0
SLV,60,20240429,150000,67.2,67.4,67.2,67.4,273,0
SLV,60,20240429,170000,67.4,68,67.4,68,593,0
SLV,60,20240430,100000,68.1,68.7,68.1,68.7,444,0
SLV,60,20240430,110000,68.8,68.9,68.8,68.8,10938,0
SLV,60,20240430,120000,68.4,69,68.4,69,456,0
SLV,60,20240430,130000,68.9,69,68.9,69,1462,0
SLV,60,20240430,140000,69.2,69.2,69,69,177,0
SLV,60,20240430,150000,69.1,69.2,69.1,69.2,300,0
SLV,60,20240430,170000,69.5,69.6,69.5,69.6,110,0
SLV,60,20240502,100000,68.5,68.9,68.5,68.9,1699,0
SLV,60,20240502,110000,68.8,68.8,68.8,68.8,1,0
SLV,60,20240502,120000,68.9,69.2,68.9,69.1,196,0
SLV,60,20240502,140000,69.4,69.5,69.4,69.5,583,0
SLV,60,20240502,150000,69.6,69.8,69.1,69.1,519,0
SLV,60,20240502,160000,69.7,70.4,69.5,70.4,704,0
SLV,60,20240502,170000,69.9,70.6,69.5,70.6,841,0
SLV,60,20240506,100000,71,71,70.7,70.7,206,0
SLV,60,20240506,110000,70.7,71,70.1,70.1,551,0
SLV,60,20240506,130000,70.5,70.5,70,70,118,0
SLV,60,20240506,140000,70,70,69.3,69.4,410,0
SLV,60,20240506,150000,69.4,69.4,69.1,69.3,1023,0
SLV,60,20240506,160000,69.7,69.9,69.3,69.3,704,0
SLV,60,20240506,170000,69.3,70,69.3,70,1523,0
SLV,60,20240507,100000,69,70,69,70,1087,0
SLV,60,20240507,110000,70.3,70.8,70,70,78,0
SLV,60,20240507,120000,69.6,70,69.2,70,912,0
SLV,60,20240507,130000,69.6,69.6,69.6,69.6,64,0
SLV,60,20240507,150000,69.7,70,69.7,70,333,0
SLV,60,20240507,160000,69.9,70,69.7,69.7,392,0
SLV,60,20240507,170000,70,70.2,70,70,72,0
SLV,60,20240508,100000,68.2,70,68.2,68.5,612,0
SLV,60,20240508,110000,68.7,68.8,68.7,68.8,65,0
SLV,60,20240508,120000,69,69.5,69,69.5,705,0
SLV,60,20240508,150000,69.9,69.9,69.9,69.9,36,0
SLV,60,20240508,160000,69.9,70.9,69.9,70.9,5724,0
SLV,60,20240508,170000,70.9,71.2,70.7,71.2,1328,0
SLV,60,20240509,100000,71,71,70.9,70.9,55,0
SLV,60,20240509,110000,70.9,71,70.9,71,2415,0
SLV,60,20240509,120000,70.5,70.5,69.5,69.5,157,0
SLV,60,20240509,140000,69.9,69.9,69.9,69.9,30,0
SLV,60,20240509,150000,69.7,69.7,69.6,69.6,100,0
SLV,60,20240509,160000,69.9,70,69.8,70,151,0
SLV,60,20240509,170000,69.9,70,69.9,69.9,96,0
SLV,60,20240510,100000,69.2,69.2,68.1,68.3,763,0
SLV,60,20240510,110000,68.3,68.5,68.1,68.1,299,0
SLV,60,20240510,120000,68,69.5,68,69.5,1260,0
SLV,60,20240510,130000,69,69,69,69,60,0
SLV,60,20240510,140000,69.3,69.3,69.3,69.3,100,0
SLV,60,20240510,150000,69.4,69.5,69.4,69.5,45,0
SLV,60,20240510,160000,69.1,69.1,68.5,68.5,69,0
SLV,60,20240510,170000,68,69,68,68.3,52,0
SLV,60,20240513,100000,68.2,68.2,67.5,67.5,168,0
SLV,60,20240513,110000,67.2,68.2,67.1,67.2,225,0
SLV,60,20240513,120000,67.9,67.9,67.9,67.9,20,0
SLV,60,20240513,130000,67.9,67.9,67.1,67.1,61,0
SLV,60,20240513,140000,67.1,67.1,67.1,67.1,451,0
SLV,60,20240513,150000,67.3,67.3,67.3,67.3,51,0
SLV,60,20240513,160000,67.6,67.6,67.2,67.2,253,0
SLV,60,20240513,170000,67.2,67.6,67.1,67.6,482,0
SLV,60,20240514,100000,67.1,68,67,68,2067,0
SLV,60,20240514,110000,67.2,68.7,67.2,68.7,17,0
SLV,60,20240514,120000,68.8,69.5,68.7,68.7,61,0
SLV,60,20240514,130000,68.7,68.7,68.7,68.7,121,0
SLV,60,20240514,160000,68.5,68.5,68.5,68.5,101,0
SLV,60,20240514,170000,68.7,69.7,68.7,69.7,547,0
SLV,60,20240515,100000,69.6,69.6,69.5,69.5,117,0
SLV,60,20240515,120000,69.5,69.5,69.5,69.5,98,0
SLV,60,20240515,130000,69.6,69.7,69.6,69.7,177,0
SLV,60,20240515,140000,69.9,70.9,69.9,70.5,2209,0
SLV,60,20240515,150000,70.6,70.7,70.6,70.7,270,0
SLV,60,20240515,160000,70.8,70.9,70.7,70.7,183,0
SLV,60,20240515,170000,70.6,70.6,70,70.4,548,0
