<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK,60,20240411,100000,22.7294,23.0123,22.6351,22.918,1844.92462305,0
SNK,60,20240411,110000,22.7765,22.7765,22.7765,22.7765,497.2814070175,0
SNK,60,20240411,120000,22.8237,23.0123,22.8237,22.918,825.9748743425,0
SNK,60,20240411,130000,22.918,22.9652,22.918,22.918,81.6432160775,0
SNK,60,20240411,140000,22.9652,22.9652,22.918,22.918,1778.1256280775,0
SNK,60,20240411,150000,22.7765,22.7765,22.7765,22.7765,398.67336682,0
SNK,60,20240411,160000,22.8709,22.8709,22.7765,22.7765,159.045226125,0
SNK,60,20240411,170000,22.7765,22.7765,22.7765,22.7765,33.92964824,0
SNK,60,20240412,100000,22.9652,22.9652,22.7765,22.7765,881.1105527325,0
SNK,60,20240412,110000,22.9652,22.9652,22.918,22.918,227.9648241125,0
SNK,60,20240412,120000,22.7765,22.7765,22.7765,22.7765,15.9045226125,0
SNK,60,20240412,130000,22.918,22.918,22.8237,22.8237,320.21105526499997,0
SNK,60,20240412,140000,22.8237,22.918,22.8237,22.918,20.1457286425,0
SNK,60,20240412,150000,22.918,22.9652,22.8237,22.9652,1368.8492461825,0
SNK,60,20240412,160000,22.9652,22.9652,22.918,22.9652,1803.5728642575,0
SNK,60,20240412,170000,22.9652,23.1538,22.918,22.918,4822.25125611,0
SNK,60,20240415,100000,23.0595,23.0595,22.918,23.0595,458.05025123999997,0
SNK,60,20240415,110000,22.918,23.0123,21.9277,23.0123,2191.6432160025,0
SNK,60,20240415,130000,23.0123,23.0123,22.918,22.918,133.597989945,0
SNK,60,20240415,140000,22.918,22.918,22.6351,22.8237,4.24120603,0
SNK,60,20240415,150000,22.6351,22.8237,22.5408,22.7294,1087.869346695,0
SNK,60,20240415,160000,22.5408,22.5408,22.4464,22.4464,106.03015074999999,0
SNK,60,20240415,170000,22.4936,22.4936,22.3993,22.3993,302.1859296375,0
SNK,60,20240416,100000,22.305,22.305,21.5033,21.5976,1879.9145727975,0
SNK,60,20240416,110000,21.5033,21.8806,21.5033,21.8806,276.7386934575,0
SNK,60,20240416,120000,21.6448,21.8334,21.6448,21.8334,250.23115577,0
SNK,60,20240416,130000,21.6448,21.7391,21.6448,21.7391,137.839195975,0
SNK,60,20240416,140000,21.7391,21.7863,21.7391,21.7863,345.658291445,0
SNK,60,20240416,150000,21.8806,21.8806,21.8806,21.8806,106.03015074999999,0
SNK,60,20240416,160000,21.9749,21.9749,21.8806,21.8806,379.587939685,0
SNK,60,20240416,170000,21.7863,21.7863,21.7863,21.7863,1139.8241205625,0
SNK,60,20240417,100000,21.3618,21.7863,21.3618,21.7863,330.81407034,0
SNK,60,20240417,110000,21.6919,21.6919,21.6919,21.6919,164.3467336625,0
SNK,60,20240417,120000,21.6919,21.7863,21.6919,21.7863,912.9195979575,0
SNK,60,20240417,130000,21.5505,21.7863,21.5505,21.7863,20.1457286425,0
SNK,60,20240417,140000,21.5505,21.6919,21.5505,21.5976,141.0201004975,0
SNK,60,20240417,150000,21.6919,21.6919,21.6919,21.6919,16.96482412,0
SNK,60,20240417,160000,21.5976,21.7863,21.5976,21.7863,125.115577885,0
SNK,60,20240417,170000,21.7863,21.7863,21.5505,21.5505,238.5678391875,0
SNK,60,20240418,100000,21.6448,21.7863,21.6448,21.7863,237.50753768,0
SNK,60,20240418,110000,21.6919,21.7863,21.6919,21.6919,77.4020100475,0
SNK,60,20240418,130000,21.6919,21.6919,21.6919,21.6919,42.4120603,0
SNK,60,20240418,140000,21.7391,21.7391,21.7391,21.7391,2.120603015,0
SNK,60,20240418,150000,21.7391,21.7391,21.6919,21.6919,91.185929645,0
SNK,60,20240418,160000,21.6919,21.6919,21.6448,21.6448,1602.1155778325,0
SNK,60,20240418,170000,21.5976,21.5976,21.5976,21.5976,60.437185927499996,0
SNK,60,20240419,100000,21.5976,21.6448,21.5976,21.6448,1676.3366833575,0
