<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT,60,20240411,100000,132.396,133.94,121.203,123.326,38326.859409014,0
SNT,60,20240411,110000,123.133,126.028,121.975,123.519,22604.401359708,0
SNT,60,20240411,120000,123.519,125.256,123.133,123.712,9176.2698409305,0
SNT,60,20240411,130000,123.905,124.098,122.168,122.747,5075.7052152318,0
SNT,60,20240411,140000,122.747,123.712,122.554,123.712,4194.8662129968,0
SNT,60,20240411,150000,123.712,127.186,123.326,126.221,9004.2471651999,0
SNT,60,20240411,160000,126.414,126.8,124.484,125.256,4599.0158728458,0
SNT,60,20240411,170000,125.256,125.642,123.519,124.098,5481.927437439,0
SNT,60,20240412,100000,124.098,127.958,122.361,127.958,7863.3015870108,0
SNT,60,20240412,110000,127.379,129.116,126.8,126.993,5038.3990927842,0
SNT,60,20240412,120000,126.993,126.993,122.554,125.449,4215.5918365788,0
SNT,60,20240412,130000,125.449,126.028,123.519,123.519,1108.820861637,0
SNT,60,20240412,140000,124.291,125.063,122.94,123.712,3312.9909295827,0
SNT,60,20240412,150000,123.519,125.063,123.519,125.063,3464.2879817313,0
SNT,60,20240412,160000,124.87,125.449,123.905,124.484,1784.4761904102,0
SNT,60,20240412,170000,124.87,125.449,124.291,124.291,2579.3038547799,0
SNT,60,20240415,100000,122.554,123.519,118.887,119.659,15621.938774932,0
SNT,60,20240415,110000,119.659,120.431,117.343,119.659,15388.775509635,0
SNT,60,20240415,120000,119.659,121.396,119.273,120.817,3211.4353740309,0
SNT,60,20240415,130000,121.203,123.133,121.203,122.94,2894.3333332263,0
SNT,60,20240415,140000,123.133,123.519,122.361,122.94,2224.8956915277,0
SNT,60,20240415,150000,123.519,124.291,122.94,123.519,1538.8775509635,0
SNT,60,20240415,160000,123.905,124.291,123.133,123.712,2260.1292516171,0
SNT,60,20240415,170000,123.712,123.712,121.01,122.361,3393.8208615525,0
SNT,60,20240416,100000,120.238,120.238,117.729,118.694,7877.8095235182,0
SNT,60,20240416,110000,118.694,118.694,116.571,117.729,6382.4557820769,0
SNT,60,20240416,120000,117.729,118.694,116.185,116.957,8530.6666663512,0
SNT,60,20240416,130000,116.957,118.308,116.957,117.536,3503.6666665371,0
SNT,60,20240416,140000,117.536,119.466,117.536,118.308,5252.9092968579,0
SNT,60,20240416,150000,118.115,118.308,117.536,118.115,1055.9705215029,0
SNT,60,20240416,160000,117.729,118.115,115.027,115.799,8759.6848069323,0
SNT,60,20240416,170000,115.799,116.185,114.255,114.255,21397.133786057,0
SNT,60,20240417,100000,114.641,118.501,113.483,113.869,7416.6643988187,0
SNT,60,20240417,110000,114.062,117.15,113.869,115.799,5225.9659862013,0
SNT,60,20240417,120000,115.799,116.571,114.255,115.413,4591.7619045921,0
SNT,60,20240417,130000,115.413,115.606,115.027,115.22,3339.9342402393,0
SNT,60,20240417,140000,115.22,115.799,113.869,114.255,3863.2562356848,0
SNT,60,20240417,150000,114.062,116.571,113.676,115.413,10402.190475806,0
SNT,60,20240417,160000,115.606,115.992,114.641,115.413,3945.1224488337,0
SNT,60,20240417,170000,115.413,115.413,112.904,114.062,16611.587300973,0
SNT,60,20240418,100000,114.255,116.764,114.255,116.764,6119.2403625855,0
SNT,60,20240418,110000,116.571,116.571,114.448,114.448,3523.35600894,0
SNT,60,20240418,120000,114.641,114.834,114.255,114.834,1487.0634920085,0
SNT,60,20240418,130000,114.834,115.027,114.255,115.027,626.9501133555,0
SNT,60,20240418,140000,115.027,117.536,114.448,117.536,3517.1383218654,0
SNT,60,20240418,150000,117.536,117.729,115.606,116.957,7061.2199543874,0
SNT,60,20240418,160000,117.343,118.694,115.413,118.694,5004.2018138739,0
SNT,60,20240418,170000,118.694,120.431,118.694,119.466,6827.0204079108,0
SNT,60,20240419,100000,119.852,122.361,116.571,121.589,14557.678003997,0
SNT,60,20240419,110000,121.203,123.133,120.624,121.01,6353.4399090621,0
SNT,60,20240419,120000,121.01,121.396,119.273,119.273,4650.8299318008,0
SNT,60,20240419,130000,119.08,119.659,118.694,118.887,948.1972788765,0
SNT,60,20240419,140000,119.08,119.08,118.115,118.694,2114.013605364,0
