<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNW,60,20240411,100000,1.695,1.7,1.695,1.7,1140,0
SNW,60,20240411,110000,1.68,1.68,1.68,1.68,2000,0
SNW,60,20240411,120000,1.675,1.675,1.665,1.665,160,0
SNW,60,20240411,140000,1.665,1.665,1.665,1.665,1638,0
SNW,60,20240411,160000,1.665,1.665,1.665,1.665,1340,0
SNW,60,20240411,170000,1.655,1.67,1.655,1.67,1021,0
SNW,60,20240412,100000,1.66,1.66,1.65,1.65,8496,0
SNW,60,20240412,110000,1.645,1.645,1.64,1.64,1702,0
SNW,60,20240412,130000,1.64,1.64,1.63,1.635,13260,0
SNW,60,20240412,140000,1.635,1.635,1.635,1.635,54,0
SNW,60,20240412,150000,1.645,1.645,1.645,1.645,1463,0
SNW,60,20240412,160000,1.65,1.655,1.65,1.655,35,0
SNW,60,20240412,170000,1.66,1.66,1.66,1.66,1221,0
SNW,60,20240415,160000,1.64,1.64,1.635,1.635,1000,0
SNW,60,20240416,100000,1.635,1.67,1.63,1.67,3575,0
SNW,60,20240416,170000,1.635,1.645,1.63,1.645,5243,0
SNW,60,20240417,100000,1.635,1.64,1.63,1.64,5557,0
SNW,60,20240417,110000,1.63,1.64,1.62,1.64,12477,0
SNW,60,20240417,120000,1.64,1.64,1.64,1.64,150,0
SNW,60,20240417,130000,1.64,1.645,1.64,1.645,1587,0
SNW,60,20240417,140000,1.645,1.645,1.645,1.645,221,0
SNW,60,20240417,160000,1.65,1.65,1.65,1.65,42,0
SNW,60,20240418,100000,1.635,1.635,1.63,1.63,150,0
SNW,60,20240418,110000,1.625,1.625,1.625,1.625,1000,0
SNW,60,20240418,170000,1.655,1.655,1.655,1.655,48,0
SNW,60,20240419,120000,1.65,1.65,1.65,1.65,75,0
SNW,60,20240419,150000,1.65,1.655,1.65,1.655,1186,0
SNW,60,20240419,160000,1.655,1.66,1.63,1.655,2131,0
SNW,60,20240422,100000,1.635,1.65,1.635,1.65,1369,0
SNW,60,20240422,110000,1.635,1.635,1.61,1.61,30000,0
SNW,60,20240422,130000,1.64,1.64,1.64,1.64,100,0
SNW,60,20240422,140000,1.615,1.63,1.615,1.63,14,0
SNW,60,20240422,150000,1.62,1.63,1.62,1.63,4783,0
SNW,60,20240422,160000,1.615,1.615,1.615,1.615,200,0
SNW,60,20240422,170000,1.615,1.615,1.61,1.61,2578,0
SNW,60,20240423,100000,1.62,1.62,1.615,1.615,1485,0
SNW,60,20240423,110000,1.615,1.615,1.61,1.61,1823,0
SNW,60,20240423,160000,1.615,1.615,1.61,1.61,3650,0
SNW,60,20240423,170000,1.63,1.63,1.63,1.63,46,0
SNW,60,20240424,100000,1.63,1.63,1.63,1.63,100,0
SNW,60,20240424,110000,1.615,1.615,1.61,1.61,1840,0
SNW,60,20240424,160000,1.63,1.63,1.63,1.63,40,0
SNW,60,20240425,100000,1.65,1.75,1.65,1.75,46924,0
SNW,60,20240425,110000,1.7,1.745,1.7,1.73,7511,0
SNW,60,20240425,120000,1.73,1.735,1.69,1.69,4887,0
SNW,60,20240425,130000,1.69,1.71,1.69,1.69,918,0
SNW,60,20240425,140000,1.68,1.68,1.67,1.67,1173,0
SNW,60,20240425,150000,1.665,1.665,1.66,1.66,1912,0
SNW,60,20240425,160000,1.655,1.705,1.655,1.705,1692,0
SNW,60,20240425,170000,1.695,1.695,1.695,1.695,6,0
SNW,60,20240426,100000,1.67,1.695,1.67,1.695,5200,0
SNW,60,20240426,150000,1.665,1.665,1.665,1.665,3750,0
SNW,60,20240426,170000,1.665,1.665,1.665,1.665,1307,0
SNW,60,20240429,100000,1.7,1.7,1.65,1.65,2999,0
SNW,60,20240429,110000,1.655,1.655,1.655,1.655,10435,0
SNW,60,20240429,120000,1.655,1.655,1.655,1.655,84,0
SNW,60,20240429,140000,1.655,1.655,1.655,1.655,400,0
SNW,60,20240429,150000,1.665,1.68,1.66,1.66,1352,0
SNW,60,20240429,160000,1.68,1.68,1.68,1.68,6,0
SNW,60,20240430,100000,1.685,1.685,1.685,1.685,7,0
SNW,60,20240430,110000,1.66,1.66,1.645,1.645,2238,0
SNW,60,20240430,120000,1.65,1.65,1.65,1.65,40,0
SNW,60,20240430,140000,1.65,1.65,1.65,1.65,2057,0
SNW,60,20240430,160000,1.65,1.65,1.65,1.65,3859,0
SNW,60,20240430,170000,1.68,1.68,1.68,1.68,37,0
SNW,60,20240502,100000,1.65,1.65,1.645,1.645,54,0
SNW,60,20240502,120000,1.665,1.665,1.665,1.665,20,0
SNW,60,20240502,140000,1.67,1.69,1.67,1.69,3890,0
SNW,60,20240502,170000,1.685,1.685,1.685,1.685,1000,0
SNW,60,20240506,110000,1.695,1.695,1.67,1.67,1206,0
SNW,60,20240506,120000,1.67,1.69,1.66,1.66,3520,0
SNW,60,20240506,150000,1.66,1.66,1.66,1.66,25,0
SNW,60,20240506,160000,1.695,1.695,1.695,1.695,54,0
SNW,60,20240507,100000,1.67,1.67,1.67,1.67,84,0
SNW,60,20240507,130000,1.67,1.67,1.66,1.66,1100,0
SNW,60,20240507,150000,1.67,1.67,1.66,1.66,1427,0
SNW,60,20240507,170000,1.66,1.66,1.65,1.65,16291,0
SNW,60,20240508,100000,1.65,1.65,1.65,1.65,3972,0
SNW,60,20240508,120000,1.65,1.65,1.645,1.645,129,0
SNW,60,20240508,130000,1.65,1.65,1.65,1.65,732,0
SNW,60,20240509,100000,1.665,1.89,1.66,1.835,92145,0
SNW,60,20240509,110000,1.835,1.84,1.765,1.8,14548,0
SNW,60,20240509,120000,1.79,1.815,1.79,1.805,3810,0
SNW,60,20240509,130000,1.8,1.8,1.755,1.755,9377,0
SNW,60,20240509,140000,1.775,1.825,1.775,1.825,5279,0
SNW,60,20240509,150000,1.78,1.78,1.78,1.78,10,0
SNW,60,20240509,160000,1.795,1.795,1.795,1.795,3000,0
SNW,60,20240509,170000,1.795,1.81,1.78,1.81,4429,0
SNW,60,20240510,100000,1.855,1.855,1.76,1.76,6999,0
SNW,60,20240510,110000,1.775,1.845,1.77,1.845,5333,0
SNW,60,20240510,120000,1.83,1.835,1.83,1.835,1500,0
SNW,60,20240510,130000,1.795,1.795,1.795,1.795,21,0
SNW,60,20240510,140000,1.795,1.795,1.795,1.795,12,0
SNW,60,20240510,150000,1.785,1.795,1.77,1.795,3979,0
SNW,60,20240510,160000,1.795,1.795,1.77,1.77,740,0
SNW,60,20240510,170000,1.8,1.8,1.8,1.8,12,0
SNW,60,20240513,100000,1.78,1.78,1.78,1.78,13,0
SNW,60,20240513,110000,1.77,1.78,1.75,1.75,3060,0
SNW,60,20240513,150000,1.755,1.755,1.75,1.75,200,0
SNW,60,20240513,160000,1.755,1.755,1.75,1.75,2000,0
SNW,60,20240513,170000,1.765,1.765,1.765,1.765,55,0
SNW,60,20240514,100000,1.775,1.775,1.75,1.75,420,0
SNW,60,20240514,110000,1.755,1.795,1.75,1.795,4000,0
