<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPL,60,20240411,100000,524.898,534.459,524.898,526.737,4912.6396220188,0
SPL,60,20240411,110000,526.737,528.575,524.347,524.347,4215.3406854125,0
SPL,60,20240411,120000,524.163,526.553,523.06,525.634,7184.0283577972,0
SPL,60,20240411,130000,526.001,526.553,522.692,523.06,8782.0504137639,0
SPL,60,20240411,140000,523.244,523.611,520.486,522.324,3484.3190233229,0
SPL,60,20240411,150000,521.957,524.898,518.647,522.876,5353.2107130103,0
SPL,60,20240411,160000,522.324,522.324,516.257,517.36,8410.0126035933,0
SPL,60,20240411,170000,517.176,517.176,513.316,514.235,27591.716424465,0
SPL,60,20240412,100000,514.786,522.876,514.603,516.073,2616.2307995915,0
SPL,60,20240412,110000,516.073,518.463,515.338,516.625,981.2225285786,0
SPL,60,20240412,120000,516.257,519.383,514.786,519.015,2850.114218266,0
SPL,60,20240412,130000,519.383,519.383,514.603,514.603,5160.6648287992,0
SPL,60,20240412,140000,514.235,515.706,513.867,514.786,3753.012997335,0
SPL,60,20240412,150000,514.419,515.706,508.719,508.903,3638.7908626335,0
SPL,60,20240412,160000,508.535,512.029,507.8,510.558,5160.6648287992,0
SPL,60,20240412,170000,510.558,510.558,506.329,507.248,29854.402521409,0
SPL,60,20240415,100000,500.262,513.683,500.078,508.352,2891.4517527294,0
SPL,60,20240415,110000,509.271,511.845,508.535,510.925,2326.8680583477,0
SPL,60,20240415,120000,510.925,513.499,508.168,508.719,3702.9728240372,0
SPL,60,20240415,130000,509.087,511.293,508.535,510.742,2087.5454904017,0
SPL,60,20240415,140000,510.742,513.683,510.742,512.212,1592.5829066952,0
SPL,60,20240415,150000,512.212,515.89,512.212,513.316,4043.4635684331,0
SPL,60,20240415,160000,514.051,516.257,513.499,514.786,6039.6313510736,0
SPL,60,20240415,170000,514.419,514.603,508.535,510.374,15082.760929869,0
SPL,60,20240416,100000,503.204,507.248,500.446,503.939,5023.5982671574,0
SPL,60,20240416,110000,503.755,504.675,500.63,503.388,4946.3623475021,0
SPL,60,20240416,120000,503.755,505.41,502.652,504.307,4509.0547460735,0
SPL,60,20240416,130000,504.307,505.41,503.204,503.388,4527.5478535966,0
SPL,60,20240416,140000,503.571,505.41,503.388,505.41,5611.0263884794,0
SPL,60,20240416,150000,505.41,505.41,501.917,502.468,9738.2528556936,0
SPL,60,20240416,160000,502.101,502.652,497.32,498.791,10507.348562684,0
SPL,60,20240416,170000,498.056,499.894,496.585,498.975,40123.516346001,0
SPL,60,20240417,100000,497.32,502.101,494.93,501.733,10801.062623345,0
SPL,60,20240417,110000,501.549,510.006,501.181,507.248,8677.6187477511,0
SPL,60,20240417,120000,506.329,512.212,503.755,508.719,5743.741630704,0
SPL,60,20240417,130000,508.719,514.603,507.984,510.742,3997.7747145525,0
SPL,60,20240417,140000,511.109,513.132,508.535,508.719,4309.9818827366,0
SPL,60,20240417,150000,508.903,511.293,507.616,509.639,7770.3686492649,0
SPL,60,20240417,160000,509.639,510.742,508.168,509.087,7186.2040175058,0
SPL,60,20240417,170000,508.719,510.006,506.329,508.719,19366.634896103,0
SPL,60,20240418,100000,514.051,521.405,510.19,510.742,7529.9582514646,0
SPL,60,20240418,110000,510.374,511.477,503.204,504.675,9679.5100435614,0
SPL,60,20240418,120000,505.042,506.881,503.571,506.513,9728.4623870049,0
SPL,60,20240418,130000,506.513,510.742,505.594,510.742,9379.2690037746,0
SPL,60,20240418,140000,510.925,511.845,509.087,511.109,8655.8621506651,0
SPL,60,20240418,150000,510.742,512.764,506.697,507.984,5768.7617173529,0
SPL,60,20240418,160000,508.535,513.683,505.778,513.316,6425.8109493501,0
SPL,60,20240418,170000,513.499,515.706,512.396,514.786,28295.542340197,0
SPL,60,20240419,100000,506.145,514.97,505.778,507.065,1037.7896810022,0
SPL,60,20240419,110000,507.984,508.903,505.41,505.778,1722.0346593569,0
SPL,60,20240419,120000,506.329,509.822,504.123,508.352,2486.7790469298,0
SPL,60,20240419,130000,508.352,508.352,505.41,507.065,1439.1988972389,0
SPL,60,20240419,140000,506.881,507.616,505.41,506.329,1284.7270579283,0
SPL,60,20240419,150000,506.513,511.845,505.778,511.845,3697.5336747657,0
SPL,60,20240419,160000,511.661,515.154,510.374,514.235,6110.3402916031,0
SPL,60,20240419,170000,514.235,514.97,509.822,513.499,18629.086254888,0
SPL,60,20240422,100000,516.993,521.773,515.154,516.441,3459.298936674,0
SPL,60,20240422,110000,516.073,521.773,515.338,521.221,4869.1264278468,0
SPL,60,20240422,120000,521.221,523.979,520.302,520.302,5025.773926866,0
SPL,60,20240422,130000,520.302,521.957,519.199,520.302,2368.2055928111,0
SPL,60,20240422,140000,520.854,522.508,518.096,519.199,2720.6624656043,0
SPL,60,20240422,150000,519.199,521.037,517.728,519.383,4525.372193888,0
SPL,60,20240422,160000,520.118,522.324,519.383,521.405,7290.6356835186,0
SPL,60,20240422,170000,521.773,525.266,519.934,525.266,28172.617566661,0
SPL,60,20240423,100000,529.127,535.194,529.127,530.23,3845.4785349505,0
SPL,60,20240423,110000,530.23,530.414,527.84,528.391,3103.5785743179,0
SPL,60,20240423,120000,528.391,531.701,527.288,529.862,7699.6597087354,0
SPL,60,20240423,130000,529.862,533.172,529.495,530.414,6372.5072864894,0
SPL,60,20240423,140000,530.414,540.342,530.414,539.606,9502.1937773105,0
SPL,60,20240423,150000,539.606,539.974,533.539,534.091,6994.745963149,0
SPL,60,20240423,160000,533.907,537.033,532.252,535.929,8725.4832613403,0
SPL,60,20240423,170000,535.746,537.584,528.024,530.965,28675.194959348,0
SPL,60,20240424,100000,533.172,533.172,527.104,528.759,5051.8818433692,0
SPL,60,20240424,110000,528.575,530.414,525.634,527.104,6386.6490745953,0
SPL,60,20240424,120000,527.288,530.046,526.553,529.311,7088.2993306188,0
SPL,60,20240424,130000,529.311,529.678,525.45,526.369,3840.039385679,0
SPL,60,20240424,140000,526.001,527.472,525.45,526.921,2715.2233163328,0
SPL,60,20240424,150000,526.737,527.472,523.979,524.714,5308.609688984,0
SPL,60,20240424,160000,524.531,527.104,523.795,525.634,7931.3674677013,0
SPL,60,20240424,170000,525.45,527.104,523.795,523.795,31240.297755787,0
SPL,60,20240425,100000,532.988,532.988,518.28,522.508,5643.6612841084,0
SPL,60,20240425,110000,522.508,528.759,522.508,525.634,3698.62150462,0
SPL,60,20240425,120000,524.898,524.898,522.692,523.795,1805.797558138,0
SPL,60,20240425,130000,524.531,525.266,522.692,522.692,1633.9204411586,0
SPL,60,20240425,140000,522.692,522.692,518.647,520.854,4045.6392281417,0
SPL,60,20240425,150000,520.854,521.957,515.706,516.073,4920.2544309989,0
SPL,60,20240425,160000,516.257,516.441,512.764,514.235,6525.8912959457,0
SPL,60,20240425,170000,514.235,516.625,512.212,515.706,18514.864120186,0
SPL,60,20240426,100000,519.199,520.854,515.89,517.176,2729.3651044387,0
SPL,60,20240426,110000,516.809,516.993,513.316,514.603,2065.7888933157,0
SPL,60,20240426,120000,514.051,516.625,513.683,516.625,2824.0063017628,0
SPL,60,20240426,130000,516.625,518.28,515.89,516.441,2247.4564789838,0
SPL,60,20240426,140000,516.625,516.993,514.419,516.257,2792.4592359881,0
SPL,60,20240426,150000,515.522,516.993,512.58,513.683,2550.9610083335,0
SPL,60,20240426,160000,514.235,516.625,512.948,514.603,3697.5336747657,0
SPL,60,20240426,170000,514.419,521.037,514.419,516.993,16481.710122499,0
SPL,60,20240429,100000,518.28,523.611,515.89,516.073,2610.79165032,0
SPL,60,20240429,110000,516.809,516.993,513.867,514.235,2938.2284364643,0
SPL,60,20240429,120000,513.499,513.499,510.19,511.109,2207.2067743747,0
SPL,60,20240429,130000,510.925,513.132,510.742,512.396,4237.0972824985,0
SPL,60,20240429,140000,512.396,513.132,511.109,512.58,2073.4037022958,0
SPL,60,20240429,150000,512.764,514.235,512.212,513.683,3434.2788500251,0
SPL,60,20240429,160000,513.867,517.176,512.948,514.97,10458.39621924,0
SPL,60,20240429,170000,514.786,521.773,514.786,520.302,28584.905081441,0
SPL,60,20240430,100000,524.163,527.656,517.176,518.647,1906.9657345879,0
SPL,60,20240430,110000,518.647,522.692,517.36,522.14,5402.1630564538,0
SPL,60,20240430,120000,520.486,520.486,516.625,518.463,5604.4994093536,0
SPL,60,20240430,130000,518.463,519.199,517.544,517.912,3857.4446633478,0
SPL,60,20240430,140000,517.728,519.934,517.544,518.831,3734.5198898119,0
SPL,60,20240430,150000,519.383,520.302,516.809,517.176,6067.9149272854,0
SPL,60,20240430,160000,517.176,519.934,515.522,519.934,8282.7365106402,0
SPL,60,20240430,170000,519.199,520.486,514.786,515.522,33811.927531353,0
SPL,60,20240502,100000,516.257,522.508,511.845,515.706,3266.7530524629,0
SPL,60,20240502,110000,515.154,519.567,514.235,518.463,2672.7979520151,0
SPL,60,20240502,120000,519.199,521.221,518.28,519.75,2567.278456148,0
