<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STS,60,20240411,100000,0.475,0.475,0.475,0.475,22,0
STS,60,20240411,120000,0.479,0.479,0.479,0.479,3,0
STS,60,20240411,140000,0.481,0.481,0.481,0.481,31,0
STS,60,20240411,150000,0.482,0.53,0.482,0.522,44744,0
STS,60,20240411,160000,0.518,0.518,0.481,0.481,8540,0
STS,60,20240411,170000,0.481,0.497,0.449,0.497,7039,0
STS,60,20240412,150000,0.496,0.496,0.496,0.496,10,0
STS,60,20240415,100000,0.48,0.496,0.47,0.47,25846,0
STS,60,20240415,110000,0.497,0.498,0.497,0.498,363,0
STS,60,20240415,140000,0.499,0.51,0.499,0.51,151,0
STS,60,20240415,150000,0.499,0.499,0.499,0.499,4,0
STS,60,20240415,160000,0.51,0.51,0.51,0.51,576,0
STS,60,20240415,170000,0.482,0.508,0.47,0.47,1240,0
STS,60,20240416,100000,0.498,0.498,0.465,0.465,7050,0
STS,60,20240416,110000,0.46,0.473,0.447,0.473,28585,0
STS,60,20240416,130000,0.478,0.478,0.45,0.45,1655,0
STS,60,20240416,140000,0.45,0.469,0.45,0.469,948,0
STS,60,20240416,150000,0.469,0.469,0.469,0.469,1,0
STS,60,20240417,110000,0.45,0.45,0.45,0.45,3244,0
STS,60,20240417,170000,0.47,0.47,0.451,0.47,375,0
STS,60,20240418,100000,0.469,0.47,0.469,0.47,4300,0
STS,60,20240418,110000,0.469,0.469,0.46,0.461,9447,0
STS,60,20240418,140000,0.461,0.461,0.46,0.46,350,0
STS,60,20240425,150000,0.447,0.447,0.44,0.44,5280,0
STS,60,20240425,160000,0.444,0.444,0.411,0.411,10001,0
STS,60,20240425,170000,0.421,0.44,0.421,0.44,10926,0
STS,60,20240426,100000,0.44,0.459,0.44,0.459,1500,0
STS,60,20240426,110000,0.458,0.458,0.458,0.458,1000,0
STS,60,20240426,140000,0.458,0.458,0.458,0.458,1000,0
STS,60,20240426,170000,0.434,0.434,0.433,0.433,264,0
STS,60,20240429,100000,0.433,0.433,0.411,0.411,6600,0
STS,60,20240429,110000,0.439,0.44,0.439,0.44,1100,0
STS,60,20240430,100000,0.414,0.414,0.387,0.387,24236,0
STS,60,20240430,110000,0.387,0.4,0.387,0.4,47412,0
STS,60,20240430,140000,0.42,0.43,0.411,0.411,670,0
STS,60,20240430,170000,0.432,0.432,0.432,0.432,200,0
STS,60,20240502,100000,0.43,0.432,0.43,0.432,1500,0
STS,60,20240502,110000,0.432,0.432,0.432,0.432,3362,0
STS,60,20240502,140000,0.44,0.44,0.44,0.44,400,0
STS,60,20240506,100000,0.44,0.44,0.44,0.44,100,0
STS,60,20240506,170000,0.432,0.432,0.41,0.41,252,0
STS,60,20240507,100000,0.43,0.43,0.43,0.43,4500,0
STS,60,20240507,130000,0.439,0.439,0.439,0.439,30,0
STS,60,20240507,140000,0.439,0.439,0.439,0.439,53,0
STS,60,20240507,160000,0.439,0.439,0.439,0.439,2266,0
STS,60,20240507,170000,0.431,0.431,0.431,0.431,82,0
STS,60,20240508,100000,0.43,0.43,0.43,0.43,200,0
STS,60,20240508,170000,0.418,0.418,0.418,0.418,370,0
STS,60,20240509,100000,0.418,0.418,0.418,0.418,168,0
STS,60,20240509,130000,0.439,0.439,0.439,0.439,216,0
STS,60,20240509,170000,0.439,0.439,0.439,0.439,2000,0
STS,60,20240513,160000,0.419,0.419,0.419,0.419,13,0
STS,60,20240513,170000,0.439,0.439,0.439,0.439,300,0
STS,60,20240514,100000,0.42,0.42,0.42,0.42,100,0
STS,60,20240514,110000,0.42,0.42,0.42,0.42,300,0
STS,60,20240514,150000,0.439,0.44,0.439,0.44,1500,0
STS,60,20240515,120000,0.439,0.44,0.439,0.44,2233,0
STS,60,20240515,130000,0.44,0.44,0.44,0.44,31,0
STS,60,20240515,140000,0.44,0.44,0.44,0.44,900,0
STS,60,20240515,170000,0.44,0.44,0.44,0.44,295,0
STS,60,20240516,100000,0.44,0.44,0.44,0.44,41,0
STS,60,20240516,110000,0.431,0.431,0.425,0.425,1700,0
STS,60,20240516,120000,0.444,0.444,0.444,0.444,64,0
STS,60,20240516,130000,0.444,0.444,0.444,0.444,400,0
STS,60,20240516,140000,0.444,0.444,0.425,0.425,3100,0
STS,60,20240516,170000,0.443,0.443,0.443,0.443,1,0
STS,60,20240517,160000,0.443,0.446,0.443,0.446,2000,0
STS,60,20240520,100000,0.427,0.45,0.427,0.45,617,0
STS,60,20240521,140000,0.428,0.452,0.428,0.452,304,0
STS,60,20240521,150000,0.453,0.453,0.453,0.453,184,0
STS,60,20240521,160000,0.453,0.454,0.453,0.454,345,0
STS,60,20240523,100000,0.428,0.428,0.428,0.428,2000,0
STS,60,20240523,160000,0.428,0.428,0.428,0.428,82,0
STS,60,20240523,170000,0.452,0.452,0.452,0.452,100,0
STS,60,20240524,120000,0.452,0.46,0.452,0.46,13200,0
STS,60,20240524,170000,0.46,0.467,0.46,0.467,2000,0
STS,60,20240527,110000,0.459,0.463,0.459,0.463,44,0
STS,60,20240527,170000,0.432,0.432,0.432,0.432,400,0
STS,60,20240529,100000,0.454,0.468,0.45,0.468,8617,0
STS,60,20240529,110000,0.468,0.475,0.468,0.475,4200,0
STS,60,20240529,120000,0.463,0.463,0.461,0.461,40,0
STS,60,20240529,130000,0.476,0.477,0.476,0.477,66,0
STS,60,20240529,140000,0.469,0.48,0.469,0.47,21300,0
STS,60,20240529,170000,0.462,0.462,0.46,0.46,240,0
STS,60,20240531,100000,0.47,0.476,0.46,0.46,3878,0
STS,60,20240531,110000,0.453,0.453,0.441,0.441,600,0
STS,60,20240531,130000,0.441,0.441,0.44,0.44,4432,0
STS,60,20240531,170000,0.464,0.465,0.464,0.465,44,0
STS,60,20240603,120000,0.441,0.441,0.441,0.441,3,0
STS,60,20240603,140000,0.441,0.441,0.441,0.441,30,0
STS,60,20240603,150000,0.441,0.441,0.44,0.44,2325,0
STS,60,20240603,160000,0.441,0.441,0.441,0.441,1118,0
STS,60,20240603,170000,0.459,0.459,0.459,0.459,2333,0
STS,60,20240604,100000,0.446,0.446,0.446,0.446,1035,0
STS,60,20240604,110000,0.44,0.44,0.44,0.44,543,0
STS,60,20240604,170000,0.463,0.464,0.463,0.464,36,0
STS,60,20240605,150000,0.441,0.441,0.44,0.44,66,0
STS,60,20240606,110000,0.441,0.441,0.44,0.44,300,0
STS,60,20240606,140000,0.463,0.463,0.463,0.463,23,0
STS,60,20240606,150000,0.45,0.45,0.45,0.45,683,0
STS,60,20240607,100000,0.45,0.45,0.431,0.449,3638,0
STS,60,20240607,170000,0.446,0.446,0.446,0.446,60,0
STS,60,20240610,120000,0.433,0.433,0.4,0.42,27888,0
STS,60,20240610,130000,0.437,0.454,0.437,0.454,2913,0
STS,60,20240610,140000,0.454,0.454,0.454,0.454,23,0
STS,60,20240611,150000,0.44,0.449,0.44,0.449,3566,0
STS,60,20240611,160000,0.449,0.449,0.449,0.449,983,0
STS,60,20240612,100000,0.448,0.514,0.448,0.49,63626,0
STS,60,20240612,110000,0.489,0.498,0.46,0.461,22260,0
STS,60,20240612,120000,0.461,0.461,0.45,0.461,9355,0
STS,60,20240612,130000,0.46,0.46,0.46,0.46,3000,0
STS,60,20240612,140000,0.46,0.46,0.455,0.455,3198,0
STS,60,20240613,100000,0.47,0.47,0.47,0.47,1,0
STS,60,20240613,110000,0.459,0.459,0.456,0.456,7500,0
STS,60,20240613,160000,0.456,0.456,0.456,0.456,730,0
STS,60,20240614,110000,0.456,0.456,0.455,0.455,3658,0
STS,60,20240614,130000,0.455,0.455,0.455,0.455,1681,0
STS,60,20240614,170000,0.451,0.451,0.446,0.446,88,0
STS,60,20240617,150000,0.457,0.457,0.457,0.457,30,0
STS,60,20240617,170000,0.459,0.461,0.459,0.461,59,0
STS,60,20240620,100000,0.461,0.461,0.403,0.413,35815,0
STS,60,20240620,110000,0.424,0.45,0.424,0.45,1633,0
STS,60,20240621,120000,0.432,0.432,0.432,0.432,70,0
STS,60,20240621,130000,0.42,0.448,0.42,0.448,4321,0
STS,60,20240621,170000,0.448,0.448,0.448,0.448,100,0
STS,60,20240625,100000,0.439,0.448,0.439,0.448,4600,0
STS,60,20240625,110000,0.446,0.449,0.446,0.449,3396,0
STS,60,20240625,130000,0.45,0.45,0.45,0.45,1104,0
STS,60,20240625,150000,0.444,0.444,0.44,0.44,9476,0
STS,60,20240625,160000,0.44,0.44,0.424,0.44,107562,0
STS,60,20240627,100000,0.448,0.449,0.448,0.449,3642,0
STS,60,20240627,120000,0.457,0.46,0.457,0.46,5000,0
STS,60,20240627,130000,0.46,0.46,0.46,0.46,32698,0
STS,60,20240627,140000,0.46,0.46,0.448,0.448,429,0
STS,60,20240628,100000,0.448,0.448,0.44,0.44,4600,0
STS,60,20240628,150000,0.442,0.442,0.442,0.442,1176,0
STS,60,20240701,170000,0.464,0.464,0.464,0.464,1,0
STS,60,20240702,100000,0.432,0.45,0.432,0.45,1305,0
STS,60,20240702,110000,0.45,0.454,0.45,0.454,4669,0
STS,60,20240702,170000,0.454,0.47,0.454,0.47,2000,0
STS,60,20240703,160000,0.47,0.47,0.47,0.47,30,0
STS,60,20240705,110000,0.451,0.451,0.45,0.45,28000,0
STS,60,20240705,120000,0.451,0.451,0.45,0.45,24000,0
STS,60,20240705,130000,0.45,0.45,0.45,0.45,8574,0
STS,60,20240708,170000,0.45,0.466,0.45,0.45,8497,0
STS,60,20240709,130000,0.45,0.464,0.432,0.464,5506,0
STS,60,20240711,100000,0.45,0.45,0.45,0.45,521,0
STS,60,20240711,150000,0.45,0.45,0.445,0.445,2500,0
STS,60,20240711,160000,0.45,0.45,0.45,0.45,2143,0
STS,60,20240712,100000,0.445,0.445,0.445,0.445,1579,0
STS,60,20240712,130000,0.432,0.432,0.432,0.432,3421,0
STS,60,20240712,160000,0.433,0.433,0.432,0.432,203,0
STS,60,20240715,140000,0.439,0.454,0.439,0.454,15400,0
STS,60,20240715,150000,0.432,0.432,0.42,0.42,1840,0
STS,60,20240715,170000,0.453,0.453,0.453,0.453,1,0
STS,60,20240717,100000,0.453,0.453,0.453,0.453,70,0
STS,60,20240717,160000,0.422,0.422,0.422,0.422,150,0
STS,60,20240719,170000,0.45,0.45,0.422,0.422,364,0
STS,60,20240722,100000,0.422,0.422,0.421,0.421,3581,0
STS,60,20240722,110000,0.42,0.448,0.42,0.448,697,0
STS,60,20240723,120000,0.418,0.418,0.418,0.418,95,0
STS,60,20240723,130000,0.412,0.448,0.41,0.448,14792,0
STS,60,20240723,150000,0.413,0.413,0.413,0.413,500,0
STS,60,20240724,120000,0.416,0.416,0.416,0.416,200,0
STS,60,20240724,140000,0.416,0.416,0.416,0.416,1311,0
STS,60,20240724,170000,0.416,0.416,0.416,0.416,921,0
STS,60,20240726,130000,0.411,0.411,0.411,0.411,15,0
STS,60,20240729,100000,0.411,0.411,0.41,0.41,2714,0
STS,60,20240729,110000,0.41,0.41,0.41,0.41,75,0
STS,60,20240729,140000,0.41,0.41,0.41,0.41,1380,0
STS,60,20240801,100000,0.411,0.411,0.411,0.411,60,0
STS,60,20240802,160000,0.411,0.411,0.411,0.411,235,0
STS,60,20240805,100000,0.413,0.413,0.38,0.4,12204,0
STS,60,20240805,110000,0.38,0.38,0.38,0.38,5000,0
STS,60,20240805,130000,0.38,0.408,0.38,0.408,13000,0
STS,60,20240805,140000,0.38,0.38,0.38,0.38,4000,0
STS,60,20240805,170000,0.38,0.38,0.378,0.378,367,0
STS,60,20240806,120000,0.375,0.389,0.374,0.389,5823,0
STS,60,20240806,140000,0.394,0.394,0.389,0.389,27,0
STS,60,20240806,160000,0.394,0.394,0.394,0.394,74,0
STS,60,20240809,100000,0.381,0.381,0.381,0.381,481,0
STS,60,20240809,110000,0.39,0.39,0.39,0.39,26,0
STS,60,20240809,150000,0.39,0.39,0.39,0.39,500,0
STS,60,20240816,100000,0.375,0.375,0.374,0.374,10972,0
STS,60,20240816,110000,0.39,0.39,0.39,0.39,1,0
STS,60,20240816,120000,0.374,0.374,0.374,0.374,10,0
STS,60,20240816,150000,0.375,0.375,0.375,0.375,377,0
STS,60,20240819,110000,0.39,0.39,0.39,0.39,5400,0
STS,60,20240819,120000,0.39,0.39,0.39,0.39,26,0
STS,60,20240819,140000,0.39,0.39,0.39,0.39,26,0
STS,60,20240819,150000,0.376,0.376,0.376,0.376,150,0
STS,60,20240820,170000,0.376,0.376,0.376,0.376,5250,0
STS,60,20240821,160000,0.38,0.393,0.38,0.393,3766,0
STS,60,20240822,120000,0.4,0.4,0.4,0.4,100,0
STS,60,20240823,110000,0.378,0.378,0.378,0.378,812,0
STS,60,20240823,160000,0.39,0.4,0.39,0.4,2983,0
STS,60,20240826,120000,0.377,0.377,0.375,0.375,3000,0
STS,60,20240827,100000,0.376,0.384,0.375,0.384,2180,0
STS,60,20240827,140000,0.382,0.383,0.382,0.383,2000,0
STS,60,20240829,110000,0.376,0.39,0.374,0.39,3722,0
STS,60,20240829,140000,0.374,0.374,0.374,0.374,3184,0
STS,60,20240829,150000,0.372,0.372,0.372,0.372,7149,0
STS,60,20240829,170000,0.375,0.388,0.375,0.388,300,0
STS,60,20240830,130000,0.37,0.37,0.37,0.37,13000,0
STS,60,20240830,170000,0.371,0.371,0.371,0.371,100,0
STS,60,20240902,130000,0.37,0.37,0.37,0.37,100,0
STS,60,20240902,170000,0.378,0.378,0.378,0.378,1,0
STS,60,20240903,100000,0.37,0.37,0.37,0.37,6522,0
STS,60,20240903,110000,0.37,0.37,0.37,0.37,5800,0
STS,60,20240904,100000,0.366,0.4,0.364,0.4,40303,0
STS,60,20240904,110000,0.456,0.456,0.44,0.453,106643,0
STS,60,20240904,120000,0.453,0.453,0.44,0.45,12924,0
STS,60,20240904,130000,0.44,0.44,0.421,0.434,15346,0
STS,60,20240904,140000,0.434,0.434,0.402,0.402,28965,0
STS,60,20240904,170000,0.434,0.434,0.434,0.434,1033,0
STS,60,20240905,100000,0.404,0.433,0.404,0.433,1057,0
STS,60,20240905,150000,0.406,0.433,0.406,0.433,800,0
STS,60,20240906,100000,0.407,0.407,0.386,0.388,16507,0
STS,60,20240906,110000,0.388,0.388,0.379,0.388,23216,0
STS,60,20240906,120000,0.381,0.4,0.38,0.396,7236,0
STS,60,20240906,150000,0.398,0.44,0.398,0.44,10037,0
STS,60,20240906,170000,0.433,0.433,0.433,0.433,1,0
STS,60,20240909,100000,0.403,0.403,0.38,0.39,5700,0
STS,60,20240909,110000,0.4,0.4,0.4,0.4,400,0
STS,60,20240909,120000,0.4,0.4,0.4,0.4,800,0
STS,60,20240909,130000,0.403,0.431,0.384,0.396,571,0
STS,60,20240909,140000,0.407,0.407,0.407,0.407,26,0
STS,60,20240909,150000,0.407,0.423,0.407,0.423,50,0
STS,60,20240909,160000,0.418,0.423,0.418,0.423,161,0
STS,60,20240909,170000,0.409,0.409,0.409,0.409,26,0
STS,60,20240910,120000,0.422,0.422,0.422,0.422,26,0
STS,60,20240910,140000,0.419,0.419,0.401,0.401,130,0
STS,60,20240910,150000,0.417,0.417,0.381,0.381,7060,0
STS,60,20240910,170000,0.382,0.382,0.382,0.382,9859,0
STS,60,20240911,100000,0.377,0.377,0.366,0.366,19451,0
STS,60,20240911,110000,0.37,0.37,0.37,0.37,2300,0
STS,60,20240911,120000,0.37,0.37,0.37,0.37,3330,0
STS,60,20240911,160000,0.374,0.374,0.364,0.364,4400,0
STS,60,20240911,170000,0.365,0.4,0.362,0.393,46492,0
STS,60,20240912,110000,0.392,0.398,0.392,0.398,3057,0
STS,60,20240912,130000,0.397,0.407,0.397,0.4,26551,0
STS,60,20240912,140000,0.41,0.412,0.409,0.409,154,0
STS,60,20240912,150000,0.41,0.415,0.41,0.415,5000,0
STS,60,20240912,160000,0.415,0.424,0.415,0.421,2583,0
STS,60,20240912,170000,0.424,0.424,0.41,0.41,1736,0
STS,60,20240913,100000,0.423,0.423,0.41,0.422,12049,0
STS,60,20240913,120000,0.419,0.419,0.419,0.419,3508,0
STS,60,20240913,160000,0.415,0.415,0.41,0.41,2050,0
STS,60,20240916,100000,0.41,0.436,0.41,0.435,10486,0
STS,60,20240916,130000,0.431,0.431,0.431,0.431,74,0
STS,60,20240916,140000,0.431,0.431,0.41,0.41,1000,0
STS,60,20240917,110000,0.43,0.43,0.43,0.43,102,0
STS,60,20240917,120000,0.43,0.43,0.41,0.41,1106,0
STS,60,20240917,140000,0.411,0.411,0.41,0.41,17947,0
STS,60,20240917,160000,0.41,0.41,0.41,0.41,12053,0
STS,60,20240917,170000,0.41,0.41,0.41,0.41,1000,0
STS,60,20240918,110000,0.432,0.432,0.432,0.432,670,0
STS,60,20240918,160000,0.429,0.429,0.429,0.429,250,0
STS,60,20240920,100000,0.416,0.416,0.416,0.416,1,0
STS,60,20240920,120000,0.431,0.431,0.431,0.431,24,0
STS,60,20240920,130000,0.409,0.409,0.409,0.409,1,0
STS,60,20240920,140000,0.416,0.416,0.416,0.416,4744,0
STS,60,20240920,150000,0.431,0.431,0.431,0.431,25,0
STS,60,20240923,100000,0.431,0.431,0.431,0.431,47,0
STS,60,20240923,130000,0.409,0.409,0.409,0.409,3060,0
STS,60,20240923,160000,0.409,0.409,0.401,0.401,670,0
STS,60,20240923,170000,0.401,0.424,0.394,0.424,92,0
STS,60,20240924,150000,0.416,0.416,0.416,0.416,1,0
STS,60,20240926,100000,0.388,0.419,0.386,0.419,9889,0
STS,60,20240926,130000,0.386,0.386,0.386,0.386,20000,0
STS,60,20240927,120000,0.402,0.402,0.402,0.402,47,0
STS,60,20240930,110000,0.4,0.4,0.4,0.4,500,0
STS,60,20240930,150000,0.409,0.409,0.409,0.409,30,0
STS,60,20240930,170000,0.409,0.409,0.409,0.409,66,0
STS,60,20241001,160000,0.353,0.353,0.353,0.353,63,0
STS,60,20241002,120000,0.37,0.37,0.37,0.37,852,0
STS,60,20241002,160000,0.37,0.37,0.37,0.37,5090,0
STS,60,20241009,120000,0.371,0.371,0.353,0.353,5453,0
STS,60,20241014,160000,0.35,0.35,0.347,0.347,12543,0
STS,60,20241015,120000,0.347,0.347,0.347,0.347,2042,0
STS,60,20241015,160000,0.34,0.34,0.34,0.34,4000,0
STS,60,20241017,120000,0.341,0.341,0.34,0.34,7595,0
STS,60,20241018,160000,0.348,0.348,0.347,0.347,3108,0
STS,60,20241022,120000,0.35,0.35,0.35,0.35,1500,0
STS,60,20241022,160000,0.317,0.317,0.317,0.317,10000,0
STS,60,20241025,120000,0.3,0.31,0.3,0.3,54929,0
STS,60,20241025,160000,0.305,0.305,0.305,0.305,2544,0
STS,60,20241028,120000,0.3,0.3,0.3,0.3,3833,0
STS,60,20241028,160000,0.3,0.3,0.3,0.3,834,0
STS,60,20241029,120000,0.28,0.28,0.28,0.28,46066,0
STS,60,20241029,160000,0.28,0.28,0.28,0.28,8609,0
STS,60,20241030,120000,0.262,0.262,0.262,0.262,2495,0
STS,60,20241030,160000,0.262,0.262,0.262,0.262,26414,0
STS,60,20241031,120000,0.262,0.262,0.262,0.262,8500,0
STS,60,20241104,160000,0.263,0.27,0.263,0.27,901,0
STS,60,20241106,120000,0.263,0.263,0.263,0.263,150,0
STS,60,20241106,160000,0.274,0.274,0.274,0.274,1950,0
STS,60,20241107,120000,0.274,0.274,0.274,0.274,50,0
STS,60,20241107,160000,0.263,0.263,0.263,0.263,200,0
STS,60,20241108,120000,0.262,0.262,0.262,0.262,100,0
STS,60,20241108,160000,0.262,0.262,0.262,0.262,2000,0
STS,60,20241112,120000,0.262,0.262,0.262,0.262,6580,0
STS,60,20241112,160000,0.262,0.262,0.262,0.262,650,0
STS,60,20241114,120000,0.264,0.272,0.264,0.272,3787,0
STS,60,20241114,160000,0.272,0.272,0.272,0.272,1561,0
STS,60,20241118,120000,0.264,0.264,0.264,0.264,2285,0
STS,60,20241118,160000,0.269,0.269,0.269,0.269,3,0
STS,60,20241120,120000,0.255,0.255,0.255,0.255,7064,0
STS,60,20241120,160000,0.269,0.269,0.269,0.269,7,0
STS,60,20241121,120000,0.256,0.256,0.256,0.256,60,0
STS,60,20241125,160000,0.269,0.269,0.254,0.258,3231,0
STS,60,20241126,120000,0.258,0.258,0.258,0.258,161,0
STS,60,20241126,160000,0.27,0.27,0.27,0.27,6,0
STS,60,20241129,120000,0.26,0.26,0.26,0.26,492,0
STS,60,20241202,160000,0.27,0.27,0.27,0.27,2500,0
STS,60,20241204,120000,0.257,0.259,0.257,0.259,1320,0
STS,60,20241205,160000,0.257,0.257,0.257,0.257,11632,0
STS,60,20241206,120000,0.252,0.252,0.252,0.252,12777,0
STS,60,20241206,160000,0.222,0.222,0.222,0.222,21174,0
STS,60,20241211,120000,0.223,0.229,0.222,0.222,29763,0
STS,60,20241211,160000,0.211,0.211,0.211,0.211,11250,0
STS,60,20241212,120000,0.202,0.202,0.202,0.202,6480,0
STS,60,20241212,160000,0.19,0.19,0.19,0.19,19827,0
STS,60,20241213,120000,0.173,0.173,0.173,0.173,7601,0
STS,60,20241213,160000,0.173,0.173,0.173,0.173,19582,0
STS,60,20241216,120000,0.1805,0.1805,0.1805,0.1805,3000,0
STS,60,20241216,160000,0.16,0.16,0.16,0.16,22883,0
STS,60,20241217,120000,0.15,0.15,0.15,0.15,26010,0
STS,60,20241217,160000,0.15,0.15,0.15,0.15,84571,0
STS,60,20241218,120000,0.13,0.13,0.13,0.13,163404,0
STS,60,20241218,160000,0.14,0.14,0.14,0.14,13700,0
STS,60,20241219,120000,0.1425,0.1425,0.1425,0.1425,10736,0
STS,60,20241219,160000,0.15,0.15,0.15,0.15,19368,0
STS,60,20241220,120000,0.154,0.154,0.154,0.154,70741,0
STS,60,20241220,160000,0.156,0.156,0.156,0.156,11736,0
STS,60,20241223,120000,0.16,0.16,0.16,0.16,118293,0
STS,60,20241223,160000,0.17,0.17,0.17,0.17,21704,0
STS,60,20241227,120000,0.177,0.177,0.177,0.177,11175,0
STS,60,20241227,160000,0.1985,0.1985,0.1985,0.1985,3782,0
STS,60,20241230,120000,0.211,0.211,0.211,0.211,13531,0
STS,60,20241230,160000,0.224,0.224,0.224,0.224,5716,0
STS,60,20250102,120000,0.224,0.224,0.224,0.224,5910,0
STS,60,20250102,160000,0.232,0.232,0.232,0.232,4266,0
STS,60,20250103,120000,0.24,0.24,0.24,0.24,1270,0
STS,60,20250103,160000,0.255,0.255,0.255,0.255,7311,0
STS,60,20250107,120000,0.252,0.252,0.252,0.252,6882,0
STS,60,20250107,160000,0.255,0.255,0.255,0.255,1639,0
STS,60,20250108,120000,0.264,0.264,0.264,0.264,4888,0
STS,60,20250108,160000,0.215,0.215,0.215,0.215,66064,0
STS,60,20250109,120000,0.23,0.23,0.23,0.23,27221,0
STS,60,20250109,160000,0.24,0.24,0.24,0.24,51500,0
STS,60,20250110,120000,0.24,0.24,0.24,0.24,51512,0
STS,60,20250113,160000,0.295,0.295,0.295,0.295,1000,0
STS,60,20250114,120000,0.291,0.291,0.291,0.291,310,0
STS,60,20250114,160000,0.291,0.291,0.291,0.291,1000,0
STS,60,20250115,120000,0.27,0.27,0.27,0.27,4088,0
STS,60,20250115,160000,0.271,0.271,0.271,0.271,12100,0
STS,60,20250116,120000,0.292,0.292,0.292,0.292,1,0
STS,60,20250116,160000,0.292,0.292,0.292,0.292,15000,0
STS,60,20250120,120000,0.28,0.28,0.28,0.28,10356,0
STS,60,20250120,160000,0.28,0.28,0.28,0.28,7680,0
STS,60,20250122,120000,0.29,0.29,0.29,0.29,1827,0
STS,60,20250123,160000,0.29,0.29,0.29,0.29,100,0
STS,60,20250124,120000,0.28,0.28,0.28,0.28,14353,0
STS,60,20250124,160000,0.295,0.295,0.295,0.295,2030,0
STS,60,20250127,120000,0.298,0.298,0.298,0.298,47880,0
STS,60,20250127,160000,0.298,0.298,0.298,0.298,36614,0
STS,60,20250128,120000,0.282,0.282,0.282,0.282,11000,0
STS,60,20250128,160000,0.306,0.306,0.306,0.306,37066,0
