<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVRS,60,20240412,100000,4.6,4.6,4.6,4.6,5,0
SVRS,60,20240412,120000,4.6,4.6,4.6,4.6,354,0
SVRS,60,20240412,170000,4.6,4.6,4.6,4.6,6,0
SVRS,60,20240415,100000,4.6,4.6,4.6,4.6,937,0
SVRS,60,20240415,110000,4.6,4.6,4.6,4.6,272,0
SVRS,60,20240415,170000,4.7,4.7,4.7,4.7,10,0
SVRS,60,20240418,100000,4.7,4.7,4.7,4.7,738,0
SVRS,60,20240418,170000,4.66,4.66,4.66,4.66,3,0
SVRS,60,20240422,100000,4.76,4.76,4.76,4.76,6,0
SVRS,60,20240422,170000,4.66,4.66,4.66,4.66,859,0
SVRS,60,20240429,100000,4.76,4.76,4.5,4.5,112,0
SVRS,60,20240429,130000,4.44,4.44,4.44,4.44,1690,0
SVRS,60,20240510,100000,4.5,4.5,4.3,4.5,218,0
SVRS,60,20240510,170000,4.46,4.5,4.46,4.5,7000,0
SVRS,60,20240517,100000,4.48,4.5,4.48,4.5,31,0
SVRS,60,20240517,130000,4.36,4.36,4,4,8801,0
SVRS,60,20240517,140000,4.04,4.04,4.04,4.04,48,0
SVRS,60,20240520,150000,4,4,4,4,1,0
SVRS,60,20240521,100000,4,4,4,4,3,0
SVRS,60,20240521,170000,4.08,4.5,4.08,4.5,3659,0
SVRS,60,20240529,100000,4.68,4.68,4.22,4.22,1308,0
SVRS,60,20240529,120000,4.22,4.22,4.22,4.22,1778,0
SVRS,60,20240610,100000,4.2,4.2,4.1,4.1,18,0
SVRS,60,20240610,170000,4.1,4.1,4.1,4.1,885,0
SVRS,60,20240611,100000,4,4,4,4,3,0
SVRS,60,20240611,150000,4,4,3.98,3.98,2685,0
SVRS,60,20240612,100000,3.8,3.82,3.8,3.82,303,0
SVRS,60,20240612,130000,4,4,4,4,402,0
SVRS,60,20240626,100000,3.84,3.84,3.84,3.84,1029,0
SVRS,60,20240626,140000,3.84,3.84,3.84,3.84,150,0
SVRS,60,20240626,150000,3.84,3.84,3.84,3.84,450,0
SVRS,60,20240626,160000,3.84,3.84,3.82,3.82,470,0
SVRS,60,20240626,170000,3.82,3.82,3.82,3.82,430,0
SVRS,60,20240627,100000,3.82,3.82,3.82,3.82,193,0
SVRS,60,20240627,110000,3.82,3.82,3.8,3.8,110,0
SVRS,60,20240627,120000,3.8,3.8,3.8,3.8,190,0
SVRS,60,20240627,130000,3.8,3.8,3.8,3.8,185,0
