<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN,60,20240411,100000,96.4,96.4,94.85,95.75,1032,0
TEN,60,20240411,110000,95.5,96.6,95,96.6,3013,0
TEN,60,20240411,120000,96.4,96.85,95.05,95.35,2325,0
TEN,60,20240411,130000,95.2,95.95,95,95.45,1368,0
TEN,60,20240411,140000,95.45,95.55,94.6,95,2748,0
TEN,60,20240411,150000,94.65,95.5,94.1,95.5,7433,0
TEN,60,20240411,160000,95.55,96.2,95.45,95.5,2692,0
TEN,60,20240411,170000,95.55,95.85,94.95,95.1,4486,0
TEN,60,20240412,100000,96,96,95.1,95.35,886,0
TEN,60,20240412,110000,95.3,95.55,95.1,95.2,602,0
TEN,60,20240412,120000,95.1,95.3,95,95.2,764,0
TEN,60,20240412,130000,95.15,95.55,95,95.5,2679,0
TEN,60,20240412,140000,95.55,96.8,95.55,96.35,2856,0
TEN,60,20240412,150000,96.7,99,96.45,97.55,9519,0
TEN,60,20240412,160000,97.4,97.4,96.35,97.35,2442,0
TEN,60,20240412,170000,96.65,97,96,96.1,2255,0
TEN,60,20240415,100000,96.1,97.9,95.85,96.85,1460,0
TEN,60,20240415,110000,96.5,96.7,95.9,96.5,4688,0
TEN,60,20240415,120000,96.65,97.4,96.25,97.25,3592,0
TEN,60,20240415,130000,97.2,97.75,96.95,97.4,4050,0
TEN,60,20240415,140000,97.5,97.55,96.85,97.05,971,0
TEN,60,20240415,150000,96.7,97.6,96.7,97.5,1629,0
TEN,60,20240415,160000,97.35,97.4,96.85,97.05,1594,0
TEN,60,20240415,170000,97.05,97.4,96.9,97.3,4175,0
TEN,60,20240416,100000,96.1,97.3,95.4,96,3885,0
TEN,60,20240416,110000,96.35,96.4,95.05,95.65,2692,0
TEN,60,20240416,120000,95.3,95.6,94.95,95.2,4851,0
TEN,60,20240416,130000,95,95.2,94.8,95.2,701,0
TEN,60,20240416,140000,95,95.2,94.8,94.8,1518,0
TEN,60,20240416,150000,94.8,95,94.2,94.55,2045,0
TEN,60,20240416,160000,94.4,94.65,93.4,94.05,2902,0
TEN,60,20240416,170000,93.95,94.3,93.65,93.65,2502,0
TEN,60,20240417,100000,93.6,94.5,92.55,93.75,7469,0
TEN,60,20240417,110000,93.85,94.1,93.2,93.9,1439,0
TEN,60,20240417,120000,93.85,94.55,93.4,94.55,1754,0
TEN,60,20240417,130000,94.55,95,94.2,94.6,3233,0
TEN,60,20240417,140000,94.5,94.5,93.55,93.9,2321,0
TEN,60,20240417,150000,93.9,94.2,93.8,94.2,1229,0
TEN,60,20240417,160000,94.2,94.2,93.8,94,4211,0
TEN,60,20240417,170000,93.7,95.25,93.6,94.2,7073,0
TEN,60,20240418,100000,93.6,94.1,93,93.4,2369,0
TEN,60,20240418,110000,93.25,93.55,92.4,92.5,1907,0
TEN,60,20240418,120000,92.5,92.9,92,92.9,2325,0
TEN,60,20240418,130000,92.9,92.95,92.7,92.9,683,0
TEN,60,20240418,140000,92.65,92.9,92.6,92.9,109,0
TEN,60,20240418,150000,92.85,92.85,92.65,92.65,84,0
TEN,60,20240418,160000,92.65,92.7,92.15,92.65,2067,0
TEN,60,20240418,170000,92.65,92.7,92.2,92.5,438,0
TEN,60,20240419,100000,92.5,92.7,91.95,91.95,1062,0
