<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOA,60,20240411,100000,7.17,7.24,7.16,7.17,10026,0
TOA,60,20240411,110000,7.19,7.23,7.17,7.2,5909,0
TOA,60,20240411,120000,7.22,7.25,7.19,7.19,3113,0
TOA,60,20240411,130000,7.24,7.25,7.2,7.25,705,0
TOA,60,20240411,140000,7.25,7.25,7.25,7.25,2750,0
TOA,60,20240411,150000,7.25,7.25,7.18,7.2,4703,0
TOA,60,20240411,160000,7.24,7.45,7.23,7.44,41084,0
TOA,60,20240411,170000,7.44,7.46,7.3,7.43,68261,0
TOA,60,20240412,100000,7.43,7.43,7.35,7.35,54371,0
TOA,60,20240412,110000,7.4,7.4,7.35,7.4,5444,0
TOA,60,20240412,120000,7.4,7.4,7.38,7.38,2577,0
TOA,60,20240412,130000,7.4,7.4,7.39,7.4,3213,0
TOA,60,20240412,140000,7.39,7.5,7.39,7.42,78568,0
TOA,60,20240412,150000,7.41,7.45,7.4,7.45,3952,0
TOA,60,20240412,160000,7.42,7.42,7.4,7.4,4009,0
TOA,60,20240412,170000,7.4,7.45,7.3,7.38,18532,0
TOA,60,20240415,100000,7.39,7.47,7.3,7.46,57184,0
TOA,60,20240415,110000,7.46,7.46,7.38,7.4,4677,0
TOA,60,20240415,120000,7.4,7.43,7.36,7.4,3238,0
TOA,60,20240415,130000,7.4,7.43,7.38,7.39,3376,0
TOA,60,20240415,140000,7.43,7.43,7.4,7.4,3900,0
TOA,60,20240415,150000,7.43,7.44,7.4,7.4,2122,0
TOA,60,20240415,160000,7.43,7.43,7.4,7.42,6792,0
TOA,60,20240415,170000,7.42,7.42,7.38,7.38,3641,0
TOA,60,20240416,100000,7.39,7.44,7.32,7.32,19917,0
TOA,60,20240416,110000,7.32,7.36,7.3,7.36,2651,0
TOA,60,20240416,120000,7.3,7.36,7.3,7.36,759,0
TOA,60,20240416,130000,7.32,7.35,7.31,7.35,452,0
TOA,60,20240416,140000,7.36,7.36,7.31,7.31,1613,0
TOA,60,20240416,150000,7.31,7.34,7.3,7.31,1555,0
TOA,60,20240416,160000,7.31,7.34,7.3,7.3,3061,0
TOA,60,20240416,170000,7.3,7.33,7.25,7.25,8441,0
TOA,60,20240417,100000,7.25,7.29,7.23,7.29,3119,0
TOA,60,20240417,110000,7.3,7.34,7.3,7.34,832,0
TOA,60,20240417,120000,7.34,7.34,7.3,7.3,2766,0
TOA,60,20240417,130000,7.3,7.33,7.28,7.33,3366,0
TOA,60,20240417,140000,7.34,7.34,7.34,7.34,1751,0
TOA,60,20240417,150000,7.34,7.37,7.34,7.37,1025,0
TOA,60,20240417,160000,7.35,7.39,7.35,7.39,302,0
TOA,60,20240417,170000,7.38,7.43,7.38,7.43,10497,0
TOA,60,20240418,100000,7.44,7.5,7.44,7.5,16637,0
TOA,60,20240418,110000,7.47,7.49,7.45,7.49,1313,0
TOA,60,20240418,120000,7.47,7.47,7.45,7.45,6536,0
TOA,60,20240418,130000,7.45,7.45,7.42,7.42,1400,0
TOA,60,20240418,140000,7.46,7.46,7.4,7.4,2739,0
TOA,60,20240418,150000,7.4,7.46,7.4,7.4,5357,0
TOA,60,20240418,160000,7.4,7.49,7.4,7.49,5421,0
TOA,60,20240418,170000,7.41,7.41,7.41,7.41,2190,0
TOA,60,20240419,100000,7.4,7.42,7.35,7.36,4035,0
TOA,60,20240419,110000,7.38,7.38,7.37,7.37,3275,0
TOA,60,20240419,120000,7.37,7.4,7.37,7.38,2261,0
TOA,60,20240419,130000,7.39,7.42,7.38,7.39,2344,0
TOA,60,20240419,140000,7.39,7.42,7.39,7.41,2070,0
TOA,60,20240419,150000,7.4,7.41,7.4,7.4,1523,0
TOA,60,20240419,160000,7.39,7.4,7.37,7.37,1939,0
TOA,60,20240419,170000,7.38,7.42,7.37,7.37,3839,0
TOA,60,20240422,100000,7.37,7.41,7.37,7.41,5340,0
TOA,60,20240422,110000,7.41,7.41,7.37,7.38,4402,0
TOA,60,20240422,120000,7.38,7.47,7.38,7.41,30100,0
TOA,60,20240422,130000,7.41,7.46,7.38,7.38,20443,0
TOA,60,20240422,140000,7.38,7.41,7.37,7.37,2414,0
TOA,60,20240422,150000,7.37,7.4,7.37,7.38,2380,0
TOA,60,20240422,160000,7.38,7.4,7.35,7.35,4446,0
TOA,60,20240422,170000,7.35,7.4,7.35,7.37,3617,0
TOA,60,20240423,100000,7.37,7.43,7.37,7.38,3081,0
TOA,60,20240423,110000,7.41,7.41,7.38,7.38,5273,0
TOA,60,20240423,120000,7.38,7.4,7.38,7.38,4509,0
TOA,60,20240423,130000,7.38,7.38,7.38,7.38,1960,0
TOA,60,20240423,140000,7.38,7.41,7.38,7.38,5080,0
TOA,60,20240423,150000,7.38,7.4,7.38,7.38,1773,0
TOA,60,20240423,160000,7.38,7.38,7.35,7.37,6097,0
TOA,60,20240423,170000,7.37,7.41,7.35,7.41,10971,0
TOA,60,20240424,100000,7.36,7.46,7.36,7.39,10684,0
TOA,60,20240424,110000,7.39,7.4,7.37,7.39,3723,0
TOA,60,20240424,120000,7.39,7.39,7.37,7.37,1852,0
TOA,60,20240424,130000,7.37,7.4,7.37,7.37,2353,0
TOA,60,20240424,140000,7.37,7.4,7.37,7.37,2458,0
TOA,60,20240424,150000,7.37,7.37,7.37,7.37,1381,0
TOA,60,20240424,160000,7.37,7.39,7.34,7.35,10000,0
TOA,60,20240424,170000,7.35,7.35,7.31,7.31,3914,0
TOA,60,20240425,100000,7.35,7.39,7.34,7.35,3841,0
TOA,60,20240425,110000,7.35,7.38,7.35,7.35,3136,0
TOA,60,20240425,120000,7.35,7.38,7.33,7.33,2453,0
TOA,60,20240425,130000,7.33,7.35,7.32,7.32,1575,0
TOA,60,20240425,140000,7.32,7.33,7.3,7.3,4091,0
TOA,60,20240425,150000,7.3,7.32,7.27,7.28,1729,0
TOA,60,20240425,160000,7.28,7.33,7.28,7.28,1432,0
TOA,60,20240425,170000,7.28,7.32,7.27,7.32,2377,0
TOA,60,20240426,100000,7.32,7.39,7.32,7.38,5572,0
TOA,60,20240426,110000,7.38,7.38,7.36,7.38,3472,0
TOA,60,20240426,120000,7.38,7.4,7.38,7.39,3895,0
TOA,60,20240426,130000,7.38,7.4,7.38,7.39,1918,0
TOA,60,20240426,140000,7.4,7.43,7.4,7.43,536,0
TOA,60,20240426,150000,7.42,7.43,7.42,7.42,899,0
TOA,60,20240426,160000,7.42,7.42,7.39,7.42,579,0
TOA,60,20240426,170000,7.42,7.44,7.4,7.44,21206,0
TOA,60,20240429,100000,7.44,7.6,7.42,7.58,27760,0
TOA,60,20240429,110000,7.58,7.58,7.54,7.54,2074,0
TOA,60,20240429,120000,7.54,7.54,7.48,7.5,3845,0
TOA,60,20240429,130000,7.48,7.54,7.45,7.53,4281,0
TOA,60,20240429,140000,7.53,7.54,7.45,7.54,2355,0
TOA,60,20240429,150000,7.5,7.54,7.46,7.46,344,0
TOA,60,20240429,160000,7.54,7.54,7.5,7.5,1160,0
TOA,60,20240429,170000,7.5,7.58,7.44,7.58,20351,0
TOA,60,20240430,100000,7.55,7.58,7.53,7.58,8518,0
TOA,60,20240430,110000,7.58,7.58,7.53,7.58,1882,0
TOA,60,20240430,120000,7.57,7.57,7.51,7.53,1495,0
TOA,60,20240430,130000,7.53,7.57,7.53,7.57,6236,0
TOA,60,20240430,140000,7.57,7.57,7.55,7.57,17389,0
TOA,60,20240430,150000,7.57,7.57,7.57,7.57,586,0
TOA,60,20240430,160000,7.53,7.56,7.5,7.56,5068,0
TOA,60,20240430,170000,7.54,7.55,7.48,7.55,2821,0
TOA,60,20240502,100000,7.55,7.58,7.5,7.58,5509,0
TOA,60,20240502,110000,7.58,7.58,7.53,7.57,125,0
TOA,60,20240502,120000,7.57,7.65,7.57,7.65,10209,0
TOA,60,20240502,130000,7.65,7.65,7.65,7.65,1416,0
TOA,60,20240502,140000,7.62,7.62,7.62,7.62,302,0
TOA,60,20240502,150000,7.62,7.62,7.62,7.62,2008,0
TOA,60,20240502,160000,7.62,7.65,7.6,7.65,878,0
TOA,60,20240502,170000,7.62,7.66,7.57,7.66,2474,0
TOA,60,20240506,100000,7.7,7.73,7.57,7.57,9569,0
TOA,60,20240506,110000,7.68,7.68,7.59,7.6,3546,0
TOA,60,20240506,120000,7.6,7.65,7.6,7.65,3532,0
TOA,60,20240506,130000,7.65,7.66,7.6,7.63,3431,0
TOA,60,20240506,140000,7.65,7.66,7.63,7.63,2494,0
TOA,60,20240506,150000,7.65,7.65,7.6,7.6,4415,0
TOA,60,20240506,160000,7.6,7.6,7.57,7.57,6642,0
TOA,60,20240506,170000,7.57,7.57,7.41,7.5,9422,0
TOA,60,20240507,100000,7.5,7.6,7.5,7.6,7603,0
TOA,60,20240507,110000,7.59,7.59,7.48,7.55,4631,0
TOA,60,20240507,120000,7.5,7.65,7.5,7.6,7623,0
TOA,60,20240507,130000,7.64,7.64,7.57,7.57,1576,0
TOA,60,20240507,140000,7.57,7.57,7.52,7.52,735,0
TOA,60,20240507,150000,7.55,7.57,7.55,7.57,726,0
TOA,60,20240507,160000,7.57,7.6,7.55,7.55,2529,0
TOA,60,20240507,170000,7.55,7.57,7.55,7.57,6052,0
TOA,60,20240508,100000,7.57,7.63,7.5,7.56,4850,0
TOA,60,20240508,110000,7.56,7.6,7.56,7.6,1612,0
TOA,60,20240508,120000,7.6,7.6,7.6,7.6,2100,0
TOA,60,20240508,130000,7.6,7.6,7.56,7.6,3669,0
TOA,60,20240508,140000,7.59,7.6,7.52,7.59,1289,0
TOA,60,20240508,150000,7.58,7.58,7.55,7.55,1645,0
TOA,60,20240508,160000,7.55,7.55,7.55,7.55,911,0
TOA,60,20240508,170000,7.54,7.56,7.54,7.54,1842,0
TOA,60,20240509,100000,7.55,7.6,7.54,7.6,7123,0
TOA,60,20240509,110000,7.61,7.68,7.61,7.68,13214,0
TOA,60,20240509,120000,7.66,7.67,7.64,7.64,2843,0
TOA,60,20240509,130000,7.66,7.66,7.64,7.64,2019,0
TOA,60,20240509,140000,7.63,7.67,7.63,7.67,2217,0
TOA,60,20240509,150000,7.66,7.66,7.66,7.66,409,0
TOA,60,20240509,160000,7.66,7.66,7.62,7.63,2153,0
TOA,60,20240509,170000,7.65,7.65,7.58,7.58,9428,0
TOA,60,20240510,100000,7.67,7.67,7.6,7.66,1760,0
TOA,60,20240510,110000,7.66,7.67,7.63,7.65,2478,0
TOA,60,20240510,120000,7.66,7.66,7.63,7.66,7142,0
TOA,60,20240510,130000,7.65,7.78,7.65,7.78,27724,0
TOA,60,20240510,140000,7.71,7.76,7.68,7.7,9432,0
TOA,60,20240510,150000,7.7,7.73,7.67,7.7,4805,0
TOA,60,20240510,160000,7.7,7.75,7.7,7.75,1328,0
TOA,60,20240510,170000,7.75,7.75,7.66,7.67,4215,0
TOA,60,20240513,100000,7.81,7.97,7.81,7.95,28389,0
TOA,60,20240513,110000,7.94,7.97,7.9,7.97,13482,0
TOA,60,20240513,120000,7.93,7.97,7.91,7.97,5792,0
TOA,60,20240513,130000,7.97,7.97,7.9,7.91,7310,0
TOA,60,20240513,140000,7.95,8.02,7.93,8.02,28616,0
TOA,60,20240513,150000,8.02,8.1,8.02,8.1,22822,0
TOA,60,20240513,160000,8.08,8.1,8.06,8.08,15724,0
TOA,60,20240513,170000,8.08,8.27,8.08,8.27,28750,0
TOA,60,20240514,100000,8.25,8.25,8.16,8.24,19795,0
TOA,60,20240514,110000,8.24,8.27,8.21,8.26,7494,0
TOA,60,20240514,120000,8.23,8.26,8.22,8.22,5134,0
TOA,60,20240514,130000,8.22,8.25,8.22,8.25,2017,0
TOA,60,20240514,140000,8.25,8.25,8.21,8.21,2099,0
TOA,60,20240514,150000,8.21,8.27,8.21,8.27,12268,0
TOA,60,20240514,160000,8.25,8.29,8.25,8.29,15956,0
TOA,60,20240514,170000,8.29,8.3,8.26,8.26,3585,0
TOA,60,20240515,100000,8.24,8.24,8.18,8.18,9269,0
TOA,60,20240515,110000,8.2,8.22,8.18,8.22,2374,0
TOA,60,20240515,120000,8.19,8.22,8.18,8.22,6447,0
TOA,60,20240515,130000,8.22,8.22,8.18,8.2,546,0
TOA,60,20240515,140000,8.2,8.22,8.19,8.22,1042,0
TOA,60,20240515,150000,8.22,8.22,8.18,8.18,2998,0
TOA,60,20240515,160000,8.19,8.3,8.1,8.3,45565,0
TOA,60,20240515,170000,8.26,8.3,8.22,8.3,19494,0
TOA,60,20240516,100000,8.3,8.3,8.04,8.08,14441,0
TOA,60,20240516,110000,8.08,8.15,8.08,8.12,6118,0
TOA,60,20240516,120000,8.14,8.14,8.09,8.14,2044,0
TOA,60,20240516,130000,8.14,8.14,8.1,8.13,5874,0
TOA,60,20240516,140000,8.13,8.15,8.1,8.15,2517,0
TOA,60,20240516,150000,8.12,8.15,8.08,8.1,4047,0
TOA,60,20240516,160000,8.13,8.22,8.09,8.16,83832,0
TOA,60,20240516,170000,8.16,8.18,8.14,8.17,19277,0
TOA,60,20240517,100000,8.15,8.15,8.06,8.14,4616,0
TOA,60,20240517,110000,8.14,8.15,8.07,8.1,2765,0
TOA,60,20240517,120000,8.11,8.13,8.11,8.13,1837,0
TOA,60,20240517,130000,8.13,8.15,8.13,8.15,5423,0
TOA,60,20240517,140000,8.15,8.16,8.15,8.16,2610,0
TOA,60,20240517,150000,8.16,8.16,8.13,8.13,5792,0
TOA,60,20240517,160000,8.13,8.13,8.11,8.11,1777,0
TOA,60,20240517,170000,8.13,8.13,8.06,8.06,7444,0
TOA,60,20240520,100000,8.06,8.1,8.05,8.1,8159,0
TOA,60,20240520,110000,8.07,8.1,8.06,8.06,2151,0
TOA,60,20240520,120000,8.11,8.11,8.11,8.11,550,0
TOA,60,20240520,130000,8.11,8.11,8.09,8.09,1753,0
TOA,60,20240520,140000,8.09,8.11,8.09,8.11,1350,0
TOA,60,20240520,150000,8.08,8.1,8.08,8.1,2631,0
TOA,60,20240520,160000,8.11,8.13,8.08,8.12,4840,0
TOA,60,20240520,170000,8.12,8.13,8.11,8.11,2450,0
TOA,60,20240521,100000,7.7,7.83,7.6,7.8,196630,0
TOA,60,20240521,110000,7.8,7.84,7.76,7.77,19784,0
TOA,60,20240521,120000,7.77,7.83,7.77,7.79,7412,0
TOA,60,20240521,130000,7.83,7.83,7.74,7.75,10619,0
TOA,60,20240521,140000,7.75,7.79,7.73,7.73,6508,0
TOA,60,20240521,150000,7.73,7.82,7.73,7.78,14629,0
TOA,60,20240521,160000,7.79,7.88,7.76,7.83,24321,0
TOA,60,20240521,170000,7.82,7.85,7.76,7.85,29641,0
TOA,60,20240522,100000,7.79,7.84,7.75,7.75,14941,0
TOA,60,20240522,110000,7.76,7.76,7.7,7.73,18637,0
TOA,60,20240522,120000,7.71,7.77,7.7,7.74,8034,0
TOA,60,20240522,130000,7.7,7.74,7.7,7.74,7474,0
TOA,60,20240522,140000,7.7,7.71,7.65,7.65,10988,0
TOA,60,20240522,150000,7.66,7.72,7.62,7.71,11496,0
TOA,60,20240522,160000,7.71,7.77,7.7,7.72,27007,0
TOA,60,20240522,170000,7.71,7.86,7.71,7.76,28896,0
TOA,60,20240523,100000,7.76,7.86,7.7,7.73,13412,0
TOA,60,20240523,110000,7.73,7.76,7.66,7.66,12462,0
TOA,60,20240523,120000,7.66,7.7,7.61,7.61,12464,0
TOA,60,20240523,130000,7.61,7.63,7.56,7.56,17962,0
TOA,60,20240523,140000,7.56,7.6,7.54,7.57,11179,0
TOA,60,20240523,150000,7.57,7.59,7.52,7.54,13670,0
TOA,60,20240523,160000,7.54,7.68,7.53,7.55,13800,0
TOA,60,20240523,170000,7.55,7.7,7.55,7.59,10077,0
TOA,60,20240524,100000,7.59,7.64,7.55,7.55,14175,0
TOA,60,20240524,110000,7.55,7.58,7.52,7.57,16058,0
TOA,60,20240524,120000,7.53,7.57,7.4,7.41,15886,0
TOA,60,20240524,130000,7.49,7.49,7.42,7.43,5050,0
TOA,60,20240524,140000,7.43,7.49,7.42,7.43,7246,0
TOA,60,20240524,150000,7.47,7.47,7.4,7.4,7370,0
TOA,60,20240524,160000,7.4,7.4,7.26,7.33,28560,0
TOA,60,20240524,170000,7.34,7.42,7.31,7.36,15355,0
TOA,60,20240527,100000,7.4,7.56,7.36,7.55,12940,0
TOA,60,20240527,110000,7.55,7.59,7.5,7.57,4901,0
TOA,60,20240527,120000,7.57,7.57,7.5,7.52,1922,0
TOA,60,20240527,130000,7.52,7.53,7.52,7.53,2100,0
TOA,60,20240527,140000,7.53,7.57,7.53,7.57,728,0
TOA,60,20240527,150000,7.57,7.57,7.57,7.57,320,0
TOA,60,20240527,160000,7.52,7.53,7.4,7.53,21629,0
TOA,60,20240527,170000,7.53,7.53,7.5,7.5,1628,0
TOA,60,20240528,100000,7.5,7.5,7.48,7.5,7908,0
TOA,60,20240528,110000,7.52,7.52,7.44,7.48,3190,0
TOA,60,20240528,120000,7.42,7.46,7.4,7.4,6602,0
TOA,60,20240528,130000,7.45,7.46,7.41,7.46,2050,0
TOA,60,20240528,140000,7.46,7.46,7.41,7.46,758,0
TOA,60,20240528,150000,7.46,7.46,7.43,7.43,503,0
TOA,60,20240528,160000,7.43,7.47,7.42,7.47,976,0
TOA,60,20240528,170000,7.47,7.49,7.41,7.41,2969,0
TOA,60,20240529,100000,8.06,8.29,7.94,8,390828,0
TOA,60,20240529,110000,7.96,8.11,7.92,8.1,171570,0
TOA,60,20240529,120000,8.08,8.19,8.02,8.08,24810,0
TOA,60,20240529,130000,8.06,8.06,7.94,7.94,10697,0
TOA,60,20240529,140000,7.97,8.02,7.94,8,11086,0
TOA,60,20240529,150000,8.02,8.06,8,8.05,3722,0
TOA,60,20240529,160000,8.01,8.07,8,8.01,27039,0
TOA,60,20240529,170000,8,8.02,8,8,15121,0
TOA,60,20240531,100000,8,8.08,7.96,8,28162,0
TOA,60,20240531,110000,8,8.02,7.98,8,7192,0
TOA,60,20240531,120000,8.02,8.2,8,8.19,23439,0
TOA,60,20240531,130000,8.18,8.23,8.13,8.19,9066,0
TOA,60,20240531,140000,8.12,8.19,8.12,8.13,653,0
TOA,60,20240531,150000,8.15,8.16,8.08,8.09,9689,0
TOA,60,20240531,160000,8.09,8.14,8.08,8.09,20014,0
TOA,60,20240531,170000,8.09,8.15,8.08,8.1,5601,0
TOA,60,20240603,100000,8.11,8.2,8.09,8.11,28743,0
TOA,60,20240603,110000,8.14,8.15,8.1,8.11,2405,0
TOA,60,20240603,120000,8.11,8.19,8.11,8.14,14568,0
TOA,60,20240603,130000,8.14,8.19,8.13,8.13,866,0
TOA,60,20240603,140000,8.14,8.18,8.14,8.18,2969,0
TOA,60,20240603,150000,8.18,8.18,8.13,8.15,5150,0
TOA,60,20240603,160000,8.13,8.18,8.13,8.15,2505,0
