<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPE,60,20240411,100000,3.07,3.119,3.07,3.098,1893824,0
TPE,60,20240411,110000,3.09,3.106,3.082,3.09,458607,0
TPE,60,20240411,120000,3.09,3.13,3.082,3.087,4695418,0
TPE,60,20240411,130000,3.082,3.087,3.053,3.066,243115,0
TPE,60,20240411,140000,3.073,3.082,3.065,3.08,72974,0
TPE,60,20240411,150000,3.082,3.114,3.082,3.103,245568,0
TPE,60,20240411,160000,3.103,3.14,3.091,3.099,1501203,0
TPE,60,20240411,170000,3.099,3.099,3.065,3.065,430379,0
TPE,60,20240412,100000,3.083,3.1,3.067,3.094,323050,0
TPE,60,20240412,110000,3.09,3.106,3.058,3.066,357002,0
TPE,60,20240412,120000,3.065,3.073,3.015,3.02,410773,0
TPE,60,20240412,130000,3.02,3.025,2.976,3.006,817941,0
TPE,60,20240412,140000,3.007,3.01,2.98,2.99,487339,0
TPE,60,20240412,150000,2.99,2.999,2.964,2.964,427743,0
TPE,60,20240412,160000,2.962,2.978,2.955,2.963,395309,0
TPE,60,20240412,170000,2.962,2.968,2.928,2.931,1318628,0
TPE,60,20240415,100000,2.956,2.97,2.909,2.933,593805,0
TPE,60,20240415,110000,2.939,2.939,2.907,2.923,185391,0
TPE,60,20240415,120000,2.92,2.927,2.897,2.9,384045,0
TPE,60,20240415,130000,2.898,2.906,2.89,2.904,372334,0
TPE,60,20240415,140000,2.904,2.936,2.904,2.92,554756,0
TPE,60,20240415,150000,2.923,2.923,2.902,2.908,141369,0
TPE,60,20240415,160000,2.908,2.929,2.907,2.907,247197,0
TPE,60,20240415,170000,2.91,2.913,2.881,2.886,919678,0
TPE,60,20240416,100000,2.887,2.887,2.838,2.859,478170,0
TPE,60,20240416,110000,2.859,2.859,2.836,2.842,178722,0
TPE,60,20240416,120000,2.844,2.884,2.842,2.864,223660,0
TPE,60,20240416,130000,2.864,2.913,2.864,2.891,342235,0
TPE,60,20240416,140000,2.89,2.901,2.876,2.887,125777,0
TPE,60,20240416,150000,2.888,2.897,2.872,2.872,120163,0
TPE,60,20240416,160000,2.874,2.874,2.827,2.828,465960,0
TPE,60,20240416,170000,2.833,2.852,2.822,2.837,321979,0
TPE,60,20240417,100000,2.85,2.86,2.798,2.82,547485,0
TPE,60,20240417,110000,2.816,2.845,2.811,2.845,269658,0
TPE,60,20240417,120000,2.844,2.848,2.83,2.832,178091,0
TPE,60,20240417,130000,2.832,2.844,2.82,2.832,221123,0
TPE,60,20240417,140000,2.832,2.849,2.832,2.837,107278,0
TPE,60,20240417,150000,2.833,2.838,2.823,2.823,217344,0
TPE,60,20240417,160000,2.823,2.841,2.821,2.829,122571,0
TPE,60,20240417,170000,2.828,2.84,2.821,2.83,223332,0
TPE,60,20240418,100000,2.84,2.875,2.84,2.854,245734,0
TPE,60,20240418,110000,2.855,2.861,2.785,2.815,684285,0
TPE,60,20240418,120000,2.814,2.845,2.804,2.822,383249,0
TPE,60,20240418,130000,2.822,2.869,2.821,2.869,306399,0
TPE,60,20240418,140000,2.857,2.921,2.857,2.92,691850,0
TPE,60,20240418,150000,2.92,2.936,2.892,2.892,525166,0
TPE,60,20240418,160000,2.899,2.908,2.859,2.908,631676,0
TPE,60,20240418,170000,2.901,2.92,2.88,2.918,665870,0
TPE,60,20240419,100000,2.92,2.968,2.89,2.901,542676,0
TPE,60,20240419,110000,2.908,2.908,2.884,2.898,143478,0
TPE,60,20240419,120000,2.89,2.982,2.881,2.982,770060,0
TPE,60,20240419,130000,2.982,3.03,2.947,2.947,1507056,0
TPE,60,20240419,140000,2.951,2.955,2.906,2.946,394485,0
TPE,60,20240419,150000,2.946,3.019,2.936,3.008,584592,0
TPE,60,20240419,160000,3.008,3.01,2.955,2.977,584238,0
TPE,60,20240419,170000,2.984,3,2.97,2.979,998067,0
TPE,60,20240422,100000,2.993,3.01,2.909,2.927,713050,0
TPE,60,20240422,110000,2.921,2.925,2.884,2.898,643188,0
