<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRI,60,20240411,120000,4.5,4.5,4.5,4.5,161,0
TRI,60,20240426,160000,4.5,4.7,4.44,4.7,426,0
TRI,60,20240508,120000,4.7,4.7,4.32,4.32,505,0
TRI,60,20240510,160000,4.36,4.7,4.36,4.7,189,0
TRI,60,20240513,120000,4.7,4.7,4.7,4.7,2,0
TRI,60,20240522,160000,4.78,4.78,4.7,4.7,1264,0
TRI,60,20240531,120000,4.78,4.78,4.46,4.46,1055,0
TRI,60,20240613,160000,4.46,4.56,4.46,4.5,2134,0
TRI,60,20240614,120000,4.46,4.46,4.46,4.46,2044,0
TRI,60,20240711,160000,4.46,4.56,4,4.5,343,0
TRI,60,20240717,120000,4.5,4.5,4.08,4.08,1143,0
TRI,60,20240719,160000,4.1,4.48,4.1,4.48,38,0
TRI,60,20240725,120000,4.28,4.28,4.28,4.28,2,0
TRI,60,20240802,160000,4.06,4.06,4.02,4.06,1129,0
TRI,60,20240809,120000,4.04,4.04,4,4,1246,0
TRI,60,20240814,160000,4.04,4.04,4.04,4.04,123,0
TRI,60,20240826,120000,4.04,4.04,3.8,3.8,442,0
TRI,60,20240826,160000,3.64,3.64,3.64,3.64,820,0
TRI,60,20240829,120000,3.64,3.64,3.64,3.64,2480,0
TRI,60,20240830,160000,3.34,3.8,3.34,3.8,452,0
TRI,60,20240902,120000,3.8,3.8,3.8,3.8,25,0
TRI,60,20240902,160000,3.34,3.34,3.34,3.34,5000,0
TRI,60,20240904,120000,3.34,3.34,3.34,3.34,3175,0
TRI,60,20240906,160000,3.66,3.94,3.66,3.94,2,0
TRI,60,20240910,120000,3.34,3.34,3.34,3.34,6301,0
TRI,60,20240912,160000,3.34,3.94,3.34,3.94,2162,0
TRI,60,20240913,120000,3.34,3.34,3.34,3.34,4000,0
TRI,60,20240913,160000,3.66,3.66,3.66,3.66,1,0
TRI,60,20240916,120000,3.66,3.66,3.66,3.66,9,0
TRI,60,20241003,160000,3.88,3.88,3.32,3.32,100,0
TRI,60,20241004,120000,3.62,3.62,3.62,3.62,13,0
TRI,60,20241004,160000,3.62,3.62,3.62,3.62,81,0
TRI,60,20241007,120000,3.62,3.62,3.62,3.62,20,0
TRI,60,20241007,160000,3.36,3.36,3.36,3.36,81,0
TRI,60,20241009,120000,3.32,3.32,3.32,3.32,2000,0
TRI,60,20241010,160000,3.6,3.6,3.6,3.6,3,0
TRI,60,20241021,120000,3.34,3.34,3.34,3.34,733,0
TRI,60,20241021,160000,3.34,3.34,3.34,3.34,657,0
TRI,60,20241022,120000,3.34,3.34,3.34,3.34,77,0
TRI,60,20241023,160000,3.32,3.32,3.32,3.32,840,0
TRI,60,20241029,120000,3.32,3.32,3.32,3.32,301,0
TRI,60,20241031,160000,3.36,3.36,3.36,3.36,33,0
TRI,60,20241108,120000,3.32,3.32,3.32,3.32,20,0
TRI,60,20241108,160000,3.32,3.32,3.32,3.32,2,0
TRI,60,20241112,120000,3,3,3,3,621,0
TRI,60,20241113,160000,3.28,3.28,3,3,513,0
TRI,60,20241114,120000,3.02,3.02,3.02,3.02,12,0
TRI,60,20241115,160000,3.02,3.02,3.02,3.02,8,0
TRI,60,20241118,120000,3,3,3,3,165,0
TRI,60,20241122,160000,3.3,3.3,3.3,3.3,13,0
TRI,60,20241127,120000,3.02,3.02,3,3,387,0
TRI,60,20241210,160000,3,3,2.72,2.72,1675,0
TRI,60,20241213,120000,2.72,2.76,2.72,2.76,591,0
TRI,60,20241216,160000,2.76,2.76,2.76,2.76,2462,0
TRI,60,20241218,120000,2.76,2.76,2.76,2.76,3753,0
TRI,60,20241218,160000,2.76,2.76,2.76,2.76,3698,0
TRI,60,20241219,120000,2.76,2.76,2.76,2.76,1000,0
TRI,60,20241219,160000,2.76,2.76,2.76,2.76,9800,0
TRI,60,20241223,120000,2.76,2.76,2.7,2.7,4201,0
TRI,60,20250109,160000,2.7,3,2.7,2.9,1078,0
TRI,60,20250123,120000,2.9,2.9,2.7,2.7,786,0
TRI,60,20250127,160000,2.5,2.5,2.5,2.5,1000,0
TRI,60,20250130,120000,2.88,2.88,2.88,2.88,812,0
TRI,60,20250211,160000,2.96,3.1,2.96,3.1,1123,0
TRI,60,20250218,120000,3,3,3,3,11,0
TRI,60,20250218,160000,2.74,2.74,2.74,2.74,7,0
TRI,60,20250416,120000,3,3,2.34,2.34,5906,0
TRI,60,20250416,160000,2.5,2.5,2.5,2.5,3,0
TRI,60,20250422,120000,2.4,2.4,2.4,2.4,151,0
TRI,60,20250423,160000,2.3,2.3,2.3,2.3,8113,0
TRI,60,20250424,120000,2.3,2.3,2.3,2.3,1,0
TRI,60,20250424,160000,2.4,2.4,2.4,2.4,200,0
