<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT,60,20240411,100000,90.9899,91.4517,89.1424,90.0661,5448.4167620112,0
TXT,60,20240411,110000,89.6966,90.7127,89.2346,90.2509,2656.549718652,0
TXT,60,20240411,120000,90.0661,90.2509,89.2346,89.2346,3459.793358114,0
TXT,60,20240411,130000,89.1424,89.4195,88.6805,89.4195,3380.768040485,0
TXT,60,20240411,140000,89.5118,89.8814,88.9576,89.2346,2506.0768535776,0
TXT,60,20240411,150000,89.2346,89.5118,88.7728,89.2346,1851.1410019947,0
TXT,60,20240411,160000,89.1424,89.2346,87.9414,88.4033,7163.157900701,0
TXT,60,20240411,170000,87.9414,88.7728,87.2948,87.572,15096.000744337,0
TXT,60,20240412,100000,88.8652,89.7889,88.2186,88.6805,5209.1757319288,0
TXT,60,20240412,110000,88.7728,88.9576,88.0338,88.1262,1181.0496100445,0
TXT,60,20240412,120000,88.1262,88.3109,87.2024,88.2186,4246.7989186111,0
TXT,60,20240412,130000,88.0338,88.6805,87.2948,87.7567,3946.93572706,0
TXT,60,20240412,140000,87.8491,88.2186,87.2948,87.6643,1659.5316702092,0
TXT,60,20240412,150000,88.0338,88.0338,86.833,87.11,2873.0574381835,0
TXT,60,20240412,160000,87.11,87.3872,86.371,86.6481,9455.97465054,0
TXT,60,20240412,170000,86.5558,86.6481,85.4473,85.5397,9248.1272397897,0
TXT,60,20240415,100000,85.9092,86.5558,84.6159,84.9854,7494.4147115842,0
TXT,60,20240415,110000,85.0777,85.8168,84.8007,85.4473,4546.6621101623,0
TXT,60,20240415,120000,85.3549,86.0015,85.1702,85.4473,3798.6279391809,0
TXT,60,20240415,130000,85.4473,85.4473,84.893,84.893,2370.7595288704,0
TXT,60,20240415,140000,85.3549,85.8168,84.9854,85.7244,2159.6645023271,0
TXT,60,20240415,150000,85.8168,86.4634,85.5397,86.1862,4857.3506876901,0
TXT,60,20240415,160000,86.2787,86.7405,85.9092,86.2787,5491.7183059175,0
TXT,60,20240415,170000,86.094,86.1862,85.0777,85.632,11544.191605422,0
TXT,60,20240416,100000,85.1702,85.1702,83.5997,84.3387,7417.5544711505,0
TXT,60,20240416,110000,84.5235,85.0777,84.2465,85.0777,2848.1590504374,0
TXT,60,20240416,120000,85.0777,85.1702,84.5235,84.9854,1697.4205211273,0
TXT,60,20240416,130000,84.8007,85.3549,84.7083,85.0777,1647.623745635,0
TXT,60,20240416,140000,85.1702,85.1702,84.6159,84.7083,2412.978534179,0
TXT,60,20240416,150000,84.7083,85.0777,84.5235,84.5235,1827.3251528462,0
TXT,60,20240416,160000,84.6159,84.6159,83.7845,83.9693,5201.5979617452,0
TXT,60,20240416,170000,83.8769,84.4312,83.7845,84.3387,6635.9616036417,0
TXT,60,20240417,100000,84.4312,85.2625,84.4312,85.1702,3080.9048489338,0
TXT,60,20240417,110000,84.9854,86.2787,84.9854,85.9092,1687.6776737483,0
TXT,60,20240417,120000,86.0015,86.0015,84.7083,85.2625,2207.296200624,0
TXT,60,20240417,130000,85.2625,85.4473,84.7083,85.2625,1552.3603490411,0
TXT,60,20240417,140000,84.9854,85.2625,84.6159,84.7083,1344.5129382909,0
TXT,60,20240417,150000,84.7083,85.4473,84.6159,85.1702,1218.9384609626,0
TXT,60,20240417,160000,84.7083,85.3549,84.5235,84.7083,6917.4216390327,0
TXT,60,20240417,170000,84.6159,84.8007,84.5235,84.6159,3080.9048489338,0
TXT,60,20240418,100000,84.9854,86.2787,84.7083,85.0777,1695.255443932,0
TXT,60,20240418,110000,85.3549,85.3549,83.9693,84.2465,4519.5986452209,0
TXT,60,20240418,120000,84.2465,84.7083,84.154,84.7083,1366.163710244,0
TXT,60,20240418,130000,84.7083,85.3549,84.4312,85.1702,1912.8457020611,0
TXT,60,20240418,140000,85.3549,85.3549,84.893,85.3549,951.55142734111,0
TXT,60,20240418,150000,85.3549,85.4473,84.893,84.9854,3271.4316421216,0
TXT,60,20240418,160000,84.893,85.0777,84.4312,84.5235,3317.9808018208,0
TXT,60,20240418,170000,84.8007,86.094,84.5235,84.9854,17101.944765796,0
TXT,60,20240419,100000,84.8007,84.9854,84.3387,84.7083,2280.9088252648,0
TXT,60,20240419,110000,84.5235,85.7244,84.5235,84.6159,3115.5460840588,0
TXT,60,20240419,120000,84.7083,84.9854,84.5235,84.893,4318.2464660565,0
TXT,60,20240419,130000,84.6159,84.893,84.5235,84.5235,1051.1449783256,0
TXT,60,20240419,140000,84.8007,84.8007,84.0616,84.3387,4376.7035503301,0
TXT,60,20240419,150000,84.2465,84.4312,84.0616,84.2465,4466.5542539357,0
TXT,60,20240419,160000,84.2465,84.2465,83.5997,84.0616,5207.0106547335,0
TXT,60,20240419,170000,83.9693,84.0616,83.8769,83.8769,11545.274144019,0
TXT,60,20240422,100000,83.5074,84.6159,83.5074,83.7845,5956.1273643126,0
TXT,60,20240422,110000,83.8769,85.0777,83.7845,84.6159,6969.3834917202,0
TXT,60,20240422,120000,84.4312,84.4312,83.8769,83.9693,3421.904507196,0
TXT,60,20240422,130000,83.9693,84.4312,83.8769,83.8769,3979.4118849897,0
TXT,60,20240422,140000,83.8769,84.0616,83.3226,83.415,5140.9758002764,0
TXT,60,20240422,150000,83.3226,84.154,83.3226,83.5997,6480.076045579,0
TXT,60,20240422,160000,83.5074,84.4312,83.5074,83.9693,6844.8915529896,0
TXT,60,20240422,170000,83.9693,84.2465,83.6922,83.8769,9215.65108186,0
TXT,60,20240423,100000,84.0616,84.0616,83.3226,83.5997,5405.1152181049,0
TXT,60,20240423,110000,83.6922,83.6922,83.3226,83.3226,5150.7186476553,0
TXT,60,20240423,120000,83.5074,83.9693,83.3226,83.5074,4848.6903789088,0
TXT,60,20240423,130000,83.5074,84.2465,83.5074,84.2465,4303.0909256893,0
TXT,60,20240423,140000,84.0616,84.9854,84.0616,84.9854,5753.6926465507,0
TXT,60,20240423,150000,84.9854,85.0777,84.5235,84.8007,2560.2037834605,0
TXT,60,20240423,160000,84.5235,85.2625,84.3387,85.1702,4351.8051625839,0
TXT,60,20240423,170000,85.0777,85.7244,84.6159,85.0777,9674.6474472668,0
TXT,60,20240424,100000,85.2625,85.4473,83.3226,83.415,6411.8761139265,0
TXT,60,20240424,110000,83.5074,84.0616,83.415,83.5997,4415.6749398457,0
TXT,60,20240424,120000,83.5997,83.7845,83.415,83.415,2235.4422041631,0
TXT,60,20240424,130000,83.5074,83.8769,83.415,83.8769,4545.5795715647,0
TXT,60,20240424,140000,83.415,83.8769,83.415,83.8769,2386.9976078352,0
TXT,60,20240424,150000,83.5074,83.7845,83.415,83.5074,5227.578888089,0
TXT,60,20240424,160000,83.415,83.9693,83.1379,83.415,13617.253019936,0
TXT,60,20240424,170000,83.3226,83.5074,83.1379,83.2303,5883.5972782696,0
TXT,60,20240425,100000,83.2303,83.3226,82.4912,83.0455,3085.2350033244,0
TXT,60,20240425,110000,83.1379,83.415,82.7684,82.8607,2132.6010373857,0
TXT,60,20240425,120000,82.7684,83.0455,82.5837,82.676,4913.6426947683,0
TXT,60,20240425,130000,82.7684,83.9693,82.5837,83.9693,1187.5448416305,0
TXT,60,20240425,140000,83.8769,84.2465,83.415,83.6922,1798.0966107094,0
TXT,60,20240425,150000,83.5997,83.9693,83.1379,83.5074,2692.2734923747,0
TXT,60,20240425,160000,83.415,83.415,82.5837,82.7684,4886.5792298268,0
TXT,60,20240425,170000,82.5837,83.2303,82.5837,82.676,4174.2688325681,0
TXT,60,20240426,100000,83.1379,84.8007,83.1379,83.2303,2113.1153426278,0
TXT,60,20240426,110000,83.5074,83.7845,83.415,83.415,759.9420955557,0
TXT,60,20240426,120000,83.5074,83.5074,83.1379,83.5074,572.66291816092,0
TXT,60,20240426,130000,83.3226,83.9693,83.3226,83.8769,1185.3797644352,0
TXT,60,20240426,140000,83.8769,83.8769,83.3226,83.3226,1163.728992482,0
TXT,60,20240426,150000,83.3226,83.5074,83.1379,83.5074,922.32288520436,0
TXT,60,20240426,160000,83.5074,83.7845,83.1379,83.5074,1386.7319435995,0
TXT,60,20240426,170000,83.5997,83.9693,83.2303,83.415,6651.1171440089,0
TXT,60,20240429,100000,83.5074,84.8007,83.5074,84.5235,2310.1373674015,0
TXT,60,20240429,110000,84.5235,85.0777,84.154,84.6159,2259.2580533116,0
TXT,60,20240429,120000,84.7083,84.7083,84.154,84.154,755.61194116507,0
TXT,60,20240429,130000,84.154,84.8007,84.154,84.8007,965.62442911066,0
TXT,60,20240429,140000,84.6159,84.9854,84.6159,84.893,980.77996947787,0
TXT,60,20240429,150000,84.9854,85.7244,84.9854,85.1702,3857.0850234544,0
TXT,60,20240429,160000,85.1702,85.1702,84.3387,84.7083,820.56425702453,0
TXT,60,20240429,170000,84.7083,85.1702,83.415,84.0616,37047.718427639,0
TXT,60,20240430,100000,84.9854,84.9854,82.8607,83.0455,17120.347921956,0
TXT,60,20240430,110000,83.1379,83.415,82.9532,83.415,5683.3276377029,0
TXT,60,20240430,120000,83.3226,83.3226,82.9532,82.9532,1005.678357224,0
TXT,60,20240430,130000,83.2303,83.3226,82.9532,83.0455,21999.3493816,0
TXT,60,20240430,140000,83.0455,83.1379,82.7684,83.1379,15468.394021931,0
TXT,60,20240430,150000,83.1379,83.5074,83.0455,83.1379,3010.5398400861,0
TXT,60,20240430,160000,83.0455,83.2303,82.9532,83.1379,7218.3673691815,0
TXT,60,20240430,170000,83.0455,83.6922,83.0455,83.1379,16562.840544163,0
TXT,60,20240502,100000,83.5997,83.5997,82.4912,82.9532,5826.2227325937,0
TXT,60,20240502,110000,83.1379,83.1379,82.5837,82.7684,1449.5191822637,0
TXT,60,20240502,120000,82.7684,83.0455,82.2141,82.3989,4512.0208750373,0
TXT,60,20240502,130000,82.5837,82.8607,82.3989,82.8607,399.45674253569,0
TXT,60,20240502,140000,82.8607,83.1379,82.8607,83.0455,1050.062439728,0
TXT,60,20240502,150000,82.7684,83.1379,82.5837,83.0455,1024.0815133842,0
TXT,60,20240502,160000,82.7684,83.0455,82.4912,83.0455,3517.1679037899,0
TXT,60,20240502,170000,82.7684,82.7684,82.2141,82.2141,5978.8606748635,0
TXT,60,20240506,100000,82.676,83.1379,82.3065,82.676,2716.0893415232,0
TXT,60,20240506,110000,82.676,82.7684,82.3065,82.3065,3533.4059827547,0
TXT,60,20240506,120000,82.4912,82.676,82.2141,82.3989,5987.5209836447,0
TXT,60,20240506,130000,82.4912,82.5837,82.3065,82.4912,1186.4623030328,0
TXT,60,20240506,140000,82.5837,82.676,82.3065,82.5837,2402.1531482024,0
TXT,60,20240506,150000,82.676,82.7684,82.3065,82.3065,3405.6664282311,0
TXT,60,20240506,160000,82.3989,82.5837,82.2141,82.3989,4576.9731908967,0
TXT,60,20240506,170000,82.3065,83.0455,82.2141,82.8607,10712.801962421,0
TXT,60,20240507,100000,82.2141,82.3989,81.4751,81.5675,12896.282313896,0
TXT,60,20240507,110000,81.5675,82.676,81.4751,82.676,46663.908790633,0
TXT,60,20240507,120000,82.4912,83.415,82.3989,83.0455,10184.523126764,0
TXT,60,20240507,130000,83.0455,83.5074,82.3065,82.3065,7861.3952961902,0
TXT,60,20240507,140000,82.5837,82.676,81.66,81.937,12298.721007989,0
TXT,60,20240507,150000,81.8447,82.5837,81.4751,82.2141,22656.450310378,0
TXT,60,20240507,160000,82.3989,84.2465,82.3065,83.2303,16488.145380924,0
TXT,60,20240507,170000,83.2303,84.8007,83.1379,83.3226,19810.456337136,0
TXT,60,20240508,100000,84.0616,84.9854,83.415,83.9693,3561.5519862938,0
TXT,60,20240508,110000,83.9693,84.5235,83.5997,84.2465,1643.2935912444,0
TXT,60,20240508,120000,84.0616,84.7083,83.7845,84.5235,4068.1800499976,0
TXT,60,20240508,130000,84.7083,84.7083,84.154,84.2465,1494.9858033653,0
TXT,60,20240508,140000,84.4312,84.5235,84.2465,84.5235,1159.3988380914,0
TXT,60,20240508,150000,84.4312,84.8007,84.3387,84.8007,2587.2672484019,0
TXT,60,20240508,160000,84.8007,84.893,84.5235,84.7083,4668.9889716976,0
TXT,60,20240508,170000,84.5235,85.8168,84.4312,85.4473,18126.02627918,0
TXT,60,20240509,100000,85.5397,85.8168,84.2465,84.9854,4764.2523682915,0
TXT,60,20240509,110000,84.9854,85.0777,84.3387,84.5235,4535.8367241857,0
TXT,60,20240509,120000,84.7083,85.3549,84.4312,85.1702,3621.091609165,0
TXT,60,20240509,130000,85.1702,85.5397,85.1702,85.2625,1385.6494050019,0
TXT,60,20240509,140000,85.1702,85.5397,85.0777,85.3549,2396.7404552141,0
TXT,60,20240509,150000,85.1702,85.5397,85.0777,85.0777,1714.7411386898,0
TXT,60,20240509,160000,85.2625,85.7244,85.1702,85.3549,2175.902581292,0
TXT,60,20240509,170000,85.4473,85.4473,85.0777,85.3549,3543.1488301336,0
TXT,60,20240510,100000,84.9854,85.2625,83.1379,83.9693,10359.894379584,0
TXT,60,20240510,110000,83.9693,84.2465,83.415,84.154,2850.3241276327,0
TXT,60,20240510,120000,83.9693,84.2465,83.7845,84.0616,1572.9285823966,0
TXT,60,20240510,130000,84.2465,84.2465,83.8769,84.154,2180.2327356826,0
TXT,60,20240510,140000,84.154,84.2465,83.415,83.5997,4835.6999157369,0
TXT,60,20240510,150000,83.7845,84.0616,83.5074,83.6922,2245.1850515421,0
TXT,60,20240510,160000,83.6922,83.9693,83.5074,83.7845,3198.9015560785,0
TXT,60,20240510,170000,83.6922,83.9693,83.3226,83.3226,5244.8995056515,0
TXT,60,20240513,100000,83.2303,84.5235,83.2303,83.8769,4812.9666051861,0
TXT,60,20240513,110000,84.0616,84.3387,83.8769,84.0616,919.07526941138,0
TXT,60,20240513,120000,83.9693,84.2465,83.7845,84.0616,1404.052561162,0
TXT,60,20240513,130000,84.0616,84.4312,83.9693,84.3387,1686.5951351507,0
TXT,60,20240513,140000,84.154,84.3387,83.6922,84.0616,4168.8561395798,0
TXT,60,20240513,150000,84.154,85.7244,84.154,85.632,7730.4081258736,0
TXT,60,20240513,160000,85.632,85.7244,85.2625,85.632,2877.3875925742,0
TXT,60,20240513,170000,85.8168,87.2948,85.8168,86.5558,10290.611909334,0
TXT,60,20240514,100000,86.7405,88.6805,86.371,86.833,7268.1641446738,0
TXT,60,20240514,110000,86.5558,87.0177,85.8168,85.8168,4342.062315205,0
TXT,60,20240514,120000,85.8168,86.0015,85.3549,85.8168,2764.8035784178,0
TXT,60,20240514,130000,85.8168,86.094,85.4473,85.4473,772.93255872759,0
TXT,60,20240514,140000,85.4473,85.7244,85.2625,85.4473,2108.7851882372,0
TXT,60,20240514,150000,85.632,85.632,84.8007,85.0777,3668.7233074619,0
TXT,60,20240514,160000,85.0777,85.5397,84.9854,85.5397,3364.5299615201,0
TXT,60,20240514,170000,85.2625,85.8168,85.0777,85.2625,5365.0612899915,0
TXT,60,20240515,100000,85.2625,85.9092,84.7083,84.893,3426.2346615866,0
TXT,60,20240515,110000,84.8007,84.9854,84.2465,84.5235,7261.6689130878,0
TXT,60,20240515,120000,84.4312,84.7083,84.2465,84.3387,1519.8841911114,0
TXT,60,20240515,130000,84.6159,84.7083,84.3387,84.6159,2813.5178153124,0
TXT,60,20240515,140000,84.4312,84.7083,84.4312,84.4312,1629.2205894748,0
TXT,60,20240515,150000,84.3387,85.2625,84.2465,84.8007,3657.8979214854,0
TXT,60,20240515,160000,84.8007,84.9854,84.4312,84.4312,1858.7187721783,0
TXT,60,20240515,170000,84.5235,85.2625,84.4312,85.2625,3774.8120900324,0
TXT,60,20240516,100000,85.4473,86.371,84.7083,85.7244,4923.3855421472,0
TXT,60,20240516,110000,86.371,86.9253,85.9092,86.4634,6670.6028387667,0
TXT,60,20240516,120000,86.6481,86.6481,86.2787,86.371,6057.8859924925,0
TXT,60,20240516,130000,86.371,86.4634,85.8168,86.0015,4141.7926746383,0
TXT,60,20240516,140000,85.632,86.4634,85.632,86.2787,9708.2061437942,0
TXT,60,20240516,150000,86.4634,86.5558,85.0777,85.0777,7666.5383486118,0
TXT,60,20240516,160000,85.3549,85.3549,84.7083,84.9854,5575.0737779371,0
TXT,60,20240516,170000,85.0777,85.4473,84.7083,84.8007,7265.9990674785,0
TXT,60,20240517,100000,84.9854,85.632,84.7083,84.7083,5408.3628338978,0
TXT,60,20240517,110000,84.7083,85.1702,84.7083,85.0777,3993.4848867592,0
TXT,60,20240517,120000,85.0777,85.4473,84.893,85.2625,2263.5882077022,0
TXT,60,20240517,130000,85.3549,85.4473,84.9854,85.3549,1837.0680002251,0
TXT,60,20240517,140000,85.3549,85.3549,84.4312,84.8007,4879.0014596432,0
TXT,60,20240517,150000,84.8007,85.3549,84.8007,85.3549,2901.2034417226,0
TXT,60,20240517,160000,84.9854,86.1862,84.9854,85.9092,3072.2445401525,0
TXT,60,20240517,170000,85.8168,85.8168,85.1702,85.1702,3297.4125684653,0
TXT,60,20240520,100000,85.3549,86.7405,85.3549,86.371,7642.7224994633,0
TXT,60,20240520,110000,86.371,86.4634,85.7244,85.9092,3165.3428595511,0
TXT,60,20240520,120000,85.9092,87.2948,85.7244,87.2948,6602.4029071143,0
TXT,60,20240520,130000,87.2948,87.2948,86.2787,86.6481,8568.2930004607,0
TXT,60,20240520,140000,86.5558,86.833,86.2787,86.833,2011.356714448,0
TXT,60,20240520,150000,86.371,86.833,86.2787,86.7405,2697.686185363,0
TXT,60,20240520,160000,86.833,86.833,85.8168,85.9092,2674.9528748122,0
TXT,60,20240520,170000,86.094,86.1862,85.632,85.632,4758.8396753032,0
TXT,60,20240521,100000,85.8168,86.833,85.4473,86.371,6354.5015682507,0
TXT,60,20240521,110000,86.7405,87.0177,86.6481,87.0177,3150.1873191839,0
TXT,60,20240521,120000,87.0177,87.2024,86.6481,86.6481,2315.5500603898,0
