<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT,60,20240411,100000,132.747,133.911,131.97,131.97,867.7099236262,0
UNT,60,20240411,110000,132.553,132.941,132.553,132.941,409.1221373867,0
UNT,60,20240411,120000,132.941,133.911,132.747,133.911,1064.5419846863,0
UNT,60,20240411,130000,133.523,133.523,132.553,132.553,1551.9847327566,0
UNT,60,20240411,140000,132.553,132.747,132.359,132.553,589.4656488292,0
UNT,60,20240411,150000,132.164,132.164,132.164,132.164,6.1832061066,0
UNT,60,20240411,160000,132.553,132.553,132.553,132.553,204.0458015178,0
UNT,60,20240411,170000,132.553,132.941,132.164,132.553,441.0687022708,0
UNT,60,20240412,100000,132.553,132.553,131.582,131.582,243.2061068596,0
UNT,60,20240412,110000,131.582,131.97,131.582,131.97,351.4122137251,0
UNT,60,20240412,120000,131.97,131.97,131.582,131.582,110.2671755677,0
UNT,60,20240412,130000,131.582,131.776,131.388,131.388,171.0687022826,0
UNT,60,20240412,140000,131.194,131.97,131.194,131.97,603.8931297446,0
UNT,60,20240412,150000,131.97,131.97,131.194,131.194,823.3969465289,0
UNT,60,20240412,160000,131.388,131.97,131.388,131.97,92.748091599,0
UNT,60,20240412,170000,131.388,131.97,131,131.97,868.7404579773,0
UNT,60,20240415,100000,131.97,131.97,131,131.388,496.7175572302,0
UNT,60,20240415,110000,131.194,131.388,131,131,588.4351144781,0
UNT,60,20240415,120000,131.194,131.194,131,131,1948.7404579301,0
UNT,60,20240415,130000,131,131,131,131,47.4045801506,0
UNT,60,20240415,140000,131.582,131.776,131,131.776,686.3358778326,0
UNT,60,20240415,150000,131.97,131.97,131.388,131.776,182.4045801447,0
UNT,60,20240415,160000,131.97,131.97,131.97,131.97,5.1526717555,0
UNT,60,20240415,170000,131.97,131.97,131.776,131.97,113.358778621,0
UNT,60,20240416,100000,129.447,131.97,124.79,131.97,1598.3587785561,0
UNT,60,20240416,110000,131.776,131.776,130.418,130.612,155.6106870161,0
