<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOT,60,20240411,100000,43.2362,43.4191,43.0077,43.0534,1028.3501411964,0
VOT,60,20240411,110000,43.0534,43.4647,43.0077,43.4647,1589.5667608067,0
VOT,60,20240411,120000,43.2819,43.3277,42.9163,42.962,941.9249697554,0
VOT,60,20240411,130000,42.962,43.2819,42.8706,42.962,183.79023800105,0
VOT,60,20240411,140000,42.9163,43.3277,42.9163,43.2819,342.41871722815,0
VOT,60,20240411,150000,43.2362,43.2362,43.1905,43.1905,110.49294070301,0
VOT,60,20240411,160000,43.1905,43.1905,43.0991,43.1448,299.75312626362,0
VOT,60,20240411,170000,43.1448,43.1448,42.9163,43.0534,6372.4889068818,0
VOT,60,20240412,100000,43.0534,43.2362,43.0534,43.1905,2340.0435659777,0
VOT,60,20240412,110000,43.2362,43.2362,43.0077,43.1448,1858.6881807369,0
VOT,60,20240412,120000,43.1448,43.1448,42.962,42.962,878.47357806456,0
VOT,60,20240412,130000,43.0077,43.0991,43.0077,43.0077,908.01129488616,0
VOT,60,20240412,140000,43.0077,43.2362,42.505,42.9163,2619.010891515,0
VOT,60,20240412,150000,42.9163,43.2362,42.5964,42.8249,1618.0104881164,0
VOT,60,20240412,160000,42.7334,43.0077,42.505,42.7792,2647.4546188247,0
VOT,60,20240412,170000,42.6878,42.9163,42.505,42.5506,1534.8672852112,0
VOT,60,20240415,100000,42.962,43.2819,42.5506,42.9163,4028.0693828564,0
VOT,60,20240415,110000,42.8706,42.8706,41.5451,42.185,4147.3142396547,0
VOT,60,20240415,120000,42.185,42.6878,42.185,42.505,2252.5244050248,0
VOT,60,20240415,130000,42.505,42.505,42.4592,42.505,975.83864462464,0
VOT,60,20240415,140000,42.4592,42.4592,42.0479,42.4136,3245.86688184,0
VOT,60,20240415,150000,42.4136,42.505,42.0479,42.2764,2329.1036708586,0
VOT,60,20240415,160000,42.4592,42.5506,42.3222,42.505,1113.6813231254,0
VOT,60,20240415,170000,42.505,42.6878,42.2764,42.6878,876.28559904074,0
VOT,60,20240416,100000,42.6878,42.962,42.0479,42.4592,2396.9310205971,0
VOT,60,20240416,110000,42.3678,42.7334,42.2764,42.7334,2927.5159338739,0
VOT,60,20240416,120000,42.505,42.962,42.505,42.7792,1464.8519564489,0
VOT,60,20240416,130000,42.6878,42.6878,42.5506,42.6878,408.05808794282,0
VOT,60,20240416,140000,42.6878,42.8706,42.5506,42.5506,609.35215813445,0
VOT,60,20240416,150000,42.642,42.642,41.8651,42.0479,2574.1573215267,0
VOT,60,20240416,160000,41.9108,42.0479,41.8651,42.0479,982.40258169611,0
VOT,60,20240416,170000,41.8651,42.0479,41.8651,42.0479,642.17184349178,0
VOT,60,20240417,100000,42.0479,42.4592,42.0479,42.4136,1153.0649455542,0
VOT,60,20240417,110000,42.185,42.3678,42.185,42.3678,248.33561920381,0
VOT,60,20240417,120000,42.3678,42.4136,42.2308,42.2764,1098.3654699587,0
VOT,60,20240417,130000,42.2764,42.3222,42.0479,42.3222,1452.8180718179,0
VOT,60,20240417,140000,42.3222,42.3222,42.0479,42.3222,200.20008067972,0
VOT,60,20240417,150000,42.0479,42.3222,42.0479,42.3222,813.92819686181,0
VOT,60,20240417,160000,42.3678,42.4592,42.3222,42.3222,887.22549415985,0
VOT,60,20240417,170000,42.4592,42.9163,42.3222,42.9163,1241.678096019,0
VOT,60,20240418,100000,42.8706,42.8706,42.4136,42.7792,930.98507463629,0
VOT,60,20240418,110000,42.8249,42.8249,42.7792,42.7792,38.289632916886,0
VOT,60,20240418,120000,42.6878,42.6878,42.642,42.642,115.96288826257,0
VOT,60,20240418,130000,42.7792,42.7792,42.505,42.505,794.23638564741,0
VOT,60,20240418,140000,42.505,42.8249,42.4592,42.8249,1712.0935861408,0
VOT,60,20240418,150000,42.8249,42.8249,42.505,42.8249,980.21460267229,0
VOT,60,20240418,160000,42.6878,42.8706,42.6878,42.8249,691.40137152778,0
VOT,60,20240418,170000,42.8706,42.962,42.642,42.962,1064.4517950894,0
VOT,60,20240419,100000,42.962,42.962,42.4592,42.9163,2712.0000000275,0
VOT,60,20240419,110000,42.8706,43.0534,42.8706,42.9163,2771.0754336707,0
VOT,60,20240419,120000,42.962,43.0534,42.5964,42.8249,1553.4651069137,0
VOT,60,20240419,130000,42.642,42.642,42.3678,42.5506,3031.4449375055,0
VOT,60,20240419,140000,42.505,42.505,42.3678,42.3678,544.8067769317,0
VOT,60,20240419,150000,42.505,42.5506,42.4136,42.5506,496.67123840761,0
VOT,60,20240419,160000,42.5506,42.5506,42.505,42.505,366.4864864902,0
VOT,60,20240419,170000,42.505,42.8706,42.3678,42.7792,2438.5026220497,0
