<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOX,60,20240411,100000,88.5405,88.5405,86.4,88.3459,2455.3611111642,0
VOX,60,20240411,110000,87.9568,88.3459,87.7622,88.3459,289.8333333396,0
VOX,60,20240411,120000,88.1514,88.3459,87.5676,87.5676,177.8055555594,0
VOX,60,20240411,130000,87.373,87.373,86.4,87.373,6271.5000001356,0
VOX,60,20240411,140000,86.5946,86.5946,86.2054,86.2054,277.500000006,0
VOX,60,20240411,150000,86.4,86.4,86.0108,86.0108,754.3888889052,0
VOX,60,20240411,160000,86.4,86.4,86.2054,86.2054,132.5833333362,0
VOX,60,20240411,170000,86.4,86.5946,86.4,86.5946,417.27777778679996,0
VOX,60,20240412,100000,86.5946,87.1784,86.0108,86.0108,777.0000000168,0
VOX,60,20240412,110000,87.1784,87.373,87.1784,87.373,88.38888889079999,0
VOX,60,20240412,120000,86.5946,87.373,86.4,86.4,308.33333334,0
VOX,60,20240412,130000,86.4,86.4,86.4,86.4,57.5555555568,0
VOX,60,20240412,140000,86.4,88.1514,86.2054,88.1514,2787.3333333936,0
VOX,60,20240412,150000,88.1514,88.5405,88.1514,88.5405,64.7500000014,0
VOX,60,20240412,160000,88.7351,89.1243,86.9838,88.1514,1879.8055555961998,0
VOX,60,20240412,170000,88.7351,88.7351,87.5676,88.1514,470.7222222324,0
VOX,60,20240415,100000,88.5405,90.0973,88.5405,89.1243,539.583333345,0
VOX,60,20240415,110000,89.9027,89.9027,89.1243,89.7081,1487.1944444766,0
VOX,60,20240415,120000,89.9027,90.8757,89.9027,90.8757,2971.3055556198,0
VOX,60,20240415,130000,90.8757,92.2378,90.4865,92.2378,831.4722222402,0
VOX,60,20240415,140000,91.8486,92.627,91.6541,92.627,863.333333352,0
VOX,60,20240415,150000,92.627,93.2108,90.4865,92.4324,1607.4444444792,0
VOX,60,20240415,160000,92.2378,92.8216,91.0703,92.4324,459.4166666766,0
VOX,60,20240415,170000,92.627,92.627,91.4595,92.627,1915.7777778192,0
VOX,60,20240416,100000,91.4595,91.4595,89.5135,89.5135,552.9444444564,0
VOX,60,20240416,110000,88.9297,91.2649,88.9297,90.4865,513.8888889,0
VOX,60,20240416,120000,90.4865,90.4865,90.2919,90.2919,20.555555555999998,0
VOX,60,20240416,130000,90.4865,90.4865,89.5135,89.9027,484.0833333438,0
VOX,60,20240416,140000,89.7081,89.7081,89.1243,89.3189,500.5277777886,0
VOX,60,20240416,150000,89.3189,89.3189,89.1243,89.1243,84.27777777959999,0
VOX,60,20240416,160000,89.3189,89.3189,89.1243,89.1243,99.69444444659999,0
VOX,60,20240416,170000,89.1243,89.1243,88.9297,88.9297,27.7500000006,0
VOX,60,20240417,100000,89.1243,90.0973,89.1243,90.0973,98.6666666688,0
VOX,60,20240417,110000,89.9027,89.9027,88.7351,89.9027,199.3888888932,0
VOX,60,20240417,120000,89.5135,90.0973,89.5135,90.0973,112.0277777802,0
VOX,60,20240417,130000,89.3189,89.3189,86.5946,86.5946,644.4166666806,0
VOX,60,20240417,140000,86.5946,87.5676,86.4,87.1784,1346.388888918,0
VOX,60,20240417,150000,86.9838,87.1784,86.7892,86.7892,112.02777778019998,0
VOX,60,20240417,160000,87.5676,88.3459,87.5676,88.3459,183.9722222262,0
VOX,60,20240417,170000,87.7622,87.7622,86.7892,87.5676,541.6388889006,0
VOX,60,20240418,100000,87.373,87.9568,86.7892,86.7892,190.138888893,0
VOX,60,20240418,110000,86.9838,87.9568,86.9838,87.7622,170.6111111148,0
VOX,60,20240418,120000,87.9568,88.3459,87.9568,88.3459,114.0833333358,0
VOX,60,20240418,130000,88.1514,88.1514,86.9838,86.9838,2828.4444445056,0
VOX,60,20240418,140000,87.373,91.2649,87.1784,90.2919,4107.0000000888,0
VOX,60,20240418,150000,91.0703,92.4324,90.0973,92.4324,1103.8333333572,0
VOX,60,20240418,160000,92.2378,92.2378,90.4865,90.4865,120.2500000026,0
VOX,60,20240418,170000,90.4865,91.0703,89.1243,90.2919,1435.8055555866,0
VOX,60,20240419,100000,92.4324,92.4324,89.1243,89.1243,521.0833333446,0
VOX,60,20240419,110000,89.3189,91.4595,89.3189,89.9027,14102.138889194,0
VOX,60,20240419,120000,90.0973,90.0973,89.7081,89.7081,279.5555555616,0
VOX,60,20240419,130000,89.7081,90.0973,89.7081,89.9027,1539.6111111444,0
VOX,60,20240419,140000,90.0973,90.0973,89.3189,89.3189,1185.0277778034,0
VOX,60,20240419,170000,89.5135,89.5135,89.1243,89.1243,175.7500000038,0
VOX,60,20240422,100000,89.1243,89.5135,89.1243,89.3189,164.444444448,0
VOX,60,20240422,110000,89.3189,89.3189,89.3189,89.3189,23.638888889399997,0
VOX,60,20240422,120000,89.1243,89.5135,89.1243,89.1243,334.027777785,0
VOX,60,20240422,130000,89.1243,89.1243,88.9297,89.1243,273.3888888948,0
VOX,60,20240422,140000,89.1243,89.1243,88.5405,88.5405,142.8611111142,0
VOX,60,20240422,150000,88.9297,88.9297,87.5676,88.3459,271.3333333392,0
VOX,60,20240422,160000,88.3459,88.3459,88.3459,88.3459,4.1111111112,0
VOX,60,20240422,170000,88.3459,88.9297,88.1514,88.3459,183.9722222262,0
VOX,60,20240423,100000,88.3459,89.3189,88.3459,88.3459,220.972222227,0
VOX,60,20240423,110000,88.1514,88.1514,88.1514,88.1514,74.0000000016,0
VOX,60,20240423,120000,88.3459,88.3459,88.1514,88.1514,12.333333333599999,0
VOX,60,20240423,130000,88.1514,88.3459,88.1514,88.3459,341.2222222296,0
VOX,60,20240423,140000,88.9297,88.9297,87.9568,87.9568,569.3888889012,0
VOX,60,20240423,150000,88.5405,88.9297,88.5405,88.9297,148.0000000032,0
