<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRC,60,20240411,100000,114.748,115.243,112.275,114.748,347.7527272696,0
VRC,60,20240411,110000,114.748,114.748,114.748,114.748,284.0654545429,0
VRC,60,20240411,120000,114.748,114.748,113.759,113.759,139.5054545442,0
VRC,60,20240411,130000,113.759,114.748,113.759,114.748,142.5381818169,0
VRC,60,20240411,140000,114.748,114.748,113.759,113.759,810.7490909018,0
VRC,60,20240411,150000,113.759,113.759,113.759,113.759,40.436363636,0
VRC,60,20240411,160000,113.759,114.748,113.759,114.748,173.87636363480001,0
VRC,60,20240411,170000,114.748,115.243,114.748,115.243,100.0799999991,0
VRC,60,20240412,100000,115.243,116.727,115.243,116.232,136.4727272715,0
VRC,60,20240412,120000,114.748,114.748,113.759,114.254,223.4109090889,0
VRC,60,20240412,130000,114.254,114.254,114.254,114.254,36.3927272724,0
VRC,60,20240412,140000,114.254,114.748,113.759,114.254,150.6254545441,0
VRC,60,20240412,150000,114.748,115.737,114.748,115.737,35.3818181815,0
VRC,60,20240412,160000,113.759,113.759,113.759,113.759,462.99636363220003,0
VRC,60,20240412,170000,113.759,114.748,113.759,114.748,231.4981818161,0
VRC,60,20240415,100000,114.748,115.243,109.308,113.759,1234.3199999889,0
VRC,60,20240415,110000,112.77,114.254,112.275,113.759,211.2799999981,0
VRC,60,20240415,120000,113.759,114.254,113.759,114.254,32.3490909088,0
VRC,60,20240415,130000,113.264,113.264,112.275,112.275,102.1018181809,0
VRC,60,20240415,140000,113.264,113.759,113.264,113.759,717.745454539,0
VRC,60,20240415,150000,113.759,113.759,113.759,113.759,50.545454545,0
VRC,60,20240415,160000,113.759,114.254,113.759,114.254,25.2727272725,0
VRC,60,20240415,170000,114.254,114.254,113.759,114.254,49.5345454541,0
VRC,60,20240416,100000,112.77,112.77,109.802,110.791,941.1563636279,0
VRC,60,20240416,110000,110.791,113.264,110.297,113.264,300.2399999973,0
VRC,60,20240416,120000,111.286,111.781,110.297,111.781,1441.5563636234,0
VRC,60,20240416,130000,110.791,111.781,110.791,111.781,13.1418181817,0
VRC,60,20240416,140000,111.781,111.781,111.781,111.781,104.1236363627,0
VRC,60,20240416,150000,112.275,113.264,111.781,111.781,137.4836363624,0
VRC,60,20240416,160000,111.781,111.781,111.781,111.781,133.4399999988,0
VRC,60,20240416,170000,111.781,112.275,111.286,112.275,56.6109090904,0
VRC,60,20240417,100000,112.275,112.77,111.781,111.781,255.7599999977,0
VRC,60,20240417,110000,111.781,113.759,111.781,113.759,310.3490909063,0
VRC,60,20240417,120000,114.254,116.727,114.254,116.232,309.3381818154,0
VRC,60,20240417,130000,116.232,116.727,113.759,114.254,392.2327272692,0
VRC,60,20240417,140000,114.254,114.254,114.254,114.254,30.327272727,0
VRC,60,20240417,150000,114.254,114.254,114.254,114.254,50.545454545,0
VRC,60,20240417,160000,113.759,113.759,113.759,113.759,34.3709090906,0
VRC,60,20240417,170000,116.232,116.232,113.759,115.243,93.0036363628,0
VRC,60,20240418,100000,115.737,115.737,114.254,114.254,201.1709090891,0
VRC,60,20240418,110000,115.243,115.243,115.243,115.243,9.0981818181,0
VRC,60,20240418,120000,113.759,113.759,113.759,113.759,90.98181818100001,0
VRC,60,20240418,130000,113.759,113.759,113.759,113.759,8.0872727272,0
VRC,60,20240418,140000,114.748,114.748,114.748,114.748,97.0472727264,0
VRC,60,20240418,160000,115.243,115.737,115.243,115.737,69.7527272721,0
VRC,60,20240418,170000,115.737,115.737,115.243,115.243,91.99272727190001,0
VRC,60,20240419,100000,114.748,114.748,113.759,113.759,152.6472727259,0
VRC,60,20240419,110000,113.759,113.759,112.77,113.264,368.9818181785,0
VRC,60,20240419,120000,113.264,113.759,113.264,113.264,88.9599999992,0
VRC,60,20240419,130000,113.264,113.264,112.77,112.77,53.5781818177,0
VRC,60,20240419,150000,112.77,113.759,112.77,113.759,61.6654545449,0
VRC,60,20240419,160000,113.759,113.759,113.264,113.264,87.94909090830001,0
VRC,60,20240419,170000,113.759,113.759,113.759,113.759,10.109090909,0
VRC,60,20240422,100000,112.77,113.759,112.77,113.264,419.5272727235,0
VRC,60,20240422,110000,113.264,113.759,112.77,113.759,302.2618181791,0
VRC,60,20240422,120000,113.264,113.264,113.264,113.264,10.109090909,0
VRC,60,20240422,130000,113.264,113.759,112.77,112.77,241.6072727251,0
VRC,60,20240422,140000,113.264,113.759,112.77,113.759,281.0327272702,0
VRC,60,20240422,150000,113.759,113.759,113.759,113.759,247.6727272705,0
VRC,60,20240422,160000,114.748,115.737,114.748,115.243,346.7418181787,0
VRC,60,20240422,170000,115.243,116.727,115.243,116.727,522.6399999953,0
VRC,60,20240423,100000,116.727,117.716,115.737,116.232,524.6618181771,0
VRC,60,20240423,110000,117.221,117.716,117.221,117.716,338.6545454515,0
VRC,60,20240423,120000,117.716,117.716,117.221,117.221,139.5054545442,0
VRC,60,20240423,130000,116.727,116.727,116.232,116.232,123.3309090898,0
VRC,60,20240423,140000,116.727,116.727,116.232,116.232,95.02545454460001,0
VRC,60,20240423,150000,116.727,118.21,114.254,115.243,1022.0290908999,0
VRC,60,20240423,160000,115.737,116.232,115.737,116.232,30.327272727,0
VRC,60,20240423,170000,116.232,116.232,115.243,116.232,100.0799999991,0
VRC,60,20240424,100000,117.221,117.221,115.737,116.727,183.9854545438,0
VRC,60,20240424,110000,116.727,116.727,113.759,114.254,390.2109090874,0
VRC,60,20240424,120000,114.254,115.243,114.254,115.243,53.5781818177,0
VRC,60,20240424,130000,114.254,114.254,113.264,113.264,296.1963636337,0
VRC,60,20240424,140000,113.264,113.264,112.275,112.275,578.2399999948,0
VRC,60,20240424,150000,113.759,113.759,113.759,113.759,10.109090909,0
VRC,60,20240424,170000,113.264,114.254,113.264,114.254,110.1890909081,0
VRC,60,20240425,100000,112.77,117.716,112.77,115.243,629.7963636307,0
VRC,60,20240425,110000,115.243,115.737,115.243,115.737,76.8290909084,0
VRC,60,20240425,120000,114.748,114.748,113.759,113.759,130.4072727261,0
VRC,60,20240425,150000,113.759,114.748,113.759,114.748,180.9527272711,0
VRC,60,20240425,160000,113.759,113.759,113.759,113.759,10.109090909,0
VRC,60,20240425,170000,114.254,114.254,113.759,113.759,90.981818181,0
VRC,60,20240426,100000,112.77,114.254,112.77,114.254,149.6145454532,0
VRC,60,20240426,110000,114.748,114.748,113.759,113.759,115.2436363626,0
VRC,60,20240426,120000,113.759,114.254,112.77,114.254,228.4654545434,0
VRC,60,20240426,130000,114.254,114.254,113.759,114.254,25.2727272725,0
VRC,60,20240426,140000,113.759,113.759,113.759,113.759,2.0218181818,0
VRC,60,20240426,150000,113.759,113.759,113.759,113.759,5.0545454545,0
VRC,60,20240426,160000,114.254,114.254,114.254,114.254,35.3818181815,0
VRC,60,20240426,170000,114.254,114.254,114.254,114.254,43.469090908700004,0
VRC,60,20240429,100000,114.254,114.748,112.77,114.748,941.1563636279,0
VRC,60,20240429,110000,113.759,113.759,113.759,113.759,282.0436363611,0
VRC,60,20240429,120000,113.759,114.748,113.759,113.759,162.7563636349,0
VRC,60,20240429,130000,113.759,113.759,113.759,113.759,222.399999998,0
VRC,60,20240429,140000,114.748,114.748,114.748,114.748,27.2945454543,0
VRC,60,20240429,150000,113.759,114.748,113.759,114.748,2160.3127272533,0
VRC,60,20240429,160000,114.748,114.748,114.748,114.748,19.2072727271,0
VRC,60,20240429,170000,113.759,114.254,113.759,113.759,108.1672727263,0
VRC,60,20240430,100000,114.748,114.748,113.759,114.748,254.7490909068,0
VRC,60,20240430,110000,114.748,114.748,114.748,114.748,60.654545454,0
VRC,60,20240430,120000,114.748,114.748,114.748,114.748,53.5781818177,0
VRC,60,20240430,130000,114.748,114.748,114.748,114.748,47.5127272723,0
VRC,60,20240430,140000,114.748,115.243,114.748,115.243,39.4254545451,0
VRC,60,20240430,150000,115.243,115.243,115.243,115.243,6.0654545454,0
VRC,60,20240430,170000,114.748,114.748,114.748,114.748,87.9490909083,0
VRC,60,20240502,100000,115.737,115.737,113.759,113.759,182.9745454529,0
VRC,60,20240502,110000,115.737,115.737,113.759,113.759,160.7345454531,0
VRC,60,20240502,120000,113.759,115.737,113.759,115.737,71.7745454539,0
VRC,60,20240502,130000,114.748,115.737,114.748,115.737,151.636363635,0
VRC,60,20240502,140000,115.737,115.737,115.737,115.737,112.2109090899,0
VRC,60,20240502,150000,115.737,115.737,115.737,115.737,3.0327272727,0
VRC,60,20240502,160000,115.737,115.737,113.264,113.264,167.8109090894,0
VRC,60,20240502,170000,113.264,113.759,112.77,113.759,32.3490909088,0
VRC,60,20240506,100000,115.737,116.727,114.748,116.727,565.0981818131,0
VRC,60,20240506,110000,116.232,116.727,115.243,115.243,193.0836363619,0
VRC,60,20240506,120000,116.232,116.727,114.748,114.748,203.1927272709,0
VRC,60,20240506,130000,114.254,114.254,111.286,112.77,966.4290909004001,0
VRC,60,20240506,140000,112.77,113.264,112.77,112.77,77.8399999993,0
VRC,60,20240506,150000,112.77,112.77,111.781,112.275,100.0799999991,0
VRC,60,20240506,160000,112.275,113.264,112.275,112.77,319.4472727244,0
VRC,60,20240506,170000,113.264,113.759,111.781,113.759,252.727272725,0
VRC,60,20240507,100000,112.77,113.264,112.77,113.264,94.0145454537,0
VRC,60,20240507,110000,113.264,113.264,112.77,113.264,172.8654545439,0
VRC,60,20240507,120000,113.264,113.759,113.264,113.759,121.309090908,0
VRC,60,20240507,130000,113.759,114.748,112.77,114.748,355.8399999968,0
VRC,60,20240507,140000,114.748,115.243,114.748,115.243,78.8509090902,0
VRC,60,20240507,150000,113.759,113.759,113.759,113.759,101.09090909,0
VRC,60,20240507,160000,114.748,115.243,114.254,114.254,27.2945454543,0
VRC,60,20240507,170000,115.243,115.737,115.243,115.737,475.12727272300003,0
VRC,60,20240508,100000,115.737,116.727,115.243,116.232,749.0836363569,0
VRC,60,20240508,110000,116.727,116.727,116.232,116.727,2341.2654545244,0
VRC,60,20240508,130000,115.737,115.737,114.748,114.748,189.0399999983,0
VRC,60,20240508,140000,114.748,114.748,114.748,114.748,25.2727272725,0
VRC,60,20240508,150000,115.737,115.737,115.737,115.737,9.0981818181,0
VRC,60,20240508,160000,115.737,115.737,115.737,115.737,10.109090909,0
VRC,60,20240508,170000,115.737,115.737,115.737,115.737,81.8836363629,0
VRC,60,20240509,100000,115.737,115.737,114.748,114.748,83.9054545447,0
VRC,60,20240509,110000,115.243,115.737,113.759,115.243,269.9127272703,0
VRC,60,20240509,120000,115.737,116.727,115.737,116.727,207.2363636345,0
VRC,60,20240509,130000,115.243,115.737,115.243,115.737,15.1636363635,0
